1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2015:Q3,91095,86799,-15932,3400,10204,-3296,11321,27914,-26684,10091,-6156,16468,188,-48061,-9224,10804,16347,-7277,23624,6104,2948,3156,-7188,388,-4847,-2532,-2315,-20028,11004,30792
2015:Q4,90788,85791,-26573,-7096,-21296,12864,-69234,-7352,-27400,-34481,3044,-12212,172,67185,-1361,-30529,-10285,-30841,20556,13264,9976,3288,2708,-632,-35584,14296,-49880,29168,30209,22340
2016:Q1,80505,85686,59118,15908,47716,-2988,-98756,-67184,-21909,-9663,-1368,14924,-16,83698,24382,30738,-55201,10435,-65636,6028,6008,20,-2056,3840,78127,-36744,114871,-6356,-39918,17228
2016:Q2,102597,84741,-112321,-44836,-134504,44996,-58607,-11311,-23304,-23991,680,94560,-48,-14562,-137377,-147909,-91836,-496,-91340,-10052,-9980,-72,-508,-3260,-42253,-1896,-40357,10532,-7200,15876
2016:Q3,108206,84601,-86766,-6404,-19216,13424,-11295,5286,-22382,5801,-1136,14716,4,-76859,-76934,-82638,-73183,-6179,-67004,11128,11308,-180,-584,888,-20887,-35708,14821,5704,33437,11328
2016:Q4,126167,85008,-127779,-3260,-9776,-15644,-34014,6425,-16449,-23991,-404,11516,-36,-76161,-136935,-136107,-48316,14440,-62756,-7024,-6412,-612,-2588,-468,-77711,-21732,-55979,-828,32003,9324
2017:Q1,94490,73271,-52638,-7024,-21072,-12952,-10853,12269,-24248,1127,548,24828,-20,-26094,-84114,-87422,-100409,-4761,-95648,-5904,-5156,-748,608,-632,18915,-8444,27359,3308,-10258,-980
2017:Q2,91586,74627,-55641,-2592,-7772,-12268,-25509,-5420,-14831,-5258,-5160,932,-52,-3220,-14937,-15357,-49952,-4332,-45620,-5140,-4480,-660,-136,192,39679,13460,26219,420,57663,7116
2017:Q3,107106,75852,-63542,-2488,-7464,-14972,-47627,-16029,-7534,-24064,1404,28300,28,-20723,-83246,-86486,29802,5762,24040,2136,1536,600,476,-3812,-115088,-22428,-92660,3240,11550,5936
2017:Q4,76766,78084,-18215,3524,10564,-2308,-4967,6048,-10983,-32,-3876,17068,28,-38248,-81591,-79919,-84241,6255,-90496,-36488,-36928,440,-616,18096,23330,43144,-19814,-1672,-64694,2812
2018:Q1,82208,81034,-24095,-5164,-15492,3896,-19073,4378,-956,-22495,9568,8212,0,-6043,-42551,-48831,-466,-12750,12284,6764,7104,-340,-1088,-2652,-51389,-12232,-39157,6280,-17283,-1816
2018:Q2,66287,81332,-37069,-14900,-44692,-5804,-2091,11373,-8458,-5006,1268,-11560,-20,40730,6343,-5625,79133,981,78152,-6640,-6412,-228,-924,-4108,-73086,-11196,-61890,11968,28367,3632
2018:Q3,90783,81771,21059,5952,17852,5592,-14033,9759,-19101,-4691,240,15004,-520,-9028,3027,-6441,103085,-8999,112084,-16056,-6816,-9240,488,-3500,-90458,-1216,-89242,9468,-9021,1152
2018:Q4,80220,82740,62618,-3280,-9836,-21724,11017,13858,-7269,4428,1316,7972,-68,77221,-26062,-39162,-5531,-9411,3880,14260,15436,-1176,32,608,-48531,-18888,-29643,13100,-91200,-372
2019:Q1,103628,82206,12973,-2248,-6752,-13864,31833,17624,13965,245,-14772,30752,0,-11976,-9227,-8051,-73281,6935,-80216,12116,12144,-28,-2420,812,54722,-1960,56682,-1176,-778,-3964
2019:Q2,106205,83297,24693,-784,-2348,-11036,833,-3050,-3349,7232,652,18636,0,18740,-24155,-30935,-64116,-4068,-60048,-4668,-4660,-8,-864,208,38505,-10624,49129,6780,-25941,-4904
2019:Q3,112838,82346,11745,-2820,-8460,10440,-17193,-22104,1186,3725,-8568,38452,64,-170,-2443,-8671,29341,-13619,42960,13900,12824,1076,-696,-1668,-49549,-3844,-45705,6228,16304,564
2019:Q4,105664,80506,-68595,-2212,-6632,12504,-33584,-33969,-1869,2254,3100,-18156,24,-23638,-48615,-84363,-67096,6464,-73560,2420,2040,380,2520,1392,-23599,-5468,-18131,35748,45138,-1276
2020:Q1,87666,61400,191149,16940,50820,7428,16033,51502,-16239,-19230,-6176,36664,-20,69459,196049,197645,100775,-2373,103148,27736,27920,-184,-2112,280,70966,-8368,79334,-1596,31166,-10012
2020:Q2,96150,55272,-17850,17056,51164,16364,-100210,-112154,-10890,22834,4040,-25772,-60,19568,4422,2574,-46914,-49170,2256,25884,27328,-1444,-1200,564,24240,-15008,39248,1848,63150,-21300
2020:Q3,120133,60266,-45237,-14924,-44768,5884,35835,5320,-14592,45107,-4560,8092,48,-30843,-88293,-95961,-119274,-22394,-96880,32616,32068,548,-108,-648,-8547,-15160,6613,7668,16811,-6244
2020:Q4,102314,62246,-50,-2388,-7164,9204,8722,-10376,13121,5977,-664,-1392,-52,-6316,-17394,-20514,-15275,-12867,-2408,12872,13776,-904,-1812,12,-16311,18584,-34895,3120,22724,-180
