1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q3,18458,-2622,2095,544,1362,113,40,-84,121,637,5355,21080,21081,6047,11986,78,1820,58,1091,0,0,0,1126648
1975:Q4,21257,-1671,2548,547,1361,120,68,-68,519,1387,5606,22928,22928,10662,12931,109,1816,66,-2656,0,0,0,1147906
1976:Q1,20452,-5118,2550,803,1721,119,-411,24,294,958,8626,25568,25570,5438,18048,109,3207,30,-1262,0,0,2,1168358
1976:Q2,42832,-4308,2703,937,1734,122,-365,47,228,2046,9057,47168,47166,19490,21228,102,2578,130,3638,0,0,-27,1211190
1976:Q3,28749,-2297,3500,874,1804,121,-311,28,984,3006,8804,31047,31045,12300,21099,68,3032,117,-5570,0,0,0,1239939
1976:Q4,38097,-1520,2651,1324,1880,125,-287,-47,-343,4247,8418,39617,39632,13887,21556,54,3440,94,603,0,14,0,1278036
1977:Q1,35039,-6913,3299,1339,1789,101,-120,66,125,2452,12664,41951,41953,16821,20465,63,3420,73,1112,0,0,0,1313075
1977:Q2,33240,-3894,5455,1860,2003,142,-148,-22,1620,3915,13264,37183,37182,19563,17112,62,3248,114,-2916,0,0,-49,1346314
1977:Q3,44441,-532,5814,1974,2092,168,-81,-69,1730,4819,11164,44973,44972,23726,18173,89,3491,122,-628,0,0,0,1390756
1977:Q4,51309,2982,7178,2087,2066,186,248,-73,2664,6072,10268,48327,48336,22865,17734,121,3703,112,3801,0,10,0,1442065
1978:Q1,61970,-3041,5123,2110,2162,168,71,60,553,4754,12918,65011,65011,21034,29918,110,3766,273,9911,0,0,0,1504035
1978:Q2,57563,-6207,6821,2676,2545,183,617,78,722,5294,18322,63769,63770,23373,31437,145,4056,144,4616,0,0,0,1561598
1978:Q3,53872,-3289,9205,3126,2970,177,692,91,2150,5554,18048,57160,57160,22189,29119,189,4384,124,1155,0,0,0,1615470
1978:Q4,58248,-2387,8467,3556,3488,187,693,93,450,6191,17045,60635,60649,21211,29042,208,4578,89,5522,0,14,0,1673717
1979:Q1,75378,-1375,10210,3767,3630,195,971,175,1472,5545,17130,76751,76752,21579,34892,193,5654,86,14348,0,0,1,1749095
1979:Q2,65588,-12093,10502,4070,4051,216,663,173,1330,5759,28355,77768,77766,34198,35765,113,5910,188,1593,0,0,-86,1814683
1979:Q3,67748,-7723,11467,4264,4489,236,636,164,1678,5013,24204,75636,75637,34291,36487,88,5934,126,-1289,0,0,-164,1882432
1979:Q4,60307,-7857,9558,4034,4557,230,322,146,271,4869,22284,68164,68188,26957,34050,182,6552,187,261,0,24,-0,1942739
1980:Q1,51265,-12452,8078,3509,4624,225,-554,175,98,1337,21867,63832,63832,33509,25245,233,7130,157,-2442,0,0,-115,1994004
1980:Q2,57533,-16092,4543,2036,4319,183,-1232,159,-921,575,21211,73653,73654,31534,29134,288,7617,201,4880,0,0,-27,2051537
1980:Q3,64518,-13026,2410,2193,4549,190,-1291,154,-3386,3164,18600,77545,77544,32499,31617,259,7320,269,5582,0,0,0,2116056
1980:Q4,72338,-2426,5837,2840,5455,200,-1342,176,-1491,8591,16855,74764,74868,33295,34257,190,6140,174,813,0,104,0,2188394
1981:Q1,51892,-11,10322,3323,5392,206,-1043,177,2267,7660,17993,51903,51903,28599,17118,273,7908,271,-2264,0,0,0,2240286
1981:Q2,41756,-211,11137,2955,6508,183,-1049,214,2327,7873,19221,41967,41966,20107,12971,297,7910,81,600,0,0,0,2282042
1981:Q3,28116,5141,12199,2052,7331,180,-1037,241,3431,8293,15351,22975,22974,17351,7965,284,6486,163,-9273,0,0,0,2310158
1981:Q4,36902,4038,10508,948,8566,156,-1380,311,1906,9013,15483,32865,32950,21425,9159,183,6778,188,-4783,0,84,0,2347061
1982:Q1,31492,-10168,7350,790,7748,127,-2220,42,865,1770,19288,41659,41659,25274,5190,278,5001,60,5857,0,0,0,2378552
1982:Q2,11244,-20034,5934,286,7489,126,-2918,46,905,2278,28246,31278,31277,28036,-6335,250,6389,172,2765,0,0,0,2389796
1982:Q3,-5097,-16685,5750,63,6664,117,-3288,142,2052,3618,26053,11589,11589,18758,-4051,125,5363,231,-8836,0,0,0,2384700
1982:Q4,3820,-11053,3861,381,5895,122,-3443,349,557,4071,18985,15167,14907,14029,-5771,82,5224,215,1129,0,-261,-295,2388519
1983:Q1,22725,-11840,1438,1444,5578,155,-3568,-149,-2023,6523,19802,34566,34566,17578,4503,48,3529,167,8742,0,0,0,2411245
1983:Q2,-4668,-15020,1033,2236,4635,179,-3174,94,-2936,5990,22043,10351,10351,11070,-2347,25,3031,119,-1547,0,0,0,2406576
1983:Q3,9615,-15692,-1970,2959,4509,218,-2829,337,-7163,7291,21012,25587,25586,17943,4340,122,2992,150,39,0,0,-280,2416191
1983:Q4,31046,-9325,4623,3295,4528,235,-2341,549,-1643,9107,23054,40370,40369,22891,10209,159,4036,82,2993,0,0,0,2447237
1984:Q1,6899,-7057,9412,3388,5023,251,-1307,17,2041,13070,29539,13961,13960,22721,-15167,-21,2361,90,3974,0,0,-5,2454136
1984:Q2,-10016,-19440,10449,3505,5424,270,-1012,247,2015,4870,34760,9424,9425,21583,-12413,35,2694,204,-2677,0,0,0,2444119
1984:Q3,-4216,-18810,11294,3421,5688,263,-859,468,2313,4273,34376,14594,14595,28563,-11518,-119,2440,215,-4987,0,0,0,2439903
1984:Q4,5340,-15171,11173,3479,5791,266,-685,674,1650,4324,30669,20512,20510,26121,-11038,59,2765,26,2579,0,0,0,2445243
1985:Q1,3665,-10739,12234,3679,5922,284,255,165,1930,8017,30990,14405,14407,26016,-11681,26,355,189,-498,0,0,0,2448909
1985:Q2,-14700,-16339,11599,3761,5777,292,244,338,1188,8203,36141,1639,1639,17660,-10445,-125,1116,72,-6638,0,0,0,2434208
1985:Q3,12159,-8528,12057,3988,5598,293,33,508,1638,8874,29459,20891,20891,29929,-5831,-137,1889,136,-5095,0,0,-203,2446368
1985:Q4,63093,16515,13028,4266,5909,318,477,702,1357,8803,5316,46782,46780,40395,-1703,63,2891,49,5086,0,0,-204,2509461
1986:Q1,35872,-3568,11458,4456,6221,331,-804,322,934,7313,22339,17318,17319,28402,-7832,5,1168,84,-4509,0,0,22122,2545332
1986:Q2,19825,-1170,10099,5156,5276,333,-540,447,-572,8189,19459,20996,20996,24010,-2923,202,3546,-15,-3823,0,0,0,2565157
1986:Q3,34166,442,9586,5413,4671,344,-645,574,-770,7508,16652,33724,33724,30559,555,74,3966,111,-1540,0,0,0,2599323
1986:Q4,27268,-4366,9447,5542,4153,345,-758,712,-547,3074,16886,31633,31634,28713,118,47,3193,171,-607,0,0,-0,2626591
1987:Q1,29381,-7577,8408,5117,4439,332,-308,151,-1324,-327,15658,36958,36958,18020,11349,112,1850,208,5419,0,0,0,2655972
1987:Q2,19033,-9473,7555,4929,4096,329,4,331,-2134,-4106,12923,28507,28508,13865,12341,73,644,339,1246,0,0,0,2675005
1987:Q3,20346,-6353,9325,4265,4426,351,449,689,-855,-3047,12631,26699,26697,16178,10042,112,370,383,-387,0,0,0,2695351
1987:Q4,34321,-2503,10693,3434,5029,339,595,1239,58,2057,15253,43456,43265,18277,17832,-122,3966,349,2963,0,-189,-6632,2729672
1988:Q1,44094,-6164,8308,3911,4800,398,-509,470,-762,12901,27372,50258,50259,20568,20347,-15,3945,513,4901,0,0,0,2773767
1988:Q2,35041,-4766,8357,3065,5639,346,618,1114,-2425,15247,28371,39807,39806,20088,13366,176,2143,174,3860,0,0,0,2808808
1988:Q3,29994,-7730,8881,2536,5826,289,957,1503,-2229,13249,29861,37724,37725,19252,12717,8,1498,193,4057,0,0,0,2838802
1988:Q4,37109,-10461,7201,2538,5841,288,902,1681,-4047,9544,27206,47570,47569,22987,16802,205,4778,95,2703,0,0,0,2875911
1989:Q1,41186,-563,13031,2887,5858,302,752,1028,2205,5516,19110,41609,41609,18854,16971,-15,2549,401,2849,0,0,140,2917096
1989:Q2,36551,-9430,11035,2991,5548,303,-17,1055,1155,1290,21755,45981,45982,26826,17433,-44,2760,317,-1309,0,0,0,2953647
1989:Q3,15119,-11174,8777,3195,5315,275,-121,1211,-1097,-199,19752,27251,27251,10911,15130,181,4096,454,-3521,0,0,-958,2968766
1989:Q4,30152,-7723,7747,3130,4270,280,-648,1512,-796,1430,16900,38627,38628,15382,15186,82,3392,106,4479,0,1,-752,2998918
1990:Q1,19805,5496,8278,3421,3316,269,-23,705,590,1522,4304,14435,14434,13033,-3686,-80,2565,305,2297,0,0,-125,3018723
1990:Q2,29626,5130,5307,2904,2019,223,-903,932,131,-355,-178,25709,25710,26951,-3855,71,2413,489,-358,0,0,-1213,3048349
1990:Q3,32519,8598,4677,2154,1302,188,-1357,1221,1170,1580,-2340,23921,23921,19165,808,5,2859,518,567,0,0,0,3080868
1990:Q4,12039,8202,3517,1254,1164,162,-1738,1699,976,-963,-5648,3838,3836,-929,890,97,3646,217,-84,0,-1,0,3092908
1991:Q1,-12387,4442,860,678,1903,167,-2178,501,-210,107,-3475,-16829,-16830,-17148,-7750,-152,5078,788,2354,0,0,0,3080520
1991:Q2,2353,4251,329,503,1782,182,-2742,1012,-407,4649,728,-1898,-1899,9945,-7562,-163,1795,439,-6351,0,0,0,3082873
1991:Q3,-9226,11572,-2672,405,1161,161,-3369,1299,-2329,-571,-14815,-20798,-20796,12084,-30962,462,1925,273,-4578,0,0,0,3073647
1991:Q4,-23744,10420,1307,261,901,119,-3429,1630,1825,3859,-5254,-33820,-33819,-4579,-29630,-411,2938,-137,-2000,0,1,-343,3049904
1992:Q1,-14357,8957,67,218,990,165,-3776,748,1722,8290,-599,-23313,-23312,-17259,-16689,78,5608,-107,5058,0,0,0,3035547
1992:Q2,-6056,8145,1044,439,889,169,-3807,981,2373,5435,-1666,-14200,-14201,529,-15826,23,3385,441,-2752,0,0,0,3029491
1992:Q3,10050,14858,698,535,950,170,-3570,1200,1412,8955,-5205,-709,-709,14749,-19061,85,3599,372,-453,0,0,-4098,3039542
1992:Q4,-10460,2689,741,1094,926,176,-3552,1241,856,3968,2020,-13149,-13138,3100,-19150,-160,2373,532,168,0,11,0,3029082
1993:Q1,36598,16454,1454,978,1301,172,-1301,991,-686,7225,-7775,20612,20611,10686,1013,-34,2735,-25,6236,0,0,-468,3065680
1993:Q2,35118,8125,659,1326,864,174,-1813,806,-697,5725,-1742,26993,26993,25771,437,276,2892,420,-2803,0,0,0,3100798
1993:Q3,46961,10645,-209,1663,910,181,-1253,879,-2588,5708,-5146,36784,36785,28397,7509,135,2205,82,-1542,0,0,-468,3147759
1993:Q4,39890,11212,3562,1863,1457,154,-719,937,-130,7490,-160,27229,27231,15815,7227,83,2687,783,635,0,0,1450,3187650
1994:Q1,57307,14375,6924,1498,1470,139,-983,622,4179,11325,3874,50633,50632,28116,15524,116,5139,431,1306,0,0,-7701,3244957
1994:Q2,68361,17227,8711,1622,2037,167,-658,731,4812,19684,11168,51135,51136,39307,15492,219,4419,356,-8657,0,0,0,3313318
1994:Q3,49705,11081,7342,1730,1976,155,-410,841,3051,15891,12152,38623,38622,22752,15010,193,2868,507,-2707,0,0,0,3363023
1994:Q4,48875,9124,6519,2212,1604,164,-176,868,1848,15545,12940,39751,39633,19056,15676,-53,1199,751,3005,0,-118,0,3411898
1995:Q1,36541,11668,6902,3464,1964,183,858,688,-254,23120,18355,24873,24875,8545,10055,36,2217,1224,2798,0,0,0,3448439
1995:Q2,41170,5080,4279,3673,1558,145,512,724,-2333,16724,15923,36090,36089,25887,6732,-48,4169,360,-1010,0,0,0,3489609
1995:Q3,58270,2432,2327,4223,1143,146,118,798,-4100,19244,19139,55838,55840,37955,14727,-10,2792,704,-327,0,0,0,3547879
1995:Q4,45243,2841,6056,4180,921,123,531,939,-637,17156,20371,42867,42867,22189,16164,38,2065,-153,2564,0,0,-465,3593122
1996:Q1,29755,-3010,7453,4057,721,132,1610,590,344,20324,30787,32765,32766,23125,10032,129,-188,531,-862,0,0,0,3622877
1996:Q2,40192,1764,9926,4019,482,141,1600,695,2989,28522,36684,38428,38427,25544,8031,-118,-194,563,4601,0,0,0,3663069
1996:Q3,32722,-595,11495,3807,595,104,1739,839,4411,21855,33945,33317,33317,34352,-2679,195,2106,246,-902,0,0,0,3695790
1996:Q4,84752,-1478,9924,3635,1600,110,1933,1112,1534,24036,35438,86230,86231,-25,60166,172,1367,-36,24587,0,0,0,3780543
1997:Q1,93832,-8068,8605,4327,1009,125,1691,497,956,29805,46478,101899,101901,17242,82601,153,195,794,916,0,0,0,3874374
1997:Q2,70669,-6972,10704,4500,1473,100,1888,680,2063,34835,52510,77641,77641,67288,11932,-359,239,507,-1966,0,0,0,3945043
1997:Q3,83669,-5882,13151,4440,1891,82,2486,1108,3143,29694,48727,89551,89551,49295,41543,-153,963,460,-2556,0,0,0,4028712
1997:Q4,128677,42,12409,4117,1472,61,2371,1778,2609,36682,49049,128635,128628,28143,103346,-108,572,-28,-3297,0,-7,0,4157389
1998:Q1,45700,-9389,12565,3592,2985,149,1978,446,3416,51726,73680,55089,55088,34980,26060,138,-814,494,-5769,0,0,0,4203089
1998:Q2,92150,-15130,9620,3614,3057,170,1865,1082,-167,54034,78784,107280,107280,57894,53986,-272,1103,-198,-5233,0,0,0,4295239
1998:Q3,57565,-3120,12953,3899,3155,179,2473,1998,1249,63117,79190,60685,60685,58292,7468,87,1478,125,-6766,0,0,0,4352804
1998:Q4,24654,-10969,12795,4415,2539,180,1119,2471,2073,53747,77511,35622,35622,5163,29238,-221,2889,1376,-2823,0,0,0,4377457
1999:Q1,-41214,-7704,14502,4828,3882,271,2257,480,2784,45835,68040,-33511,-33511,-5256,-31638,-232,2788,901,-74,0,0,0,4336243
1999:Q2,86418,-22593,14122,5431,3811,283,2431,1373,794,39792,76507,109011,109012,99286,8556,-238,1118,1097,-807,0,0,0,4422662
1999:Q3,165977,-18079,13569,5687,3675,301,2435,2299,-827,49882,81530,184888,184888,115447,67370,43,691,242,1096,0,0,-831,4588639
1999:Q4,54180,-22856,15962,5761,3634,286,2087,3323,871,49538,88355,77035,77036,38141,31992,16,2288,1513,3085,0,0,0,4642819
2000:Q1,-34202,-6876,11278,5796,4529,365,2652,978,-3041,64117,82271,-27326,-27327,16192,-54102,-83,3330,1287,6049,0,0,0,4608616
2000:Q2,167539,-8724,19512,5536,4926,347,3318,2034,3352,70150,98386,176262,176263,76066,100477,196,2237,922,-3634,0,0,0,4776155
2000:Q3,186366,6197,17365,5130,5116,324,3008,2613,1175,58347,69515,180170,180170,80980,99271,-79,2599,828,-3429,0,0,0,4962521
2000:Q4,79484,-11938,18635,4907,5083,325,2650,2929,2742,54144,84717,91422,91422,42421,40452,-44,1285,621,6686,0,0,0,5042006
2001:Q1,42292,4589,13410,3900,4221,340,2960,1738,251,41302,50123,37703,37701,36042,-2398,158,659,467,2774,0,0,0,5084297
2001:Q2,109253,-4742,10957,4286,4103,307,1477,1655,-871,43233,58932,114410,114409,96515,16063,-228,3301,339,-1581,0,0,-415,5193550
2001:Q3,76181,-5255,12730,4966,4961,305,1251,1701,-454,32793,50778,81678,81679,69231,18052,36,297,-1347,-4589,0,0,-243,5269731
2001:Q4,-51146,-8707,10221,4980,4491,328,1785,1579,-2941,39557,58485,-42439,-42438,24857,-69376,-64,4018,839,-2713,0,1,0,5218585
2002:Q1,50632,-47034,-17843,-14508,-820,350,-5514,1890,759,17803,46993,97665,97664,46934,42013,-57,9468,-482,-212,0,0,-0,5269216
2002:Q2,68422,-8302,24944,14021,5604,339,4785,1542,-1347,20364,53610,76724,76723,99351,-22564,-292,340,401,-513,0,0,0,5337638
2002:Q3,100565,-5494,27022,18236,6998,300,-221,1561,149,17924,50440,106059,106060,77997,22307,-205,1990,967,3004,0,0,0,5438203
2002:Q4,-141334,-10658,18785,3954,4377,298,7913,1516,727,22557,52000,115984,115966,51862,62207,-69,-3922,71,5818,0,-19,-246660,5296870
2003:Q1,117334,-24623,-18110,-16992,-2292,308,-1765,1415,1216,12108,18621,141958,141956,57887,79467,-409,4418,226,367,0,0,0,5414204
2003:Q2,141073,24854,29381,16687,4262,345,6776,1736,-425,12075,16601,116218,116218,119013,93,-564,-3318,867,126,1,0,0,5555276
2003:Q3,115691,24861,28524,23254,6359,409,-3099,1431,170,12085,15748,90829,90828,96628,-22203,-95,4884,1042,10572,0,0,0,5670967
2003:Q4,81980,8107,16292,5617,4037,422,4741,877,598,12062,20247,73873,73869,27724,44233,-320,740,768,723,1,-2,0,5752947
2004:Q1,175253,-29943,-17656,-18705,-2646,502,-465,1626,2032,82172,94460,205196,205195,55808,136183,-128,8344,1054,3934,0,0,0,5928200
2004:Q2,346612,32234,35060,20116,3194,509,4960,989,5292,82142,84968,314378,314377,184075,120902,-93,6369,1188,1937,0,0,0,6274812
2004:Q3,356064,31711,35033,26848,6185,498,-2127,520,3108,82174,85496,330945,330944,177740,152580,-279,7687,748,-7531,0,0,-6592,6630876
2004:Q4,136215,11011,18577,4658,4408,506,6277,-50,2779,82182,89748,125205,125197,86195,36430,45,3010,1056,-1539,0,-6,0,6767092
2005:Q1,158063,-58720,-26004,-22402,-4234,530,-3483,1989,1595,97933,130648,216782,216784,93351,100986,817,17324,1737,2569,-1,0,0,6925155
2005:Q2,296619,787,37755,22824,3469,543,8453,1521,945,97962,134930,295831,295832,227744,67924,318,1599,1808,-3561,-1,0,0,7221773
2005:Q3,344737,3121,39516,30524,6385,514,170,823,1101,98043,134438,364409,364411,230185,125768,81,3552,1022,3803,-1,0,-22793,7566510
2005:Q4,187993,-15208,26268,5984,7015,530,9517,474,2748,98081,139557,204867,204893,99902,105990,-132,-4518,1115,2536,0,25,-1666,7754503
2006:Q1,64505,-50517,-20039,-22327,-1735,594,-762,1423,2769,113643,144121,116036,116060,24754,86952,276,10637,1366,-7924,0,23,-1014,7819008
2006:Q2,226967,9506,42784,23592,7037,520,9680,1336,621,113692,146970,217461,217457,91138,126041,-214,-1272,637,1127,1,0,0,8045975
2006:Q3,215622,9331,39742,26009,10369,490,417,1436,1021,113684,144095,206291,206289,101182,86581,272,11301,713,6239,0,-1,0,8261597
2006:Q4,116886,-14172,19271,1254,8715,438,6616,1699,549,113704,147147,131058,131044,47244,76808,320,5388,1555,-271,-1,-14,0,8378483
2007:Q1,17964,-65046,-25094,-21738,465,451,-6995,769,1955,107763,147716,82802,82793,-44585,94875,-179,18331,2437,11913,2,-5,208,8396447
2007:Q2,137061,-543,38280,19219,10024,406,6841,1352,438,107746,146569,137316,137313,-2340,132429,16,5009,1365,834,0,0,289,8533508
2007:Q3,45302,120,38863,21172,14058,376,821,1499,938,107757,146501,44752,44752,-41871,76899,-160,6252,839,2793,1,0,431,8578810
2007:Q4,-151395,-14279,26946,375,14245,335,9368,1805,818,107709,148933,-137752,-137711,-132075,-6032,-192,-5655,1309,4934,1,40,635,8427415
2008:Q1,-493418,-138120,-20928,-16216,4281,354,-6685,-759,-1905,7486,124678,-356306,-356297,-155829,-226731,-284,11746,2260,12542,0,10,1008,7933997
2008:Q2,-101440,-78136,26802,12456,12076,350,1797,57,66,7414,112352,-24890,-24874,-72755,29732,-346,1265,1348,15882,-1,16,1586,7832556
2008:Q3,-271958,-74376,26667,12434,16324,282,-3874,1210,292,7329,108373,-195105,-195109,-125567,-76161,669,13296,1322,-8668,0,-3,-2476,7560599
