1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018:Q2,212344,7407,35919,21465,14243,1129,-2544,2679,-1053,77315,105827,204611,204921,180500,19572,1897,6331,977,-4357,-304,7,326,11229210
2018:Q3,147391,5748,35186,20759,15544,1097,-8202,3773,2216,77916,107354,151076,152027,122600,17586,1098,16218,129,-5603,-939,12,-9434,11376600
2018:Q4,-37996,7375,36064,3725,12834,1046,11836,4981,1642,75526,104215,-42102,-43532,-4579,-37584,881,-6554,259,4045,1454,23,-3269,11338604
2019:Q1,234581,-42025,-32794,-18273,1792,952,-21142,2801,1077,30525,39756,276334,274970,78543,160599,273,29665,1762,4129,1247,-117,272,11573185
2019:Q2,395207,34275,47170,20129,16223,941,4762,5101,14,29936,42831,360683,358869,197115,166396,-527,3252,2203,-9570,1831,16,249,11968393
2019:Q3,120379,33785,45741,21404,21750,954,-5200,6830,2,30421,42377,86372,85008,110594,-27065,-797,10952,122,-8797,1316,-49,223,12088772
2019:Q4,71958,29549,39130,5372,18106,905,8318,7266,-835,32854,42435,42183,43343,65693,-26003,-1433,-4955,-538,10578,-1163,-2,226,12160730
2020:Q1,127720,-62164,-30737,-17792,8995,705,-21111,1915,-3448,208589,240016,189700,183805,88589,71288,357,31833,3158,-11419,5930,33,183,12288450
2020:Q2,136043,26042,20089,18013,16485,692,-6790,4824,-13135,335654,329701,109872,110350,173303,-78645,1159,10641,3960,-68,-516,-37,129,12424493
2020:Q3,431360,38756,38302,26106,16810,1217,-11679,3367,2480,245840,245386,392456,393082,282264,90185,3329,13050,1106,3149,-586,42,148,12855853
2020:Q4,364539,17448,36425,10966,10822,1230,6563,4727,2117,244100,263077,346985,348131,204491,140472,2588,-7596,5433,2744,-1283,-135,106,13220392
2021:Q1,330883,-92524,-38843,-21082,4615,1387,-24421,1963,-1303,151983,205664,423325,427700,281247,82503,-180,44243,1867,18020,-4404,-29,82,13551275
2021:Q2,763022,4648,37512,29503,13644,1562,-5080,4381,-6497,179608,212472,776896,775709,591314,155223,1440,7969,2403,17361,1000,-187,-18523,14314297
2021:Q3,772086,8403,46741,32907,16310,1405,-10215,6701,-367,167770,206109,775556,776138,390222,345716,3003,30723,2139,4336,-577,6,-11872,15086383
2021:Q4,513485,-44079,47141,11308,12912,1406,6593,5797,9126,203699,294919,557480,557752,309058,222014,1901,18000,2463,4316,-206,65,84,15599868
2022:Q1,428935,-82866,-36505,-19207,-190,1412,-30474,4814,7140,108241,154602,511745,516657,502712,-49122,1907,51991,5491,3678,-4945,-34,56,16028803
2022:Q2,610899,-17972,50192,32167,14063,1331,-5457,6302,1786,81708,149873,628808,632048,563771,34663,-338,25511,4324,4117,-3266,-26,63,16639702
2022:Q3,-17213,21123,47636,28835,19776,1203,-8547,6274,96,67972,94485,-25125,-21112,-161397,119810,-2191,21640,2619,-1594,-3994,20,-13211,16622488
2022:Q4,-379443,-5014,40313,2267,17629,1028,8655,6030,4703,93342,138669,-374490,-374816,-441826,57679,-999,4609,1835,3887,366,40,60,16243045
2023:Q1,-329492,-73800,-36809,-27506,7846,1262,-25810,7583,-185,59287,96278,-255749,-257692,-290825,6190,-1924,13431,9255,6182,1923,-20,57,15913553
2023:Q2,246062,28644,44067,17231,21446,1105,-3859,7126,1019,49544,64967,217362,218651,91740,148487,-3708,-29329,8978,2482,-1399,-110,56,16159615
2023:Q3,-56349,30200,48587,18231,28007,846,-10220,7151,4572,23925,42312,-86651,-83511,16828,-91405,-1376,-15912,7506,849,-3102,38,102,16103267
2023:Q4,-467390,3989,43306,-2388,25458,419,9528,7743,2546,2702,42019,-471447,-475890,-140874,-298464,-1185,-37787,9632,-7213,4319,-124,68,15635876
2024:Q1,-106509,-77356,-36188,-29653,9646,617,-26337,8517,1023,31182,72350,-29221,-28188,-33413,-8221,493,3808,7896,1249,-1032,0,68,15529367
