date,FU344090055.Q,FU344022025.Q,FU343061113.Q,FU343061723.Q,FU343063023.Q,FU343069055.Q,FU343064125.Q,FU344090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
2014:Q3,7144,-19,-7,-6,-6,5309,1854,7144
2014:Q4,4831,1399,456,233,710,7531,-4099,4831
2015:Q1,3449,402,145,128,129,1313,1734,3449
2015:Q2,3060,313,113,99,101,3590,-843,3060
2015:Q3,4056,-367,-133,-116,-118,3743,680,4056
2015:Q4,8387,1071,400,27,644,7015,301,8387
2016:Q1,3470,242,88,75,79,6038,-2810,3470
2016:Q2,1650,657,239,201,217,3121,-2128,1650
2016:Q3,4033,850,309,259,282,4787,-1604,4033
2016:Q4,3242,-274,28,-392,90,1428,2088,3242
2017:Q1,3578,133,48,40,45,1955,1490,3578
2017:Q2,3437,242,88,72,82,1501,1694,3437
2017:Q3,3584,926,337,277,312,4215,-1557,3584
2017:Q4,-2368,529,480,39,10,-9552,6655,-2368
2018:Q1,5893,-350,-130,-103,-117,6077,166,5893
2018:Q2,9425,41,15,12,14,10404,-1020,9425
2018:Q3,7460,211,78,62,71,8576,-1327,7460
2018:Q4,-11013,128,128,-298,298,7876,-19017,-11013
2019:Q1,3466,859,326,248,285,2046,561,3466
2019:Q2,3535,1053,399,304,350,4873,-2391,3535
2019:Q3,3849,1105,419,319,367,6179,-3435,3849
2019:Q4,-12742,1061,843,322,-104,-15690,1887,-12742
2020:Q1,2245,-1725,-668,-489,-568,16671,-12701,2245
2020:Q2,18424,2276,881,645,750,10716,5432,18424
2020:Q3,5760,2234,865,633,736,8944,-5418,5760
2020:Q4,-1529,2038,965,739,334,5630,-9197,-1529
