1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,604,74,508,22,604,169,3,0,2,0,180,0,3,0,237,9,3,0,0,-2,0
1957:Q1,518,17,499,2,518,165,4,0,1,0,115,0,4,0,222,9,4,0,0,-6,0
1957:Q2,473,45,65,363,473,131,5,0,14,0,121,0,5,0,187,9,3,0,0,-2,0
1957:Q3,684,200,96,388,684,224,5,0,0,0,233,0,5,0,204,8,5,0,0,0,0
1957:Q4,781,133,599,49,781,240,4,0,4,0,229,0,4,0,284,11,5,0,0,0,0
1958:Q1,553,322,272,-41,553,159,4,0,-1,0,173,0,4,0,196,9,6,0,0,3,0
1958:Q2,684,279,198,207,684,209,4,0,1,0,313,0,4,0,134,10,5,0,0,4,0
1958:Q3,708,73,236,399,708,205,4,0,-1,0,278,0,4,0,199,10,6,0,0,3,0
1958:Q4,1018,-58,928,148,1018,290,3,0,-1,0,415,0,3,-1,285,13,7,0,0,4,0
1959:Q1,553,244,-5,314,553,169,1,0,-3,0,284,0,1,0,77,14,6,0,0,4,0
1959:Q2,804,162,-7,649,804,248,0,0,-1,0,454,0,0,-2,85,16,6,0,0,-2,0
1959:Q3,771,102,-23,692,771,238,0,0,-2,0,298,0,0,-3,213,17,7,0,0,3,0
1959:Q4,945,-9,780,174,945,286,0,0,-1,0,364,0,0,-9,272,19,11,0,0,3,0
1960:Q1,671,439,-79,311,671,191,1,0,-1,0,251,0,1,-1,198,19,11,0,0,1,0
1960:Q2,769,133,74,562,769,208,1,0,-1,0,306,0,1,0,220,22,14,0,0,-2,0
1960:Q3,863,138,195,531,863,239,1,0,0,0,355,0,1,2,226,22,15,0,0,2,0
1960:Q4,876,128,489,259,876,244,0,0,0,0,315,0,0,2,280,21,15,0,0,-1,0
1961:Q1,714,121,-118,711,714,165,2,0,5,0,310,0,2,4,193,18,14,1,0,0,0
1961:Q2,1052,125,246,681,1052,275,2,0,3,0,442,0,2,3,288,17,15,2,0,3,0
1961:Q3,912,146,176,591,912,243,2,0,1,0,390,0,2,1,235,16,13,1,0,8,0
1961:Q4,1318,143,921,254,1318,436,3,0,2,0,587,0,3,-2,246,19,14,0,0,10,0
1962:Q1,971,141,298,532,971,-32,5,0,1,0,704,0,5,-1,256,21,13,1,0,-2,0
1962:Q2,1210,166,369,675,1210,87,6,0,1,0,841,0,6,-4,228,23,12,1,0,9,0
1962:Q3,1149,161,440,548,1149,36,6,0,2,0,752,0,6,-6,312,22,10,1,0,8,0
1962:Q4,1473,128,998,347,1473,58,4,0,2,0,799,0,4,-10,577,23,13,1,0,2,0
1963:Q1,942,203,344,395,942,-82,2,0,3,0,671,0,2,-3,313,23,12,1,0,0,0
1963:Q2,1344,107,501,736,1344,-10,0,0,2,0,958,0,0,-3,355,21,11,1,0,9,0
1963:Q3,1343,126,563,654,1343,-51,0,0,4,0,920,0,0,-2,419,24,13,3,0,13,0
1963:Q4,1469,160,1011,298,1469,-43,4,0,4,0,845,0,4,-5,611,27,14,2,0,6,0
