date,FU156902505.A,FU156300003.A,FU156902605.A,FU156025005.A,FU156020001.A,FU156401001.A,FU156240101.A,FU156402101.A,FU156140005.A,FU156402101.A,FU156025105.A,FU156020101.A,FU156401101.A,FU156150105.A,FU156130101.A,FU156120105.A,FU156121101.A,FU156122101.A,FU156130001.A,FU156140005.A,FU156220001.A,FU156404105.A,FU156600001.A,FU156403101.A,FU156403001.A,FU156012095.A,FU156901001.A,FU156006005.A,FU156006315.A,FU156006005.A,FU155440005.A,FU155050905.A,FU155019005.A,FU155012005.A,FU165013005.A,FU156300003.A,FU155420003.A,FU155000905.A,FU155000905.A,FU154090005.A,FU154000005.A,FU153020005.A,FU153030005.A,FU153091003.A,FU313131003.A,FU154022005.A,FU153061105.A,FU153061705.A,FU153062005.A,FU153063005.A,FU154023005.A,FU154041005.A,FU153065005.A,FU153081005.A,FU153064105.A,FU153064205.A,FU153034005.A,FU152090205.A,FU153094305.A,FU153052005.A,FU153076005.A,FU153040005.A,FU153050005.A,FU153095105.A,FU313195105.A,FU163096005.A,FU154190005.A,FU163162003.A,FU154123005.A,FU154141005.A,FU153166000.A,FU153168005.A,FU153169005.A,FU153165005.A,FU543077073.A,FU163170005.A,FU155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010005.A,FR155035005.A,FR165015205.A,FR165013765.A,FR155111005.A,FR158080095.A,FR154022005.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052045.A,FR158200095.A,FC152090005.A,FL152000005.A,LM152010005.A,LM155035005.A,LM155111005.A,LM165015205.A,LM165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,LM153091003.A,FL153030005.A,FL313131003.A,LM154022005.A,LM153061105.A,LM153061705.A,LM153062005.A,LM153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,LM152090205.A,LM153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL153095105.A,FL313195105.A,FL163096005.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170005.A,FL152090005.A
2002,1344653,263007,1081646,489307,412261,77046,103290,489049,8418336,489049,6135115,4995844,1139272,2332094,1002378,1329715,401477,928239,537922,8418336,1052178,1251023,751496,34194,99340,7800539,7348941,451599,422537,451599,29062,303463,574797,473891,100906,263007,-8327,119074,119074,694516,277137,-23946,299822,1261,0,66428,-116847,-135511,95449,223337,-38649,-45366,6717,-220351,-175784,64948,-37123,-72392,0,605211,33622,65613,497235,8741,0,4740,796258,12569,765461,49768,105180,-20482,-34930,715693,904,17324,-101742,-127328,238878,8326,-153716,220816,1240869,1319749,-1437,-451,-76994,-1624738,85097,-1292802,-443610,397082,0,-370505,-383869,-88661,54941700,21314880,17569627,3526184,154827,64242,33626820,4119973,451615,49937,3618421,0,1738131,3874,280015,645697,808545,832222,724082,108140,13878219,4981172,2055460,1530305,5311282,0,12929078,354540,971245,11409075,178849,15369,129198,54941700,8868134,163897,8519749,2339013,1997008,17774,324231,6180736,20368,164120,46073566
2003,1408772,286561,1122211,518060,432730,85330,109504,494648,8721657,494648,6353606,5138269,1215337,2395410,1005661,1389750,431198,958552,522006,8721657,1003538,1320995,779283,26260,105450,8180642,7740750,439893,426390,439893,13503,353043,648068,541882,106186,286561,-8463,73347,73347,1184729,255690,-32174,284960,2904,0,-157841,3720,28815,26945,-217321,113872,110049,3823,288982,240338,181352,-166184,33476,0,679687,31908,72476,544259,11433,19611,4340,1074944,13806,1053640,173617,105925,31121,36571,880023,954,6544,109786,415970,240167,8465,130899,-36439,1271271,1362213,-3402,1212,-88750,2883252,8992,1388467,493566,423046,0,569181,4154523,4996883,61032388,23176466,19262487,3677601,167565,68813,37855922,4459295,444535,52841,3961919,0,1768693,81160,316702,678038,692793,946094,834131,111963,16409269,6546967,2730378,1364121,5767803,0,14139033,386448,1071080,12456243,190282,34980,133538,61032388,9961939,177703,9591577,2521130,2102932,57395,360803,7070447,21995,170664,51070450
2004,1489198,318285,1170912,545719,452185,93535,115732,509462,9222377,509462,6719488,5421014,1298474,2528254,940626,1587628,559365,1028263,534826,9222377,1048745,1404471,829240,16771,116624,8649011,8231960,417051,415590,417051,1461,427427,754439,643777,110662,318285,-8727,-11837,-11837,1155031,381651,-1049,373777,8923,0,153443,-15119,132507,149793,-113737,115056,106056,9000,-240777,-294441,137856,-124021,39829,0,736025,26794,40739,640572,10528,17392,9632,1123239,13186,1092168,157988,117186,-23847,64649,934180,1505,16380,31792,1265471,255586,-3313,969569,-43629,2598609,2633122,-211,665,-34968,2589786,-10451,1048487,312923,980900,0,257927,5188395,6869455,69050343,26439255,22284430,3898219,183824,72782,42611088,4854017,443486,61764,4348767,0,2680674,64140,425156,1603697,587681,1061150,940187,120963,18464811,7261613,3181157,1240100,6781941,0,15407266,413242,1129170,13611672,200810,52372,143170,69050343,11110438,201301,10698593,2679118,2220119,33548,425451,8019475,23500,187044,57939905
2005,1572801,356173,1216628,563571,466322,97249,122411,530646,9676653,530646,7066107,5691379,1374728,2689502,1082628,1606874,555028,1051845,609602,9676653,1212456,1490917,873347,25826,129349,8978244,8769066,209178,230953,209178,-21775,487401,852660,738814,113846,356173,-9086,-256447,-256447,1191210,378450,-87089,463456,2083,0,26692,-182625,38706,112253,58358,-5602,-11669,6067,75493,-58972,195731,21724,-82990,0,706305,51592,20553,600589,10555,23016,9872,1208447,14718,1177150,88029,100436,2191,-14598,1089121,875,15704,-17237,485833,253455,-41283,34451,-239210,2647317,2692856,-1870,1735,-45404,2223026,-36388,827405,29240,1094874,0,307895,4870344,5587130,75844841,29772985,25391914,4106270,197724,77077,46071856,5232750,356396,63847,4812507,0,2631976,-118249,453468,1707305,589452,1055548,928518,127030,20546005,8108687,3406128,1261824,7769366,0,16452535,464834,1159509,14544576,208228,75388,153042,75844841,12317806,216019,11875743,2767147,2320555,35739,410853,9108596,23296,202748,63527035
2006,1658926,389227,1269699,590999,490849,100151,132914,545786,10354472,545786,7479677,6056739,1422938,3022619,1216823,1805796,683580,1122216,693609,10354472,1356963,1593029,922538,20815,135629,9553186,9277236,275950,259232,275950,16719,448884,848268,723242,125027,389227,-10157,-189653,-189653,1134161,443913,-32451,470265,6099,0,-129039,-87452,-94402,59458,-6643,46393,65744,-19351,113725,-244925,201414,204106,-46870,0,651066,-9693,64694,563446,14538,18081,8104,1298995,16271,1265795,247686,120107,51181,76398,1018109,601,16328,-164834,697512,241195,10156,421342,-24819,612129,660780,-304,858,-49206,3245983,-29086,1715236,422503,670544,0,466786,3858112,4814855,81974258,31072858,26478946,4298259,215065,80588,50901400,5703664,318944,69946,5314774,0,2501544,-199683,339186,1766867,595174,1170793,1063114,107679,23876023,10009178,4010045,1465930,8390870,0,17488230,455141,1146454,15570400,222766,93469,161146,81974258,13632368,232290,13157105,3030887,2456716,86920,487251,10126218,23897,219076,68341890
2007,1749486,405841,1343645,616538,515712,100826,137456,589651,10883273,589651,7878475,6396392,1482083,3175512,1326607,1848905,780055,1068851,760365,10883273,1492489,1697335,961410,30759,147451,10010017,9746594,263424,256192,263424,7232,302973,720021,583532,136489,405841,-11207,-46781,-46781,1696272,451340,-97319,530883,17776,0,490222,-104481,472747,28753,93203,219279,234240,-14961,-119544,-838371,291241,501879,-74293,0,645080,3734,47809,555870,13883,23784,9896,948193,22706,907591,179177,150214,13281,15682,728414,1032,16864,748079,1298101,233331,11207,258703,-794861,-1016554,-960314,-1742,2303,-56801,1183902,-145062,726655,235462,127240,0,239607,167348,1721640,84615881,30589953,25797534,4474789,231681,85949,54025928,6149932,210626,87722,5851584,0,3013159,-316439,831857,1649587,848154,1390072,1297354,92718,24813401,9863725,4536748,1967809,8445119,0,18488322,458875,1206282,16449172,236649,137344,171042,84615881,14552350,254996,14036485,3212611,2609477,100201,502933,10823874,24929,235940,70063531
2008,1886888,406966,1479922,657914,549624,108290,145470,676539,11190207,676539,8056826,6534096,1522730,3209132,1347275,1861856,805670,1056186,752289,11190207,1507501,1919349,988358,35765,147904,10501557,10050084,451474,443976,451474,7498,158243,576000,425134,150867,406966,-10792,285733,285733,1156612,520067,310045,227852,-17830,0,903854,386253,200539,43732,273330,-124646,-140280,15634,-890148,-836777,-71155,390625,-372841,0,739981,19537,76319,607836,9787,26502,7504,64336,9639,26297,-61508,34313,18684,-114505,87805,3172,25228,1092276,964065,125280,2475,29767,-806543,-2748224,-2716389,1053,933,-33822,-7516704,-199533,-3205721,-1553894,-914251,0,-1643305,-10264928,-8856887,75696534,28114422,23199166,4566247,255136,93873,47582112,6634950,485671,69892,6079387,0,3632738,51771,1091119,1531518,958330,1265385,1157074,108311,18250845,5820897,2911699,2358434,7159815,0,17619649,477412,1199279,15532676,246436,163846,178546,75696534,14489891,264635,13935987,3151102,2643789,118885,388428,10784885,28101,261168,61206643
2009,1934941,397494,1537447,686412,565987,120425,154555,696481,10636058,696481,7759019,6249110,1509910,2869227,1274095,1595132,565642,1029490,688670,10636058,1152378,2107729,964272,39016,149997,10516156,9891218,624937,653036,624937,-28099,59684,467555,318780,148774,397494,-10376,593352,593352,798899,156706,49911,113963,-7168,0,-102494,422579,-667262,171784,-29595,-48980,-67308,18328,183978,255727,381819,-396153,-58611,1196,610497,5789,33648,545701,8792,16567,-808,94566,7078,52472,-30471,-94572,29731,34370,82943,-4884,39900,704333,427346,35593,10376,270395,-110981,-2164241,-2119043,-3155,-335,-41707,1502152,283604,943145,751681,-1247023,-302,771047,-662089,418292,75986545,26042780,21112065,4560133,268585,101997,49943765,6752525,535580,62724,6154221,0,3624617,451415,335693,1867201,970308,1218727,1092088,126639,19229055,7356221,4045199,1962281,5864460,894,18941103,483201,1271025,16751236,255228,180413,177738,75986545,14361609,271713,13765611,3126431,2555017,148616,422798,10639180,23217,301068,61624936
2010,1965038,396691,1568347,696479,577312,119167,155135,716733,10976653,716733,7925370,6372511,1552859,2965071,1212311,1752760,536625,1216135,630520,10976653,1237620,2281411,983747,43741,148757,10931681,10260256,671425,691838,671425,-20413,50005,456657,313862,142796,396691,-9962,641833,641833,1070254,148260,3416,140297,4547,0,194468,265890,41984,78486,-191892,38031,32633,5398,9990,-107099,260529,-322908,175513,3955,673441,-45722,16598,668066,12015,22484,6064,-151608,-2422,-124057,31271,-28154,26207,33218,-155328,2651,-27780,1221862,1668660,63684,9961,1014986,-580029,-502784,-414413,-1472,1416,-88315,2583523,16111,1182945,424365,483734,-1010,477378,2080739,4441236,80170132,25647567,20716131,4535502,284802,111132,54522565,6731267,527713,67271,6136283,0,4045289,679475,345490,1901057,1119267,1256760,1124723,132037,21750772,8687981,4730093,1790015,6538844,3839,20554675,437479,1308090,18338966,267243,202897,183802,80170132,14103960,269291,13535513,3344343,2646811,213516,484016,10191170,25868,273288,66066172
2011,2012008,402201,1609807,723831,596955,126876,157183,728793,11632667,728793,8226175,6626182,1599993,3259368,1217443,2041926,690419,1351506,581669,11632667,1453691,2310139,916651,48546,145869,11475141,10698857,776284,773915,776284,2369,56372,468119,314164,153956,402201,-9546,717543,717543,1494536,656182,296501,369592,-9911,0,235342,-112163,127464,11273,208768,-19221,-25317,6096,-48329,-303430,175379,-79078,158299,501,656018,27233,88589,509140,12525,18531,14544,55472,-7133,43230,96090,109414,-4092,-9232,-52860,-465,19840,1439064,894373,89841,9547,73464,-721521,-571170,-592597,-167,2284,19311,-68769,205770,-218614,-151358,188223,877,-93668,-639939,1028349,81105820,25220587,20145921,4644654,307356,122656,55885233,7380187,817057,57360,6505770,0,4445059,585778,490661,2062535,1306085,1237539,1099406,138133,21532739,8213139,4710937,1711674,6891772,5217,21091364,464712,1388536,18736920,279768,221428,198346,81105820,14011299,262158,13430610,3440433,2756225,209424,474784,9990177,25403,293128,67094521
2012,2058384,412010,1646374,758770,624502,134269,158201,729403,12285178,729403,8567363,6928125,1639238,3539599,1273225,2266375,831742,1434633,551187,12285178,1509514,2322585,950526,40431,164264,12023889,11047363,976526,981337,976526,-4811,103626,524767,358042,166726,412010,-9131,877711,877711,1233682,419943,121351,306472,-7880,0,11045,158339,-78903,-96457,28066,41551,54485,-12934,229145,-144687,327953,37600,11688,-3409,522962,-7658,-10569,522568,5275,13346,9036,34461,-14401,44744,142906,158681,-6664,-9111,-98162,666,3452,1199221,585573,126990,-11739,148811,-321510,401784,449013,-3790,763,-44204,3003037,115970,1277368,539300,524705,-49,545744,3404821,4971730,85971520,25829719,20641429,4727440,326848,134002,60141801,7731915,924784,49480,6757651,0,4497330,738757,422873,2039626,1296074,1317896,1192697,125199,24240618,9484348,5578190,1749274,7427047,1759,22146660,457054,1394910,19774879,285043,234774,207382,85971520,13905268,247757,13334862,3584302,2912905,205724,465673,9750560,26069,296580,72066252
2013,2117198,439101,1678097,775501,637409,138093,161637,740959,12532899,740959,8835039,7113995,1721045,3476081,1203047,2273034,781648,1491386,519180,12532899,1677535,2385911,1104286,38438,171497,12003930,11388233,615697,595659,615697,20037,163125,611480,424288,187192,439101,-9255,432535,432535,892002,309313,190308,116406,2599,0,-685368,-186538,-122770,-47878,-328182,66878,70416,-3538,596062,275407,231366,-69003,160051,-1759,599457,32309,20268,524215,10508,12157,5660,314046,-13307,326710,330152,177563,10240,142349,-3442,3003,-2360,577956,1275820,144470,9256,976672,-145422,1824370,1920522,-4512,2938,-94576,5032703,-275560,2726932,827635,793473,0,960223,6857073,8728552,94925912,27960093,22680753,4777334,354638,147368,66965819,8041585,1115091,52079,6874415,0,3506788,507972,289594,1856284,852938,1384774,1263113,121661,29015244,12312844,6637191,1680271,8384938,0,24804386,489363,1449988,22322553,295551,246931,213042,94925912,14131108,234450,13573366,3914454,3090468,215964,608022,9658912,29072,294220,80794804
2014,2177900,470950,1706950,801497,660151,141346,168406,737047,13161451,737047,9250208,7476332,1773876,3699378,1261882,2437497,917027,1520470,525182,13161451,1785680,2498625,1153553,42926,177323,12586446,11874451,711996,702655,711996,9341,177548,658024,464962,193063,470950,-9527,525107,525107,1333411,442440,-28606,477405,-6359,0,-103188,-242654,130091,-39307,48682,50079,58252,-8173,507079,222440,219000,-3491,69130,0,409521,-4310,51766,339589,12098,10378,27480,180762,-6552,159557,152895,219072,19806,-85983,6662,1225,26532,1152649,1140566,175245,9527,328252,-627543,1339119,1442827,-3716,827,-100819,2980341,188393,1502500,249237,651520,0,388691,4319459,6162681,101220169,29649571,24261329,4851760,380723,155759,71570598,8546843,1086484,45720,7414639,0,3601696,277324,428129,1968048,928195,1434853,1321365,113488,32026527,14136133,7105428,1676780,9108186,0,25720157,485053,1516575,23153571,307649,257309,240522,101220169,14262684,227898,13683737,4067349,3309540,235770,522039,9616388,30297,320752,86957485
2015,2250956,491564,1759393,836249,690699,145550,173969,749175,13736287,749175,9699419,7859482,1839937,3831500,1349225,2482276,996868,1485407,543807,13736287,1940888,2635146,1204749,50261,188048,13088010,12297438,790572,769153,790572,21419,232316,734321,525842,208480,491564,-10442,536837,536837,1487868,653732,112371,555197,-13836,0,220394,331252,189875,-35754,-264979,-74398,-59604,-14794,188624,-106692,97274,46857,151185,0,499304,26309,49212,410655,5743,7385,212,386978,-7940,374526,244291,233486,31543,-20738,130235,1724,18668,1100890,732652,201379,10442,-43222,-564053,1470198,1537650,-3239,-1699,-62514,-13932,-54327,-121269,-205031,525071,0,-158376,1456266,2958071,104421791,31551060,25989677,4990625,407721,163037,72870731,9216158,1200468,31884,7983806,0,3579016,600547,614817,1935315,428337,1360454,1261760,98694,32343262,13833614,6997671,1723637,9788340,0,26131106,511362,1557216,23484442,313392,264694,240734,104421791,14506235,219958,13914836,4182137,3400223,280613,501301,9732699,32021,339420,89915556
2016,2334346,517562,1816784,865942,711170,154772,180865,769978,14079285,769978,9966107,8091239,1874869,3897300,1389427,2507873,1027446,1480428,554100,14079285,1958752,2717282,1238836,59740,185673,13473046,12726849,746197,731626,746197,14572,274692,803526,581000,222525,517562,-11272,456934,456934,742220,646049,-58302,709965,-5614,0,-127832,105023,-55344,19736,-197247,-16531,-11319,-5212,-185337,117590,53908,-143441,-213394,0,422687,31059,44621,320633,13508,12866,3184,458158,-3172,452353,242565,236212,10644,-4291,209788,-323,9300,284062,204710,220224,11272,146086,172872,1622511,1698056,-3076,1653,-74121,2567322,-39227,1250673,298458,591269,0,466149,4189834,5126169,109976117,33664715,27920461,5136728,434808,172718,76311402,9851509,1131243,26270,8693996,0,3344831,690554,556884,1919244,178149,1343923,1250441,93482,34391124,15295579,7350037,1580196,10165312,0,27136097,542421,1617493,24371723,326900,277560,243918,109976117,14934392,216786,14337188,4424703,3636436,291257,497010,9912485,31698,348720,95041725
2017,2423219,548604,1874616,890566,735652,154914,188026,796023,14817101,796023,10424372,8474410,1949962,4167597,1468046,2699551,1144294,1555256,570891,14817101,2048829,2807432,1298930,48253,192755,14132273,13290626,841647,856804,841647,-15157,295948,856766,635597,221169,548604,-12215,560857,560857,1415893,432510,209760,210046,12704,0,-103368,-41784,17986,-32061,-47509,-59863,-56552,-3311,577533,88620,308203,72855,107855,0,553069,31616,20985,477415,13498,9555,16012,588327,1141,580065,276724,194316,7890,74518,303341,1781,5340,827566,584265,224044,-43032,136544,-266709,1756399,1847825,-1696,3405,-93136,5538106,54574,2674734,1049383,706629,0,1052786,7294504,8735574,119274271,35883097,29975468,5267636,457951,182042,83391174,10216140,1341003,38974,8836163,0,3355335,649562,578816,1936252,190705,1284061,1193890,90171,39422050,18101805,8707623,1653051,10959571,0,28853658,574037,1678576,25973532,340398,287115,259930,119274271,15496972,217927,14891506,4701427,3830752,299147,571528,10190079,33479,354060,103777299
2018,2539056,586475,1952581,935745,771202,164543,196393,820444,15587036,820444,10957405,8899824,2057581,4424321,1555905,2868416,1234903,1633513,615134,15587036,2074153,2925973,1361683,50303,196378,14931098,13934442,996656,987255,996656,9402,309511,909788,668387,241401,586475,-13803,677743,677743,1338534,259252,-174844,431233,2863,0,791349,585574,167739,1984,36052,-57289,-51535,-5754,-44132,-201267,16070,173341,-32276,0,383818,17902,48471,283103,20434,13908,5536,497556,-2057,489498,198706,172687,39883,-13864,290792,1899,8216,840978,372542,247860,-15889,-22664,-163235,1440052,1482892,-655,1706,-43891,-2238511,-65791,-1430199,-675838,454342,0,-521025,-798459,561337,120318183,37846171,31695094,5471605,485525,193947,82472012,10475517,1166159,41837,9267521,0,4001640,1200123,719009,1890156,192352,1226772,1142355,84417,37688890,16477434,8047855,1826392,11337209,0,28813727,591939,1709872,25850061,360832,301023,265466,120318183,15979547,215870,15366023,4903736,4007042,339030,557664,10462287,35378,362276,104338636
2019,2655932,614727,2041205,980443,808218,172226,208749,852013,16293319,852013,11447914,9324960,2122955,4643696,1604947,3038749,1346490,1692260,650304,16293319,2199291,3088526,1424571,55817,205307,15608493,14417614,1190879,1175769,1190879,15110,306672,935577,678086,257491,614727,-14178,869097,869097,2412918,598409,24602,575007,-1200,0,149478,128227,34273,-61334,48312,38049,40190,-2141,1133647,327481,303856,445399,56911,0,494495,12002,19957,431846,16316,14374,-1160,599189,-2269,551392,213752,185149,11132,17471,337640,1518,48548,1813729,1858923,234878,14177,665236,-944632,1494864,1531544,-734,639,-36585,8057561,184778,4054899,1511357,742660,0,1563868,9552425,12587117,133538695,39872299,33482125,5669898,514913,205363,93666396,11086599,1201234,40637,9844728,0,4310786,1400835,779726,1918391,211834,1264821,1182545,82276,45594763,21176746,10010100,2271791,12136126,0,31145121,603941,1786248,28062387,377148,315397,264306,133538695,16612942,213601,15951621,5117488,4192191,350162,575135,10834133,36896,410824,116925753
2020,2778325,647499,2130826,1015211,832580,182631,215378,900237,16555030,900237,11594682,9464645,2130038,4651911,1511847,3140063,1403470,1736594,591800,16555030,2256481,4182714,1449271,47224,194411,16884805,14206232,2678574,2675599,2678574,2975,342807,1004715,752060,252655,647499,-14409,2332792,2332792,3484781,2415631,1982566,425242,7823,0,-599627,-329337,-297818,-25985,53513,112058,113757,-1699,932346,649299,-159492,417593,24946,0,566567,21299,93435,427741,15856,8236,57806,596413,-9683,578488,150430,-12040,20532,141938,428058,68,27540,2888368,986988,291183,14409,125820,-555576,3085081,3005567,7369,6985,65160,7764659,158285,4182761,1145690,1027846,0,1250077,10849740,14512327,148643969,43597055,36804863,6026241,543533,222418,105046914,13532415,3183800,48460,10300155,0,3829036,1148406,485720,1945262,249648,1376879,1296302,80577,52934289,26055118,10996298,2689384,13193489,0,33052183,625240,1921752,29788554,393004,323633,322112,148643969,17205889,203918,16526643,5272620,4184853,370694,717073,11254023,36964,438364,131438080
2021,2915987,721975,2194012,1058069,877550,180519,219292,916652,18043118,916652,12545875,10312629,2233246,5145097,1517207,3627890,1699182,1928708,564505,18043118,2743260,4554131,1557998,87725,220232,18163484,16042964,2120520,2162947,2120520,-42428,455543,1192418,937677,254741,721975,-14900,1707404,1707404,2890614,1750921,971492,779661,-232,0,-1003528,-652136,-20975,-112836,-217581,90372,84318,6054,1724763,1182752,542222,113548,-113759,0,338396,40851,30878,230116,15104,21447,-10310,1278461,-1068,1246735,404500,237819,52342,114339,842235,1470,31324,1612153,-75470,478991,-4824,-454385,95251,6697892,6182843,19069,3132,492847,10077041,-110519,4899142,1291098,2513396,0,1483924,16774934,18862411,169151953,51205652,43389921,6998079,582530,235122,117946301,15259536,4147504,48228,11063804,0,3049464,435654,452449,1811098,350263,1467251,1380620,86631,62878611,31684692,12829618,2802932,15561369,0,34979638,666091,2000338,31560021,408108,345080,311802,169151953,18851462,202850,18140490,5802978,4548530,423036,831412,12337512,38434,469688,150300491
2022,3165778,821014,2344764,1140824,948299,192525,232684,971256,19206590,971256,13439187,11116027,2323160,5425806,1629384,3796422,1804545,1991877,629658,19206590,3138314,3902972,1701681,99141,234163,18134546,17511744,622802,620147,622802,2654,409236,1245789,970798,274991,821014,-15539,210911,210911,1768950,-393769,402915,-800107,3423,0,1507088,1113632,672636,26188,-305368,-50252,-41353,-8899,35269,593689,-743804,277019,-91635,0,669605,61984,58861,504307,5983,38470,1009,1167346,-929,1136816,291633,345693,71375,-125435,845183,-1473,32932,601604,123842,398578,-13643,-651785,-390693,3656103,3377077,23080,6971,248975,-10018719,-411561,-5862208,-2346404,785077,0,-2183623,-6362616,-5618626,164632584,55634386,47108084,7645632,627921,252749,108998198,14865933,4550419,51651,10263863,0,4435893,1463172,1071643,1620137,280941,1416998,1339266,77732,55533524,26474632,9739410,3079951,16239531,0,32433039,728075,1987089,28920234,414091,383550,312811,164632584,19950719,201921,19209217,6094611,4894223,494411,705977,13114606,36961,502620,144681865
2023,3447528,855642,2591887,1231798,ND,ND,249070,1111019,20166012,1111019,14234049,11798062,2435987,ND,ND,ND,1840592,ND,ND,20166012,2756328,3996449,1802627,104287,237307,19470486,18570638,899849,1004043,899849,-104194,313040,1184697,893696,291002,855642,-16016,691003,691003,1596121,-717582,-271519,-444264,-1799,0,1203184,879735,160924,101187,61338,-66430,-63078,-3352,461042,-230349,-200693,902798,-10714,0,702708,48837,29057,581209,13793,29812,13199,573029,2087,537035,137812,129477,-20828,29163,399223,2411,31496,1023092,550778,377761,16015,-175087,-332089,1587877,1702399,19974,10713,-145210,7902591,135450,5474826,1401264,-631087,0,1522138,9490468,11045289,176246893,57908558,49089717,7878183,666992,273666,118338335,14158817,4278900,49852,9830065,0,5728997,2385185,1259374,1773890,310547,1350567,1276187,74380,62116060,31583801,10949981,3982749,15599529,0,34657885,776912,2060476,30979251,427884,413362,326010,176246893,20519739,204008,19742243,6232423,5023700,473583,735140,13509820,39372,534116,155727154
