1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q2,29128,-6948,36076,29128,26524,-819,16,4181,2045,562,1483,-4907,-115,-7,519,1316,303,1013,866,0,866,-2900,-2175,-725,0,0,0,4616,-4485,-6597,2112,741,0,741,-30,0,636,0,-5116,-18,0,6065,2662,3403,5445
1984:Q3,51200,13516,37684,51200,16755,-3542,-235,904,2159,1559,600,2007,-72,-10,292,2135,73,2062,3283,0,3283,6640,4980,1660,0,0,0,5154,-1271,-556,-715,665,0,665,-26,0,3363,0,8209,58,0,4732,939,3793,15575
1984:Q4,60135,17571,42564,60135,-4928,2727,-439,1058,4205,2548,1657,1648,-184,2,-394,1818,45,1773,6169,0,6169,9640,7230,2410,0,0,0,3583,11777,10431,1346,235,0,235,-7,0,-3704,0,11649,60,0,15220,2568,12652,7429
1985:Q1,44347,5108,39239,44347,25794,-6311,-13,6925,1760,434,1326,12496,-5,17,1214,794,143,651,1461,0,1461,3750,2813,937,0,0,0,5908,714,-367,1081,5494,0,5494,6,0,2626,0,-13740,44,0,-4587,-4413,-174,6804
1985:Q2,33165,2395,30770,33165,-22330,12574,20,8136,8127,6832,1295,-3146,-815,21,717,275,119,156,2354,0,2354,7286,5464,1822,0,0,0,3368,-1376,-294,-1082,4473,0,4473,13,0,1387,0,-1907,50,0,13938,1499,12439,16688
1985:Q3,38075,2348,35727,38075,16060,-6817,100,-2495,592,930,-338,3052,432,29,308,2980,232,2748,1596,0,1596,3534,2651,883,0,0,0,2720,-2056,-744,-1312,6656,0,6656,28,0,3837,0,71,126,0,7322,301,7021,22654
1985:Q4,77587,15673,61914,77587,-11585,5189,166,36991,8096,6194,1902,-10151,349,42,203,2334,362,1972,5085,0,5085,5578,4183,1395,14194,14194,0,5473,1893,1606,287,14973,0,14973,53,0,-3771,0,-575,129,0,2921,-4623,7544,26333
1986:Q1,35807,-6721,42528,35807,-22694,-7563,671,3595,-1178,-1178,0,3413,-625,99,183,3433,8,3425,1927,0,1927,2948,2211,737,-25,-25,0,9645,4668,3932,736,6398,0,6398,77,0,3249,0,18601,-73,0,9058,3911,5147,-637
1986:Q2,26432,3478,22954,26432,-21226,7176,583,19720,7229,7229,0,1637,1349,149,862,2814,-22,2836,-829,0,-829,-4650,-3487,-1163,-14169,-14169,0,3479,-6902,-8953,2051,9623,0,9623,100,0,3280,0,-2092,-61,0,18360,9657,8703,30332
1986:Q3,65105,14080,51025,65105,20017,-1754,522,-4266,588,588,0,2471,801,146,559,3655,-10,3665,2234,0,2234,-1678,-1259,-419,15000,15000,0,6097,1591,1848,-257,9366,0,9366,117,0,529,0,-1334,27,0,10417,7933,2484,3441
