date,FU174090005.Q,FU153091003.Q,FU173020005.Q,FU173030005.Q,FU173034005.Q,FU174022005.Q,FU173061105.Q,FU153061705.Q,FU173062005.Q,FU153063005.Q,FU174023005.Q,FU153064105.Q,FU153064205.Q,FU163070005.Q,FU153040005.Q,FU153050005.Q,FU173099005.Q,FU175050005.Q,FU175012005.Q,FU175013005.Q,FU155111003.Q,FU155420003.Q,FU115020005.Q,FU176300005.Q,FU176320005.Q,FU176330005.Q,FU156300103.Q,FU172010005.Q,FU175012865.Q,FU175013865.Q,FU155111005.Q,FU155420003.Q,FU115020005.Q,FU174190005.Q,FU173165105.Q,FU173165205.Q,FU153166000.Q,FU173169005.Q,FU173199005.Q,FU175440005.Q,FU176007025.Q,FU155111005.Q,FU313154015.Q,FU156600075.Q,FU176007005.Q,FU156007015.Q,FU176007085.Q,FU156012005.Q,FU176007026.Q,FU176007006.Q,FU156007016.Q,FU176007086.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,25035,0,5806,6338,0,-3570,-2606,32,-52,-944,2867,900,185,0,3800,6705,2004,29196,7909,5305,15862,0,120,16928,3072,3122,10727,12267,4837,2183,5135,0,120,10221,4394,990,2977,-582,2442,878,27959,5135,1320,0,21504,19552,1952,165324,16.91167940954741,13.007225125837843,11.826474075149404,1.1807510506884402
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,17199,0,45,3479,0,-2259,-2147,55,641,-808,3483,991,163,0,3150,7057,1090,38517,12137,7624,20447,0,-1691,20555,3870,4013,12663,17962,8267,3612,7784,0,-1691,11783,5167,822,3521,446,1827,996,24374,7784,1116,0,15474,11021,4453,174691,13.952833032987568,8.858122944889155,6.308853919205911,2.5492690256832438
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,13430,0,-2868,2201,0,-687,-849,-53,171,44,2914,833,148,0,2843,7357,689,50585,15708,9171,22947,0,2759,24628,4399,4860,15359,25956,11309,4310,7588,0,2759,11090,5155,1190,3034,428,1283,1068,29364,7588,641,0,21135,17191,3944,194291,15.11324272595964,10.877843247857207,8.848068104029522,2.0297751438276843
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,13651,0,-1907,2594,0,-1402,-24,-66,-905,-407,2300,530,275,0,2751,7904,606,48253,14741,9032,25176,0,-696,26750,4647,5452,16640,21503,10094,3579,8536,0,-696,9595,3984,1481,3042,841,247,915,26473,8536,592,0,17345,13623,3722,194338,13.622272101316623,8.925300845051765,7.009951733577581,1.915349111474185
