1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,139543,538,461,0,96,15320,0,6450,24,2042,6804,9258,8902,356,2237,0,111633,0,182,110766,685,139622,136823,26057,110766,ND,136823,2799,ND,ND
1953:Q4,143546,555,478,0,97,15815,0,6496,43,2103,7173,9321,8941,380,2467,0,114813,0,191,113937,685,143623,140717,26780,113937,ND,140717,2906,ND,ND
1954:Q1,147495,561,497,0,99,16476,0,6695,44,2166,7571,9366,8961,405,2687,0,117809,0,199,116918,692,147575,144557,27639,116918,ND,144557,3018,ND,ND
1954:Q2,151508,558,516,0,101,17175,0,6878,47,2232,8018,9703,9273,430,2769,0,120686,0,205,119781,700,151590,148484,28703,119781,ND,148484,3106,ND,ND
1954:Q3,155410,553,536,0,103,17809,0,6957,43,2302,8507,9738,9281,457,2910,0,123761,0,213,122838,710,155496,152281,29443,122838,ND,152281,3215,ND,ND
1954:Q4,159430,551,556,0,106,18501,0,7058,45,2376,9022,9846,9359,487,3253,0,126617,0,224,125663,730,159529,156148,30485,125663,ND,156148,3381,ND,ND
1955:Q1,163582,558,577,0,111,19152,0,7173,52,2456,9471,9868,9347,521,3664,0,129652,0,237,128653,762,163679,160111,31458,128653,ND,160111,3568,ND,ND
1955:Q2,167953,570,600,0,118,19785,0,7317,59,2542,9867,10259,9702,557,4667,0,131954,0,259,130897,798,168058,164186,33289,130897,ND,164186,3872,ND,ND
1955:Q3,172208,583,623,0,125,20416,0,7502,66,2632,10216,10572,9975,597,5626,0,134263,0,280,133140,843,172328,168167,35027,133140,ND,168167,4161,ND,ND
1955:Q4,176390,589,647,0,132,20983,0,7638,77,2723,10545,10687,10048,639,6285,0,137067,0,295,135876,896,176525,172148,36272,135876,ND,172148,4377,ND,ND
1956:Q1,181025,594,671,0,140,21682,0,7828,95,2816,10943,10746,10061,685,7034,0,140158,0,311,138895,952,181165,176551,37656,138895,ND,176551,4614,ND,ND
1956:Q2,185620,595,697,0,150,22228,0,7798,98,2911,11421,11110,10377,733,6940,0,143900,0,317,142556,1027,185764,181049,38493,142556,ND,181049,4715,ND,ND
1956:Q3,190132,597,724,0,158,22854,0,7746,107,3009,11992,11704,10918,786,6901,0,147194,0,324,145769,1101,190282,185442,39673,145769,ND,185442,4840,ND,ND
1956:Q4,194714,605,752,0,166,23559,0,7695,114,3110,12640,11755,10911,844,7265,0,150612,0,339,149120,1153,194871,189820,40700,149120,ND,189820,5051,ND,ND
1957:Q1,201929,624,781,0,172,24395,0,7738,139,3214,13304,11831,10924,907,7229,0,156897,0,348,155349,1200,202091,196914,41565,155349,ND,196914,5177,ND,ND
1957:Q2,209404,653,811,0,177,25174,0,7718,154,3322,13980,12198,11224,974,8225,0,162166,0,370,160573,1223,209568,204091,43518,160573,ND,204091,5477,ND,ND
1957:Q3,216536,682,842,0,182,25959,0,7682,171,3431,14675,12316,11270,1046,7932,0,168623,0,373,166990,1260,216704,211180,44190,166990,ND,211180,5524,ND,ND
1957:Q4,223683,703,874,0,186,26629,0,7519,210,3539,15361,12469,11346,1123,7789,0,175033,0,378,173357,1298,223857,218262,44905,173357,ND,218262,5595,ND,ND
1958:Q1,229086,717,908,0,191,27452,0,7515,244,3648,16045,12714,11511,1203,8380,0,178724,0,393,177009,1322,229240,223434,46425,177009,ND,223434,5806,ND,ND
1958:Q2,234598,727,943,0,194,28054,0,7382,218,3760,16694,13145,11859,1286,9321,0,182214,0,414,180465,1335,234758,228672,48207,180465,ND,228672,6086,ND,ND
1958:Q3,240187,733,979,0,198,28818,0,7391,228,3868,17331,13546,12170,1376,10549,0,185364,0,440,183579,1345,240370,233942,50363,183579,ND,233942,6428,ND,ND
1958:Q4,245701,740,1017,0,204,29636,0,7472,233,3963,17968,13758,12280,1478,11961,0,188385,0,469,186550,1366,245905,239089,52539,186550,ND,239089,6816,ND,ND
1959:Q1,250338,746,1056,0,211,30303,0,7578,261,4048,18416,14001,12413,1588,12552,0,191469,0,484,189575,1410,250522,243493,53918,189575,ND,243493,7029,ND,ND
1959:Q2,255159,750,1096,0,218,31015,0,7649,304,4124,18938,14501,12798,1703,13731,0,193848,0,510,191883,1455,255371,247985,56102,191883,ND,247985,7386,ND,ND
1959:Q3,259910,754,1138,0,227,31878,0,7937,327,4192,19422,14953,13121,1832,13882,0,197078,0,520,195040,1518,260155,252608,57568,195040,ND,252608,7547,ND,ND
1959:Q4,264608,756,1182,0,235,32741,0,8081,338,4251,20071,15145,13164,1981,15025,0,199524,0,547,197407,1570,264875,256958,59551,197407,ND,256958,7917,ND,ND
1960:Q1,270184,761,1227,0,245,33566,0,8200,428,4305,20633,15405,13251,2154,14619,0,204361,0,549,202160,1652,270483,262512,60352,202160,ND,262512,7971,ND,ND
1960:Q2,276464,765,1275,0,255,34224,0,8181,476,4356,21211,16290,13936,2354,15650,0,208005,0,572,205708,1725,276766,268478,62770,205708,ND,268478,8288,ND,ND
1960:Q3,282055,772,1324,0,266,34858,0,8061,487,4393,21917,16598,14038,2560,15124,0,213113,0,573,210722,1818,282360,274028,63306,210722,ND,274028,8332,ND,ND
1960:Q4,288113,789,1374,0,275,35818,0,8115,474,4406,22823,16841,14090,2751,17145,0,215871,0,613,213395,1863,288420,279545,66150,213395,ND,279545,8875,ND,ND
1961:Q1,294013,819,1427,0,284,36503,0,8262,484,4399,23358,17074,14141,2933,19786,0,218120,0,657,215568,1895,294283,284831,69263,215568,ND,284831,9452,ND,ND
1961:Q2,299945,861,1482,0,291,37344,0,8301,483,4374,24186,18037,14927,3110,20331,0,221599,0,674,218983,1942,300255,290566,71583,218983,ND,290566,9689,ND,ND
1961:Q3,305553,904,1539,0,298,38034,0,8296,513,4330,24895,18280,14996,3284,21452,0,225046,0,697,222364,1985,305895,295886,73522,222364,ND,295886,10009,ND,ND
1961:Q4,311366,937,1598,0,307,38782,0,8225,560,4263,25734,18462,15006,3456,23756,0,227524,0,740,224763,2021,311738,301158,76395,224763,ND,301158,10580,ND,ND
1962:Q1,314600,962,1660,0,321,39700,0,8446,658,4175,26421,18678,15054,3624,23797,32,229450,0,749,226566,2135,314974,304239,77673,226566,ND,304239,10735,ND,ND
1962:Q2,317406,981,1723,0,338,40570,0,8534,697,4058,27281,19695,15908,3787,18598,86,235415,0,686,232378,2351,317786,307801,75423,232378,ND,307801,9985,ND,ND
1962:Q3,320903,997,1790,0,355,41193,0,8649,731,3930,27883,19872,15923,3949,20096,140,236460,0,716,233264,2480,321287,310871,77607,233264,ND,310871,10416,ND,ND
1962:Q4,324717,1014,1858,0,369,41994,0,8700,719,3804,28771,20117,15999,4118,22885,172,236308,0,768,232985,2555,325101,313977,80992,232985,ND,313977,11124,ND,ND
1963:Q1,330474,1032,1930,0,380,42791,0,8828,720,3682,29561,20336,16048,4288,24631,184,239190,0,803,235776,2611,330889,319294,83518,235776,ND,319294,11595,ND,ND
