1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q2,68730,1077,0,0,40480,0,10363,0,1123,28994,23010,2661,20349,5,2301,123,0,0,0,0,0,1734,65657,65428,0,0,59,52976,7129,0,148,5116,229,0,229,0
1952:Q3,70039,1065,0,0,41317,0,10455,0,1163,29699,23509,2697,20812,5,2245,125,0,0,0,0,0,1773,66847,66618,0,0,60,53707,7417,0,159,5275,229,0,229,0
1952:Q4,71472,1146,0,0,41974,0,10252,0,1153,30569,23964,2713,21251,5,2446,130,0,0,0,0,0,1807,68078,67837,0,0,63,54480,7700,0,149,5445,241,0,241,0
1953:Q1,72555,990,0,0,42691,0,10120,0,1203,31368,24499,2758,21741,5,2396,132,0,0,0,0,0,1842,69277,69035,0,0,63,55246,7980,0,139,5607,242,0,242,0
1953:Q2,73669,948,0,0,43255,0,10090,0,1218,31947,25059,2806,22253,5,2395,134,0,0,0,0,0,1873,70438,70194,0,0,63,55988,8259,0,125,5759,244,0,244,0
1953:Q3,74822,1030,0,0,43746,0,9987,0,1258,32501,25586,2850,22736,5,2413,136,0,0,0,0,0,1906,71579,71334,0,0,64,56701,8539,0,160,5870,245,0,245,0
1953:Q4,76513,1215,0,0,44402,0,9829,0,1298,33275,26236,2914,23322,6,2573,139,0,0,0,0,0,1942,72734,72482,0,0,65,57388,8825,0,231,5973,252,0,252,0
1954:Q1,77851,1060,0,0,45097,0,9720,0,1463,33914,26789,2972,23817,6,2773,141,0,0,0,0,0,1985,73908,73655,0,0,66,58093,9113,0,185,6198,253,0,253,0
1954:Q2,79180,1101,0,0,45513,0,9399,0,1657,34457,27464,3032,24432,6,2920,144,0,0,0,0,0,2032,75119,74864,0,0,66,58831,9401,0,140,6426,255,0,255,0
1954:Q3,80504,1111,0,0,45899,0,9138,0,1791,34970,28167,3084,25083,6,3093,147,0,0,0,0,0,2081,76335,76079,0,0,67,59600,9695,0,168,6549,256,0,256,0
1954:Q4,82188,1240,0,0,46294,0,9070,0,1846,35378,29103,3127,25976,6,3268,149,0,0,0,0,0,2128,77556,77273,0,0,73,60389,10000,0,183,6628,283,0,283,0
1955:Q1,83468,1061,0,0,46861,0,9136,0,1984,35741,29956,3188,26768,6,3261,152,0,0,0,0,0,2171,78770,78486,0,0,74,61170,10322,0,189,6731,284,0,284,0
1955:Q2,84870,1089,0,0,47167,0,9086,0,1984,36097,30743,3225,27518,6,3499,155,0,0,0,0,0,2211,80030,79744,0,0,74,61931,10663,0,156,6920,286,0,286,0
1955:Q3,86384,1160,0,0,47656,0,9164,0,2016,36476,31544,3267,28277,6,3606,158,0,0,0,0,0,2254,81325,81038,0,0,75,62688,11004,0,198,7073,287,0,287,0
1955:Q4,87851,1265,0,0,47741,0,8576,0,2038,37127,32735,3290,29445,6,3633,161,0,0,0,0,0,2310,82661,82351,0,0,80,63459,11325,0,222,7265,310,0,310,0
1956:Q1,89198,1050,0,0,48058,0,8077,0,2193,37788,33742,3346,30396,7,3800,163,0,0,0,0,0,2378,83960,83649,0,0,81,64251,11624,0,204,7489,311,0,311,0
1956:Q2,90346,1086,0,0,48330,0,7954,0,2186,38190,34706,3414,31292,7,3591,166,0,0,0,0,0,2460,85228,84916,0,0,81,65070,11895,0,154,7716,312,0,312,0
1956:Q3,91670,1084,0,0,48852,0,7834,0,2251,38767,35562,3450,32112,7,3453,169,0,0,0,0,0,2543,86472,86159,0,0,81,65875,12175,0,244,7784,313,0,313,0
1956:Q4,93194,1281,0,0,49107,0,7555,0,2273,39279,36508,3519,32989,7,3503,172,0,0,0,0,0,2616,87714,87397,0,0,82,66626,12500,0,262,7927,317,0,317,0
1957:Q1,94264,1074,0,0,49675,0,7478,0,2289,39908,37274,3595,33679,7,3378,175,0,0,0,0,0,2681,88937,88620,0,0,83,67324,12868,0,261,8084,317,0,317,0
1957:Q2,95874,1142,0,0,50173,0,7348,0,2322,40503,37859,3678,34181,7,3773,178,0,0,0,0,0,2742,90130,89812,0,0,83,67969,13279,0,185,8296,318,0,318,0
1957:Q3,97013,1150,0,0,50844,0,7289,0,2348,41207,38461,3766,34695,7,3570,181,0,0,0,0,0,2800,91339,91020,0,0,83,68606,13700,0,224,8407,319,0,319,0
1957:Q4,98190,1292,0,0,51356,0,7029,0,2376,41951,39105,3869,35236,7,3391,185,0,0,0,0,0,2854,92598,92289,0,0,80,69277,14100,0,264,8568,309,0,309,0
1958:Q1,99511,1170,0,0,52099,0,7087,0,2460,42552,39663,3970,35693,8,3479,187,0,0,0,0,0,2905,93906,93596,0,0,80,69991,14475,0,387,8663,310,0,310,0
1958:Q2,100834,1210,0,0,52766,0,7075,0,2534,43157,40087,4058,36029,8,3626,191,0,0,0,0,0,2946,95258,94948,0,0,80,70755,14826,0,300,8987,310,0,310,0
1958:Q3,102424,1217,0,0,53619,0,7295,0,2613,43711,40563,4125,36438,8,3831,194,0,0,0,0,0,2992,96578,96268,0,0,80,71533,15189,0,335,9131,310,0,310,0
1958:Q4,104266,1366,0,0,54283,17,7183,50,2681,44352,41250,4188,37062,8,4109,198,0,0,0,0,0,3052,97840,97497,0,0,89,72294,15600,0,348,9166,343,0,343,0
1959:Q1,105475,1218,0,0,55051,124,7212,61,2828,44826,41734,4273,37461,8,4133,202,0,0,0,0,0,3129,99098,98755,0,0,89,73063,16068,0,380,9155,343,0,343,0
1959:Q2,107121,1206,0,0,55888,215,7228,74,2991,45380,42216,4367,37849,8,4375,205,0,0,0,0,0,3223,100417,100073,0,0,89,73834,16602,0,339,9209,344,0,344,0
1959:Q3,108266,1158,0,0,56375,200,7183,82,3148,45762,42887,4474,38413,8,4309,209,0,0,0,0,0,3320,101860,101516,0,0,90,74667,17129,0,418,9212,344,0,344,0
1959:Q4,109999,1309,0,0,56686,118,6868,72,3200,46428,43815,4618,39197,9,4561,212,0,0,0,0,0,3407,103469,103111,0,0,93,75606,17575,0,434,9403,358,0,358,0
1960:Q1,111045,1127,0,0,57148,137,6828,73,3284,46826,44691,4786,39905,9,4368,216,0,0,0,0,0,3486,105013,104654,0,0,93,76524,17946,0,376,9715,359,0,359,0
1960:Q2,112582,1188,0,0,57481,176,6574,100,3357,47274,45484,4966,40518,9,4642,220,0,0,0,0,0,3558,106420,106060,0,0,94,77383,18248,0,337,9998,360,0,360,0
1960:Q3,113742,1183,0,0,58052,249,6577,105,3510,47611,46188,5112,41076,9,4456,224,0,0,0,0,0,3630,107685,107323,0,0,94,78133,18532,0,383,10181,362,0,362,0
1960:Q4,115811,1330,0,0,58555,294,6427,101,3588,48145,47002,5231,41771,9,4981,228,0,0,0,0,0,3706,108859,108485,0,0,97,78758,18850,0,418,10362,374,0,374,0
1961:Q1,117811,1232,0,0,59235,360,6543,91,3693,48548,47694,5373,42321,9,5621,232,0,0,0,0,0,3788,110103,109728,0,0,98,79425,19191,0,424,10590,375,0,375,0
1961:Q2,119209,1270,0,0,59762,324,6408,81,3728,49221,48464,5523,42941,10,5593,235,0,0,0,0,0,3875,111511,111135,0,0,98,80196,19544,0,357,10940,376,0,376,0
1961:Q3,120753,1309,0,0,60490,332,6428,103,3808,49819,49015,5634,43381,10,5729,239,0,0,0,0,0,3961,113029,112652,0,0,98,81095,19900,0,379,11180,377,0,377,0
1961:Q4,122809,1392,0,0,60932,193,6134,110,3888,50607,49936,5733,44203,10,6258,244,0,0,0,0,0,4037,114616,114198,0,0,109,82112,20250,0,386,11341,418,0,418,0
1962:Q1,124284,1219,0,0,61952,513,6307,121,4039,50972,50454,5848,44606,10,6290,248,0,4,0,0,0,4107,116137,115718,0,0,109,83115,20591,0,495,11408,419,0,419,0
1962:Q2,124401,1213,0,0,62616,521,6279,115,4024,51677,51114,5995,45119,10,5017,253,0,11,0,0,0,4167,117615,117195,0,0,109,84072,20920,0,429,11665,420,0,420,0
1962:Q3,126516,1289,0,0,63401,643,6331,142,4073,52212,51794,6124,45670,10,5520,258,0,18,0,0,0,4226,119109,118688,0,0,109,84951,21258,0,471,11899,421,0,421,0
1962:Q4,129184,1457,0,0,63722,347,6170,105,4026,53074,53136,6234,46902,11,6280,261,0,22,0,0,0,4295,120660,120259,0,0,104,85754,21625,0,440,12336,401,0,401,0
1963:Q1,130989,1230,0,0,64571,599,6022,100,4029,53821,53875,6348,47527,11,6642,266,0,22,0,0,0,4372,122241,121779,0,0,104,86678,22016,0,613,12368,462,60,402,0
