date,FA263191005.Q,FA153091003.Q,FA103091003.Q,FA633091003.Q,FA733091003.Q,FA903091005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,35,0,35,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,-17,0,-17,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,-41,0,-41,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,47,0,47,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1961:Q2,96,0,96,0,0,0
1961:Q3,100,0,100,0,0,0
1961:Q4,-8,0,-8,0,0,0
1962:Q1,-8,0,-8,0,0,0
1962:Q2,128,0,128,0,0,0
1962:Q3,-76,0,-76,0,0,0
1962:Q4,-544,0,-544,0,0,0
1963:Q1,152,0,152,0,0,0
1963:Q2,484,0,484,0,0,0
1963:Q3,-260,0,-260,0,0,0
1963:Q4,-1212,0,-1212,0,0,0
1964:Q1,544,0,544,0,0,0
1964:Q2,368,0,368,0,0,0
1964:Q3,224,0,224,0,0,0
1964:Q4,-724,0,-724,0,0,0
1965:Q1,-256,0,-256,0,0,0
1965:Q2,-844,0,-844,0,0,0
1965:Q3,280,0,280,0,0,0
1965:Q4,-428,0,-428,0,0,0
1966:Q1,412,0,412,0,0,0
1966:Q2,132,0,132,0,0,0
1966:Q3,60,0,60,0,0,0
1966:Q4,-188,0,-188,0,0,0
1967:Q1,264,0,264,0,0,0
1967:Q2,-432,0,-432,0,0,0
1967:Q3,-64,0,-64,0,0,0
1967:Q4,568,0,568,0,0,0
1968:Q1,1208,0,1208,0,0,0
1968:Q2,1568,0,1568,0,0,0
1968:Q3,332,0,332,0,0,0
1968:Q4,-980,0,-980,0,0,0
1969:Q1,1076,0,1076,0,0,0
1969:Q2,-188,0,-188,0,0,0
1969:Q3,-764,0,-764,0,0,0
1969:Q4,-1780,0,-1780,0,0,0
1970:Q1,-4,0,-4,0,0,0
1970:Q2,192,0,192,0,0,0
1970:Q3,-316,0,-316,0,0,0
1970:Q4,-1372,0,-1372,0,0,0
1971:Q1,1136,0,1136,0,0,0
1971:Q2,80,0,80,0,0,0
1971:Q3,548,0,548,0,0,0
1971:Q4,-20,0,-20,0,0,0
1972:Q1,748,0,748,0,0,0
1972:Q2,820,0,820,0,0,0
1972:Q3,776,0,776,0,0,0
1972:Q4,1408,0,1408,0,0,0
1973:Q1,2200,0,2200,0,0,0
1973:Q2,1132,0,1132,0,0,0
1973:Q3,-1104,0,-1104,0,6000,-6000
1973:Q4,2400,0,2400,0,0,0
1974:Q1,1600,0,1600,0,2000,-2000
1974:Q2,-800,0,-800,0,0,0
1974:Q3,-1600,0,-1600,0,2000,-2000
1974:Q4,0,0,0,0,0,0
1975:Q1,304,0,76,0,2000,-1772
1975:Q2,-800,0,-1724,0,0,924
1975:Q3,1800,0,84,0,0,1716
1975:Q4,2000,0,3448,0,800,-2248
1976:Q1,2624,0,2240,0,0,384
1976:Q2,2052,0,464,0,400,1188
1976:Q3,-712,0,-2356,0,0,1644
1976:Q4,2712,0,2920,0,400,-608
1977:Q1,3384,0,1832,0,0,1552
1977:Q2,5776,0,3388,0,400,1988
1977:Q3,-2964,0,680,0,0,-3644
1977:Q4,-936,0,3088,0,400,-4424
1978:Q1,5140,0,5644,0,400,-904
1978:Q2,604,0,1412,0,-7848,7040
1978:Q3,-2316,0,-3972,0,152,1504
1978:Q4,6368,0,7440,0,676,-1748
1979:Q1,20920,0,16828,4648,2700,-3256
1979:Q2,-1488,0,-5004,4544,3176,-4204
1979:Q3,21172,0,-5984,6232,-1468,22392
1979:Q4,-1476,0,1212,5012,-4408,-3292
1980:Q1,12632,0,-3624,4828,4312,7116
1980:Q2,6932,0,-2440,2960,-872,7284
1980:Q3,-9428,0,424,6404,2948,-19204
1980:Q4,7780,0,4104,-7552,5256,5972
1981:Q1,26140,0,-1248,15940,1380,10068
1981:Q2,4792,0,108,13680,9964,-18960
1981:Q3,3272,0,4336,11592,15020,-27676
1981:Q4,7472,0,7564,7096,2348,-9536
1982:Q1,21452,0,-9280,14480,9712,6540
1982:Q2,4448,0,4976,2952,15696,-19176
1982:Q3,-28508,0,-12168,-1540,-15292,492
1982:Q4,10624,0,7180,3760,-280,-36
1983:Q1,8900,436,6068,-18308,7680,13024
1983:Q2,-3716,-184,-140,1848,1652,-6892
1983:Q3,9056,444,6524,984,2160,-1056
1983:Q4,11564,568,4868,8084,3832,-5788
1984:Q1,19460,1012,4592,7452,8556,-2152
1984:Q2,6100,360,3848,-3212,9492,-4388
1984:Q3,-20656,-1016,-16340,2720,-13152,7132
1984:Q4,-8692,-364,3464,-9816,568,-2544
1985:Q1,7120,460,-2864,-1024,6132,4416
1985:Q2,-22068,-820,-2692,-9436,-4572,-4548
1985:Q3,20288,1580,2476,1604,-14324,28952
1985:Q4,23060,2044,14036,112,10276,-3408
1986:Q1,17824,644,6844,584,-19240,28992
1986:Q2,25660,696,4480,11492,5136,3856
1986:Q3,38424,1284,-3000,2328,6308,31504
1986:Q4,28480,480,4388,-1888,7496,18004
1987:Q1,4364,-264,-9500,19684,12268,-17824
1987:Q2,1624,-648,-3720,-12688,-14164,32844
1987:Q3,4932,-500,-3260,-4884,15972,-2396
1987:Q4,23304,888,4724,-4356,-24416,46464
1988:Q1,-7532,-140,8288,1952,5772,-23404
1988:Q2,35340,1624,28256,52,9780,-4372
1988:Q3,16320,752,3500,1532,8072,2464
1988:Q4,14480,1412,-18876,28740,-11708,14912
1989:Q1,54908,1780,-11728,-2660,18292,49224
1989:Q2,10780,-484,-6036,-26748,-15584,59632
1989:Q3,20992,944,-12484,28232,-11968,16268
1989:Q4,29708,820,2852,-12104,-6788,44928
1990:Q1,-22468,-476,3856,2672,972,-29492
1990:Q2,49476,2228,-472,3976,-6120,49864
1990:Q3,56580,2548,-4168,15064,-4668,47804
1990:Q4,28056,1340,832,-18924,10152,34656
1991:Q1,-3724,2128,2528,23468,-80,-31768
1991:Q2,-48688,-8,-11000,-22804,6044,-20920
1991:Q3,-9196,1808,3916,-12108,-2912,100
1991:Q4,-44296,184,11428,-9432,10916,-57392
1992:Q1,-34772,4,-5828,-5528,17276,-40696
1992:Q2,8696,1548,36,-14552,-15136,36800
1992:Q3,19920,2204,2608,19160,-7408,3356
1992:Q4,-7592,936,608,-4076,-13892,8832
1993:Q1,-10600,-620,-9208,-6704,23312,-17380
1993:Q2,-6348,-372,712,1520,-23548,15340
1993:Q3,-44820,-2620,6444,-20996,6788,-34436
1993:Q4,-12128,-708,-3104,-15716,-6596,13996
1994:Q1,-2804,-164,4912,5496,3036,-16084
1994:Q2,77308,4524,1400,-9992,23172,58204
1994:Q3,34888,2040,-13768,-1548,-12780,60944
1994:Q4,102164,5976,12104,29792,7936,46356
1995:Q1,32632,5908,-7256,-3124,4784,32320
1995:Q2,111944,8548,2416,1440,-1644,101184
1995:Q3,-24500,-1432,5608,23640,14324,-66640
1995:Q4,21140,5236,6188,-5812,-6560,22088
1996:Q1,100764,10660,11936,6132,2528,69508
1996:Q2,2988,6688,-2172,-28744,-10008,37224
1996:Q3,119888,16000,4312,14272,4048,81256
1996:Q4,120108,16112,29144,22388,19116,33348
1997:Q1,184352,11244,3040,-9692,-22840,202600
1997:Q2,24176,1384,17976,-1960,14544,-7768
1997:Q3,101676,6220,-844,11176,7360,77764
1997:Q4,120620,7284,-40448,608,-832,154008
1998:Q1,-24144,-1448,15904,20708,-2240,-57068
1998:Q2,64556,3872,-26152,-26012,-4132,116980
1998:Q3,114320,6860,-8768,19492,-8296,105032
1998:Q4,-118324,-7100,48532,14264,11748,-185768
1999:Q1,109508,6572,22868,37656,-12964,55376
1999:Q2,74556,4472,-15568,21448,-8920,73124
1999:Q3,45600,2736,4588,39516,3440,-4680
1999:Q4,-34088,-2044,-8120,-53092,56832,-27664
2000:Q1,299428,17964,17160,82680,-37536,219160
2000:Q2,46072,2764,-24032,25340,-5092,47092
2000:Q3,-88796,-5328,-62976,-1452,18044,-37084
2000:Q4,250812,15048,40124,69952,18168,107520
2001:Q1,167904,10076,-28404,90724,20736,74772
2001:Q2,-155380,-9324,660,-10996,22800,-158520
2001:Q3,-4736,-284,-10896,2740,-18800,22504
2001:Q4,19220,1152,4592,43600,10636,-40760
2002:Q1,-60300,-3620,4620,-29204,2356,-34452
2002:Q2,29848,1792,7312,-7992,-7052,35788
2002:Q3,104144,6248,6000,10364,-16824,98356
2002:Q4,10428,624,2348,-56,26980,-19468
2003:Q1,105816,6764,5384,-38964,-38240,170872
2003:Q2,166896,9948,33456,-43404,18372,148524
2003:Q3,-183240,-11876,16864,-23104,-5636,-159488
2003:Q4,85552,6780,14528,-47312,7896,103660
2004:Q1,141192,9452,14216,12684,19244,85596
2004:Q2,262556,10740,23704,27084,-14768,215796
2004:Q3,-3376,3900,-11712,-33752,-20680,58868
2004:Q4,216272,11600,36032,-2608,12024,159224
2005:Q1,365332,22552,30384,-18812,55580,275628
2005:Q2,-191444,-11412,-15220,55076,17108,-236996
2005:Q3,81940,8140,-24308,44500,-17564,71172
2005:Q4,-168320,-10948,48608,-49632,15996,-172344
2006:Q1,275500,16128,-86300,22084,22140,301448
2006:Q2,390648,19148,44196,-75340,17380,385264
2006:Q3,66660,-3668,-37392,-33016,16128,124608
2006:Q4,-10984,-7212,22556,45820,-7528,-64620
2007:Q1,164244,14352,-16120,-15784,8668,173128
2007:Q2,539376,25580,42072,-37200,35840,473084
2007:Q3,391488,19656,4564,111688,73212,182368
2007:Q4,82924,11516,-26860,81432,44792,-27956
2008:Q1,-145596,-14628,19148,41036,53164,-244316
2008:Q2,-446980,-22228,-72800,504,118524,-470980
2008:Q3,-534116,-31928,-21028,-41208,-132104,-307848
2008:Q4,-197292,-2536,-27504,-59248,220176,-328180
2009:Q1,-146516,-17508,4128,-42076,-75472,-15588
2009:Q2,181456,288,2020,49720,56944,72484
2009:Q3,252768,1712,76,65308,81408,104264
2009:Q4,-463116,-13164,21072,-26672,-45196,-399156
2010:Q1,-213940,-17008,26332,-18800,5784,-210248
2010:Q2,169036,11476,2184,780,-42128,196724
2010:Q3,165212,10136,-11464,47116,34396,85028
2010:Q4,165936,13584,35760,6508,31504,78580
2011:Q1,193728,9348,43096,14380,-32452,159356
2011:Q2,-382136,-17248,19372,18540,-56248,-346552
2011:Q3,-154620,-3656,-85636,-178592,31840,81424
2011:Q4,-516876,-28088,-22684,-110940,-93904,-261260
2012:Q1,-102488,-4412,-16148,-11508,-82480,12060
2012:Q2,-405456,-22240,-21424,-29124,-69956,-262712
2012:Q3,100780,5360,26284,29176,-18708,58668
2012:Q4,-182424,-10228,15660,12508,-132656,-67708
2013:Q1,203104,12876,118268,22116,83464,-33620
2013:Q2,200572,15248,62032,-47492,-114172,284956
2013:Q3,-36532,-92,3056,-3336,42488,-78648
2013:Q4,-242616,-17636,90844,-10572,-110296,-194956
2014:Q1,-8712,1728,-53208,-58196,-1400,102364
2014:Q2,-175288,-10868,76648,29524,-12272,-258320
2014:Q3,201860,11576,-37556,-13948,80976,160812
2014:Q4,-488948,-27872,-23120,3568,-50324,-391200
2015:Q1,-66072,-4664,-107868,-16128,-9700,72288
2015:Q2,-327996,-20424,46200,8020,-28980,-332812
2015:Q3,-236356,-13228,-14316,-39704,-10160,-158948
2015:Q4,-312820,-17028,-36,-5976,-5064,-284716
2016:Q1,149248,2904,-69932,25976,27164,163136
2016:Q2,-111044,-5240,52052,-18576,37520,-176800
2016:Q3,-76928,-2000,27088,-34392,16004,-83628
2016:Q4,-300504,-18120,5712,-9860,-142240,-135996
2017:Q1,352208,18128,-39696,6932,-15324,382168
2017:Q2,271964,12400,61092,-1316,17688,182100
2017:Q3,444584,23712,501024,9104,-2816,-86440
2017:Q4,-40888,-3424,-46568,-7256,11840,4520
2018:Q1,185672,12504,-22768,-9952,2356,203532
2018:Q2,114100,1312,45564,6592,42424,18208
2018:Q3,-9572,-2600,-357024,-3140,636,352556
2018:Q4,-24764,236,-106812,-2256,-39400,123468
2019:Q1,14200,-3640,17712,-300,27528,-27100
2019:Q2,-85780,-5508,72644,2764,-18452,-137228
2019:Q3,100944,-476,-56960,7136,13736,137508
2019:Q4,39992,4824,65376,13784,-12044,-31948
2020:Q1,697972,37432,-84604,-14516,32040,727620
2020:Q2,-525224,-25844,126220,-6556,43860,-662904
2020:Q3,246480,15808,47500,-4868,-13404,201444
2020:Q4,-11428,3896,-73000,-708,-91768,150152
2021:Q1,123168,5408,111376,5772,22124,-21512
2021:Q2,-19376,-5112,140772,-7604,-22940,-124492
2021:Q3,-103020,-3200,-128500,2392,-9312,35600
2021:Q4,110776,1976,1484,-2376,2992,106700
2022:Q1,162072,8328,85936,4100,11336,52372
2022:Q2,77528,4624,-93812,76,-56436,223076
2022:Q3,172420,6196,18716,-988,17532,130964
2022:Q4,-100616,-5456,128004,1180,-7476,-216868
2023:Q1,184960,-2456,-14100,1184,9832,190500
2023:Q2,-290812,-12940,107408,5064,2120,-392464
2023:Q3,114644,8100,34824,31920,10572,29228
2023:Q4,-40668,100,13820,-21912,-8760,-23916
2024:Q1,142425,12949,70976,-1824,-8020,68344
