1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q4,1532380,4547,86942,15263,22583,351363,26485,112722,86584,125572,16666,486477,38262,510277,186900,19012,142462,161903,1557429,980311,837849,142462,955262,577118
1989:Q1,1571665,5122,94517,16048,23571,354088,26616,104456,97388,125628,17630,516157,40630,503902,192621,20696,127866,162719,1598546,995737,867871,127866,968856,602809
1989:Q2,1612334,5072,101600,17220,24017,365805,26081,109626,101011,129087,19272,550139,44371,484838,196637,22555,110370,155276,1640682,1011164,900794,110370,982816,629518
1989:Q3,1655927,4697,108691,17420,25085,379038,26155,115216,104862,132805,21079,607148,48823,443946,202090,24454,73171,144231,1686248,1026590,953419,73171,996269,659658
1989:Q4,1699188,4141,114406,18678,24814,395377,24814,122396,110428,137739,23294,599629,51196,467653,204708,26280,88985,147680,1730726,1042017,953032,88985,1010479,688709
1990:Q1,1714281,3666,116002,19649,24854,399411,24854,111101,122943,140513,23310,573647,51205,502537,207757,28004,126999,139777,1745195,1057444,930445,126999,1026530,687751
1990:Q2,1735506,3266,113279,18997,24503,417060,24503,116508,127920,148129,24179,607628,57280,469314,210073,29268,99269,130704,1765978,1072870,973601,99269,1042398,693108
1990:Q3,1734987,3416,111111,18694,24146,427635,24146,119700,130652,153137,24614,515493,51499,558379,210651,30642,187151,129935,1764916,1088297,901146,187151,1058368,676619
1990:Q4,1782908,3311,110223,19150,23504,435846,23504,122254,132637,157451,24901,572836,57503,535634,214824,32331,174505,113974,1812270,1103724,929219,174505,1074362,708546
1991:Q1,1848259,3226,107637,18268,23125,449133,23125,114699,146543,164766,23391,669778,68466,485235,221275,35015,117842,111103,1877176,1119151,1001309,117842,1090234,758025
1991:Q2,1877844,3141,109796,18785,24039,450260,24039,114156,144457,167608,21380,663272,72702,514469,227141,38479,129970,118879,1906415,1134578,1004608,129970,1106007,771837
1991:Q3,1929606,3056,114389,20128,25471,464217,25471,116866,147391,174489,19993,698467,82613,501272,235003,41713,107362,117194,1958077,1150004,1042642,107362,1121533,808073
1991:Q4,1989531,2965,115719,19840,27237,468462,27237,116946,145747,178532,18226,762709,88416,485957,244532,44403,85104,111918,2018204,1165431,1080327,85104,1136758,852773
1992:Q1,2004879,2917,110670,19944,27061,475638,27061,106319,157123,185135,17243,733323,94592,523491,245603,46813,131380,99695,2032702,1180873,1049493,131380,1153050,851829
1992:Q2,2036172,2909,106119,20012,27189,477665,27189,105472,155059,189945,16074,750537,102272,533395,246814,49189,134202,103190,2063077,1196315,1062113,134202,1169410,866762
1992:Q3,2086623,2904,102989,20744,27356,491775,27356,107974,157006,199439,15422,770972,106492,547969,248455,51659,146233,101622,2112318,1211756,1065523,146233,1186061,900562
1992:Q4,2132942,2919,98608,20909,27424,498293,27424,108371,156333,206165,14546,826681,119962,523600,247586,54321,122871,98822,2157409,1227198,1104327,122871,1202731,930211
1993:Q1,2203052,2953,99701,23125,28361,512420,28361,98822,171023,214214,14654,895716,130698,495424,255081,56975,84635,98733,2227183,1242640,1158005,84635,1218509,984543
1993:Q2,2243327,2978,99409,25182,28799,513658,28799,97622,169668,217569,14330,908457,142528,507986,257893,59829,96156,94108,2266845,1258082,1161926,96156,1234564,1008763
1993:Q3,2289513,2995,95060,25370,28085,536332,28085,110389,167978,229880,14824,936966,154751,495130,261806,62933,82355,88036,2312609,1273524,1191169,82355,1250428,1039085
1993:Q4,2322864,3055,95254,27473,28339,535408,28339,104033,170207,232829,12984,959673,168654,492024,267861,66636,70922,86605,2345799,1288966,1218044,70922,1266031,1056833
1994:Q1,2344695,3184,96975,29978,27158,535120,27158,103736,175517,228709,12547,916720,178759,544254,272422,69970,118264,83598,2368271,1304408,1186144,118264,1280832,1063863
1994:Q2,2389474,3362,97401,31613,25772,555540,25772,112112,188455,229201,12563,926180,188074,548969,278678,73062,109857,87372,2413995,1319850,1209993,109857,1295329,1094145
1994:Q3,2447289,3541,96231,31907,23915,573262,23915,118097,202501,228749,12561,988483,207870,509519,283400,75948,60705,89466,2472460,1335292,1274587,60705,1310121,1137168
1994:Q4,2439439,3988,101717,32903,22157,579670,22157,120741,210789,225983,7795,957924,232886,500399,297926,78325,37631,86517,2476578,1350734,1313103,37631,1313595,1125844
1995:Q1,2515471,4200,104456,33791,22229,587327,22229,121464,212380,231254,7991,1020651,270407,464419,303617,79682,-6900,88020,2553480,1366176,1373076,-6900,1328167,1187304
1995:Q2,2588002,4414,105521,36321,22300,591123,22300,121526,212445,234852,8188,1085160,308500,426475,309154,81041,-53242,89522,2626884,1381618,1434860,-53242,1342736,1245266
1995:Q3,2680910,4629,107911,37509,22373,590690,22373,120109,211891,236317,8384,1150487,353986,404941,315759,82398,-84240,91024,2720663,1397060,1481300,-84240,1357307,1323603
1995:Q4,2760342,4853,109819,39385,22443,595534,22443,120195,212661,240235,8581,1182795,392724,404208,322167,83757,-94243,92527,2800965,1412502,1506745,-94243,1371879,1388463
1996:Q1,2836424,5076,111933,42285,23466,602404,23466,121265,212456,245217,8776,1216346,425959,400179,326999,85114,-108812,96878,2877917,1427944,1536756,-108812,1386451,1449973
1996:Q2,2888225,5297,115084,44041,24487,606864,24487,121061,212494,248822,8971,1234430,452156,396895,332133,86471,-122940,101231,2930589,1443386,1566326,-122940,1401022,1487203
1996:Q3,2954282,5521,117470,46749,25509,594953,25509,116806,207148,245490,9169,1266377,483812,404722,340885,87829,-129576,105584,2997517,1458828,1588404,-129576,1415593,1538689
1996:Q4,3062683,5519,118497,50847,27332,585711,27332,114885,200606,242888,9297,1316271,536840,412369,370915,89185,-160068,112337,3106789,1474270,1634338,-160068,1430164,1632519
1997:Q1,3078760,6059,120706,55669,27044,596884,27045,115830,202344,251665,9560,1267457,555280,440101,362427,91610,-127008,113072,3123748,1489712,1616720,-127008,1444724,1634036
1997:Q2,3267762,6339,123716,58111,27508,605418,27509,115729,203419,258761,9835,1441013,651303,344519,377741,93059,-242401,116120,3313649,1505154,1747555,-242401,1459267,1808495
1997:Q3,3428540,7165,123443,65500,27468,616285,27470,116364,205385,267066,10140,1548592,731126,298821,387588,94508,-300985,117710,3475345,1520596,1821581,-300985,1473791,1954749
1997:Q4,3437170,6889,129471,64462,28537,628734,28542,116875,206810,276507,10094,1492906,740922,335155,389827,97572,-274569,122325,3484239,1536038,1810607,-274569,1488969,1948201
1998:Q1,3658002,6562,137042,65068,28934,627032,28946,113845,206165,278076,10125,1680465,830815,271959,403924,101929,-358076,124182,3706012,1568078,1926154,-358076,1520068,2137934
1998:Q2,3689641,6221,145409,65607,29310,619335,29337,111506,201145,277347,10170,1646721,833026,333842,395905,106429,-294536,126044,3738611,1600119,1894655,-294536,1551149,2138492
1998:Q3,3535755,5875,152485,66380,29583,617319,29641,107362,198451,281865,10312,1416009,749151,488641,373469,110976,-123471,127667,3585707,1632159,1755630,-123471,1582207,1953548
1998:Q4,3847963,6025,159171,67566,29690,618172,29801,103244,188681,296446,9887,1735641,889897,331914,391642,110453,-297769,127588,3902202,1664200,1961969,-297769,1609961,2238002
1999:Q1,3927578,5756,150187,71636,30857,635507,30630,105128,197595,302154,10340,1718908,953675,350712,394833,107339,-283671,132211,3982995,1687061,1970732,-283671,1631644,2295934
1999:Q2,4055407,6184,141764,74451,31023,663942,31361,112405,207008,313168,10794,1773829,1038731,314689,399477,103373,-325880,137719,4112012,1709922,2035802,-325880,1653317,2402090
1999:Q3,3989546,6514,130203,79597,31434,684961,31971,119550,213129,320311,11247,1591834,1028757,424999,395647,98336,-211753,142769,4047347,1732783,1944536,-211753,1674982,2314564
1999:Q4,4225677,7398,119998,80143,31634,717506,32439,120121,225397,339549,11700,1806759,1182367,268172,405519,92083,-376726,147296,4283402,1755644,2132370,-376726,1697919,2527758
2000:Q1,4347022,7744,117159,80428,30689,709576,31833,117782,228716,331245,11913,1950310,1248153,191050,409332,90069,-454190,145839,4403546,1773236,2227426,-454190,1716712,2630310
2000:Q2,4329542,8339,108497,80441,29423,678148,30967,116398,215439,315344,12002,1908923,1253357,250412,394385,83290,-373002,145739,4382812,1790828,2163830,-373002,1737558,2591984
2000:Q3,4380438,9472,101269,83354,28061,645116,30048,114613,206386,294069,12046,1941411,1298077,261632,385545,77999,-347068,145156,4428403,1808420,2155488,-347068,1760455,2619983
2000:Q4,4282723,10707,97215,84218,26532,596136,28970,110794,193756,262616,11934,1823066,1246111,386804,362336,72991,-193582,145059,4323330,1826012,2019594,-193582,1785405,2497318
2001:Q1,4079568,9507,85189,80667,21600,615442,24462,116812,210432,263736,10245,1651570,1090945,514403,328472,70761,2716,112454,4127271,1861615,1858899,2716,1813912,2265656
2001:Q2,4219114,9648,78105,80473,20325,596082,23545,111017,206735,254785,10082,1799948,1126529,497922,342603,64343,-16822,107798,4266267,1897218,1914040,-16822,1850065,2369049
2001:Q3,4008641,9786,69734,80084,19021,578755,22498,110361,196281,249615,9949,1598003,992575,650734,295447,57207,193667,104413,4055370,1932821,1739154,193667,1886092,2122549
2001:Q4,4171640,9898,60767,78527,17674,559216,21284,103378,194571,239983,9750,1785331,1065212,585265,324502,48408,111656,100699,4218172,1968424,1856768,111656,1921892,2249748
2002:Q1,4305029,9904,59411,79647,18624,570019,22007,108018,191579,248415,10346,1778574,1145090,633414,346591,53365,131644,101814,4352092,1981591,1849947,131644,1934528,2370501
2002:Q2,4123634,9972,57677,84686,18685,585531,21788,105255,194427,264061,10320,1577062,1055669,724032,317034,50993,249617,106388,4169318,1994759,1745142,249617,1949075,2174559
2002:Q3,3917724,10054,56255,87802,18989,576290,21745,103439,187372,263734,10386,1378336,952392,827220,274306,55347,390092,107475,3962354,2007927,1617835,390092,1963297,1954427
2002:Q4,4030356,10118,56863,87945,19021,550500,21835,98904,178006,251755,10337,1493308,1018090,784174,290926,49933,339673,103642,4072474,2021094,1681421,339673,1978976,2051380
2003:Q1,4039461,10180,52765,86769,19439,570046,22180,106624,185821,255421,10267,1517484,968464,804047,283598,53470,359412,107567,4080782,2031885,1672473,359412,1990564,2048897
2003:Q2,4289253,10226,56225,87061,19817,583950,19563,111418,193301,259668,10097,1754021,1104616,663240,321082,49917,185466,106775,4329753,2042676,1857210,185466,2002176,2287077
2003:Q3,4343902,10263,53900,87404,20096,598538,19416,108321,204494,266307,10132,1798712,1126263,638594,333945,48597,153647,102405,4384619,2053467,1899820,153647,2012750,2331152
2003:Q4,4569164,10294,59540,87431,20459,622828,21315,113112,215435,272966,10249,1967418,1241098,549847,371095,49764,28157,100831,4610727,2064258,2036101,28157,2022695,2546469
2004:Q1,4638177,10303,57365,87323,20693,623581,21155,110091,216199,276136,10182,2026199,1269714,532817,366462,47487,18130,100738,4679889,2099970,2081840,18130,2058258,2579919
2004:Q2,4695936,10331,48809,87535,21236,625415,21213,111054,220099,273049,10137,2030368,1288765,573340,370970,50887,44832,106651,4737373,2135682,2090850,44832,2094245,2601691
2004:Q3,4716418,10363,50695,87802,21488,623096,21415,108814,223950,268917,10204,2026846,1267985,617939,357932,47904,108207,103896,4757846,2171394,2063187,108207,2129966,2586452
2004:Q4,4982815,10400,54890,87985,21011,621001,21136,108228,226281,265356,10030,2193261,1408778,575459,390055,46648,34223,104533,5023527,2207105,2172882,34223,2166393,2816422
2005:Q1,4983564,10443,53318,88368,21901,627865,21761,109570,228844,267690,9943,2136868,1433288,601570,384726,45497,68097,103250,5023754,2227925,2159828,68097,2187735,2795829
2005:Q2,5096890,10489,56969,88711,21894,635926,21806,110449,229122,274549,9922,2171903,1520619,580457,388188,43906,47210,101153,5136726,2248745,2201535,47210,2208909,2887981
2005:Q3,5254666,10566,60515,89376,21905,647695,21895,111797,232976,281027,9894,2245396,1629455,539864,397767,46226,-2809,98680,5294185,2269565,2272374,-2809,2230046,3024620
2005:Q4,5391230,10652,60914,90123,22079,664889,22103,111423,245249,286114,9813,2287801,1727011,517948,405228,44763,-30193,98150,5430482,2290385,2320578,-30193,2251133,3140097
2006:Q1,5486680,16073,29028,144359,6180,658181,36851,125213,163484,332633,15345,1863657,1841598,912259,408263,63258,5852,434886,5525708,2318298,2312446,5852,2279270,3207410
2006:Q2,5486715,16494,29143,145853,5282,661403,37599,125483,163159,335162,20877,1805783,1827270,974610,398039,63754,71195,441622,5525461,2346211,2275016,71195,2307465,3179250
2006:Q3,5611689,16915,29257,147252,4382,688311,38347,130414,170969,348581,26409,1864725,1888253,946185,398517,64249,35061,448358,5650187,2374125,2339064,35061,2335627,3276062
2006:Q4,5801349,17336,29370,148580,3484,682519,39095,131590,173251,338583,31940,1976297,2003479,908344,404781,64745,-16275,455093,5839115,2402038,2418313,-16275,2364272,3437077
2007:Q1,5892321,17639,30277,150520,3543,694303,40194,132726,177727,343656,32495,1992967,2049298,921279,411508,65879,-19253,463145,5929132,2433813,2453066,-19253,2397002,3495319
2007:Q2,6084329,17942,31184,152531,3603,691865,41293,131281,178053,341238,33049,2102757,2164695,886703,426550,67015,-78058,471196,6120677,2465589,2543647,-78058,2429241,3655088
2007:Q3,6190740,18245,32091,154625,3663,712416,42391,135527,183267,351231,33603,2121664,2224041,890392,435938,68150,-92943,479247,6227171,2497365,2590308,-92943,2460934,3729806
2007:Q4,6157040,18546,32998,156551,3723,733828,43489,140096,188424,361819,34157,2040978,2174149,962110,433876,69286,-28350,487298,6191356,2529140,2557490,-28350,2494824,3662216
2008:Q1,5959661,17130,31802,158194,3480,733874,41897,143945,191288,356744,32154,1844741,2022613,1115673,411169,72970,144142,487392,5995106,2548911,2404769,144142,2513466,3446195
2008:Q2,5964793,15714,30606,159478,3237,708565,40304,138548,192994,336719,30153,1814610,2019444,1182986,405652,76654,213194,487486,6001034,2568682,2355488,213194,2532441,3432352
2008:Q3,5718989,14297,29410,160977,2995,687533,38712,139402,183717,325702,28151,1655710,1802504,1337412,377878,80338,391616,487580,5755621,2588453,2196837,391616,2551821,3167168
2008:Q4,5296142,12881,28214,163164,2752,710197,37120,148919,190979,333179,26148,1275037,1480194,1597555,338332,84024,687525,487674,5331573,2608224,1920699,687525,2572793,2723349
2009:Q1,5183262,12239,28981,161004,2791,710435,37718,149354,173388,349975,25536,1111499,1405308,1725469,346531,81872,802432,494634,5219804,2619385,1816953,802432,2582843,2600419
2009:Q2,5487947,11597,29748,158229,2830,730913,38317,147669,176231,368696,24924,1269941,1628107,1631658,385051,79721,665291,501595,5524413,2630546,1965255,665291,2594080,2893867
2009:Q3,5823412,10954,30514,155425,2868,759314,38916,154098,173339,392961,24312,1448752,1872389,1518884,426147,77570,506611,508556,5859955,2641707,2135096,506611,2605164,3218248
2009:Q4,5951608,10312,31281,152772,2907,762342,39515,155555,157697,409575,23701,1504445,1955289,1508559,451641,75419,465983,515516,5988223,2652868,2186885,465983,2616253,3335355
2010:Q1,6141270,10845,31183,150042,2848,787839,39169,166612,164387,417671,24394,1599649,2038143,1496327,457304,79264,440704,519055,6177962,2707711,2267007,440704,2671019,3470251
2010:Q2,6011989,11377,31086,147380,2789,827762,38823,183910,172181,432848,25088,1424962,1898413,1643132,438545,83110,598883,522594,6048760,2762554,2163671,598883,2725783,3286206
2010:Q3,6334174,11910,30988,144682,2730,864807,38477,198338,182365,445627,25782,1590991,2088246,1574038,453977,86957,506972,526132,6370977,2817396,2310424,506972,2780593,3553581
2010:Q4,6603833,12442,30891,141940,2671,867278,38131,202198,181169,445780,26476,1778082,2220170,1523883,466228,90802,437182,529671,6640673,2872238,2435056,437182,2835398,3768435
2011:Q1,6787331,13815,31331,146058,2680,876822,38718,209176,178669,450259,25323,1862638,2318236,1510428,483559,91542,381223,554104,6824212,2900122,2518899,381223,2863241,3924090
2011:Q2,6833058,15187,31772,150258,2689,901078,39307,221475,178751,461545,24170,1833265,2334452,1540187,488666,92282,394064,565175,6869983,2928005,2533941,394064,2891080,3941978
2011:Q3,6512709,16559,32213,154722,2698,938994,39895,242590,179000,477509,23017,1525638,2073058,1745810,475402,93022,601144,576242,6549662,2955888,2354744,601144,2918935,3593774
2011:Q4,6737088,17932,32653,158859,2707,955513,40482,251646,178505,484880,21864,1680431,2199958,1667171,488614,93762,497490,587305,6774076,2983772,2486282,497490,2946784,3790304
2012:Q1,7055523,17442,31712,154514,2628,979643,39323,258532,176136,505652,22162,1882071,2409782,1555569,502627,90682,366427,595833,7092578,3001669,2635242,366427,2964614,4090909
2012:Q2,7010703,16953,30771,150381,2550,1023528,38164,276545,174033,534786,22461,1808310,2343863,1611886,498409,87601,421525,604351,7047824,3019565,2598040,421525,2982444,4028259
2012:Q3,7202551,16464,29829,146229,2471,1060580,37005,288307,174161,561107,22761,1904268,2459038,1560911,506583,84521,356944,612863,7239748,3037461,2680517,356944,3000264,4202287
2012:Q4,7258498,15975,28888,142108,2393,1085388,35845,297816,169305,582422,23060,1890700,2481487,1588499,508528,81441,377162,621368,7295769,3055358,2678196,377162,3018087,4240411
2013:Q1,7605618,15877,30060,145172,2498,1090253,37193,295615,166298,591147,22885,2037753,2646725,1614395,517634,80822,387073,628866,7642872,3154354,2767281,387073,3117100,4488518
2013:Q2,7744709,15781,31233,148437,2603,1071741,38541,287120,157664,588416,22711,2032448,2665422,1754333,516311,80205,521440,636377,7781947,3253349,2731909,521440,3216111,4528598
2013:Q3,8054970,15684,32406,151672,2708,1082662,39890,285496,156623,600653,22536,2095274,2828139,1823889,523370,79587,577031,643901,8092188,3352344,2775313,577031,3315126,4739844
2013:Q4,8419894,15587,33578,154758,2813,1086697,41239,281413,155598,608447,22362,2243776,3006887,1853436,531723,78969,591307,651437,8457096,3451340,2860033,591307,3414138,5005756
2014:Q1,8496769,16400,34054,155105,2860,1122718,41738,287664,160488,632828,22777,2232247,3065513,1845095,534142,78253,574307,658393,8533967,3454394,2880087,574307,3417196,5079573
2014:Q2,8656150,17214,34530,155437,2906,1156737,42239,293805,165229,655464,23192,2283371,3181868,1800895,539400,77536,518625,665334,8693339,3457447,2938822,518625,3420258,5235892
2014:Q3,8619139,18027,35007,155793,2952,1175383,42740,296560,165455,670628,23607,2225200,3146099,1837071,536176,76820,551812,672263,8656324,3460501,2908689,551812,3423316,5195823
2014:Q4,8719234,18841,35483,156078,2998,1209746,43239,304867,168063,693577,24022,2284263,3190243,1797560,538852,76104,503426,679178,8756424,3463555,2960129,503426,3426365,5292869
2015:Q1,8803772,19081,34632,155429,2917,1215670,42327,304967,169776,698600,23510,2307117,3260261,1785155,540624,79894,488353,676284,8840986,3456746,2968393,488353,3419532,5384240
2015:Q2,8788687,19320,33781,154918,2836,1189832,41413,294125,162722,691572,22998,2291650,3253559,1819793,537847,83685,524858,673403,8825925,3449937,2925079,524858,3412699,5375988
2015:Q3,8511641,19560,32931,154478,2755,1194448,40499,294529,161279,698141,22486,2107237,3043467,1934279,524772,87475,651500,670532,8548907,3443128,2791628,651500,3405862,5105779
2015:Q4,8648708,19799,32079,153862,2673,1175795,39586,286719,158288,691202,21974,2220447,3127880,1894199,526972,91266,608286,667675,8686001,3436319,2828033,608286,3399026,5249682
2016:Q1,8740067,19123,31909,155129,2653,1222053,39455,300117,163515,718966,22041,2200332,3186535,1900292,530849,93472,600526,675445,8777401,3444611,2844085,600526,3407277,5332790
2016:Q2,8845913,18447,31740,156209,2633,1257298,39325,310075,167911,739987,22108,2217884,3240330,1899264,537164,95677,583221,683202,8883289,3452903,2869682,583221,3415527,5430386
2016:Q3,9022632,17771,31570,157246,2613,1267021,39194,312739,169531,745557,22176,2276407,3356488,1891340,545394,97884,557116,690946,9060035,3461196,2904080,557116,3423793,5598839
2016:Q4,9072621,17095,31399,158297,2593,1231582,39063,304124,168065,720330,22242,2329911,3352752,1926750,546470,100090,581514,698676,9110055,3469489,2887976,581514,3432055,5640566
2017:Q1,9345101,18269,32304,158208,2680,1270754,40018,316008,174604,740124,23345,2439909,3519096,1880536,552485,104882,505953,717216,9382554,3481127,2975174,505953,3443674,5901427
2017:Q2,9532519,19442,33208,158172,2768,1320102,40973,329745,182098,767286,24448,2488019,3624889,1861471,555752,109673,460273,735773,9569997,3492765,3032492,460273,3455287,6077232
2017:Q3,9761953,20615,34112,158593,2856,1357414,41927,340841,188401,786245,25550,2576101,3755482,1831230,560358,114464,402061,754347,9799448,3504404,3102343,402061,3466909,6295044
2017:Q4,10019153,21788,35017,158868,2943,1391161,42882,350889,193640,803750,26652,2713027,3886598,1783099,565133,119256,325772,772938,10056669,3516042,3190270,325772,3478526,6540627
2018:Q1,9986135,20533,33756,158761,2820,1376989,41559,351012,194818,789600,25940,2664578,3860192,1842566,563927,110618,397445,770576,10023593,3520096,3122651,397445,3482638,6503497
2018:Q2,10090515,19279,32494,158503,2698,1379220,40236,355964,197024,785996,25227,2735148,3903535,1834411,567450,101979,396755,768227,10127916,3524151,3127396,396755,3486750,6603765
2018:Q3,10316767,18025,31233,158302,2575,1394587,38914,358044,199651,797978,24516,2896356,4019534,1771639,574231,93340,338180,765888,10354110,3528206,3190026,338180,3490863,6825904
2018:Q4,9695080,16770,29972,158459,2452,1416067,37591,371912,205044,801520,23803,2447979,3594613,2004965,555735,84701,600966,763563,9732360,3532260,2931294,600966,3494980,6200100
2019:Q1,10298717,18604,26110,163732,5784,1469607,36975,390904,210753,830975,23648,2735930,3955781,1899521,570233,83557,452876,792855,10335963,3566841,3113965,452876,3529595,6769122
2019:Q2,10545912,20437,22248,169130,9115,1522365,36360,413608,217254,855143,23493,2792123,4076796,1910205,573940,82414,431678,822173,10583125,3601422,3169744,431678,3564209,6981703
2019:Q3,10638331,22270,18387,174625,12447,1560253,35745,434030,222259,868219,23338,2768196,4086531,1972284,572879,81269,466617,851519,10675515,3636004,3169387,466617,3598820,7039511
2019:Q4,11060238,24103,14525,179939,15779,1565782,35129,440034,224081,866538,23183,2961841,4320096,1954990,580119,80125,413854,880892,11097390,3670585,3256731,413854,3633433,7426805
2020:Q1,10062266,23074,15086,187753,16428,1585699,36490,476895,234852,837462,23470,2301607,3629684,2279465,556102,79440,748471,895452,10099402,3669413,2920942,748471,3632277,6429989
2020:Q2,10931497,22044,15648,193816,17078,1672633,37851,473282,234749,926751,23758,2768826,4195704,2021990,583452,78755,449808,909975,10968617,3668241,3218433,449808,3631121,7300376
2020:Q3,11329266,21015,16209,199806,17728,1688365,39212,469582,234370,945201,24045,2980021,4443146,1938931,596811,78070,339590,924460,11366371,3667069,3327479,339590,3629964,7699302
2020:Q4,12041968,19985,16771,204555,18377,1715260,40574,461231,235379,978076,24332,3378771,4900368,1763549,619528,77384,127729,938908,12079061,3665896,3538167,127729,3628803,8413165
2021:Q1,12304650,21122,16892,206329,18460,1675664,40862,453311,237518,943973,24614,3510327,5033741,1797501,622286,75758,150099,949358,12342070,3677914,3527815,150099,3640494,8664156
2021:Q2,12776877,22259,17013,207724,18542,1754000,41150,476849,246912,989089,24895,3715172,5297171,1720101,636805,74130,49296,959870,12814641,3689932,3640636,49296,3652168,9124709
2021:Q3,12746475,23396,17133,209908,18625,1786263,41438,491405,254191,999229,25176,3625005,5239689,1801280,633609,72503,124721,970447,12784585,3701950,3577229,124721,3663840,9082635
2021:Q4,13164658,24532,17254,212000,18707,1820982,41727,507815,259248,1012192,25457,3869810,5430074,1745842,640441,70876,53437,981088,13203123,3713968,3660531,53437,3675503,9489155
2022:Q1,12673604,24584,17445,214151,18920,1711109,42190,481849,249940,937130,25615,3619273,5083467,1959040,621024,70168,279680,988168,12712348,3726787,3447107,279680,3688043,8985561
2022:Q2,11631887,24545,17708,217826,19172,1647150,42822,474172,248605,881551,25836,2959734,4409296,2310620,591170,69505,656890,993055,11670932,3739605,3082715,656890,3700560,7931327
2022:Q3,11296883,24415,17951,221831,19373,1607557,43405,478063,244827,841262,26042,2779184,4150576,2449954,580312,69160,806363,994119,11336237,3752423,2946060,806363,3713069,7583814
2022:Q4,11689347,24210,18201,226547,19553,1681279,44003,508886,251206,877184,26254,2931397,4382239,2379667,593469,69007,720086,997105,11728971,3765241,3045155,720086,3725617,7963730
2023:Q1,12079613,24357,18453,229151,19863,1780639,44616,563293,258699,914031,26463,3081437,4619804,2279446,605775,67844,616279,989548,12119556,3772959,3156680,616279,3733016,8346597
2023:Q2,12437759,24315,18768,233642,20166,1819994,45372,592236,261359,921027,26727,3281101,4798627,2214419,614065,67042,541773,991539,12477956,3780677,3238904,541773,3740480,8697279
2023:Q3,12199262,24238,18978,237037,20352,1783032,45878,576096,261889,899169,26903,3131223,4627427,2330072,606484,66644,654773,1002171,12239736,3788395,3133622,654773,3747921,8451341
2023:Q4,12900843,24401,19175,238815,20612,1897318,46360,610737,272342,967879,27066,3456777,5059555,2157124,626360,65597,458035,1007132,12941625,3796113,3338078,458035,3755331,9145512
2024:Q1,13442340,24280,19468,243283,20866,1910592,47062,612003,276391,975136,27313,3749098,5360968,2086472,639494,65081,359936,1021961,13483424,3803831,3443895,359936,3762747,9679593
