1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q1,52653,419,671,0,140,11088,0,2949,35,8104,349,6817,0,33169,0,311,31906,952,52789,48175,16269,31906,48039,4614
1956:Q2,53851,417,697,0,150,11388,0,2895,36,8457,381,6739,0,34079,0,317,32735,1027,53991,49276,16541,32735,49136,4715
1956:Q3,55071,414,724,0,158,11781,0,2817,43,8921,415,6712,0,34867,0,324,33442,1101,55217,50377,16935,33442,50231,4840
1956:Q4,56377,415,752,0,166,12273,0,2751,47,9475,449,7065,0,35257,0,339,33765,1153,56529,51478,17713,33765,51326,5051
1957:Q1,58163,424,781,0,172,12764,0,2677,65,10022,482,7014,0,36526,0,348,34978,1200,58320,53143,18165,34978,52986,5177
1957:Q2,60124,439,811,0,177,13200,0,2604,72,10524,514,7948,0,37035,0,370,35442,1223,60284,54807,19365,35442,54647,5477
1957:Q3,61832,454,842,0,182,13579,0,2535,82,10962,547,7638,0,38590,0,373,36957,1260,61996,56472,19515,36957,56308,5524
1957:Q4,63562,466,874,0,186,13911,0,2461,113,11337,583,7489,0,40053,0,378,38377,1298,63731,58136,19759,38377,57967,5595
1958:Q1,64975,475,908,0,191,14255,0,2411,142,11702,619,8060,0,40467,0,393,38752,1322,65125,59319,20567,38752,59169,5806
1958:Q2,66433,482,943,0,194,14615,0,2432,111,12072,655,8981,0,40563,0,414,38814,1335,66589,60503,21689,38814,60347,6086
1958:Q3,67935,488,979,0,198,15000,0,2431,116,12453,695,10184,0,40391,0,440,38606,1345,68114,61686,23080,38606,61507,6428
1958:Q4,69485,496,1017,0,204,15409,0,2451,116,12842,742,11561,0,40056,0,469,38221,1366,69685,62869,24648,38221,62669,6816
1959:Q1,71186,505,1056,0,211,15669,0,2476,137,13056,796,12137,0,40812,0,484,38918,1410,71366,64337,25419,38918,64157,7029
1959:Q2,72984,516,1096,0,218,16062,0,2523,172,13367,856,13278,0,40958,0,510,38993,1455,73192,65806,26813,38993,65598,7386
1959:Q3,74581,527,1138,0,227,16419,0,2587,188,13644,921,13422,0,41927,0,520,39889,1518,74821,67274,27385,39889,67034,7547
1959:Q4,76397,535,1182,0,235,16896,0,2619,192,14085,989,14525,0,42035,0,547,39918,1570,76659,68742,28824,39918,68480,7917
1960:Q1,77510,538,1227,0,245,17228,0,2537,269,14422,1063,14128,0,43081,0,549,40880,1652,77804,69833,28953,40880,69539,7971
1960:Q2,78915,536,1275,0,255,17507,0,2457,305,14745,1145,15118,0,43079,0,572,40782,1725,79212,70924,30142,40782,70627,8288
1960:Q3,80046,536,1324,0,266,17860,0,2408,303,15149,1227,14603,0,44230,0,573,41839,1818,80346,72014,30175,41839,71714,8332
1960:Q4,81678,546,1374,0,275,18381,0,2404,278,15699,1301,16545,0,43256,0,613,40780,1863,81980,73105,32325,40780,72803,8875
1961:Q1,82925,568,1427,0,284,18511,0,2407,270,15834,1369,19082,0,41684,0,657,39132,1895,83191,73739,34607,39132,73473,9452
1961:Q2,83757,601,1482,0,291,18909,0,2429,250,16230,1430,19596,0,41448,0,674,38832,1942,84063,74374,35542,38832,74068,9689
1961:Q3,84679,635,1539,0,298,19181,0,2431,261,16489,1491,20660,0,40875,0,697,38193,1985,85017,75008,36815,38193,74670,10009
1961:Q4,85855,660,1598,0,307,19596,0,2425,289,16882,1560,22856,0,39278,0,740,36517,2021,86222,75642,39125,36517,75275,10580
1962:Q1,86280,677,1660,0,321,19870,0,2421,333,17116,1634,22866,32,39220,0,749,36336,2135,86649,75914,39578,36336,75545,10735
1962:Q2,85797,687,1723,0,338,20322,0,2459,354,17509,1713,17845,86,43083,0,686,40046,2351,86172,76187,36141,40046,75812,9985
1962:Q3,86496,695,1790,0,355,20522,0,2524,351,17647,1794,19251,140,41949,0,716,38753,2480,86875,76459,37706,38753,76080,10416
1962:Q4,87477,707,1858,0,369,21025,0,2600,324,18101,1876,21885,172,39585,0,768,36262,2555,87856,76732,40470,36262,76353,11124
1963:Q1,88465,721,1930,0,380,21405,0,2628,333,18444,1957,23509,184,38379,0,803,34965,2611,88876,77281,42316,34965,76870,11595
1963:Q2,89443,735,2004,0,385,21837,0,2655,335,18847,2035,24949,177,37321,0,834,33855,2632,89847,77830,43975,33855,77426,12017
1963:Q3,90385,752,2081,0,393,22284,0,2640,377,19267,2119,26270,169,36317,0,864,32783,2670,90808,78378,45595,32783,77955,12430
1963:Q4,91368,773,2161,0,409,22609,0,2679,370,19560,2220,27670,176,35350,0,895,31670,2785,91810,78926,47256,31670,78484,12884
1964:Q1,92917,802,2244,0,435,23056,0,2872,386,19798,2357,29690,201,34132,0,940,30220,2972,93371,79832,49612,30220,79378,13539
1964:Q2,94358,850,2330,0,471,23427,0,2665,373,20389,2506,31136,241,33397,0,978,29164,3255,94840,80739,51575,29164,80257,14101
