1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q4,-27036,0,0,126476,-139992,0,-40552,13916,2028,0,0,9936,1952,43040,43040,164392,89200,253592,0,0,0,0,0
2000:Q1,8096,0,0,82024,-74668,0,15452,-15028,-620,0,0,612,-15020,255040,255040,720836,31228,752064,0,0,0,0,0
2000:Q2,6272,0,0,-27284,25256,0,4244,4704,380,0,0,3984,340,-6772,-6772,-177808,103008,-74800,0,0,0,0,0
2000:Q3,1112,0,0,28804,-3168,0,26748,175928,20444,0,0,27652,127832,7764,7764,-83224,15128,-68096,0,0,0,0,0
2000:Q4,7420,0,0,17484,2708,0,27612,13560,-10392,0,0,13372,10580,4712,4712,-271232,140932,-130300,0,0,0,0,0
2001:Q1,2652,0,0,73896,-2320,0,74228,10704,-8132,0,0,15748,3088,-76764,-76764,168768,-86328,82440,0,0,0,0,0
2001:Q2,-2924,0,0,10300,16872,0,24248,72328,19028,0,0,18244,35056,824,824,50648,227304,277952,0,0,0,0,0
2001:Q3,5516,0,0,8588,4528,0,18632,46584,-5144,0,0,18224,33504,688,688,39504,47172,86676,0,0,0,0,0
2001:Q4,-8000,0,0,50176,-120404,0,-78228,3512,5416,0,0,21104,-23008,4024,4024,135256,58624,193880,0,0,0,0,0
2002:Q1,-64,0,0,-68304,76448,0,8080,63164,-11652,0,0,23792,51024,12316,12316,176284,50156,226440,0,0,0,0,0
2002:Q2,-5368,0,0,30404,-59940,0,-34904,-15480,1072,0,0,2796,-19348,3500,3500,-399592,59816,-339776,0,0,0,0,0
2002:Q3,14220,0,0,40556,-44916,0,9860,7012,-13144,0,0,18416,1740,4660,4660,-138568,964,-137604,0,0,0,0,0
2002:Q4,-2060,0,0,61960,-44732,0,15168,-13168,1368,0,0,10996,-25532,7124,7124,28880,-72720,-43840,0,0,0,0,0
2003:Q1,27320,0,0,-2660,-9296,20976,36340,-2436,-2260,0,0,2612,-2788,560,560,673508,-16668,656840,0,0,0,0,0
2003:Q2,5116,0,0,77956,-25212,-2516,55344,12348,2072,0,0,8296,1980,9000,9000,650444,245356,895800,0,0,0,0,0
2003:Q3,7036,0,0,-7976,14296,2804,16160,-15180,280,0,0,-11692,-3768,-920,-920,-111492,136752,25260,0,0,0,0,0
2003:Q4,8188,0,0,15808,5828,-1784,28040,20148,172,0,0,16208,3768,1824,1824,44344,25360,69704,0,0,0,0,0
2004:Q1,1400,0,0,42292,-9524,-12108,22060,17196,-144,0,0,14808,2532,-6260,-6260,335004,243744,578748,0,0,0,0,0
2004:Q2,4928,0,0,83044,-101084,2720,-10392,53608,-2000,0,0,6856,48752,8364,8364,290444,120,290564,0,0,0,0,0
2004:Q3,5688,0,0,34268,-13988,-11060,14908,16080,680,0,0,13880,1520,3448,3448,142468,47336,189804,0,0,0,0,0
2004:Q4,21540,0,0,49508,-49496,-1440,20112,42644,3500,0,0,12836,26308,4988,4988,447164,97248,544412,0,0,0,0,0
2005:Q1,-69352,0,-3400,-300264,284580,35796,-52640,38664,-1432,0,0,19708,20388,303076,303076,290252,-2484,287768,0,0,0,0,0
