1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q3,10330564,3625841,4612655,340621,1977362,1053012,33477,99211,1108972,0,2092068,10344438,1295247,4563,813,170432,546337,153690,392647,258668,4527,5970,5553,417,372513,71947,300566,2247053,433044,1814009,477509,9509,406943,72182,1218953,58647,98763,190239,189855,384,88663,23572,112285,22089,123815,2535146,421420,2113726,-13874
2011:Q4,10304341,3666854,4529949,353238,1931118,1037544,31343,91829,1084877,0,2107538,10380780,1306085,4807,792,177429,552974,150096,402878,236731,4176,6302,5870,432,394657,77631,317026,2278658,452042,1826616,484880,10460,438288,72555,1244990,58081,112243,183617,183206,411,85002,22202,88951,18343,107518,2491039,414864,2076175,-76439
2012:Q1,10418056,3752040,4579830,346034,1885350,1028796,31677,98018,1189955,0,2086186,10644069,1355281,4958,767,174872,522649,148251,374398,219889,4337,6901,6534,367,396959,78048,318911,2325770,451088,1874682,505652,11123,447394,53527,1321874,60524,129629,182305,181865,440,84900,25346,132871,67235,96142,2513164,406059,2107105,-226013
2012:Q2,10319417,3816078,4403579,310292,1839697,1005901,35362,102140,1110187,0,2099760,10608022,1300150,5012,757,172762,519197,153694,365503,229712,4106,7035,6732,303,399184,78483,320701,2318314,451893,1866421,534786,11451,459591,64833,1348018,61788,142618,172138,171689,449,86899,27170,113268,72094,88996,2468143,404380,2063763,-288605
2012:Q3,10695626,3927088,4503197,306544,1779041,1003413,33746,85832,1294621,0,2265341,11129657,1460034,5079,660,177712,539936,156541,383395,240938,4612,6634,6451,183,402782,78919,323863,2371645,452885,1918760,561107,11988,472458,75707,1450363,66097,157137,172415,171972,443,85315,30191,122924,75682,77812,2560429,402588,2157841,-434031
2012:Q4,10729116,4049014,4345489,305056,1679839,955305,30137,90164,1284988,0,2334613,11165158,1296074,4611,633,173329,553345,155488,397857,231950,5164,6651,6584,67,410475,79862,330613,2406437,453868,1952569,582422,12622,480180,87982,1520778,67710,165054,168989,168552,437,78701,31920,130052,70708,64367,2615004,404096,2210908,-436042
2013:Q1,10759153,4095186,4307046,296564,1661548,950325,31766,89105,1277738,0,2356921,11118947,1173931,3599,589,179415,550881,152956,397925,213437,5558,7809,7633,176,416841,81669,335172,2401656,455137,1946519,591147,12151,473549,81578,1570133,73694,171459,169707,169244,463,74999,36188,141790,69028,66801,2633007,406832,2226175,-359794
2013:Q2,10600334,4159925,4179863,263968,1457554,946607,158978,103067,1249689,0,2260546,10696217,907917,5338,569,177543,548238,149563,398675,202883,5512,8542,8312,230,422680,83483,339197,2393650,456618,1937032,588416,11312,476714,92951,1486685,76296,168372,159940,159485,455,70078,29563,129743,69153,73668,2590454,403332,2187122,-95883
2013:Q3,10697435,4279453,4099836,239302,1409087,952666,160426,96121,1242234,0,2318146,10744827,838514,5215,556,177832,562090,152431,409659,206669,5590,8579,8398,181,428873,85432,343441,2376425,458321,1918104,600653,11019,485394,88892,1529744,77239,174799,130862,130399,463,69971,29936,128981,68707,72577,2665710,400222,2265488,-47392
2013:Q4,10835006,4341960,4126277,249761,1344539,959518,172245,112398,1287816,0,2366769,10842621,852938,4750,551,183320,563957,150985,412972,200883,5752,8863,8657,206,438381,88239,350142,2367492,459868,1907624,608447,11643,507357,71421,1573059,77539,178845,127974,120728,7246,67939,30349,125884,30144,69706,2735427,396598,2338829,-7615
2014:Q1,10931712,4414351,4096435,240984,1302536,940613,193658,122725,1295919,0,2420926,11018366,846202,4635,549,184617,546045,145143,400902,201972,6360,9522,9303,219,441783,90594,351189,2408538,465262,1943276,632828,11088,519251,58986,1622665,78532,189595,123280,116121,7159,71832,29906,123177,28168,81806,2797029,395407,2401622,-86654
2014:Q2,11148479,4505494,4080337,237208,1295799,950068,188443,113379,1295440,0,2562648,11372072,946028,4693,530,181329,548425,147359,401066,201054,6218,9562,9368,194,445296,93015,352281,2458955,471351,1987604,655464,11443,545327,45637,1705389,79703,199591,113332,106373,6959,72451,28783,128761,27900,77007,2879194,396049,2483145,-223593
2014:Q3,11234220,4557563,4099028,236217,1303310,950838,189606,123900,1295157,0,2577629,11379728,948231,4543,530,174743,525595,141813,383782,196138,5655,8802,8716,86,452427,95456,356971,2492958,477150,2015808,670628,11229,551533,57914,1698193,77566,200887,106608,99835,6773,69928,28549,123984,32037,75887,2865163,392157,2473006,-145508
2014:Q4,11352037,4655238,4109846,237607,1297796,962551,190815,123878,1297199,0,2586953,11486881,928195,5230,530,179560,525477,141144,384333,193148,5288,9883,9699,184,462684,98998,363686,2513998,482748,2031250,693577,11884,551233,65298,1711946,74881,214388,100613,94058,6555,73938,28997,104923,32347,74414,2924449,400997,2523452,-134844
2015:Q1,11411315,4771813,4081831,233998,1295092,965295,183790,107412,1296244,0,2557671,11572030,830493,5954,530,184526,525770,138820,386950,190853,5368,11146,10952,194,457413,98842,358571,2498487,478696,2019791,698600,12086,579039,56169,1764062,75783,231238,90554,84230,6324,68839,32968,108695,27387,77891,3038179,405130,2633049,-160715
2015:Q2,11562297,4940777,4088245,247796,1277064,938594,173418,135794,1315579,0,2533275,11489411,707062,4836,510,182740,518836,135506,383330,176007,5281,10852,10606,246,456794,98652,358142,2493668,474532,2019136,691572,11820,561183,71316,1783361,74768,227352,82038,75945,6093,71818,34481,105769,30687,72660,3114000,412216,2701784,72886
2015:Q3,11525849,5035689,4047109,257666,1221463,944500,160654,135387,1327439,0,2443051,11378779,706928,5121,493,179462,505042,130637,374405,187354,5164,10660,10483,177,453707,98459,355248,2494491,470071,2024420,698141,12015,563979,47037,1728545,70219,230773,73917,68082,5835,70468,34161,87227,30422,77102,3106351,401661,2704690,147070
2015:Q4,11327680,5089107,3811395,256951,1194587,886573,152527,131297,1189460,0,2427178,11003446,428337,4810,493,186605,506876,126001,380875,172501,5562,10781,10628,153,451801,98294,353507,2495475,466535,2028940,691202,12575,557958,56039,1692478,66991,241432,67846,62237,5609,62654,34354,84166,19891,73036,3079583,383277,2696306,324234
