date,FL893163005.Q,FL103163005.Q,FL793163005.Q,FL763163005.Q,FL673163005.Q,FL613163005.Q,FL643163075.Q,FL663163003.Q,FL733163005.Q,FL503163003.Q,LM263163005.Q,FL893063005.Q,LM153063005.Q,LM123063003.Q,FL313063763.Q,LM213063003.Q,LM763063005.Q,LM763063605.Q,LM763063095.Q,LM753063005.Q,LM743063005.Q,LM473063005.Q,LM473063605.Q,LM473063095.Q,LM513063005.Q,LM513063605.Q,LM513063095.Q,LM543063005.Q,LM543063675.Q,LM543063095.Q,LM573063005.Q,LM343063005.Q,LM223063045.Q,FL633063005.Q,LM653063005.Q,LM553063003.Q,LM563063003.Q,LM403063005.Q,LM403063605.Q,LM403063095.Q,LM613063003.Q,LM643063073.Q,LM663063005.Q,LM733063003.Q,FL503063005.Q,LM263063005.Q,LM263063603.Q,LM263063095.Q,LM903063003.Q
1945:Q4,26949,23905,131,0,0,131,0,0,0,0,2913,26949,8396,0,0,0,3544,0,3544,12,0,0,0,0,489,0,489,11300,0,11300,1800,0,140,0,126,145,0,0,0,0,0,0,494,0,0,503,0,503,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,27872,24858,193,0,0,193,0,0,0,0,2821,27872,7452,0,0,0,3695,0,3695,21,15,0,0,0,501,0,501,13105,0,13105,2000,0,160,0,153,150,0,0,0,0,0,0,391,0,0,229,0,229,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,30795,27671,324,0,0,324,0,0,0,0,2800,30795,6644,0,0,0,4017,0,4017,31,4,0,0,0,564,0,564,16125,0,16125,2200,0,190,0,145,195,0,0,0,0,0,0,400,0,0,280,0,280,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,35611,31971,760,0,0,760,0,0,0,0,2880,35611,6688,0,0,0,4131,0,4131,40,15,0,0,0,713,0,713,20358,0,20358,2400,0,267,0,155,210,0,0,0,0,0,0,402,0,0,232,0,232,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,38812,34874,1067,0,0,1067,0,0,0,0,2871,38812,6281,0,0,0,4493,0,4493,57,27,0,0,0,679,0,679,22931,0,22931,2600,0,402,0,173,255,0,0,0,0,0,0,587,0,0,327,0,327,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,40901,36498,1281,0,0,1281,0,0,0,0,3122,40901,6010,0,0,0,4634,0,4634,69,21,0,0,0,718,0,718,24752,0,24752,2828,0,585,0,220,300,0,0,0,0,0,0,447,0,0,317,0,317,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,44858,39792,1667,0,0,1667,0,0,0,0,3399,44858,6287,0,0,0,4587,0,4587,92,14,0,0,0,822,0,822,27471,0,27471,3483,0,701,0,261,330,0,0,0,0,0,0,487,0,0,323,0,323,0
1952:Q1,45869,40873,1558,0,0,1558,0,0,0,0,3438,45869,6134,0,0,0,4710,0,4710,98,14,0,0,0,902,0,902,28241,0,28241,3684,0,746,0,287,340,0,0,0,0,0,0,383,0,0,330,0,330,0
1952:Q2,47470,42343,1640,0,0,1640,0,0,0,0,3487,47470,6355,0,0,0,4914,0,4914,109,14,0,0,0,987,0,987,28994,0,28994,3931,0,797,0,303,352,0,0,0,0,0,0,378,0,0,336,0,336,0
1952:Q3,48486,43470,1612,0,0,1612,0,0,0,0,3404,48486,6130,0,0,0,4859,0,4859,103,14,0,0,0,926,0,926,29699,0,29699,4223,0,923,0,312,364,0,0,0,0,0,0,584,0,0,349,0,349,0
1952:Q4,49605,44497,1682,0,0,1682,0,0,0,0,3426,49605,5997,0,0,0,4766,0,4766,109,14,0,0,0,967,0,967,30569,0,30569,4548,0,1010,0,342,375,0,0,0,0,0,0,549,0,0,359,0,359,0
1953:Q1,50809,45257,2075,0,0,2075,0,0,0,0,3477,50809,5846,0,0,0,4846,0,4846,109,15,0,0,0,1006,0,1006,31368,0,31368,4862,0,1141,0,332,386,0,0,0,0,0,0,556,0,0,342,0,342,0
1953:Q2,52246,46270,2624,0,0,2624,0,0,0,0,3352,52246,6113,0,0,0,4930,0,4930,122,16,0,0,0,1041,0,1041,31947,0,31947,5150,0,1268,0,325,398,0,0,0,0,0,0,576,0,0,360,0,360,0
1953:Q3,53018,46800,2911,0,0,2911,0,0,0,0,3307,53018,5748,0,0,0,5026,0,5026,130,17,0,0,0,1070,0,1070,32501,0,32501,5409,0,1395,0,324,409,0,0,0,0,0,0,614,0,0,375,0,375,0
1953:Q4,54383,48012,3057,0,0,3057,0,0,0,0,3314,54383,5987,0,0,0,5025,0,5025,141,18,0,0,0,1092,0,1092,33275,0,33275,5647,0,1526,0,340,420,0,0,0,0,0,0,538,0,0,374,0,374,0
1954:Q1,55366,48789,3092,0,0,3092,0,0,0,0,3485,55366,5719,0,0,0,5252,0,5252,135,18,0,0,0,1110,0,1110,33914,0,33914,5910,0,1661,0,373,431,0,0,0,0,0,0,476,0,0,367,0,367,0
1954:Q2,56270,49724,3124,0,0,3124,0,0,0,0,3422,56270,5622,0,0,0,5134,0,5134,125,18,0,0,0,1124,0,1124,34457,0,34457,6210,0,1808,0,402,442,0,0,0,0,0,0,569,0,0,359,0,359,0
