1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q3,3932793,3145733,30140,3115593,218572,568488,4259902,1998131,20837,4920,15629,542453,0,1777,4924,376764,201273,84,2614,160484,683440,93056,24107,6470,25018,0,97921,-327109
2016:Q4,3932719,3145633,30423,3115210,216786,570300,4083166,1919244,19251,5111,15783,544888,0,1706,5084,350688,190966,84,2638,160350,632166,87971,24309,5725,21038,0,96164,-150447
2017:Q1,3920660,3133233,30207,3103026,216478,570949,4084838,1914232,18653,5342,16064,548990,0,1661,5096,342203,194463,85,2662,152003,646640,88479,25181,5571,19729,0,97784,-164178
2017:Q2,3930210,3129855,24666,3105189,219543,580812,4142070,1943823,18300,5572,16071,559927,0,1613,5303,341366,197948,86,2687,137625,666523,89721,26959,5100,21193,0,102253,-211860
2017:Q3,3906190,3114827,33007,3081820,215975,575388,4136312,1927853,17661,5803,16202,563604,0,1274,4987,338651,201206,75,3029,130958,680445,89818,28332,4684,17304,0,104426,-230122
2017:Q4,3951291,3145224,35195,3110029,217927,588140,4184806,1936252,17247,6034,16692,572574,0,1272,5055,338907,204093,77,3372,138155,688077,89991,30045,4544,26681,0,105738,-233515
2018:Q1,3931742,3126929,36130,3090799,219444,585369,4091637,1870752,17335,5931,16397,555677,0,1260,4802,332451,204430,75,3714,136019,690408,88304,30406,4351,25767,0,103558,-159895
2018:Q2,3933959,3125936,31638,3094298,219180,588843,4098152,1881236,17834,5828,16826,546267,0,1253,4886,325695,202383,75,4057,139405,698695,90208,32760,4324,23166,0,103254,-164193
2018:Q3,3917771,3117802,37296,3080506,216465,583504,4044041,1863519,18064,5724,17118,529258,0,1171,4386,313657,200125,53,3387,134884,701887,88515,32956,3987,22143,0,103207,-126270
2018:Q4,3906990,3105625,38067,3067558,215870,585495,4048247,1890156,18549,5621,16808,527486,0,1159,4809,291570,195913,49,4029,147617,693630,88359,36348,3851,20738,0,101555,-141257
2019:Q1,3893207,3089963,39227,3050736,214646,588598,4110932,1913431,20018,5164,16775,519604,0,1218,4833,293007,204640,51,0,141644,737249,89845,38359,3777,16443,0,104874,-217725
2019:Q2,3879171,3072130,36617,3035513,214570,592471,4154441,1922373,21424,4706,16559,505714,0,1216,4778,291049,211147,52,0,140898,773363,90959,41305,3556,18355,0,106987,-275270
2019:Q3,3877233,3069102,40119,3028983,214192,593939,4188502,1914845,22804,4249,16580,506244,0,1152,4490,289426,217125,49,0,135473,805165,93375,44556,3302,20365,0,109302,-311269
2019:Q4,3919461,3104365,44856,3059509,213601,601495,4226321,1918391,24226,3792,16673,507661,0,1151,5473,285164,221795,51,0,139464,830982,93213,48289,3265,16429,0,110302,-306860
2020:Q1,3926401,3110852,43056,3067796,210758,604791,4168707,1900899,21757,3986,16452,532046,0,1158,6286,281099,220584,42,0,135599,786245,89376,48362,3223,13687,0,107906,-242306
2020:Q2,3948108,3133162,41184,3091978,208486,606460,4272123,1924453,20102,4181,17763,550516,0,1156,7366,287723,228058,45,0,144542,814651,91544,52970,3035,8680,1200,114138,-324015
2020:Q3,3984388,3169249,44870,3124379,207166,607973,4340478,1933468,18197,4376,18235,562793,0,1008,8615,292252,233467,39,0,130215,857464,92931,56873,2994,10426,1651,115474,-356090
2020:Q4,4008206,3197235,46581,3150654,203918,607053,4425778,1945262,16282,4570,18639,583703,0,99,10072,297868,240516,42,0,125447,891262,94917,63027,2757,6780,6283,118252,-417572
2021:Q1,4034737,3221740,43144,3178596,204487,608510,4408307,1902021,18898,4595,19479,591277,0,99,10862,293108,238507,43,0,116970,913275,95018,67780,2707,8849,6058,118761,-373570
2021:Q2,4058029,3240038,36849,3203189,204488,613503,4474476,1894178,21903,4620,20216,608357,0,99,11484,294628,241307,45,0,112532,956056,96721,74501,2623,10709,4771,119726,-416447
2021:Q3,4076745,3257226,30838,3226388,203510,616009,4441490,1839282,24445,4644,21132,617001,0,87,12003,289475,239748,33,0,106313,974869,96739,78505,2483,12057,4373,118301,-364745
2021:Q4,4087198,3265718,32919,3232799,202850,618630,4460762,1811098,27263,4669,22240,631333,0,87,12254,289357,241310,34,0,110880,990844,98254,83255,2413,12675,4131,118665,-373564
2022:Q1,4069927,3242196,27093,3215103,204921,622810,4151540,1656854,26560,4818,22080,609628,0,86,11912,271810,221310,33,0,113431,911020,89302,83033,2395,11045,2907,113316,-81613
2022:Q2,4074208,3245789,23311,3222478,202407,626012,3989961,1614213,26662,4893,22667,599727,0,86,11582,260686,210130,29,0,117308,823109,85150,89883,2241,10143,2907,108545,84247
2022:Q3,4058496,3236550,24934,3211616,201650,620296,3807953,1541283,26523,4936,23343,579852,0,73,10965,244893,197185,25,0,113150,774250,79833,86974,2217,14787,2907,104757,250543
2022:Q4,4035563,3214278,25454,3188824,201921,619364,3889590,1620137,28199,4995,25936,579968,0,74,10796,246093,197942,26,0,117909,745845,81764,104407,2153,12021,2907,108419,145973
2023:Q1,4039809,3218223,24594,3193629,201994,619592,3963269,1685391,28739,5050,28455,566843,0,73,10980,242074,200016,27,0,114371,764929,83108,105706,2160,10956,2907,111484,76540
2023:Q2,4055800,3229284,23645,3205639,204243,622273,3951923,1694534,28662,5064,30430,548269,0,71,10724,232125,194982,27,0,121035,763867,81784,107496,2092,15530,2907,112324,103877
2023:Q3,4045464,3222011,26445,3195566,204284,619169,3774500,1625082,27381,5021,26902,519196,0,68,10382,212920,184302,21,0,121460,727875,77080,107978,2064,15048,2907,108813,270964
2023:Q4,4056922,3234954,26903,3208051,204008,617960,4014247,1773890,29187,5065,26299,531897,0,104,10693,221580,192503,22,0,129626,756143,81460,122605,2219,13486,0,117468,42675
2024:Q1,4081230,3251963,27854,3224109,206396,622871,4001170,1779141,28901,5105,27923,515294,0,111,11270,213555,189066,23,0,127890,765633,80689,122349,2285,15407,0,116528,80060
