1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q3,433270,68090,222042,17392,4148,42022,79280,296,446987,317435,67196,0,61916,440,-13717,42847,-18320,47450,38452,70334,2227,-34109,52788,440,-4052,0,29492,1572,0,2404,-2840,1008,1000,20160,7568,12592,0,0,712,4060,404,86897,37132,-7888,45020,1412,7220,41133,8998
1983:Q4,442946,70724,227967,17744,4320,43527,78211,453,453007,320997,68324,0,63262,424,-10061,43147,-18064,51150,39108,69943,2294,-33129,42808,-2212,-1296,0,7480,21620,0,18996,-1172,1796,2000,9896,10068,-172,0,0,6128,2136,-944,75937,43964,-868,44832,788,7276,23909,12042
1984:Q1,461498,73286,234672,20068,4520,44919,83067,966,462972,328297,69912,0,64351,412,-1474,43538,-18936,61000,69038,73320,2393,-6675,66964,21120,-14440,0,15664,23328,0,11868,6340,1996,3124,16064,9664,6400,0,0,2768,1864,596,73639,47200,-6288,53488,-748,7520,19667,-8038
1984:Q2,474064,75848,240280,19860,4672,46687,85263,1454,471326,334754,70636,0,65544,392,2738,44035,-19552,66325,77119,76079,2502,-1462,72372,-3984,8844,0,13676,22528,0,16724,272,1156,4376,21464,11132,10332,0,0,5300,1036,3508,73834,54552,-8340,62892,1148,7728,10406,-10794
1984:Q3,477547,76770,244724,17544,4752,48556,83204,1997,480528,342021,71300,0,66831,376,-2981,44561,-20376,61956,90241,79713,2615,7913,99484,1948,16068,0,33068,22832,0,3616,14836,-244,4624,22036,9636,12400,0,0,1400,-1252,3384,91571,68984,2704,66280,3764,7972,10851,-28285
1984:Q4,491404,78188,250216,17724,4764,50534,87122,2856,490407,348997,72828,0,68222,360,997,45049,-21404,67450,68902,81242,2734,-15074,47412,3436,3144,0,19420,6068,0,4232,-3376,1336,3876,12016,10508,1508,0,0,2972,2228,-1872,62486,8400,-2700,11100,26800,8132,19154,-1452
1985:Q1,503119,79267,254683,19964,4724,53368,87874,3239,502521,357684,74888,0,69606,343,598,45759,-19430,65787,77744,83130,2852,-8238,137524,4664,13780,0,21704,70872,0,27700,41260,-1464,3376,23512,8224,15288,0,0,700,3976,-1684,145762,93364,-2620,95984,9860,8360,34178,-11957
1985:Q2,512676,80942,260049,19628,4760,55006,88751,3540,513422,365580,76320,0,71192,330,-746,46378,-21921,67553,101806,87641,2987,11178,130764,436,3196,0,34672,49996,0,32544,16324,-1996,3124,35032,8544,26488,0,0,2964,2808,1660,119586,100396,8888,91508,13044,8692,-2546,-34253
1985:Q3,522792,81497,265063,20920,4896,56479,90241,3696,526099,374875,78068,0,72835,321,-3307,47052,-22670,66415,84528,89376,3130,-7978,107976,2036,9948,0,25592,4484,0,-9980,7612,3976,2876,55000,10400,44600,0,0,1204,5092,4620,115954,84780,6712,78068,4672,8884,17618,-18113
1985:Q4,531326,83734,268529,20476,5164,57594,92325,3504,537497,382903,79764,0,74516,314,-6171,47837,-23895,65561,80125,89240,3283,-12398,348396,-1444,6648,0,2056,209276,0,147964,56848,1840,2624,98168,12064,86104,0,0,10232,4092,19368,360794,343032,-4168,347200,5140,9060,3562,-14564
1986:Q1,548903,84479,273003,21384,5488,58683,102486,3380,547122,388848,81568,0,76389,317,1781,48625,-22598,73004,93953,93989,3449,-3485,34228,7132,-2244,0,1004,9088,0,14380,-8472,868,2312,24668,18448,6220,0,0,-8124,1676,1028,37713,12104,428,11676,2488,9352,13769,-20949
1986:Q2,550669,85012,276559,22048,5792,59032,99034,3192,555476,393626,83624,0,77915,311,-4807,49628,-23558,68379,52906,96092,3603,-46789,121600,7832,648,0,5032,52688,0,78880,-29184,1056,1936,47456,11508,35948,0,0,1104,1920,4920,168389,134784,29952,104832,2432,9452,21721,15473
1986:Q3,562713,87494,282339,22376,6116,59058,102258,3072,565137,400313,85272,0,79249,303,-2424,50588,-24394,72558,112508,98227,3753,10528,73716,-5248,12,0,23344,12068,0,-17064,26416,904,1812,34556,8184,26372,344,0,3432,1952,3256,63188,50428,-25584,76012,-204,9616,3348,-39950
