1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q1,19018,9823,7971,1239,0,985,254,-14,19018,4387,6054,2679,4162,1506,231,3,67,64,1,0,1,15,12,0,0,0,0,40,11,83,7242,1183
1952:Q2,19743,10402,8054,1301,0,1034,268,-14,19743,4494,6246,2659,4191,1920,234,3,68,65,1,0,1,16,13,0,0,0,0,41,11,84,7296,-381
1952:Q3,19402,10737,7308,1371,0,1090,281,-14,19402,4489,5802,2409,4379,2111,213,2,60,58,1,0,1,14,11,0,0,0,0,37,10,79,6934,1394
1952:Q4,20217,10857,7927,1448,0,1155,293,-14,20217,4696,6278,2661,4491,1860,231,3,66,64,1,0,1,15,12,0,0,0,0,40,11,84,7935,1319
1953:Q1,20674,10710,8458,1512,0,1206,305,-6,20674,4769,6595,2793,4672,1559,287,3,106,101,2,0,3,17,12,1,0,0,0,25,14,109,8415,973
1953:Q2,21503,11248,8687,1574,0,1255,319,-6,21503,4802,6688,2854,4825,2044,290,3,107,102,2,0,3,17,12,1,0,0,0,26,14,111,8375,894
1953:Q3,21820,11384,8826,1616,0,1296,320,-6,21820,4692,6855,2930,4735,2309,299,3,111,106,2,0,3,18,12,1,0,0,0,26,15,114,8269,583
1953:Q4,21136,11200,8292,1650,0,1330,320,-6,21136,4645,6770,2902,4439,2084,296,3,109,104,2,0,3,18,12,1,0,0,0,26,14,114,8056,-502
1954:Q1,20545,10801,7985,1690,0,1362,328,70,20545,4743,6680,2701,4342,1783,298,3,102,97,2,0,3,19,14,1,0,0,0,29,14,118,7958,-492
1954:Q2,21255,11625,7847,1715,0,1386,329,70,21255,5024,6630,2757,4150,2399,296,3,101,96,2,0,3,19,13,1,0,0,0,29,14,117,8136,-845
1954:Q3,21812,12307,7692,1744,0,1404,341,70,21812,5353,6704,2907,3826,2721,302,3,103,98,2,0,3,19,14,1,0,0,0,30,14,119,8036,-523
1954:Q4,21790,12294,7645,1782,0,1429,354,70,21790,5652,6641,3019,3785,2392,301,3,103,98,2,0,3,19,14,1,0,0,0,29,14,118,8478,-79
1955:Q1,21769,12319,7508,1831,0,1438,393,111,21769,6072,6710,3094,3565,1979,349,3,125,118,3,1,3,24,16,1,0,0,0,38,15,128,9150,951
1955:Q2,23214,13100,8092,1910,0,1504,407,111,23214,6220,7059,3368,3581,2616,371,3,133,126,3,1,4,26,17,1,0,0,0,41,17,134,9691,1155
1955:Q3,24068,13548,8398,2011,0,1597,415,111,24068,6171,7543,3504,3516,2939,395,3,142,135,3,1,4,28,19,1,0,0,0,44,18,142,10099,1074
1955:Q4,24074,13171,8640,2152,0,1734,418,111,24074,5967,8090,3442,3551,2611,414,3,149,141,3,1,4,29,19,1,0,0,0,46,19,148,9859,1808
1956:Q1,23800,12849,8552,2313,0,1908,406,86,23800,5855,8376,3346,3608,2216,400,4,110,104,3,1,3,31,24,1,0,0,0,39,13,178,9393,1600
1956:Q2,25047,13834,8664,2463,0,2060,404,86,25047,5930,8780,3239,3754,2934,410,5,113,107,3,1,3,32,24,1,0,0,0,39,13,184,9427,896
1956:Q3,26054,14400,8975,2593,0,2178,414,86,26054,5858,9186,3206,4070,3309,425,5,117,110,3,1,4,33,25,1,0,0,0,41,14,190,9395,892
1956:Q4,25980,14020,9171,2702,0,2272,430,86,25980,5778,9344,3175,4329,2926,429,5,118,112,3,1,4,33,25,1,0,0,0,41,14,191,9824,561
1957:Q1,25678,13362,9483,2766,0,2320,445,67,25678,5660,9546,3267,4320,2466,419,6,142,134,4,1,4,31,24,1,0,0,0,40,14,162,10002,541
1957:Q2,26299,14035,9360,2837,0,2374,463,67,26299,5562,9613,3216,4214,3272,421,6,143,134,4,1,4,31,24,1,0,0,0,40,14,163,9902,664
1957:Q3,27314,14543,9796,2908,0,2430,477,67,27314,5541,9836,3325,4503,3678,431,6,147,138,4,1,5,32,24,1,0,0,0,41,15,165,9833,702
1957:Q4,26667,14058,9587,2956,0,2480,476,67,26667,5507,9578,3382,4537,3239,424,6,144,136,4,1,4,31,24,1,0,0,0,40,15,163,9737,-1130
1958:Q1,24914,13137,8831,3004,0,2524,480,-59,24914,5201,8679,3388,4514,2715,417,4,148,139,4,1,5,27,22,1,0,0,0,46,14,155,9142,-1002
1958:Q2,25506,13827,8682,3055,0,2564,492,-59,25506,5175,8323,3426,4611,3570,401,4,142,134,3,1,5,26,21,1,0,0,0,44,13,150,8966,-1059
1958:Q3,26344,14627,8646,3130,0,2633,498,-59,26344,5467,8206,3544,4768,3963,396,4,140,132,3,1,4,26,21,1,0,0,0,44,13,148,9142,387
1958:Q4,27173,14885,9123,3224,0,2699,525,-59,27173,5974,8512,3795,5046,3436,411,4,146,137,4,1,5,27,22,1,0,0,0,46,14,152,9443,1309
1959:Q1,28011,14853,9741,3314,2,2759,554,103,28011,6628,8935,3826,5347,2842,434,4,149,141,4,1,5,36,29,1,0,1,0,54,15,146,10155,969
1959:Q2,29684,16179,10009,3393,2,2825,567,103,29684,6869,9216,3990,5455,3706,449,4,155,146,4,1,5,38,30,1,0,1,0,56,16,151,10577,1822
1959:Q3,30483,16543,10402,3436,3,2871,562,103,30483,6797,9519,4024,5611,4067,466,4,161,151,4,1,5,39,31,1,0,1,0,58,16,156,10780,96
1959:Q4,29436,15489,10352,3493,8,2933,551,103,29436,6634,9605,3897,5364,3471,466,4,160,151,4,1,5,40,32,1,0,1,0,58,16,156,10260,1030
1960:Q1,29542,15326,10518,3581,24,3041,516,118,29542,6908,10102,3814,5360,2863,495,4,166,156,4,1,5,35,29,1,0,1,0,57,18,185,10606,2800
1960:Q2,29975,15694,10485,3678,38,3143,497,118,29975,6433,10251,3783,5335,3672,501,4,165,155,4,1,6,37,30,1,0,1,0,58,18,187,10835,806
1960:Q3,30165,15898,10341,3809,47,3210,552,118,30165,6217,10068,3740,5621,4030,491,4,159,150,4,1,5,36,30,1,0,1,0,56,18,186,10715,1080
1960:Q4,29566,15578,9969,3902,53,3265,584,118,29566,6173,10006,3781,5581,3541,484,4,153,143,4,1,5,36,30,1,0,1,0,55,18,188,10428,-1453
1961:Q1,29288,15098,10084,4021,52,3338,631,86,29288,6106,9844,3811,6030,3027,471,3,151,141,4,1,5,36,30,1,0,1,0,31,19,199,9839,-637
1961:Q2,30586,15993,10350,4158,53,3438,667,86,30586,6112,10045,3941,6033,3974,482,3,158,148,4,1,6,37,31,1,0,1,0,32,19,199,10090,448
1961:Q3,31696,16714,10632,4265,54,3529,682,86,31696,6351,10129,4097,6220,4411,490,3,164,155,4,1,6,37,31,1,0,1,0,33,19,200,10384,1664
1961:Q4,31937,16417,11091,4343,60,3611,673,86,31937,6515,10423,4282,6362,3841,514,3,180,170,4,1,6,39,32,1,0,1,0,34,20,203,10874,1499
1962:Q1,31858,15931,11486,4396,62,3684,650,46,31858,6603,10610,4414,6483,3209,540,3,197,186,4,1,6,36,30,1,0,2,0,47,22,203,11125,2352
