1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,632,295,2584,28,0,0,1636,0,-52,356,788,544,0,0,640,16,0,0,264,0,0,0,0,1944,1856,0,0,0,0,32,1824,0,1816,8,88,80,8,0,-304,0,1816,0,0,0
1966:Q4,561,301,2560,-8,0,0,1544,0,-356,256,1020,624,12,0,728,20,0,0,264,0,0,0,0,2012,1888,0,0,-28,0,12,1904,0,1868,36,124,88,36,0,-288,0,1868,0,0,0
1967:Q1,668,331,1940,-32,0,0,1476,0,-1472,944,1312,692,20,4,188,72,0,0,264,-52,0,0,-52,2408,2312,0,0,4,0,316,1992,0,1988,4,96,92,4,0,805,0,1988,0,0,0
1967:Q2,578,333,2076,-64,0,0,1300,0,-1152,160,1668,624,20,4,472,76,0,0,268,0,0,0,0,1876,1784,0,0,0,0,-292,2076,0,2072,4,92,88,4,0,45,0,2072,0,0,0
1967:Q3,703,332,1940,-56,0,0,1348,0,-40,-992,1680,700,20,4,268,80,0,0,276,0,0,0,0,2260,2148,0,0,0,0,-4,2152,0,2148,4,112,108,4,0,691,0,2148,0,0,0
1967:Q4,859,341,2340,-24,0,0,1540,0,-156,-508,1348,856,16,4,412,88,0,0,304,0,0,0,0,2220,2088,0,0,24,0,-12,2076,0,2096,-20,132,152,-20,0,398,0,2096,0,0,0
1968:Q1,830,346,2668,48,0,0,1784,0,-464,152,1048,1048,12,4,440,96,0,0,284,0,0,0,0,2600,2412,0,0,0,0,120,2292,0,2288,4,188,184,4,0,416,0,2288,0,0,0
1968:Q2,679,348,2956,108,0,0,2016,0,-652,624,776,1268,8,4,440,100,0,0,280,0,0,0,0,2388,2184,0,0,0,0,-144,2328,0,2324,4,204,200,4,0,-237,0,2324,0,0,0
1968:Q3,550,357,3584,108,0,0,2040,0,-48,80,728,1280,8,4,1020,108,0,0,296,0,0,0,0,2840,2584,0,0,0,0,96,2488,0,2484,4,256,252,4,0,-551,0,2484,0,0,0
1968:Q4,325,374,3476,44,0,0,1848,0,-248,116,892,1088,4,0,1120,120,0,0,340,0,0,0,0,2936,2612,0,0,32,0,-160,2740,0,2768,-28,324,352,-28,0,-590,0,2768,0,0,0
1969:Q1,797,374,3296,-4,0,0,1668,0,-608,364,992,920,8,4,1112,124,0,0,384,0,0,0,0,3968,3500,0,0,0,0,128,3372,0,3368,4,468,464,4,0,1095,0,3368,0,0,0
1969:Q2,304,387,2856,-56,0,0,1164,0,632,-976,1028,480,4,8,1176,128,0,0,432,0,0,0,0,3920,3316,0,0,0,0,-24,3340,0,3332,8,604,596,8,0,981,0,3332,0,0,0
