1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q3,162565,11514,47536,0,572,59629,0,32536,19745,7348,0,16607,13607,3000,0,0,16158,10384,165,500667,228642,17801,210841,6970,40452,224603
1976:Q4,170641,12666,50212,0,-1875,63481,0,35781,20359,7341,0,18522,14062,4460,0,0,16917,10577,141,503044,230013,14485,215528,7817,41437,223777
1977:Q1,180125,11196,52900,0,-1354,67836,0,36802,23950,7084,0,21041,14217,6824,0,0,17252,11109,145,513736,230963,11159,219804,8159,42458,232156
1977:Q2,189908,12684,51872,0,0,72365,0,40594,24830,6941,0,23181,13996,9185,0,0,17845,11885,76,525741,240472,13385,227087,6118,43509,235642
1977:Q3,200855,11626,54242,0,715,78094,0,44335,26402,7357,0,25828,14283,11545,0,0,18278,12066,6,538185,244799,13033,231766,7334,44563,241489
1977:Q4,211047,13740,57182,0,-1970,82078,0,47453,26705,7920,0,28527,14617,13910,0,0,19261,12242,-13,547260,248143,11570,236573,8022,45629,245466
1978:Q1,224044,11463,61336,0,-1382,89239,0,52265,28415,8559,0,31683,15174,16509,0,0,19667,12054,-16,563092,255832,9887,245945,8307,46700,252253
1978:Q2,237823,12958,60774,0,0,95875,0,54489,33040,8346,0,34870,15758,19112,0,0,20539,12774,33,576833,268370,11430,256940,6464,47870,254129
1978:Q3,249941,11900,63600,0,479,101700,0,58951,34581,8168,0,38002,16288,21714,0,0,21163,12989,108,590606,278386,11898,266488,6461,49080,256679
1978:Q4,265071,13812,65266,0,2158,106093,0,59360,39495,7238,0,41436,17116,24320,0,0,22572,13603,131,609094,289135,12154,276981,6466,50326,263167
1979:Q1,278187,11426,68221,0,3783,114572,0,65120,42995,6457,0,42606,18216,24390,0,0,23021,14367,191,623142,295363,10970,284393,6481,51548,269750
1979:Q2,286744,12545,64937,0,8000,117753,0,64868,46504,6381,0,44038,19575,24463,0,0,24027,15215,229,638429,302887,11801,291086,6648,52845,276049
1979:Q3,296717,11701,65287,0,10528,122199,0,65551,50211,6437,0,45804,21269,24535,0,0,25158,15768,272,654897,310578,13424,297154,6551,54203,283565
