1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q2,490134,303206,65052,90090,31786,490134,307472,181199,62645,118554,1463,490134,49791,2425,1275,10404,5319,1633,865,2587,5031,293518,291831,0,863,824,240,74509,3914,6170,23427,15363,485,7579,0,0,7572,2263,0,2452,0,2857,0,9109,2749
1971:Q3,504220,311379,67399,93327,32115,504220,315166,187609,63581,124028,1445,504220,48634,2735,1575,10335,5299,1542,907,2587,5358,304653,302928,0,890,835,233,74751,3768,6178,25299,16732,800,7767,0,0,8369,2540,0,2564,0,3265,0,9332,3000
1971:Q4,517869,318411,70094,96983,32381,517869,321929,194514,65623,128891,1426,517869,47341,3080,1875,10153,5332,1432,961,2428,5648,314561,312799,0,915,847,223,75496,3658,6288,26672,17791,964,7917,0,0,9516,3074,64,2685,0,3693,0,9996,3362
1972:Q1,531563,325753,72680,100034,33096,531563,328727,201435,68748,132687,1401,531563,47660,3438,2175,10239,5280,1627,1057,2275,5983,324428,322630,0,917,881,215,75398,3332,6309,27469,18342,988,8139,0,0,10542,3992,166,2760,0,3624,0,10441,3934
1972:Q2,550187,335726,76046,104306,34109,550187,337337,211467,70373,141094,1383,550187,48176,3835,2450,10194,5260,1586,1105,2243,6386,338354,336533,0,894,927,204,75404,3133,6257,28473,18628,1415,8430,0,0,11748,4619,209,2855,0,4065,0,10990,4583
1972:Q3,569366,347347,78834,108330,34855,569366,347497,220507,72363,148144,1362,569366,48384,4272,2725,10083,5277,1442,1195,2169,6673,353537,351594,0,971,972,193,75588,2865,6340,29589,19295,1545,8749,0,0,12815,4973,295,2948,0,4599,0,11382,4920
1972:Q4,589786,357381,82876,114168,35361,589786,356794,231652,75331,156321,1340,589786,48260,4898,3000,9460,5113,1019,1282,2046,7035,367843,365919,0,924,1000,181,76948,2728,6470,30677,19781,1789,9107,0,0,14404,5504,441,3311,0,5148,0,12158,5724
1973:Q1,605291,365955,84593,118253,36490,605291,365068,238905,77665,161240,1318,605291,47831,5350,3170,9299,4664,1281,1425,1929,7313,380251,378156,20,920,1155,176,77166,2514,6632,31880,20571,1718,9591,0,0,15160,6089,661,3302,0,5108,0,12366,6183
1973:Q2,627950,378024,87957,124008,37961,627950,375365,251285,84365,166920,1300,627950,48215,6183,3299,8269,3908,1068,1471,1822,7556,396600,394407,14,915,1264,173,77982,2439,6821,33559,21413,2029,10117,0,0,16615,6790,734,3569,0,5522,0,13167,7072
1973:Q3,649008,389894,91127,129035,38952,649008,385922,261802,95284,166518,1284,649008,47607,7038,3330,9229,4430,1353,1586,1860,8002,410989,408615,30,975,1369,171,79187,2361,6888,35846,22831,2423,10592,0,0,17057,7222,776,3537,0,5522,0,13120,8183
1973:Q4,666543,399840,93191,133706,39806,666543,396072,269202,106296,162906,1269,666543,47231,7448,3285,8871,4029,1366,1653,1823,8735,420805,418276,52,1036,1441,166,81369,2376,7141,37750,24075,2604,11071,0,0,18040,7890,766,3788,0,5596,0,14494,8832
1974:Q1,681413,407909,95355,137455,40694,681413,404003,276161,108337,167824,1249,681413,48171,7808,3354,8797,3604,1671,1758,1764,9188,428934,426306,60,1092,1476,164,82180,2393,7277,38879,24775,2637,11467,0,0,19709,9555,774,3808,0,5572,0,15270,9289
1974:Q2,700754,418838,97221,142377,42318,700754,414615,284912,108937,175975,1227,700754,48950,7854,3406,9672,3616,2460,1829,1767,9652,441366,438681,66,1148,1471,162,83225,2377,7330,42150,26559,3191,12400,0,0,20132,10225,760,3685,0,5462,0,15223,9255
1974:Q3,716574,428859,98933,145045,43737,716574,425804,289574,106172,183402,1196,716574,49938,8027,3418,11089,4052,1846,1973,3218,10095,450228,447294,82,1382,1470,161,84427,2368,7423,45539,28641,3713,13185,0,0,20537,10982,738,3931,0,6169,0,14392,8932
1974:Q4,728426,435176,100049,148279,44922,728426,433804,293459,105327,188132,1163,728426,50594,8048,3393,12634,4846,1432,2158,4198,11205,454595,451470,100,1512,1513,157,86234,2372,7702,48094,29578,4586,13930,0,0,21458,11769,757,4375,0,6287,0,13097,8843
1975:Q1,737733,439951,100586,150411,46785,737733,438990,297584,105487,192097,1159,737733,44702,15588,3278,12902,5599,631,2315,4357,11754,457838,454481,215,1537,1605,151,87246,2409,7705,49531,29754,4608,15169,0,0,24420,13340,1101,4529,0,7274,0,12656,7553
1975:Q2,753522,450826,100735,153431,48530,753522,449269,303136,106575,196561,1117,753522,47107,14758,3196,15023,5610,1169,2508,5736,12202,467438,463779,348,1567,1744,172,87967,2378,7810,50962,30015,4944,16003,0,0,25603,15437,1193,4692,0,6573,0,12624,6282
1975:Q3,769738,462776,100820,157058,49084,769738,461300,307338,108200,199138,1100,769738,49475,13728,3190,17031,6534,1118,2844,6535,12500,478337,474537,286,1627,1887,191,88331,2366,7875,52211,31055,5033,16123,0,0,26785,16595,1323,4706,0,6657,0,12899,4819
1975:Q4,785568,474003,100693,161019,49853,785568,474074,310421,109465,200956,1073,785568,50481,13044,3252,19143,7438,1108,3089,7508,12812,488890,485024,185,1688,1993,221,89168,2383,7542,53460,31824,4987,16649,0,0,28511,18257,1598,4794,0,6659,0,12868,3793
1976:Q1,802392,486205,102169,163221,50797,802392,485169,316172,109340,206832,1051,802392,51356,12914,3326,19834,7619,650,3229,8336,12752,500558,496562,165,1712,2119,221,89427,2383,7543,54121,32182,4602,17337,0,0,31152,20479,1999,5148,0,6668,0,13345,3460
1976:Q2,823307,501045,103607,166345,52310,823307,499336,322942,111816,211126,1029,823307,52099,12785,3462,18697,5557,830,3430,8880,13221,517625,513478,162,1734,2251,245,89706,2383,7623,54620,32028,4529,18063,0,0,34016,23634,2153,5217,0,6309,0,13700,3125
1976:Q3,847760,518784,104909,170146,53921,847760,516608,330155,114602,215553,997,847760,52928,12658,3741,19491,5068,1355,3461,9607,13607,535498,531259,128,1730,2381,244,90202,2373,7625,55906,32962,4269,18675,0,0,36984,26725,2506,5607,0,5840,0,13712,2791
1976:Q4,870518,535022,105895,174189,55412,870518,532621,336915,116902,220013,982,870518,52839,12531,4151,19563,4241,1064,3565,10693,14062,551630,547314,89,1727,2500,273,91555,2414,7732,56423,32904,4269,19250,0,0,40693,30572,2671,5807,0,5673,0,14196,2456
1977:Q1,892257,550282,107142,177453,57380,892257,547008,344300,118088,226212,949,892257,53628,13176,4320,19780,4013,500,3593,11674,14217,566240,561830,91,1729,2590,327,91844,2420,7684,56459,32830,3557,20072,0,0,45418,34260,3570,6025,0,5847,0,14450,2294
1977:Q2,926270,575838,109746,180348,60338,926270,570024,355327,120920,234407,919,926270,54453,13829,4557,20982,3912,1043,3660,12367,13996,591209,586720,102,1731,2656,368,92934,2539,7864,58253,33918,3388,20947,0,0,47980,36573,4460,6124,0,5356,0,15174,2132
1977:Q3,963193,603197,111835,185795,62366,963193,595994,366305,125154,241151,894,963193,55295,14491,4959,22265,3589,1292,3681,13703,14283,617043,612471,81,1770,2721,395,94170,2486,7622,59194,34148,3376,21670,0,0,52412,41089,5332,6351,0,4621,0,16607,1971
1977:Q4,999213,627724,114279,193261,63949,999213,619305,379039,131052,247987,869,999213,55378,15155,5509,23745,3660,1353,3740,14992,14617,641224,636562,55,1807,2800,384,96849,2497,8041,59944,34369,3276,22299,0,0,56803,44896,6610,6627,0,4066,0,17260,1807
1978:Q1,1026813,646079,116827,197958,65949,1026813,637593,388375,134140,254235,845,1026813,56421,15605,6006,24254,3291,1178,3754,16031,15174,659322,654640,67,1700,2915,375,97922,2559,8082,62320,36028,3202,23090,0,0,59512,46357,7471,7285,0,4407,0,17503,1758
1978:Q2,1066897,674540,120272,203343,68742,1066897,664934,401145,138659,262486,818,1066897,59018,16057,6563,25111,3283,618,3800,17410,15758,685393,680665,86,1590,3052,365,99862,2647,8246,65014,38753,2246,24015,0,0,62611,48032,9423,7277,0,4007,0,18542,1710
1978:Q3,1109961,707359,122681,208876,71045,1109961,695831,413338,141942,271396,792,1109961,61621,16502,7273,27093,3560,1384,3735,18414,16288,710992,706590,96,1604,2702,366,102169,2706,8407,68632,41189,2496,24947,0,0,65755,50844,10511,7408,0,3413,0,20513,1644
1978:Q4,1150674,738254,125152,214511,72757,1150674,725781,424121,143770,280351,772,1150674,62445,16976,8114,27966,3509,926,3792,19739,17116,733802,729568,103,1619,2512,391,106167,2721,8586,72192,43311,3091,25790,0,0,70407,54347,11892,7878,0,3212,0,22178,1613
1979:Q1,1186117,762873,127635,219175,76434,1186117,750823,434548,147215,287333,746,1186117,64808,17772,8970,29924,3448,956,3849,21671,18216,749422,745027,119,1635,2641,448,108327,2798,8797,76850,46410,3358,27082,0,0,75627,59139,12467,8781,0,3015,0,22568,1590
1979:Q2,1231418,794869,129903,225711,80935,1231418,780675,450038,147606,302432,705,1231418,68066,18576,9771,31634,3425,1200,3802,23207,19575,773404,768981,136,1655,2632,428,110970,2750,9017,80171,48206,3340,28625,0,0,80506,62841,13708,9458,0,2932,0,24983,1567
1979:Q3,1278932,828850,132396,233353,84333,1278932,813418,464834,148332,316502,680,1278932,71178,19389,10437,33210,3382,1383,3792,24653,21269,796532,791892,465,1676,2499,458,114109,2968,9322,82904,49173,3747,29984,0,0,87309,69008,14421,10135,0,2846,0,28303,1544
1979:Q4,1317030,855779,135048,239448,86755,1317030,844323,472053,145952,326101,654,1317030,71611,20202,11001,34567,3852,1274,3825,25616,23575,813303,807645,856,1700,3102,650,118422,3139,9604,86630,51091,4052,31487,0,0,94778,75787,15180,10650,0,2780,0,28027,1521
1980:Q1,1357614,886093,137027,243912,90582,1357614,873778,483203,143831,339372,633,1357614,80996,22314,10779,37063,3919,2845,3847,26452,25601,823699,816319,1248,1655,4477,774,122395,3191,10054,91736,53990,4227,33519,0,0,99954,80843,15454,11250,0,2621,0,27563,1495
1980:Q2,1383696,902289,138408,248864,94135,1383696,891822,491273,138697,352576,601,1383696,82942,24427,10767,39152,4466,3375,3873,27438,28113,829992,821921,1639,1700,4732,821,125564,3263,10295,95193,55419,4005,35769,0,0,104016,84271,16120,11862,0,2574,0,27683,1468
1980:Q3,1421427,931530,140218,253808,95871,1421427,919691,501164,135818,365346,572,1421427,86837,26565,11278,40406,4389,3525,3917,28575,30873,844331,836219,1929,1751,4432,865,128062,3471,10597,97244,55632,4534,37078,0,0,109691,89452,16659,12011,0,2601,0,29767,1440
1980:Q4,1457828,957912,142526,259903,97487,1457828,944767,512511,136245,376266,550,1457828,87255,28701,12217,42073,4642,3492,3914,30025,33357,861596,852973,2178,1800,4645,994,131081,3564,10890,100782,57327,5056,38399,0,0,113959,93874,16854,12235,0,2374,0,29946,1413
1981:Q1,1484685,973129,143948,267511,100097,1484685,959024,525141,137022,388119,520,1484685,89379,30790,13906,43448,4826,2837,4031,31754,35554,869924,860950,2558,1911,4505,1055,132917,3748,11166,103049,57362,5149,40538,0,0,117260,97184,17067,13502,0,2124,0,31086,1403
1981:Q2,1523566,996937,144952,278496,103181,1523566,982861,540212,142992,397220,493,1523566,95636,32903,15731,44986,4972,2662,4120,33232,37793,884252,874988,3054,2074,4136,1147,134659,3871,11602,105852,57657,5245,42950,0,0,120851,100558,17565,13923,0,1944,0,32891,1392
1981:Q3,1555141,1014571,146039,288922,105609,1555141,1000839,553837,148391,405446,465,1555141,99638,35040,17898,45719,4382,1562,4191,35584,39547,894565,885085,3427,2225,3828,1249,136036,3878,12200,110097,59682,5410,45005,0,0,124370,103750,17936,14559,0,1932,0,33523,1381
1981:Q4,1579504,1030213,142377,299685,107229,1579504,1017297,561766,143301,418465,441,1579504,101407,37176,20339,47012,4765,2235,4151,35861,41039,900061,890159,3916,2300,3686,1341,137747,3913,12519,113411,61412,5237,46762,0,0,128986,105789,19853,15553,0,1879,0,33182,1371
1982:Q1,1600795,1041585,143640,306619,108951,1600795,1027818,572562,141865,430697,415,1600795,105876,37772,21868,47585,4438,2469,4196,36482,42173,899395,889707,4255,2308,3125,1406,138830,3913,12990,116158,62544,5297,48317,0,0,137628,108592,23970,17554,0,1653,0,33810,1391
1982:Q2,1625667,1055044,144694,315647,110282,1625667,1039551,585733,138341,447392,383,1625667,108742,38374,23247,48618,4669,1335,4173,38441,43194,900221,890235,4651,2253,3082,1448,139672,5386,13226,119961,65008,5265,49688,0,0,146951,111459,28703,20094,0,1624,0,35215,1412
1982:Q3,1635406,1055314,144215,324780,111097,1635406,1038193,596860,131519,465341,353,1635406,104528,38984,24252,48564,4110,947,3701,39806,44602,890593,880445,4876,2173,3099,1501,140477,6361,13667,124500,68841,5166,50493,0,0,160231,114776,35132,24045,0,1607,0,35714,1432
1982:Q4,1661290,1070187,146112,333680,111311,1661290,1052072,608896,129260,479636,322,1661290,110888,39594,24961,49376,4227,1786,3731,39632,46278,880282,870502,4994,2100,2686,1600,141989,7770,13773,127500,71814,4733,50953,0,0,178519,118940,42964,30401,0,1584,0,37308,1452
1983:Q1,1692029,1087139,147020,346330,111540,1692029,1048691,643031,145496,497535,307,1692029,109724,40022,25509,48947,3753,2077,3783,39334,47885,885712,875894,5025,2028,2765,1749,143329,9056,13983,129691,73666,4795,51230,0,0,196517,127939,48008,34042,0,1753,0,38468,1437
1983:Q2,1739644,1116296,150761,360215,112372,1739644,1077465,661904,150168,511736,275,1739644,111357,40456,26274,49736,3643,1605,3730,40758,49755,904560,894117,4974,1934,3535,1954,144725,9709,14099,132551,74669,6235,51647,0,0,213061,139276,50934,37284,0,1452,0,39987,1420
1983:Q3,1796351,1153484,155784,373975,113108,1796351,1113525,682565,155131,527434,261,1796351,110672,40895,27574,50098,3475,600,3623,42400,51647,934228,923495,4833,1849,4051,2160,147356,10569,14149,133975,75174,6856,51945,0,0,231538,151597,54152,40737,0,1423,0,40086,1404
1983:Q4,1850645,1186271,161229,389424,113721,1850645,1144776,705628,160370,545258,241,1850645,111313,41335,29305,50596,3395,2141,3652,41408,54164,961760,950389,5190,1800,4381,2311,150999,10124,14651,137898,78256,7632,52010,0,0,244807,159850,57895,41834,0,1393,0,39996,1386
1984:Q1,1904844,1216062,167158,408654,112970,1904844,1175906,728734,163135,565599,204,1904844,110989,44278,31772,50276,2900,2094,3563,41719,56580,992235,980485,4422,1790,5538,2414,151301,9892,14726,141926,80852,8979,52095,0,0,255930,166260,59376,45190,0,1394,0,41024,1501
1984:Q2,1972432,1254448,174957,429688,113339,1972432,1211495,760757,169951,590806,180,1972432,112405,47222,34252,50519,2715,1344,3582,42878,59363,1034722,1022247,4264,1813,6398,2490,153531,9369,14935,144588,82746,9478,52364,0,0,263344,170893,61267,46479,0,1420,0,44078,1614
1984:Q3,2034727,1289107,180374,451779,113467,2034727,1246411,788164,174426,613738,152,2034727,114667,50197,36765,49885,2389,737,3498,43261,61772,1071433,1058155,4407,1851,7020,2580,155372,9041,14961,146406,84364,9447,52595,0,0,275538,175770,63964,50601,0,2140,0,44383,1727
1984:Q4,2091991,1321526,186145,471898,112422,2091991,1278598,813252,175742,637510,141,2091991,103009,53143,39311,51463,2301,1276,3534,44352,64399,1099041,1084010,5616,1881,7534,2664,156699,9735,15255,150123,87463,10399,52261,0,0,288987,179981,70822,53600,0,1453,11000,45351,1811
1985:Q1,2168248,1385660,182816,487050,112722,2168248,1341994,826138,164542,661596,116,2168248,123726,54565,41009,51664,1964,1062,3515,45123,66455,1118664,1103507,5453,1916,7788,2869,158470,11041,15319,155376,91724,11548,52104,0,0,304033,185954,76759,57111,0,1434,19153,44043,1861
1985:Q2,2234883,1428061,189290,505953,111579,2234883,1380426,854361,167173,687188,96,2234883,125750,56021,42493,52161,1825,790,3531,46015,68591,1147153,1130993,5380,1959,8821,3047,162114,11804,15345,158216,94584,12576,51056,0,0,321090,192925,83327,61157,0,1524,21054,48108,1936
1985:Q3,2303008,1477181,194964,522126,108737,2303008,1439881,863044,163249,699795,83,2303008,122083,57497,43447,52741,1640,577,3542,46982,71191,1180594,1163079,5471,2003,10041,3197,164760,11361,15321,158983,96639,13089,49255,0,0,343332,201026,91915,67502,0,1181,21644,54843,2014
1985:Q4,2368542,1526876,205915,541661,94090,2368542,1488765,879705,171889,707816,72,2368542,116174,60075,43983,53304,1473,733,3574,47524,74207,1207974,1189107,5743,2038,11086,3339,171797,14016,15309,159734,98214,14022,47498,0,0,367864,211145,100387,73649,0,987,24580,53321,2865
1986:Q1,2416495,1557666,212974,554231,91624,2416495,1517017,899417,173199,726218,61,2416495,115115,58505,43818,53305,1533,704,3601,47467,78819,1224257,1202391,6174,2070,13622,3623,174996,13862,15400,157415,98370,13623,45422,0,0,394587,220348,110337,80991,0,1165,26020,53796,2977
1986:Q2,2492143,1616328,220862,565823,89130,2492143,1569033,923058,177185,745873,52,2492143,115335,56955,45091,53083,876,570,3628,48009,81696,1246458,1222648,6587,2095,15128,3843,180496,12992,15197,154448,96885,14194,43369,0,0,429072,229204,125903,91351,0,1164,28721,65633,3123
1986:Q3,2578098,1683521,228838,579130,86609,2578098,1633536,944522,181730,762792,40,2578098,112936,55278,46259,53135,887,457,3653,48138,83742,1273141,1246771,6993,2122,17255,4075,185980,12609,15364,152140,96662,13359,42119,0,0,475896,241230,146871,105485,0,1050,31176,73194,3173
1986:Q4,2655581,1730129,239394,601970,84088,2655581,1692199,963346,188149,775197,36,2655581,112602,53216,44676,54357,889,48421,3690,1357,86005,1308821,1278668,8675,2153,19325,4348,193842,11255,15550,147775,96227,11564,39984,0,0,531591,262697,171372,97380,0,142,17898,70781,2864
1987:Q1,2737635,1770490,245492,639606,82047,2737635,1727555,1010053,218149,791904,27,2737635,118284,53681,42950,54067,687,48203,3786,1391,89436,1341716,1309118,8361,2191,22046,4444,195743,10096,15333,144011,93709,12940,37362,0,0,575435,281116,186295,107870,0,154,20275,69185,2979
1987:Q2,2829845,1843953,250241,655668,79983,2829845,1799591,1030229,229090,801139,25,2829845,118370,54009,40438,54020,667,48085,3840,1428,92299,1385729,1348798,9777,2226,24928,4750,200382,9308,15228,140414,91994,12597,35823,0,0,615142,293246,200284,121463,0,149,24032,72755,2969
1987:Q3,2899473,1898660,254693,668224,77896,2899473,1849575,1049876,238434,811442,22,2899473,118254,54539,38352,48766,458,42978,4028,1302,93273,1426890,1385757,11235,2275,27623,4868,204263,8725,15408,140290,92430,12940,34920,0,0,647084,308339,207872,130729,0,144,30073,65567,3121
1987:Q4,2957964,1928861,258744,694549,75810,2957964,1882677,1075266,252533,822733,21,2957964,117829,55140,37909,49068,444,43051,4222,1351,94697,1448993,1402853,13921,2347,29872,4994,216070,8205,15331,139459,92456,12872,34131,0,0,669394,317555,211634,140084,0,121,31454,66065,3356
1988:Q1,3027489,1975292,268754,708871,74572,3027489,1931675,1095793,255709,840084,21,3027489,117977,59450,40185,49170,434,43076,4304,1356,96036,1490615,1440681,15959,2455,31520,5139,220108,9614,15448,142285,94333,14386,33566,0,0,677841,318703,213724,145349,0,65,33194,66925,3502
1988:Q2,3116342,2045358,266426,731225,73333,3116342,1999520,1116800,257010,859790,22,3116342,118462,63626,43716,48482,42,42767,4405,1268,96714,1530614,1476097,17863,2591,34063,5269,224782,11269,15637,144704,96080,15576,33048,0,0,695315,322616,215155,157521,0,23,34999,79232,3521
1988:Q3,3190355,2106338,269771,742165,72081,3190355,2058340,1131995,252813,879182,20,3190355,119218,68062,47078,47566,64,41836,4536,1130,96968,1565554,1506478,19955,2744,36377,5406,229786,13983,15586,143781,95773,15442,32566,0,0,721137,333177,220684,167249,0,27,37509,74940,3781
1988:Q4,3277078,2163251,275085,767913,70829,3277078,2113530,1163532,265393,898139,16,3277078,120318,72650,47846,48017,26,42018,4662,1311,98647,1602988,1539962,22063,2903,38060,5574,238036,16666,15603,144457,94917,17425,32115,0,0,745287,340527,226406,178328,0,26,40454,76353,4182
1989:Q1,3332288,2197391,280374,784203,70320,3332288,2149793,1182480,277069,905411,15,3332288,120801,69121,46631,48003,25,41780,4928,1270,100224,1633618,1566182,23613,3070,40753,5779,242003,17630,15132,143720,93746,18713,31261,0,0,770459,347597,234695,188143,0,24,42058,73054,4055
1989:Q2,3402085,2255839,285545,790897,69804,3402085,2209125,1192946,279281,913665,14,3402085,123097,65660,43064,47159,24,40711,5076,1348,102096,1665836,1594122,25554,3248,42912,6027,247035,19272,15118,145345,93757,20121,31467,0,0,794482,352654,245242,196563,0,23,43671,80201,4022
1989:Q3,3478228,2322095,286378,800472,69283,3478228,2274875,1203340,280390,922950,13,3478228,125452,62117,39090,47164,24,41117,4626,1397,103383,1687430,1611724,27917,3437,44352,6270,252397,21079,15295,147965,96372,20650,30943,0,0,827012,360097,257938,208955,0,22,41645,97981,3948
1989:Q4,3528976,2370023,287571,802621,68761,3528976,2326026,1202937,273343,929594,13,3528976,128315,58738,35146,47285,23,41176,4796,1291,104961,1670189,1609402,30189,3634,26964,6460,259636,23294,15299,150491,99001,21851,29639,0,0,869549,368367,272870,228291,0,21,52647,102938,4028
1990:Q1,3623288,2450635,291160,813010,68483,3623288,2402573,1220701,289157,931544,14,3623288,131563,58296,33520,54645,22,41125,4977,8521,106189,1711512,1644291,35761,3847,27613,6615,265957,23310,15181,152793,99947,23521,29325,0,0,905165,376962,281736,246447,0,20,48490,106060,3992
1990:Q2,3687991,2517657,285197,816936,68202,3687991,2464647,1223334,292922,930412,11,3687991,134119,57874,32654,65388,21,41175,5489,18703,107423,1710161,1638417,38545,4082,29117,6752,270740,24179,15243,150461,100886,19979,29595,0,0,944198,385456,295340,263384,0,19,53076,111746,3977
1990:Q3,3743932,2567754,287536,820726,67917,3743932,2517734,1226189,296905,929284,10,3743932,136857,57453,32004,79028,21,41269,6671,31067,108599,1704105,1627281,41326,4315,31183,6849,272083,24614,15311,152202,102253,20508,29441,0,0,978533,394859,301797,281859,0,18,57664,114666,3965
1990:Q4,3785715,2607360,288098,822624,67633,3785715,2562541,1223164,298276,924888,10,3785715,139234,56752,31052,82859,20,41439,7331,34069,110215,1683721,1600919,45534,4521,32747,6885,274124,24901,16061,156143,104870,21857,29415,0,0,1019861,403603,316359,299882,0,17,66046,114134,3727
1991:Q1,3829585,2642100,289653,830244,67588,3829585,2604598,1224976,304384,920592,11,3829585,140360,58163,29581,92520,21,41307,8177,43014,111575,1671382,1584809,49129,4711,32733,6859,275380,23391,16562,159163,106790,23121,29252,0,0,1050307,409929,328215,312149,0,14,71048,119752,3543
1991:Q2,3894144,2701075,290916,834611,67542,3894144,2667747,1226387,305503,920884,10,3894144,142211,59677,28256,101190,20,41430,8962,50778,112113,1667119,1576067,51698,4898,34456,6766,278165,21380,16322,161994,109203,23649,29142,0,0,1085984,413707,341132,331131,0,13,85021,124401,3546
1991:Q3,3896975,2723333,283382,822764,67496,3896975,2693793,1203172,298462,904710,10,3896975,142857,61154,26934,103706,20,41566,8817,53303,112955,1632396,1538168,52546,5058,36624,6640,276672,19993,16675,162324,109365,23906,29053,0,0,1123313,422500,348843,351957,0,12,98380,109497,3480
1991:Q4,3937253,2775228,284847,809729,67450,3937253,2749349,1187894,290263,897631,10,3937253,141130,62571,26024,98288,19,41713,9278,47278,113723,1623573,1527191,54299,5169,36914,6511,266080,18226,16886,167673,112098,26809,28767,0,0,1156489,425295,359163,372020,0,11,113098,123590,3391
1992:Q1,3967676,2814898,284670,800552,67557,3967676,2791410,1176257,284953,891303,10,3967676,139671,62757,25359,102487,19,41791,9872,50805,113714,1604353,1509201,54208,5325,35619,6388,265087,17243,16173,175727,118056,28895,28776,0,0,1179728,421954,367878,389887,0,10,125358,130328,3304
1992:Q2,3989669,2846334,280821,794851,67663,3989669,2826042,1163619,279664,883955,8,3989669,138113,63284,24769,97751,19,41628,10107,45997,113895,1589220,1490564,54391,5503,38762,6267,261055,16074,17066,180157,122761,28621,28775,0,0,1218988,422922,382797,413259,0,9,138529,120811,3690
1992:Q3,4027821,2899641,277326,783083,67771,4027821,2882341,1145472,270413,875059,8,4027821,136521,63372,24858,90561,23,41671,10498,38369,113757,1583746,1486172,53517,5713,38344,6113,255680,15422,16306,186746,126302,31629,28814,0,0,1243647,422010,391762,429867,0,9,157479,129822,3791
1992:Q4,4047320,2942617,271664,765161,67879,4047320,2929029,1118284,250657,867627,8,4047320,134336,63836,25169,86347,27,41695,10954,33672,113679,1568331,1470913,51605,5975,39838,5889,248506,14546,16453,199742,137413,33665,28664,0,0,1272047,419516,407514,445009,0,8,167916,126267,4256
1993:Q1,4048277,2952698,269563,758000,68016,4048277,2945347,1102922,241745,861177,8,4048277,132331,61822,23509,81917,30,41529,11048,29309,113718,1556680,1459623,50235,6267,40555,5588,246136,14654,15645,204935,140978,35421,28536,0,0,1299796,421514,420932,457343,0,7,173846,113292,4408
1993:Q2,4090750,3006984,266732,748880,68154,4090750,3001503,1089239,233664,855575,8,4090750,130266,59821,22990,76409,45,41446,11155,23764,110713,1571827,1475173,48999,6617,41038,5192,243960,14330,14506,222373,151305,42477,28591,0,0,1301300,413166,422882,465246,0,6,184609,127779,4675
1993:Q3,4136198,3059398,265452,743056,68293,4136198,3054205,1081987,231738,850249,7,4136198,128163,57841,22629,73191,45,41424,10624,21098,109601,1580720,1484688,47801,6954,41277,4792,239289,14824,15055,232709,160521,43378,28810,0,0,1330555,415076,433569,481904,0,6,195409,126473,4947
1993:Q4,4177717,3101618,268532,739135,68433,4177717,3098586,1079125,233603,845522,6,4177717,126069,55831,21850,70928,43,41386,10712,18786,108508,1602157,1508090,45060,7225,41782,4472,230086,12984,14529,241020,165668,46892,28460,0,0,1356766,414066,447147,495547,0,5,204327,123130,5062
1994:Q1,4200781,3133136,268405,730442,68797,4200781,3128662,1072112,230439,841673,6,4200781,124067,57415,20829,66815,22,41209,10607,14977,108107,1585983,1491899,43536,7436,43112,4303,226811,12547,14637,246877,171070,47626,28181,0,0,1399296,423446,468449,507397,0,5,215989,110974,6130
1994:Q2,4249490,3180691,269592,730041,69166,4249490,3173624,1075861,234226,841635,6,4249490,121934,58867,22635,66467,20,41370,10478,14599,108310,1606018,1511516,42514,7900,44088,4134,224842,12563,14941,247264,173058,45731,28475,0,0,1432417,435709,481831,514873,0,4,218890,102867,7341
1994:Q3,4300476,3231431,269472,730034,69539,4300476,3219852,1080618,238042,842576,6,4300476,119775,60166,22891,67534,12,41587,10331,15605,109741,1631901,1536775,41424,8200,45502,3964,222733,12561,15024,246636,174373,43725,28538,0,0,1454933,444976,486425,523528,0,4,222623,101560,8434
1994:Q4,4342268,3279108,269282,723966,69912,4342268,3264549,1077714,236767,840947,6,4342268,117242,61081,23800,63185,12,41781,10459,10933,111261,1663748,1567674,40261,8788,47025,3795,221784,7795,15199,244580,174312,41712,28556,0,0,1472405,450934,490851,530259,358,3,224458,103343,8592
1995:Q1,4375149,3307245,268253,729293,70358,4375149,3290509,1084634,238991,845643,6,4375149,115186,61366,23022,62085,6,41857,10556,9666,112647,1691081,1594746,38826,8918,48591,3550,221714,7991,15397,243207,173833,41309,28065,0,0,1480246,454401,492194,533274,375,2,227141,101375,9140
1995:Q2,4430192,3357165,270503,731714,70810,4430192,3336876,1093310,240668,852642,6,4430192,113094,61771,22669,58486,15,41917,9812,6742,114059,1716974,1621309,37658,9177,48830,3306,222087,8188,15558,243507,173716,41786,28005,0,0,1499398,457108,498216,543680,392,2,230715,110807,9573
1995:Q3,4491366,3413969,271678,734454,71266,4491366,3388345,1103016,241441,861575,6,4491366,111003,62083,22104,56290,7,41858,9266,5159,114238,1741930,1645713,36829,9242,50146,3050,224277,8384,15746,247915,177267,42497,28151,0,0,1527030,463654,503370,559595,409,2,232450,114765,10102
