1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,1034399,835184,173631,25584,0,16843,8741,1034399,286323,285738,185100,135167,131208,10863,67,3158,3024,61,8,65,378,297,22,3,0,0,844,275,5818,132497,103700
1953:Q3,1050559,845670,178680,26209,0,17334,8875,1050559,291672,290886,186961,137984,132081,10975,69,3200,3060,63,9,68,385,300,22,3,0,0,855,277,5864,133388,104000
1953:Q4,1051269,842237,182254,26778,0,17805,8973,1051269,293214,292501,186609,138681,129329,10935,69,3197,3054,63,9,71,388,300,22,3,0,0,853,276,5828,135125,103500
1954:Q1,1055964,842224,186218,27522,0,18260,9262,1055964,295321,294375,186562,141316,127510,10880,68,3183,3037,64,9,73,392,302,22,3,0,0,853,275,5781,138372,103600
1954:Q2,1071431,853881,189474,28076,0,18754,9322,1071431,300019,296768,187488,143413,132891,10852,69,3177,3028,65,9,75,398,304,22,3,0,0,854,274,5752,137068,102400
1954:Q3,1085608,866317,190600,28691,0,19288,9403,1085608,307715,298719,189084,146512,132736,10842,69,3171,3020,66,9,76,398,304,22,3,0,0,857,269,5747,136944,102200
1954:Q4,1099956,877884,192749,29323,0,19864,9459,1099956,312398,301966,189979,149640,135098,10875,69,3181,3026,67,10,78,402,306,23,4,0,0,864,267,5761,138718,101800
1955:Q1,1110774,887224,193212,30338,0,20453,9885,1110774,319397,305868,191748,148988,133750,11023,70,3229,3066,70,11,82,409,310,23,3,0,0,880,266,5833,140764,103200
1955:Q2,1134022,905569,197394,31059,0,21106,9953,1134022,327823,311995,194779,151247,136910,11268,70,3302,3135,72,11,84,424,319,24,3,0,0,905,270,5950,143051,103100
1955:Q3,1166631,930926,203775,31930,0,21858,10072,1166631,335960,320909,198562,154400,145180,11620,73,3412,3235,75,12,90,444,332,25,3,0,0,939,277,6114,146276,103700
1955:Q4,1197093,952845,211346,32902,0,22754,10148,1197093,342242,332305,202176,158331,149966,12073,75,3554,3366,80,13,95,468,348,27,4,0,0,982,286,6332,148099,104300
1956:Q1,1232912,980819,217971,34122,0,23739,10383,1232912,349441,346216,206187,162463,155887,12718,80,3718,3520,84,13,101,496,371,29,4,0,0,1030,294,6696,150191,106900
1956:Q2,1257553,999860,222334,35359,0,24814,10545,1257553,357739,350058,208569,166570,161690,12927,83,3757,3554,86,13,104,515,385,30,4,0,0,1046,298,6808,151963,110100
1956:Q3,1286703,1021712,228307,36684,0,25935,10749,1286703,362361,361794,210970,171047,167066,13465,88,3891,3676,90,15,110,544,409,32,4,0,0,1086,306,7106,155481,110700
1956:Q4,1301496,1030647,232880,37969,0,27073,10896,1301496,364380,368852,211433,173094,169923,13814,92,3968,3747,92,15,114,569,428,34,5,0,0,1113,310,7299,159072,112200
1957:Q1,1321429,1042613,239398,39418,0,28186,11232,1321429,367672,377800,213015,176327,172510,14105,97,4049,3821,95,15,118,589,443,35,5,0,0,1134,314,7442,162116,113400
1957:Q2,1342246,1060602,240882,40762,0,29314,11448,1342246,372695,384979,214506,178282,177429,14355,102,4116,3881,98,15,122,604,455,34,4,1,0,1148,314,7576,165862,114600
1957:Q3,1360599,1073566,244905,42128,0,30454,11674,1360599,378789,391439,216496,180377,178942,14556,107,4171,3931,99,15,126,620,467,35,4,1,0,1161,316,7674,167091,116200
1957:Q4,1369440,1076324,249722,43394,0,31597,11797,1369440,380726,396425,217070,182371,178167,14681,111,4205,3959,101,16,129,636,479,36,5,1,0,1170,317,7725,168497,116200
1958:Q1,1363506,1068778,249844,44884,0,32707,12177,1363506,381953,392821,215863,181511,176829,14529,111,4170,3926,100,15,129,635,479,35,4,3,0,1162,313,7618,172253,118400
1958:Q2,1382512,1084454,251951,46107,0,33812,12295,1382512,385969,397779,217316,184695,182002,14751,113,4240,3990,102,16,132,644,487,35,4,4,0,1179,313,7729,171950,117600
1958:Q3,1399429,1098084,254080,47265,0,34938,12327,1399429,389662,401272,218367,188347,186861,14920,115,4293,4039,103,16,135,652,494,36,4,4,0,1192,313,7817,172355,119000
1958:Q4,1415027,1110097,256476,48454,0,36087,12367,1415027,394216,404909,219780,191377,189650,15095,117,4350,4090,105,16,139,660,503,36,4,5,0,1206,312,7904,172603,119700
1959:Q1,1428332,1119050,259723,49559,2,37173,12384,1428332,399041,407073,220791,192905,193362,15160,118,4370,4109,105,16,140,673,513,36,4,7,0,1218,312,7910,176556,120700
1959:Q2,1443289,1129146,263113,51030,3,38269,12758,1443289,404529,412693,222653,194597,193435,15382,119,4434,4170,106,16,142,692,528,37,4,7,0,1241,312,8004,178390,122100
1959:Q3,1458068,1138797,266791,52480,7,39351,13122,1458068,409552,417933,224298,196419,194274,15592,120,4497,4230,106,16,145,712,544,39,5,8,0,1265,313,8088,179622,121500
1959:Q4,1471124,1147648,269549,53927,13,40444,13470,1471124,414618,422056,225631,198000,195058,15761,122,4547,4277,107,16,147,731,560,40,5,8,0,1285,314,8151,180216,121400
1960:Q1,1485305,1158972,271169,55164,29,41543,13592,1485305,418398,425898,229131,198836,197056,15986,124,4611,4335,110,15,151,743,570,40,5,9,0,1301,316,8265,181677,124800
1960:Q2,1497725,1166741,274587,56397,60,42682,13655,1497725,421710,428339,232337,199934,199274,16131,125,4652,4373,110,15,154,755,583,41,5,11,0,1315,321,8324,183332,124400
1960:Q3,1510942,1175899,277229,57814,100,43832,13882,1510942,423481,430526,234932,203793,201940,16270,127,4687,4407,111,13,156,767,593,41,5,13,0,1328,322,8386,184431,126000
1960:Q4,1520449,1182474,278747,59228,143,44975,14110,1520449,425533,431681,237390,205213,204261,16371,128,4714,4431,113,12,158,777,603,41,5,14,0,1335,324,8432,185419,124900
1961:Q1,1530023,1188976,280470,60577,175,46090,14312,1530023,426763,433907,240034,205642,207106,16571,129,4772,4486,114,12,160,789,613,41,4,24,0,1320,327,8549,185413,124400
1961:Q2,1547109,1203214,281871,62024,207,47273,14544,1547109,430826,436765,243812,208955,209955,16796,130,4838,4549,115,12,162,801,626,42,4,33,0,1307,332,8680,186490,123700
1961:Q3,1560430,1213094,283716,63620,239,48513,14868,1560430,433685,439483,247174,210211,212866,17011,132,4904,4611,117,12,164,814,637,43,4,42,0,1293,337,8804,187768,126300
1961:Q4,1580092,1228684,286183,65225,276,49808,15141,1580092,436417,443253,250699,215738,216712,17273,133,4983,4686,119,12,166,830,652,45,5,52,0,1282,343,8950,188375,128200
1962:Q1,1597066,1241527,288908,66631,302,51061,15268,1597066,439859,446782,254726,217167,220982,17550,133,5076,4775,120,12,169,843,664,46,5,51,0,1297,350,9085,189678,130900
1962:Q2,1615703,1254790,292755,68158,332,52341,15485,1615703,442824,451124,258767,220163,224959,17866,134,5182,4875,123,12,172,857,678,47,5,50,0,1316,357,9240,191439,131900
1962:Q3,1635113,1268574,296909,69630,367,53636,15627,1635113,445528,454340,262533,226508,228072,18132,136,5272,4961,124,12,175,870,689,48,5,50,0,1331,364,9365,193602,134900
1962:Q4,1652675,1280576,300896,71203,413,54970,15820,1652675,447857,457910,266191,230254,232036,18427,136,5371,5055,126,12,178,886,705,49,5,50,0,1346,371,9513,194709,135400
1963:Q1,1667670,1292292,302582,72796,457,56426,15913,1667670,452548,461570,267847,231591,235436,18678,137,5456,5146,123,12,175,894,712,49,4,48,0,1341,379,9655,196659,135900
1963:Q2,1683681,1303358,305531,74792,521,58060,16211,1683681,455761,465071,268944,235401,239581,18923,136,5541,5235,122,12,172,904,722,50,4,45,0,1334,388,9794,199331,136400
1963:Q3,1694652,1309678,307897,77077,631,59862,16584,1694652,455967,469306,269085,237894,243201,19199,137,5634,5333,119,12,170,917,733,51,4,42,0,1329,400,9947,202006,137200
1963:Q4,1717352,1326105,311742,79505,730,61797,16978,1717352,463789,473397,272087,240733,247887,19459,137,5724,5429,117,12,166,931,745,53,5,40,0,1323,411,10090,204844,137700
1964:Q1,1731421,1334581,315092,81748,821,63731,17196,1731421,466003,477239,273394,243252,251731,19802,137,5844,5542,119,12,171,959,768,54,5,37,0,1354,425,10221,207778,138500
1964:Q2,1766729,1363286,319390,84053,904,65595,17554,1766729,479236,485165,279546,246569,255856,20357,139,6024,5713,122,13,176,993,798,55,5,33,0,1395,441,10469,210475,139200
1964:Q3,1789219,1380209,322798,86212,985,67375,17852,1789219,486556,490205,282985,248648,260059,20766,139,6163,5846,124,13,180,1025,824,56,5,31,0,1429,456,10636,213348,141400
1964:Q4,1829486,1414608,326652,88226,1057,69064,18105,1829486,502626,499569,290340,250987,264560,21404,141,6372,6044,128,13,187,1062,856,58,6,28,0,1478,474,10931,215398,143000
1965:Q1,1850918,1429925,330693,90300,1103,70783,18414,1850918,507173,505935,292980,252627,270415,21788,142,6485,6150,130,15,190,1093,882,58,5,24,0,1526,490,11084,219247,147100
1965:Q2,1879538,1451157,335683,92698,1181,72637,18880,1879538,512986,514075,296310,257212,276676,22279,143,6623,6283,131,15,194,1130,912,60,5,21,0,1579,507,11297,222135,151000
1965:Q3,1903259,1466607,341326,95326,1272,74646,19408,1903259,517998,522032,299321,258920,282257,22731,143,6755,6408,134,16,197,1168,944,62,6,18,0,1633,527,11475,224867,152900
1965:Q4,1954131,1510035,346059,98037,1387,76848,19802,1954131,536864,534604,307941,262979,288266,23477,146,6968,6611,138,17,202,1215,984,66,7,15,0,1702,550,11825,227868,157200
1966:Q1,1971331,1519154,351213,100964,1491,79138,20335,1971331,535937,542029,309674,265708,294137,23846,147,7077,6715,140,18,204,1244,1005,67,6,16,0,1745,560,11980,232800,162300
1966:Q2,2041868,1578041,359959,103868,1628,81453,20787,2041868,560173,558375,322157,271969,304504,24690,150,7325,6949,146,19,211,1292,1043,70,6,18,0,1817,576,12391,238173,166400
