1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6852,509,170,101,2115,3957,6852,5504,0,3356,33,2115,1071,78,19,227,11,0,736,0,0,0,0,277,6852,1543,-93,922,0,5,709,5234,2879,-336,131,-44,10,572,257,755,0,699,0,64,40,0,55,0,0,0,-219,0,371,75
1952:Q1,2022,281,-1367,-149,2246,1011,2022,1982,0,1140,-1404,2246,1,-26,-6,-114,2,0,145,0,0,0,0,39,2022,2016,2469,-762,0,9,300,103,-1376,79,55,1,2,242,545,243,0,241,0,39,13,0,137,0,0,0,-310,0,192,-97
1952:Q2,3798,118,-329,-56,2464,1601,3798,3426,0,1446,-484,2464,323,-34,-9,97,2,0,267,0,0,0,0,49,3798,1561,2164,-1270,0,-10,677,2127,278,253,61,7,1,134,288,243,0,177,0,9,16,0,-69,0,0,0,825,0,-96,110
1952:Q3,5713,209,2832,441,1215,1016,5713,5564,0,1169,3180,1215,232,31,8,90,3,0,100,0,0,0,0,-83,5713,2272,1671,452,0,-2,151,3043,709,1365,-82,8,1,295,837,277,0,340,0,6,16,0,-13,0,0,0,-865,0,149,398
1952:Q4,5849,-190,3756,202,962,1119,5849,5955,0,1012,3981,962,-128,31,7,-26,3,0,-143,0,0,0,0,22,5849,1356,414,648,0,0,294,4662,819,1641,50,5,3,252,657,336,0,198,0,23,15,0,12,0,0,0,652,0,-1,-169
1953:Q1,-468,194,-3428,-2,1564,1204,-468,-963,0,799,-3326,1564,444,-30,-7,-106,2,0,585,0,0,0,0,51,-468,906,39,586,0,52,229,-1495,-765,-2208,-40,2,1,296,717,348,0,274,0,3,15,0,200,0,0,0,-572,0,234,121
1953:Q2,2363,-192,390,-430,1158,1437,2363,2043,0,940,-55,1158,445,-22,-6,14,1,0,458,0,0,0,0,-125,2363,2292,3837,-1660,0,-34,149,-160,877,-2275,27,0,1,221,564,342,0,371,0,-22,15,0,-121,0,0,0,-93,0,-67,231
1953:Q3,9214,328,6437,261,1416,772,9214,8575,0,580,6579,1416,684,70,18,117,2,0,477,0,0,0,0,-45,9214,2369,319,1886,0,-19,183,6546,489,4072,-9,-1,1,302,491,312,0,359,0,4,15,0,18,0,0,0,319,0,174,299
1953:Q4,6228,48,1796,1802,1217,1365,6228,6108,0,1267,3624,1217,113,47,12,-28,2,0,80,0,0,0,0,7,6228,639,-683,982,0,-1,341,5566,682,2938,58,-1,3,305,656,272,0,223,0,23,15,0,-3,0,0,0,468,0,-73,23
1954:Q1,-1341,355,-4614,431,1504,983,-1341,-1552,0,900,-3956,1504,40,6,1,-228,1,0,260,0,0,0,0,171,-1341,-748,339,-1287,0,18,182,-838,-1085,-1386,-29,3,2,191,695,277,0,384,0,48,15,0,312,0,0,0,-389,0,124,245
1954:Q2,1017,-140,-285,-812,1350,904,1017,1050,0,894,-1194,1350,30,7,2,96,1,0,-76,0,0,0,0,-63,1017,-3466,-570,-3028,0,-10,142,4618,505,2379,-1,7,2,224,416,292,0,407,0,13,14,0,-29,0,0,0,519,0,-130,-135
1954:Q3,4367,76,3130,-1332,1510,983,4367,4550,0,1375,1665,1510,-85,16,4,125,8,0,-238,0,0,0,0,-98,4367,677,-1081,1529,0,-2,231,3342,-791,2880,-12,7,2,266,386,333,0,301,0,40,14,0,24,0,0,0,-112,0,4,348
1954:Q4,6861,-11,3487,1781,1287,317,6861,7070,0,495,5288,1287,-149,214,53,-28,8,0,-396,0,0,0,0,-60,6861,1042,-285,1123,0,-5,209,5657,942,3495,82,0,2,270,395,386,0,306,0,23,17,0,-47,0,0,0,9,0,-223,162
1955:Q1,-2106,208,-4559,246,1492,507,-2106,-2333,0,477,-4302,1492,321,-54,-13,-19,8,0,399,0,0,0,0,-94,-2106,2174,1664,253,0,6,251,-4279,-1383,-4157,-17,-1,3,79,567,375,0,276,0,6,18,0,133,0,0,0,-485,0,307,-1
1955:Q2,-60,-65,-976,-720,1112,589,-60,-305,0,604,-2021,1112,303,-122,-31,316,9,0,131,0,0,0,0,-58,-60,1148,1486,-640,0,1,301,-1190,-82,-2369,95,-5,4,145,306,362,0,271,0,51,21,0,-113,0,0,0,32,0,92,-18
1955:Q3,3780,-27,2194,-391,1401,603,3780,3418,0,465,1552,1401,402,12,4,241,10,0,135,0,0,0,0,-40,3780,4255,2042,1924,0,-4,293,-675,-2,-1912,27,-5,4,293,489,302,0,329,0,67,21,0,-232,0,0,0,-115,0,59,200
1955:Q4,6395,-271,2998,1117,1029,1522,6395,6032,0,1302,3701,1029,364,-24,-6,403,11,0,-20,0,0,0,0,-1,6395,4133,1092,2694,0,16,331,2197,994,-187,60,-3,4,175,85,216,0,351,0,25,20,0,299,0,0,0,320,0,-162,65
1956:Q1,-1450,577,-4465,123,1235,1080,-1450,-2802,0,422,-4459,1235,1262,16,3,106,11,0,1126,0,0,0,0,90,-1450,229,2166,-2149,0,-5,217,-2118,-1097,-2679,-69,3,4,42,317,244,0,455,0,96,20,0,320,0,0,0,-296,0,522,439
1956:Q2,-3385,-105,-5222,-250,921,1271,-3385,-3880,0,887,-5688,921,414,19,5,205,11,0,174,0,0,0,0,81,-3385,-1502,1338,-3193,0,-1,354,-1968,157,-2667,-6,7,4,42,272,300,0,246,0,-90,19,0,11,0,0,0,-76,0,-187,85
1956:Q3,3732,180,974,14,1185,1379,3732,3104,0,1179,740,1185,554,97,25,243,5,0,184,0,0,0,0,74,3732,1964,1730,-59,0,-8,301,1402,-165,327,-22,8,4,151,522,393,0,233,0,199,19,0,-10,0,0,0,-198,0,-59,366
1956:Q4,5504,-174,3161,334,824,1359,5504,5428,0,1004,3600,824,11,132,32,-111,6,0,-48,0,0,0,0,65,5504,1873,458,1149,0,3,263,3936,1334,1501,-11,7,3,170,255,492,0,213,0,26,22,0,-31,0,0,0,148,0,-193,-305
1957:Q1,3027,566,-1150,427,1063,2121,3027,1380,0,1445,-1128,1063,1430,41,11,397,8,0,973,0,0,0,0,217,3027,2297,2540,-325,0,11,71,643,-1955,941,-24,5,4,53,568,491,0,345,0,43,23,0,116,0,0,0,-395,0,428,87
1957:Q2,-2834,-278,-5430,158,911,1805,-2834,-3539,0,1432,-5882,911,579,-32,-8,601,9,0,9,0,0,0,0,126,-2834,-841,1010,-1861,0,-2,12,-1907,-31,-3193,16,3,4,92,498,436,0,343,0,97,25,0,-73,0,0,0,89,0,-213,-86
1957:Q3,8238,330,4612,-29,1356,1969,8238,7303,0,1557,4390,1356,904,176,44,189,4,0,491,0,0,0,0,31,8238,2976,2366,749,0,1,-140,5382,111,3494,-36,3,4,233,671,379,0,406,0,-25,25,0,-132,0,0,0,160,0,89,-120
1957:Q4,5572,221,1174,1191,1177,1809,5572,4968,0,1642,2149,1177,543,89,22,213,3,0,216,0,0,0,0,61,5572,1534,745,975,0,-6,-180,3705,993,686,-26,1,3,278,512,332,0,338,0,14,27,0,6,0,0,0,535,0,6,333
1958:Q1,3657,1086,-1783,478,1460,2416,3657,2432,0,2159,-1187,1460,954,179,45,-120,2,0,848,0,0,0,0,271,3657,-1051,455,-1246,0,42,-302,5203,-608,3366,-32,8,4,-6,743,344,0,479,0,118,28,0,599,0,0,0,-134,0,294,-495
1958:Q2,4322,-279,3294,-1154,1143,1318,4322,4539,0,1155,2241,1143,-557,-142,-36,-103,2,0,-278,0,0,0,0,340,4322,-3764,-1738,-2080,0,-29,83,8720,2019,4355,35,12,4,123,667,360,0,242,0,180,29,0,-111,0,0,0,720,0,85,-634
1958:Q3,3293,-300,560,290,1541,1202,3293,3620,0,1450,629,1541,-415,-58,-14,215,6,0,-564,0,0,0,0,88,3293,-470,-1467,951,0,-19,65,2968,-495,2818,-38,11,4,303,853,385,0,379,0,-1,30,0,-134,0,0,0,-1165,0,18,795
1958:Q4,9850,-520,7182,399,1306,1483,9850,9910,0,1115,7489,1306,-279,-70,-18,85,7,0,-283,0,0,0,0,219,9850,4226,1172,2932,0,-4,126,5242,1617,1800,47,4,3,364,664,409,0,409,0,-24,29,0,-245,0,0,0,467,0,-302,382
1959:Q1,2751,391,22,-163,1578,923,2751,1902,0,586,-262,1578,680,-113,-28,116,5,0,700,0,0,0,0,169,2751,4682,2909,1580,0,-1,194,-2354,-859,-3136,-4,-1,3,136,768,260,0,407,0,75,79,0,205,0,0,0,-417,0,130,423
1959:Q2,3951,50,928,587,1258,1128,3951,2566,0,668,640,1258,1320,-58,-14,869,6,0,517,0,0,0,0,65,3951,2548,1019,1195,0,4,330,-518,564,-2720,5,-7,2,245,837,393,0,319,0,34,27,0,-129,0,0,0,-106,0,18,1921
1959:Q3,8104,-82,4502,726,1939,1019,8104,6991,0,637,4415,1939,983,-23,-6,812,1,0,199,0,0,0,0,130,8104,5634,3048,2371,0,9,206,1269,513,-1517,-8,-7,2,401,487,357,0,506,0,137,29,0,-11,0,0,0,163,0,217,1201
1959:Q4,6501,-47,3600,409,1067,1472,6501,5522,0,845,3610,1067,870,159,40,398,1,0,272,0,0,0,0,109,6501,5096,3347,1351,0,-13,411,767,137,-1053,33,-11,3,456,311,477,0,386,0,100,34,0,35,0,0,0,350,0,-491,638
1960:Q1,1235,1510,-3697,-134,1587,1969,1235,-1547,0,534,-3668,1587,2503,174,43,-164,1,0,2449,0,0,0,0,279,1235,4733,5348,-982,0,45,322,-3884,-1477,-4888,-34,3,2,304,462,332,0,493,0,49,100,0,204,0,0,0,-595,0,1161,386
1960:Q2,1398,148,-2126,631,1105,1640,1398,-35,0,1011,-2151,1105,1308,13,3,654,2,0,636,0,0,0,0,125,1398,-699,798,-1849,0,-31,383,2199,1155,-504,1,7,2,231,333,279,0,379,0,71,57,0,-119,0,0,0,259,0,48,-102
1960:Q3,4893,390,1905,-447,1571,1474,4893,3932,0,1017,1344,1571,885,231,58,116,-2,0,482,0,0,0,0,76,4893,-1904,-647,-1694,0,-12,449,6451,160,4162,-18,8,2,189,571,353,0,281,0,87,51,0,13,0,0,0,509,0,83,346
1960:Q4,5877,131,2120,427,1047,2152,5877,4777,0,1314,2416,1047,1003,290,72,134,-3,0,510,0,0,0,0,97,5877,-1184,-703,-794,0,33,280,6787,550,4300,31,1,4,168,503,521,0,439,0,37,27,0,44,0,0,0,486,0,-324,274
1961:Q1,234,787,-2662,-236,1449,896,234,-752,0,215,-2416,1449,901,164,42,-482,0,0,1177,0,0,0,0,85,234,-1762,-1364,-535,0,-1,138,1952,-615,599,141,4,4,198,680,130,0,555,0,48,68,0,263,0,0,0,-684,0,561,44
1961:Q2,3451,-101,306,58,830,2358,3451,2914,0,2056,28,830,364,33,8,337,-1,0,-13,0,0,0,0,173,3451,64,114,-239,0,-23,212,3750,606,1574,41,2,5,227,527,398,0,443,0,-55,-19,0,-49,0,0,0,176,0,-126,-363
1961:Q3,7922,91,5047,322,1768,694,7922,7593,0,998,4827,1768,262,122,30,498,44,0,-432,0,0,0,0,67,7922,-616,467,-1292,0,24,185,7842,-125,6011,93,1,5,269,728,272,0,418,0,124,-28,0,-73,0,0,0,142,0,5,696
1961:Q4,7043,75,3165,866,1331,1606,7043,6506,0,1451,3724,1331,425,211,53,261,46,0,-146,0,0,0,0,112,7043,2084,1016,856,0,-2,214,4882,1866,1931,-186,-4,6,315,442,415,0,333,0,289,-22,0,-216,0,0,0,518,0,-805,77
1962:Q1,4521,842,96,698,1688,1197,4521,2946,0,863,395,1688,1374,-150,-37,377,22,0,1162,0,0,0,0,201,4521,480,-25,565,0,3,-63,3828,-170,104,214,2,5,343,1020,274,0,644,0,-29,35,0,533,0,0,0,-191,0,1044,213
1962:Q2,2979,-8,-293,414,1166,1700,2979,2431,0,1505,-240,1166,233,-126,-32,337,24,0,30,0,0,0,0,315,2979,-1152,-244,-1172,0,-30,294,3689,853,997,283,2,4,409,664,452,0,418,0,-62,-42,0,-358,0,0,0,116,0,-47,442
1962:Q3,3354,651,892,-10,1349,472,3354,2490,0,848,293,1349,770,-49,-12,552,37,0,242,0,0,0,0,94,3354,440,1161,-1133,0,-3,415,2254,-637,656,-124,3,5,401,785,200,0,423,0,242,-29,0,28,0,0,0,46,0,255,660
1962:Q4,8962,-205,4853,1078,1248,1988,8962,7811,0,920,5643,1248,767,298,74,248,40,0,107,0,0,0,0,384,8962,109,-1047,495,0,-5,666,8435,1714,4632,-211,4,6,323,321,503,0,298,0,43,14,0,170,0,0,0,950,0,-332,418
1963:Q1,3507,1040,73,-624,1176,1842,3507,2402,0,952,274,1176,611,-49,-12,-865,40,0,1497,0,0,0,0,494,3507,1023,-3732,4172,0,10,573,2340,-164,160,17,14,10,250,849,380,0,417,0,3,122,0,440,0,0,0,-1041,0,883,144
1963:Q2,3578,261,-733,697,1748,1605,3578,1654,0,889,-983,1748,1417,87,22,905,42,0,361,0,0,0,0,507,3578,-938,-859,-415,0,49,287,3765,1484,-65,-34,23,12,188,478,432,0,631,0,-159,115,0,126,0,0,0,49,0,485,751
1963:Q3,2268,-55,239,133,1175,776,2268,1515,0,654,-314,1175,682,45,2,672,14,0,-51,0,0,0,0,71,2268,365,361,-323,0,-18,345,1565,173,-639,-233,21,12,167,655,447,0,475,0,232,123,0,-488,0,0,0,230,0,390,338
1963:Q4,7169,-213,2878,1271,1141,2092,7169,5496,0,1046,3309,1141,1752,344,37,824,16,0,531,0,0,0,0,-79,7169,2364,1653,475,0,-12,248,4942,1629,2318,-69,9,11,183,379,325,0,452,0,104,86,0,334,0,0,0,-281,0,-538,-137
1964:Q1,3641,1214,309,-676,1137,1657,3641,1972,0,657,178,1137,1780,358,43,-571,26,0,1924,0,0,0,0,-111,3641,2734,1579,1146,0,-8,17,1286,-429,-354,10,-1,8,192,695,447,0,716,0,71,134,0,-198,0,0,0,-442,0,437,-379
1964:Q2,3287,353,-1715,890,1771,1988,3287,1396,0,1212,-1587,1771,1739,151,9,732,30,0,817,0,0,0,0,152,3287,-235,212,-638,0,-7,198,3417,1294,-1434,-3,-9,6,187,412,371,0,727,0,198,46,0,46,0,0,0,778,0,798,105
1964:Q3,6148,459,2696,-56,1812,1237,6148,5209,0,888,2509,1812,983,166,5,110,21,0,681,0,0,0,0,-44,6148,520,939,-926,0,6,501,4955,492,2996,141,-10,6,193,569,291,0,494,0,83,31,0,-205,0,0,0,307,0,-433,673
1964:Q4,8721,126,3266,1209,1400,2720,8721,7105,0,1394,4311,1400,1146,265,43,142,22,0,674,0,0,0,0,470,8721,985,490,-219,0,-8,722,7120,1556,3955,-72,-11,5,215,204,680,0,374,0,22,17,0,-85,0,0,0,110,0,150,616
1965:Q1,3353,674,-593,257,1501,1514,3353,1650,0,656,-507,1501,1613,71,-12,119,52,0,1383,0,0,0,0,90,3353,1676,1143,199,0,6,328,2093,619,-2159,43,1,5,218,755,540,0,799,0,348,80,0,251,0,0,0,-570,0,1163,-416
1965:Q2,1976,356,-3202,890,2197,1735,1976,132,0,1479,-3544,2197,1774,622,6,1178,54,0,-86,0,0,0,0,70,1976,-1340,-261,-1542,0,7,456,3611,1519,-738,-31,4,2,206,426,259,0,635,0,-96,-19,0,-81,0,0,0,1028,0,497,-295
1965:Q3,3345,319,-1520,860,2047,1639,3345,2721,0,1892,-1218,2047,482,-6,-9,491,67,0,-61,0,0,0,0,142,3345,1700,1312,-350,0,22,716,1274,577,464,83,6,5,246,770,137,0,407,0,373,-28,0,-100,0,0,0,-1411,0,-255,371
1965:Q4,8805,-484,5573,595,1492,1629,8805,7964,0,497,5975,1492,683,136,16,121,72,0,338,0,0,0,0,158,8805,764,-631,594,0,-2,803,7224,1273,4060,24,7,15,337,238,362,0,419,0,39,-23,0,64,0,0,0,728,0,-319,817
1966:Q1,8307,1730,-65,1484,1445,3713,8307,4806,0,2986,375,1445,3142,40,-1,964,80,0,2059,0,0,0,0,359,8307,7753,6587,861,0,22,283,1117,-327,-2253,-45,15,25,272,1260,988,0,842,0,447,52,0,-20,0,0,0,-844,0,705,-563
1966:Q2,3031,89,-6549,4173,2299,3019,3031,-123,0,2608,-5030,2299,3019,86,7,2570,84,0,272,0,0,0,0,135,3031,-30,1049,-1372,0,39,254,2826,1681,-1586,-71,21,36,396,121,330,0,584,0,270,-31,0,311,0,0,0,698,0,66,235
1966:Q3,7657,982,2170,158,1383,2964,7657,5884,0,3038,1463,1383,1666,-40,-10,731,134,0,851,0,0,0,0,107,7657,4703,5529,-906,0,441,-361,2830,-322,444,141,22,38,409,334,397,0,896,0,372,-26,0,-112,0,0,0,-708,0,945,124
1966:Q4,12319,1757,5557,1043,1109,2853,12319,9176,0,2407,5660,1109,3009,188,47,793,147,0,1834,0,0,0,0,134,12319,2078,1421,233,0,808,-384,10161,2139,2720,22,15,30,386,326,570,0,595,0,169,-12,0,756,0,0,0,1640,0,805,80
1967:Q1,10361,2950,1463,984,1232,3732,10361,8357,0,4198,2927,1232,1715,285,20,-646,166,0,1890,0,0,0,0,289,10361,-1733,-1392,-494,0,414,-261,11476,305,6602,40,22,23,369,935,246,0,488,0,-284,73,0,987,0,0,0,144,0,1526,618
1967:Q2,-2120,545,-9621,1146,2321,3489,-2120,-1505,0,4184,-8010,2321,-852,368,86,-645,180,0,-841,0,0,0,0,237,-2120,-7219,-4386,-2744,0,-32,-57,4718,2326,1901,33,22,17,325,779,-32,0,675,0,-472,6,0,157,0,0,0,-1039,0,20,381
1967:Q3,15479,162,8310,-223,2124,5106,15479,14784,0,4531,8129,2124,306,47,3,-203,161,0,298,0,0,0,0,389,15479,3700,4182,-341,50,-392,201,11048,107,9538,202,22,18,337,1262,358,0,733,0,-218,20,0,-822,0,0,0,292,0,-801,731
1967:Q4,17470,504,8609,2368,1474,4515,17470,14501,0,3157,9870,1474,2668,146,35,940,167,0,1380,0,0,0,0,301,17470,4870,2868,1878,50,-78,152,11554,2593,5439,137,21,24,385,561,126,0,949,0,164,46,0,-298,0,0,0,256,0,1151,1046
1968:Q1,13466,2061,5215,1650,1485,3055,13466,10107,0,3050,5572,1485,3056,15,4,1112,181,0,1744,0,0,0,0,303,13466,5895,2860,2372,50,-16,629,7731,540,2609,31,13,33,446,1423,624,0,541,0,609,82,0,164,0,0,0,-379,0,995,-160
1968:Q2,3755,334,-4820,2505,2149,3587,3755,1696,0,3446,-3899,2149,1999,136,-10,1394,190,0,289,0,0,0,0,60,3755,1686,1490,-939,50,407,678,2600,2769,-1627,-8,8,35,504,661,14,0,781,0,-592,128,0,161,0,0,0,-204,0,-30,-531
1968:Q3,14929,1506,6695,1259,1996,3473,14929,14539,0,4829,7714,1996,156,116,8,155,85,0,-208,0,0,0,0,234,14929,992,614,-789,50,-17,1134,12560,90,7677,-4,7,42,510,890,188,0,759,0,328,123,0,-413,0,0,0,1906,0,457,1377
1968:Q4,10774,299,1690,1513,2813,4459,10774,8149,0,2783,2553,2813,2138,81,20,568,82,0,1387,0,0,0,0,487,10774,1072,-1692,1759,50,-240,1195,7819,541,5305,-47,34,53,462,658,251,0,920,0,-526,66,0,-32,0,0,0,-677,0,811,1883
1969:Q1,11397,3288,-127,1451,3671,3114,11397,7824,0,4068,85,3671,3256,-95,8,1149,90,0,1904,0,0,200,0,317,11397,14070,11038,1702,50,-299,1579,-2043,-906,-4012,40,15,66,417,1321,-27,0,796,0,1033,114,0,-268,0,0,0,-1711,0,1079,-630
1969:Q2,-678,2798,-11956,1907,3540,3033,-678,-5594,0,3331,-12465,3540,4711,248,84,2331,85,0,914,4,0,1045,0,205,-678,-2971,-2054,-1320,50,-630,983,2016,2047,-3621,23,14,80,291,166,-158,0,948,0,-401,-3,0,60,0,0,0,1028,0,1542,277
1969:Q3,18246,4032,6241,1281,2711,3981,18246,10926,0,3638,4577,2711,6905,290,71,2697,248,0,2235,14,0,1350,0,415,18246,13356,14672,-2045,50,-118,797,2210,-108,-2298,58,15,85,453,629,589,0,1100,0,574,-39,0,-619,0,0,0,-764,0,2535,2680
1969:Q4,15404,2343,4889,2801,1464,3907,15404,8130,0,2120,4546,1464,7183,200,44,2889,255,0,2094,2,0,1699,0,91,15404,8182,7105,139,50,-250,1138,8991,3190,579,90,18,85,451,241,244,0,771,0,-189,-84,0,239,0,0,0,1583,0,1773,-1769
1970:Q1,16892,5584,2741,3476,2140,2951,16892,9350,0,4921,2289,2140,7260,-57,-20,3633,295,0,245,43,0,3121,0,282,16892,8954,8601,-188,50,16,475,5596,-1521,-1281,-250,11,86,772,889,253,0,960,0,444,-153,0,1254,0,0,0,-234,0,4366,2342
1970:Q2,6172,1295,-5691,1272,3340,5956,6172,2819,0,5656,-6177,3340,3411,534,126,1544,214,0,-194,21,0,1166,0,-58,6172,-5814,-7399,1471,50,-3,67,9303,2049,4324,97,5,92,762,279,118,0,830,0,1349,-250,0,-649,0,0,0,-1085,0,1382,2683
1970:Q3,14506,-3838,7420,1913,2584,6427,14506,15731,0,5826,7321,2584,-1621,-84,-26,1593,419,0,-614,0,0,-2909,0,396,14506,459,1929,-545,50,-4,-971,11032,2396,9970,255,8,89,1043,1256,922,0,1333,0,-731,-232,0,-234,0,0,0,1499,0,-6542,3015
1970:Q4,21438,-947,8463,2166,3919,7837,21438,17990,0,5529,8542,3919,3194,1003,245,1464,623,0,2040,42,0,-2223,0,254,21438,-2447,-1137,568,50,-106,-1822,20129,2057,13815,607,13,76,1216,-43,774,0,666,0,-478,-99,0,729,0,0,0,2153,0,-1357,3756
