1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q2,444383,136361,169709,-28208,563034,51605,0,724744,650153,760784,717183,43091,510,-110631,280636,2416,-3133,38488,37803,21248,104824,1092,26768,13056,63952,-44,14396,1620,12776,2626,-2872,53332,4,4648,2940,3917,391267,390103,136212,32761,3307,100144,127946,85638,37568,4740,8142,55456,-3415,65762,5436,51687,8639,1164,-45060,46224,74591,87645
1995:Q3,462168,142808,185098,-9832,572564,52814,0,749808,649259,781423,727127,27724,26572,-132165,379859,5608,6959,5640,21846,-20992,-124559,-923,-17260,-14092,-92296,12,-1064,1248,-2312,4240,-3080,75324,4,4648,147328,257957,512024,525704,59475,18937,1962,38576,80020,49119,13463,17437,5527,106394,-7324,281611,5428,121740,154443,-13680,-70192,56512,100549,84429
1995:Q4,460198,141064,190044,-2560,582296,59553,-1776,770155,663856,759105,739893,20979,-1767,-95249,563123,6188,63753,25804,26045,-5324,40771,-9925,53804,10552,-13996,336,-10177,364,-10541,5914,-3244,149024,24,4648,114933,144764,658372,635204,96567,17793,6086,72688,45373,48414,17974,-21015,-7315,94991,8038,397551,5436,95432,296683,23168,-48648,71816,106299,48503
1996:Q1,475537,145858,186950,2136,592230,55822,0,792917,809369,758409,753163,5504,-258,50960,530725,11936,-106290,-15356,21714,-48,-34576,9292,1032,-10272,-35084,456,-7643,-5240,-2403,-7012,26628,95344,0,8728,85443,451856,479765,534761,116425,25793,624,90008,61324,47512,-7153,20965,30399,36612,6255,283745,5428,82957,195360,-54996,-68624,13628,-16452,21314
1996:Q2,489061,154159,191379,-1652,602393,47567,0,791831,635060,788306,770430,18563,-687,-153246,343645,-2172,21294,31932,14942,7576,62160,16964,23000,8108,13684,404,-31598,-4672,-26926,1054,27664,49764,16,8728,88926,63358,496891,418919,122904,9037,8243,105624,115189,42627,49183,23379,12465,112051,10896,45413,5428,73139,-33154,77972,-23760,101732,156771,44042
1996:Q3,488195,153990,202059,4692,612784,50981,0,800603,815570,828378,794657,33427,294,-12808,411236,4312,25553,36608,15325,1408,-15255,7385,-43848,12184,8664,360,-25498,-4508,-20990,14806,28352,62140,8,8728,93974,160775,424044,462976,48889,-14515,-1700,65104,132747,70550,44790,17407,3364,-82275,-2385,362636,5432,95968,261236,-38932,-74924,35992,-14967,78756
1996:Q4,502885,157705,209810,7108,623404,62041,0,827923,614509,854969,812061,28588,14320,-240460,285976,29144,64331,66744,18651,-3080,-8745,11927,-20196,10216,-10344,-348,18235,-2820,21055,24060,30556,67020,-236,10164,84145,-115013,526436,452644,78535,-24099,5206,97428,18368,24802,-17447,11013,2743,131664,23485,197848,5424,79904,112520,73792,-11996,85788,213414,89087
1997:Q1,504405,153886,207951,18516,634253,49987,0,845324,793582,880918,834631,45922,365,-87336,300783,3040,17265,12968,22436,-688,-13450,-3626,29240,-36832,-2624,392,4688,26760,-22072,4053,79296,99028,4,1728,110404,-39988,388119,393903,124631,7017,2970,114644,104647,92917,-12322,24052,38050,-10227,20976,115826,9700,86987,19139,-5784,-66720,60936,51742,85581
1997:Q2,514245,157763,210185,15696,645002,53938,0,860933,512395,958369,851504,80122,26743,-445973,-105038,17976,-45263,53636,27620,-1932,-65122,-2598,-56908,-29796,23604,576,16288,27736,-11448,4070,92704,76592,32,1728,103772,-387140,340935,312179,173087,20541,4414,148132,125181,64356,22607,38218,25424,66773,1767,-80053,5796,102655,-188504,28756,-84864,113620,348538,151374
1997:Q3,548641,170241,216979,15108,655650,52156,0,884335,759552,942304,883778,55362,3164,-182752,341785,-844,-1143,-18116,27836,3020,-32871,5829,-13320,-13716,-11564,-100,27645,27360,285,1527,99212,72668,32,1728,34543,126549,524537,487977,243330,14701,6197,222432,172789,39402,66003,67385,1775,52481,12870,4731,5796,93345,-94410,36560,-77548,114108,124783,110125
1997:Q4,541126,163547,228670,7040,666199,55014,0,877162,692014,947286,878898,67216,1172,-255272,94147,-40448,-12951,90328,18936,2232,-46608,18840,-40008,-1692,-23964,216,88939,29048,59891,10846,101636,68308,-32,1728,103457,-292225,349419,402439,92292,12645,3023,76624,223725,60369,124804,38552,25108,151286,1755,-91726,12256,100203,-204185,-53020,-70024,17004,185148,125138
1998:Q1,483005,161347,237718,14420,676647,54394,0,829401,516246,990730,897857,91436,1437,-474484,389212,15904,68548,162616,34544,-3380,-16806,-2242,-19984,-2752,7292,880,-31419,-9744,-21675,23793,127624,151708,52,14576,83047,-241595,863696,835972,375995,51068,8403,316524,82430,59592,27372,-4533,15955,125928,12279,223384,17428,112252,93704,27724,-44580,72304,313155,215723
1998:Q2,487166,158616,243441,15368,687733,56167,0,844377,637102,962832,915337,38007,9488,-325730,509420,-26152,-15922,-8116,48547,-4904,-37789,-14773,-11304,-988,-10896,172,-10653,-11292,639,51965,131340,95096,72,14576,20365,250996,835150,825162,367802,3760,6150,357892,152988,136630,19429,-3072,20032,-3238,-19436,307015,18000,121710,167305,9988,-94488,104476,207275,174622
1998:Q3,500946,161837,239266,19092,699455,43956,0,862346,1317594,976478,922321,47424,6733,341115,757713,-8768,-33123,-5608,52096,3044,11362,4462,5072,5008,-2704,-476,-41367,-10852,-30515,-9733,117808,84008,44,14576,147563,425811,416598,617586,199218,85568,5174,108476,211734,124590,52583,34561,21402,33256,22301,129674,18188,90270,21216,-200988,-238188,37200,-455248,158088
1998:Q4,474497,152872,243708,14092,711816,57277,0,861102,853761,997737,946399,51727,-389,-143976,1317557,48532,-81735,-36036,36353,3824,47201,25705,13292,9284,-220,-860,17756,-13556,31312,23671,142388,96224,-64,14576,98328,906539,1461533,1659397,110565,-42956,3317,150204,283694,61284,141362,81048,41963,74482,4232,1144462,-2092,61801,1084753,-197864,-464084,266220,7341,193912
1999:Q1,482730,165375,224933,24188,724814,66684,0,908108,930871,1039113,968610,72258,-1755,-108242,968580,22868,-11878,12188,35866,2268,15029,18901,-2492,2860,-4056,-184,-36421,-24244,-12177,99953,453012,137988,-12,9848,156401,71470,1076822,1147486,280723,58321,6682,215720,194449,25550,105644,63256,62379,83914,-4136,530156,-12456,157570,385042,-70664,-50276,-20388,-22763,197689
1999:Q2,498843,164767,226499,3776,737765,72917,0,922035,910838,1022052,991364,31937,-1249,-111214,897110,-15568,52812,61448,29562,-5364,4241,26113,-7556,156,-14552,80,-14002,-26268,12266,55658,483416,117288,44,9848,174210,-56484,1008324,963352,246580,-2643,4183,245040,25492,32093,-47709,41109,34922,178190,22745,455422,-15864,113928,357358,44972,-321536,366508,11197,172934
1999:Q3,486025,164730,213080,-14504,750668,54320,-3512,902211,1309704,1060814,1015655,43824,1335,248890,1333034,4588,3947,14832,27795,10620,33126,-4738,352,4328,33308,-124,-48797,-26696,-22101,46853,451720,179060,20,9848,269729,329693,1084144,1102836,326417,49757,5972,270688,153164,68702,26519,57943,57102,227879,-4396,342671,-20148,87124,275695,-18692,-85736,67044,-407493,212923
1999:Q4,490619,170981,234157,-29276,763524,86195,0,905924,482716,1102417,1023380,80758,-1721,-619701,635082,-8120,73415,88688,47033,-1184,-31248,-7592,-7084,-116,-17684,1228,-16264,-25364,9100,22060,517416,140816,-32,9848,236300,-443647,1254783,1079171,144636,44037,3415,97184,111895,30503,27872,53520,56353,223913,13683,528692,-25012,102379,451325,175612,68460,107152,423208,282688
