1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q3,-136,-136,-3808,872,0,0,0,0,796,2004,0,0
1974:Q4,-300,-300,92,-188,0,0,0,0,-80,-124,0,0
1975:Q1,2316,2316,3440,-384,0,0,0,0,-312,-428,0,0
1975:Q2,-848,-848,-124,-308,0,0,0,0,-320,-96,0,0
1975:Q3,-1096,-1096,-4112,504,0,0,0,0,236,2276,0,0
1975:Q4,-1804,-1804,-1888,-108,0,0,0,0,-168,360,0,0
1976:Q1,-1876,-1876,-1712,-268,0,0,0,0,-256,360,0,0
1976:Q2,-4132,-4132,-3864,40,0,0,0,0,-80,-228,0,0
1976:Q3,-3008,-3008,-3920,136,0,0,0,0,4,772,0,0
1976:Q4,-1072,-1072,-2120,-36,0,0,0,0,-44,1128,0,0
1977:Q1,-1644,-1644,-2476,172,0,0,0,0,172,488,0,0
1977:Q2,3152,3152,2244,-372,0,0,0,0,-100,1380,0,0
1977:Q3,2004,2004,2864,-144,0,0,0,0,84,-800,0,0
1977:Q4,-864,-864,-968,-172,0,0,0,0,56,220,0,0
1978:Q1,2188,2188,2020,-100,0,0,0,0,108,160,0,0
1978:Q2,-1792,-1792,-2316,-432,0,0,0,0,-132,1088,0,0
1978:Q3,-2184,-2184,52,-328,0,0,0,0,-92,-1816,0,0
1978:Q4,-1712,-1712,-708,156,0,0,0,0,244,-1404,0,0
1979:Q1,-180,-180,-2836,168,0,0,0,0,88,2400,0,0
1979:Q2,492,492,-288,412,0,0,0,0,176,192,0,0
1979:Q3,-1644,-1644,-3080,380,0,0,0,0,116,940,0,0
1979:Q4,-2000,-2000,-2688,440,0,0,0,0,204,44,0,0
1980:Q1,-2408,-2408,-6660,864,0,0,0,0,524,2024,840,0
1980:Q2,5372,5372,2744,132,0,0,0,0,-84,3324,-744,0
1980:Q3,3336,3336,1156,-4,0,0,0,0,-124,1472,836,0
1980:Q4,1704,1704,396,100,0,0,0,0,112,304,792,0
1981:Q1,3956,3956,4496,260,0,0,0,0,392,-1188,-4,0
1981:Q2,4404,4404,5620,-120,0,0,0,0,276,-1604,232,0
1981:Q3,1816,1816,2740,536,0,0,0,0,888,-3660,1312,0
1981:Q4,3652,3652,5112,348,0,0,0,0,568,-2972,596,0
1982:Q1,6720,6720,3812,1424,0,0,0,0,1508,-316,292,0
1982:Q2,7040,7040,968,1468,0,0,0,0,1604,2548,452,0
1982:Q3,10432,10432,3500,972,0,0,0,0,892,4320,748,0
1982:Q4,13760,13760,5668,588,0,0,0,0,56,6896,552,0
1983:Q1,20912,20912,21800,736,0,0,0,0,-260,-912,-452,0
1983:Q2,29216,29216,30052,140,0,0,0,0,-1152,-128,304,0
1983:Q3,25372,25372,20256,1636,0,0,0,0,-284,2472,1292,0
1983:Q4,24620,24620,18828,2272,0,0,0,0,160,2304,1056,0
1984:Q1,20306,20306,13722,3276,0,0,0,0,660,1228,1420,0
1984:Q2,14653,14653,12605,2840,0,0,0,0,228,-732,-288,0
1984:Q3,37391,37391,32123,1972,0,0,0,0,-44,2812,528,0
1984:Q4,28157,28157,19209,3300,0,0,0,0,956,3644,1048,0
1985:Q1,38639,38639,30515,4244,0,0,0,0,1736,1716,428,0
1985:Q2,72940,72940,64012,4708,0,0,0,0,2236,1636,348,0
1985:Q3,89804,89804,79200,6016,0,0,0,0,3060,1152,376,0
1985:Q4,126354,126354,123966,-300,0,0,0,0,-2628,4960,356,0
1986:Q1,140614,140614,117766,3632,0,0,0,0,11588,4856,2772,0
1986:Q2,137456,137456,123532,4680,0,0,0,0,10012,1908,-2676,0
1986:Q3,143017,143017,132973,4236,0,0,0,0,6920,1940,-3052,0
1986:Q4,161473,161473,146105,2480,0,0,0,0,12432,1624,-1168,0
1987:Q1,189495,189495,182335,-1268,0,0,0,0,-6100,5492,9036,0
1987:Q2,41055,41055,40327,-5552,0,0,0,0,-3696,3624,6352,0
1987:Q3,22480,22480,19964,-2148,0,0,0,0,-4224,2872,6016,0
1987:Q4,-54242,-54242,-52178,-1752,0,0,-192,0,5184,-1596,-3708,0
1988:Q1,-8246,-8246,42,-4412,0,0,-472,0,712,-2464,-1652,0
1988:Q2,-6761,-6761,-3613,-3356,0,0,-316,0,3064,-1296,-1244,0
1988:Q3,-7374,-7374,-2794,-1724,220,0,-492,0,3960,-2372,-4172,0
1988:Q4,-1280,-1280,-2912,-1444,152,0,-576,0,1880,3396,-1776,0
1989:Q1,-15633,-15633,-14745,-1440,444,-40,-356,0,-2292,3908,-1112,0
1989:Q2,19699,19699,21639,-1440,1092,-200,-572,0,-5584,4772,-8,0
1989:Q3,48183,48183,48091,-1440,1604,44,-172,0,-5120,5012,164,0
1989:Q4,64958,64958,59138,-1440,2340,-384,-84,0,-76,6748,-1284,0
1990:Q1,35441,35441,21705,-988,3044,-916,512,0,5495,6980,-392,0
1990:Q2,59449,59449,38488,-988,2704,64,160,0,6077,9036,3908,0
1990:Q3,25375,25375,7804,-988,5352,124,484,0,11379,4548,-3328,0
1990:Q4,51151,51151,51006,-984,2716,-356,-120,0,-10915,6884,2920,0
1991:Q1,72548,72548,51291,2408,1196,2336,732,0,-2143,10332,6396,0
1991:Q2,109765,109765,83488,2408,4664,680,1136,0,2257,11340,3792,0
1991:Q3,157949,157949,111878,2408,3056,3292,1008,0,5667,12204,7320,11116
1991:Q4,181798,181798,136183,2412,2300,1044,1508,0,7671,13780,5848,11052
1992:Q1,190681,190681,116357,5036,5876,2868,2304,0,11563,29792,4980,11904
1992:Q2,200172,200172,128552,5036,5716,-1868,2096,0,11800,31668,6028,11144
1992:Q3,207968,207968,166968,5036,4472,1452,920,0,11361,5428,1588,10744
1992:Q4,209532,209532,150419,5036,2336,-3988,120,0,11388,25472,8584,10164
1993:Q1,252998,252998,179711,6804,4008,1544,672,0,19935,25076,6036,9212
1993:Q2,273226,273226,182388,6804,6340,-1500,856,0,23554,38800,6580,9404
1993:Q3,297340,297340,208838,6804,4204,1536,-1188,0,38107,28244,2420,8376
1993:Q4,297087,297087,189563,6800,5916,552,-1164,0,30661,45528,8572,10660
1994:Q1,183936,183936,66360,2084,10848,-3604,-1852,340,27284,60960,5220,16296
1994:Q2,120004,120004,35962,2084,8968,-2632,-1216,336,23447,34284,5376,13396
1994:Q3,132237,132237,61460,2084,3808,-1176,-1872,336,17105,32152,11100,7240
1994:Q4,21011,21011,-175465,2084,9688,-116,-1324,336,13068,97800,59540,15400
1995:Q1,69584,69584,-33323,4648,-588,472,-108,252,11859,61584,16112,8676
1995:Q2,127207,127207,15938,4648,-2128,1288,16,252,30025,62368,5608,9192
1995:Q3,223314,223314,100840,4648,-7668,532,-520,252,26234,79316,9040,10640
1995:Q4,255267,255267,130325,4648,-3200,-1028,-128,248,31846,69684,10536,12336
1996:Q1,326287,326287,213270,8728,-3976,560,-272,272,39368,52788,684,14864
1996:Q2,290525,290525,166084,8728,7944,-608,-116,268,41065,52236,1788,13136
1996:Q3,247387,247387,132569,8728,2024,-340,-872,268,43170,49952,1144,10744
1996:Q4,276149,276149,159145,10164,-8068,1536,-1172,268,34561,56848,11236,11632
1997:Q1,249078,249078,102154,1728,-2156,-1096,680,436,39536,75052,18900,13844
1997:Q2,262814,262814,184906,1728,-33564,2360,-1136,432,34968,46712,18864,7544
1997:Q3,422397,422397,312047,1728,-26268,788,-704,432,56019,57156,9860,11340
1997:Q4,387518,387518,225561,1728,-10900,-356,-356,432,38130,84220,31728,17332
1998:Q1,362219,362219,253829,14576,-26076,-4860,640,332,45506,46916,21700,9656
1998:Q2,357809,357809,172962,14576,8080,-284,1404,332,53683,76612,14916,15528
1998:Q3,242622,242622,13476,14576,-9628,5520,1076,328,44769,111708,41384,19412
1998:Q4,244698,244698,190101,14576,-21568,2064,400,328,25805,15244,17828,-80
1999:Q1,192807,192807,24807,9848,-5332,-1872,168,60,29964,84120,40600,10444
1999:Q2,264915,264915,158645,9848,-11700,36,-468,60,35890,53880,10748,7976
1999:Q3,242605,242605,14139,9848,7600,184,1016,60,39998,119348,35488,14924
1999:Q4,258682,258682,241545,9848,-23132,4416,-8148,60,49269,5760,-16376,-4560
2000:Q1,372838,372838,229857,332,-6488,6212,356,464,80684,60976,-10972,11416
2000:Q2,249515,249515,25238,332,3140,-752,-3424,464,55185,127340,52264,-10272
2000:Q3,342054,342054,112778,332,-2220,108,-340,468,65772,123980,52892,-11716
2000:Q4,216197,216197,-40133,332,10004,5032,612,468,28835,115464,111672,-16088
2001:Q1,97700,97700,-12449,4304,12464,18008,-56,384,477,10980,84204,-20616
2001:Q2,276250,276250,261618,4304,-10164,-1064,5568,380,44909,-9676,-13604,-6020
2001:Q3,146223,146223,-39798,4304,14636,4356,-60,380,8306,122752,62672,-31324
2001:Q4,245807,245807,170506,4304,-15728,16240,10588,-3016,24161,48076,-8128,-1196
2002:Q1,325912,325912,154870,-176,-4808,1508,-9704,-28,40926,124804,24356,-5836
2002:Q2,179683,179683,99440,-176,9764,-6368,2428,-28,6159,60036,35636,-27208
2002:Q3,100355,100355,-67906,-176,13160,-4652,808,-28,-25919,81152,106160,-2244
2002:Q4,126029,126029,73388,-176,-10288,18276,68,-28,4453,40484,-1248,1100
2003:Q1,85560,85560,-13399,5792,3340,-17688,3704,1220,4851,-5488,101088,2140
2003:Q2,394368,394368,354736,5792,1200,2052,-3668,1220,50580,17460,-42232,7228
2003:Q3,338825,338825,173516,5792,1200,-12280,-1736,1220,78497,30080,41396,21140
2003:Q4,312255,312255,210555,5792,1200,-2440,-2232,1220,58240,20344,-2372,21948
2004:Q1,377308,377308,190857,-1268,1200,-2384,-140,980,60411,95172,6368,26112
2004:Q2,130010,130010,-145565,-1268,1200,-2256,-1208,980,34580,103492,121376,18680
2004:Q3,308978,308978,275382,-1268,1200,-1836,-1588,980,41504,72528,-74692,-3232
2004:Q4,336275,336275,230750,-1268,1200,1864,-2600,980,40869,79292,-16156,1344
2005:Q1,197524,197524,81528,712,1200,-7628,-1160,712,35528,81560,5292,-220
2005:Q2,280337,280337,176145,712,1200,-4708,-1348,712,41348,73008,-5260,-1472
2005:Q3,365312,365312,318290,712,1200,1760,-1872,712,35075,61152,-64228,12512
2005:Q4,300987,300987,206961,712,1200,2124,-484,712,5929,73544,-3420,13708
2006:Q1,410852,410852,224494,23640,1200,-6748,-84,1052,53671,53996,41152,18480
2006:Q2,108724,108724,-2890,23640,1200,6284,-812,1052,15766,69332,-15572,10724
2006:Q3,307686,307686,163770,23640,1200,9128,-252,1052,43177,55512,-16744,27204
2006:Q4,557349,557349,420282,23640,1200,5444,-336,1052,48367,49184,-24636,33152
2007:Q1,489097,489097,399007,-4904,1200,-8976,212,2156,36302,48276,-19652,35476
2007:Q2,279550,279550,147372,-4904,1200,4052,-1660,2156,43478,53788,5252,28816
2007:Q3,248754,248754,195483,-4904,1200,15584,496,2156,48880,48480,-49052,-9568
2007:Q4,486990,486990,423103,-4904,1200,6996,472,2156,67308,51400,-56708,-4032
2008:Q1,41382,41382,42356,-16512,1200,-1040,1724,24,22,57748,-31160,-12980
2008:Q2,312553,312553,286114,-16512,1200,-2200,-184,24,30127,73132,-55676,-3472
2008:Q3,-159550,-159550,-168679,-16512,1200,-11364,-344,24,-17175,56212,27376,-30288
2008:Q4,-426080,-426080,-444410,-16512,1200,16392,1872,24,-17098,59600,15332,-42480
2009:Q1,29119,29119,-121526,35268,1200,65212,5616,216,10429,90880,-33216,-24960
2009:Q2,652526,652526,561893,35268,1200,-12864,-7488,216,70137,98700,-97240,2704
2009:Q3,792213,792213,646155,35268,1200,-47336,-2036,216,54583,94804,-41116,50476
2009:Q4,659954,659954,440755,35268,1200,-22820,-372,216,35388,93544,28152,48624
2010:Q1,401497,401497,277878,7460,1200,-18468,712,-656,29114,60764,-2788,46280
2010:Q2,347260,347260,187520,7460,1200,4572,-360,-656,29589,48892,18476,50568
2010:Q3,471189,471189,368896,7460,1200,-4612,-732,-656,29801,54480,-50628,65980
2010:Q4,363098,363098,207822,7460,1200,-4608,-644,-656,21388,57348,10688,63100
2011:Q1,205976,205976,102867,-13836,1200,-1636,280,-508,6545,41328,6152,63584
2011:Q2,326057,326057,245356,-13836,1200,-5004,644,-508,2449,50332,-19796,65220
2011:Q3,37277,37277,245544,-13836,1200,3512,824,-508,2037,40284,-238268,-3512
2011:Q4,233154,233154,107749,-13836,1200,672,-280,-508,7617,53580,-99744,176704
2012:Q1,344757,344757,383467,-5824,1200,-4200,288,2492,10634,31420,-179252,104532
2012:Q2,342109,342109,214824,-5824,1200,-2708,100,2040,8181,21984,-73652,175964
2012:Q3,494018,494018,448067,-5824,1200,-824,44,1984,-86,25040,43064,-18648
2012:Q4,365233,365233,265454,-5824,1200,9392,388,1884,-20709,21528,35224,56696
2013:Q1,589460,589460,500004,2460,1200,2768,584,752,-9236,129620,32756,-71448
2013:Q2,184657,184657,27631,2460,1200,-8944,-768,664,-23622,126496,50004,9536
2013:Q3,254545,254545,152516,2460,1200,5632,-1028,448,-21347,126408,11432,-23176
2013:Q4,358910,358910,245313,2460,1200,-868,-692,708,-27011,123220,-2524,17104
2014:Q1,329945,329945,240572,24016,1200,8540,-8,1168,-38308,57344,11976,23444
2014:Q2,366159,366159,212645,24016,1200,5124,-460,1088,-28522,55864,-15992,111196
2014:Q3,268762,268762,170852,24016,1200,-12816,-36,1276,-35759,51304,-5440,74164
2014:Q4,279246,279246,251930,24016,1200,-3600,-116,1192,-33400,58580,24780,-45336
2015:Q1,269448,269448,177267,12248,1200,-2460,-564,688,-25411,19880,12376,74224
2015:Q2,237120,237120,168156,12248,1200,3796,564,684,-33108,13532,-100,70148
2015:Q3,-69754,-69754,-20011,12248,1200,-3332,540,740,-47171,9176,7792,-30936
2015:Q4,-41910,-41910,63684,12248,1200,-1600,-1000,780,-17226,24956,-18768,-106184
2016:Q1,20586,20586,65331,-5440,1200,4068,36,-16408,-42517,-4292,-44580,63188
2016:Q2,78469,78469,80785,-5440,1200,-456,88,528,-51448,-3420,55840,792
2016:Q3,155631,155631,138674,-5440,1200,-8240,-296,528,-40230,1796,-41204,108844
2016:Q4,-141018,-141018,-69158,-5440,1200,-2752,-192,528,-43216,-1544,-91208,70764
2017:Q1,251939,251939,246441,7864,1200,976,184,1236,-75298,44656,13468,11212
2017:Q2,331970,331970,163402,7864,1200,-5000,-112,1236,-71953,43000,2872,189460
2017:Q3,326799,326799,478846,7864,1200,1796,468,1236,-68695,26416,-10988,-111344
2017:Q4,358889,358889,344123,7864,1200,2412,-68,1236,-88774,50072,-188,41012
2018:Q1,224821,224821,300480,-8948,1200,-13868,360,2476,-92611,-5712,35200,6244
2018:Q2,93596,93596,83020,-8948,1200,700,-448,-916,-82132,12,27360,73748
2018:Q3,117784,117784,450310,-8948,1200,-820,-44,-1464,-86494,-12972,-90720,-132264
2018:Q4,-694705,-694705,-769530,-8948,1200,168,1536,-4580,-89491,-17112,25176,166876
2019:Q1,286495,286495,276603,5300,1200,1348,940,-1084,-69548,36480,-95516,130772
2019:Q2,79541,79541,550471,5300,1200,548,696,4700,-99738,25460,-168732,-240364
2019:Q3,113464,113464,-124769,5300,1200,1188,-140,2584,-91655,20876,319788,-20908
2019:Q4,349616,349616,513119,5300,1200,1564,-356,-5612,-89024,51800,-60100,-68276
2020:Q1,-1223984,-1223984,-1252550,9892,1200,11380,1752,1032,-154334,22644,-41672,176672
2020:Q2,57261,57261,176631,9892,1200,-3712,200,1448,-62754,28428,-42792,-51280
2020:Q3,102936,102936,233694,9892,1200,6636,284,5428,-99402,4084,-19852,-39028
2020:Q4,142015,142015,204256,9892,1200,-8260,1336,-4396,-88226,23728,91872,-89388
2021:Q1,355894,355894,608804,21972,1200,1688,4516,1144,-115102,-82920,-134436,49028
2021:Q2,166445,166445,158500,21972,1200,7904,1968,-5748,-211611,-94320,-94880,381460
2021:Q3,307590,307590,409909,21972,1200,-12944,2072,-2832,-127618,-84328,-6864,107024
2021:Q4,30299,30299,991675,21972,1200,11292,-2116,3528,-101332,-72212,-413224,-410484
2022:Q1,-444360,-444360,-607999,-4380,1200,-3364,2948,1764,-125285,-6716,14956,282516
2022:Q2,-1153143,-1153143,-1275487,-4380,1200,-1924,-2972,-8240,-105480,-59516,25368,278288
2022:Q3,-590348,-590348,-474681,-4380,1200,8244,-4236,2764,-73403,-57428,-6364,17936
2022:Q4,-1014085,-1014085,-617050,-4380,1201,-12308,-1384,1472,-48935,-61304,-174832,-96564
2023:Q1,-148678,-148678,-181199,-4380,1201,-1668,-1728,-5856,-129151,53356,224860,-104112
2023:Q2,-326525,-326525,12159,-4380,1200,2036,-772,-376,-113728,-75268,-94520,-52876
2023:Q3,-305427,-305427,-309146,-4380,1201,-3788,-1576,-1480,-112999,-17908,-29772,174420
2023:Q4,-458958,-458958,-324585,-4380,1201,-632,724,232,-84970,62724,-26284,-82988
2024:Q1,54715,54715,378219,-4380,1202,-2248,-128,-2024,-135706,-73172,8216,-115264
