1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,774091,0,85996,94440,0,37369,16498,152,15246,5473,74241,50622,21107,2512,221809,5469,0,65687,165191,23889,161300,72336,23205,34242,10662,20855
1954:Q4,784167,0,86504,97182,0,37084,16121,147,15964,4852,75208,50986,21423,2799,222894,6110,0,66349,169529,23307,165835,75356,23588,35963,11125,19803
1955:Q1,800857,0,86271,99274,0,38748,17475,39,16484,4750,75485,51188,21796,2501,229229,6525,0,67031,174001,24293,170687,78237,24084,35702,11752,20912
1955:Q2,829468,0,83950,101868,0,40234,18056,117,17509,4552,75805,51097,22089,2619,249979,7186,0,67740,178721,23985,179933,81697,24831,38755,12029,22621
1955:Q3,856578,0,87509,103362,0,42276,19003,232,18360,4681,76091,51163,22315,2613,264068,7257,0,68498,183332,24185,187025,85032,25509,40543,12283,23658
1955:Q4,867954,0,87957,105783,0,43368,18614,605,19174,4975,76758,51128,22725,2905,265346,7839,0,69254,187850,23799,192531,87936,25692,42949,12288,23665
1956:Q1,895955,0,87330,107946,0,45534,20077,721,19569,5167,77199,51369,23199,2631,281568,8555,0,70104,192789,24930,195952,90356,26473,42251,12423,24449
1956:Q2,896179,0,85925,110925,0,46872,19863,958,20436,5615,77561,51155,23674,2732,272443,8613,0,71013,197659,25168,202918,93327,27466,44281,12649,25195
1956:Q3,903680,0,88662,112516,0,48602,20394,1115,21308,5785,77853,51105,23976,2772,267405,8506,0,71904,202457,25775,207809,96174,28315,44978,12719,25622
1956:Q4,935078,0,89966,115230,0,49060,20090,959,21900,6111,78405,51017,24327,3061,287754,9046,0,72724,207371,25522,211726,98745,28575,46580,12969,24857
1957:Q1,935440,0,89017,118462,0,51600,21276,933,22537,6854,78036,50417,24871,2748,274211,9106,0,73468,214959,26581,214163,100851,28810,45242,13101,26159
1957:Q2,962971,0,87019,121985,0,52610,21603,1154,22812,7041,78156,49954,25333,2869,290571,9687,0,74135,222847,25961,219994,103039,29510,47223,13484,26738
1957:Q3,951929,0,89835,123872,0,54976,22998,1100,23526,7352,78171,49485,25843,2843,264952,9001,0,74784,230404,25934,223967,105397,30350,47971,13527,26722
1957:Q4,965119,0,89733,127167,0,55721,23231,1463,23851,7176,78555,49170,26283,3102,266362,8714,0,75462,237957,25448,226942,107374,30733,49217,13328,26290
1958:Q1,992342,0,89965,130705,0,56176,22603,1208,24382,7983,78749,49297,26750,2702,280533,9463,0,76183,243715,26853,227803,108975,31426,46775,13932,26696
1958:Q2,1014747,0,86992,134835,0,54438,22996,824,23317,7301,79548,49235,27539,2774,294974,10610,0,76958,249584,26808,232895,111142,32482,47704,14621,26946
1958:Q3,1060025,0,92963,137708,0,52971,20619,798,23794,7760,80118,49142,28168,2808,323831,11791,0,77752,255559,27332,237838,114035,33528,47940,14832,27502
1958:Q4,1084402,0,94033,141266,0,54143,20770,833,24616,7924,81014,49024,28887,3103,333702,13242,0,78535,261505,26962,243897,117177,34177,49490,15177,27876
1959:Q1,1103172,0,93417,143832,0,56944,22345,917,25460,8222,81070,48904,29330,2836,339992,14132,0,79331,266590,27864,248533,119935,35460,48991,15668,28479
1959:Q2,1125219,0,92107,147681,0,57963,22258,1523,26068,8114,81226,48318,29939,2969,351618,14973,0,80133,271973,27545,257958,123346,37106,51878,16197,29432
1959:Q3,1133596,0,95119,149934,0,61011,23793,2011,27058,8149,80940,47682,30314,2944,345702,14747,0,80994,277284,27865,266083,127007,38493,53918,16206,30459
1959:Q4,1162760,0,94285,152525,0,64358,25512,2267,28362,8217,79940,45714,30801,3425,364772,15818,0,81956,282450,26656,272121,130099,39170,57213,16312,29327
1960:Q1,1155214,0,92240,154522,0,69706,29565,1630,28972,9539,79386,45180,31342,2864,344367,15312,0,82895,288429,28357,275774,132580,40447,55757,16412,30578
1960:Q2,1171906,0,90326,158156,0,70504,28513,1909,30072,10010,79908,44773,32110,3025,350355,16097,0,83772,295014,27774,284055,135366,41796,58622,16901,31369
1960:Q3,1161139,0,93814,161281,0,69857,27973,1294,30503,10087,80836,45089,32820,2927,326084,15640,0,84539,300892,28196,290060,138582,43062,59590,17190,31636
1960:Q4,1213711,0,95582,164461,0,69154,26502,1033,31007,10612,82517,45740,33575,3202,364813,17026,0,85184,307270,27704,295331,141378,43950,61248,17325,31430
1961:Q1,1264850,0,93498,169701,0,67790,26023,359,30769,10639,82484,45465,34425,2594,403502,19440,0,85872,313474,29089,298968,143645,45554,59339,18181,32249
1961:Q2,1277905,0,91883,175096,0,67904,24589,224,31610,11481,84194,46178,35253,2763,403359,20003,0,86665,319799,29002,306613,146603,47158,60597,18928,33327
1961:Q3,1302396,0,94876,177733,0,68371,25921,244,31180,11026,84585,45777,36010,2798,412972,21007,0,87588,325795,29469,312755,150179,48925,61082,19171,33399
1961:Q4,1349087,0,95088,182845,0,69387,25449,592,32506,10840,85719,45755,36834,3130,443622,22875,0,88631,331988,28932,319921,154027,50221,63435,19480,32758
