date,FL893065505.Q,FL163165505.Q,FL103165505.Q,FL113165505.Q,FL893065505.Q,FL153065505.Q,FL103065505.Q,FL113065503.Q,FL313065505.Q,FL213065503.Q,FL763065505.Q,FL753065503.Q,FL743065505.Q,FL513065505.Q,FL543065505.Q,FL573065505.Q,FL223065545.Q,FL413065505.Q,FL673065505.Q,FL613065503.Q,FL643065573.Q
1945:Q4,7465,316,8197,-1048,7465,3450,5,0,15,0,1776,0,5,56,2154,0,2,0,0,2,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,8765,414,8972,-621,8765,3935,10,0,9,0,2379,0,10,61,2345,7,3,0,0,6,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,10080,506,10102,-528,10080,4452,16,0,7,0,2786,0,16,69,2710,13,3,0,0,8,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,11196,721,11094,-619,11196,4757,30,0,7,0,3211,0,30,76,3054,18,5,0,0,8,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,11865,966,11676,-777,11865,4881,24,0,0,0,3423,0,24,93,3379,24,7,0,0,10,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,12486,1266,12045,-825,12486,4881,23,0,5,0,3717,0,23,104,3682,28,9,0,0,14,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,13488,1569,12562,-643,13488,4991,26,0,5,0,4121,0,26,118,4146,32,12,0,0,11,0
1952:Q1,13713,1619,12701,-607,13713,5036,27,0,5,0,4181,0,27,120,4256,34,13,0,0,14,0
1952:Q2,13927,1695,12556,-324,13927,5076,28,0,5,0,4268,0,28,121,4337,36,13,0,0,15,0
1952:Q3,14161,1771,12531,-141,14161,5125,29,0,5,0,4361,0,29,122,4422,37,14,0,0,17,0
1952:Q4,14397,1836,12736,-175,14397,5171,30,0,6,0,4465,0,30,123,4501,39,15,0,0,17,0
1953:Q1,14660,1913,13012,-265,14660,5238,31,0,6,0,4567,0,31,125,4590,42,16,0,0,14,0
1953:Q2,14939,1987,12937,15,14939,5303,32,0,7,0,4679,0,32,129,4679,45,17,0,0,16,0
1953:Q3,15212,2050,12993,169,15212,5366,32,0,10,0,4787,0,32,134,4766,47,19,0,0,19,0
1953:Q4,15564,2132,13365,67,15564,5462,32,0,17,0,4916,0,32,139,4878,50,20,0,0,18,0
1954:Q1,15880,2224,13630,26,15880,5567,32,0,12,0,5037,0,32,143,4963,53,22,0,0,19,0
1954:Q2,16324,2322,13482,520,16324,5700,32,0,16,0,5228,0,32,145,5072,56,23,0,0,20,0
1954:Q3,16782,2397,13402,983,16782,5846,32,0,9,0,5418,0,32,145,5194,59,25,0,0,22,0
1954:Q4,17313,2412,13810,1091,17313,6016,33,0,9,0,5596,0,33,143,5371,62,26,0,0,24,0
1955:Q1,17765,2441,14089,1235,17765,6114,36,0,14,0,5793,0,36,144,5507,66,28,0,0,27,0
1955:Q2,18263,2295,14258,1710,18263,6248,40,0,24,0,6002,0,40,146,5631,71,30,0,0,31,0
1955:Q3,18819,2262,14468,2089,18819,6407,44,0,26,0,6229,0,44,149,5774,77,31,0,0,38,0
1955:Q4,19375,2166,15297,1913,19375,6589,47,0,30,0,6397,0,47,152,5959,83,33,0,0,38,0
1956:Q1,19954,2437,15501,2016,19954,6738,49,0,32,0,6639,0,49,156,6130,90,35,0,0,36,0
1956:Q2,20582,2568,15583,2431,20582,6916,50,0,37,0,6869,0,50,159,6329,99,37,0,0,36,0
1956:Q3,21199,2786,15655,2758,21199,7093,51,0,35,0,7097,0,51,161,6526,108,39,0,0,38,0
1956:Q4,21803,2860,16164,2779,21803,7262,54,0,37,0,7277,0,54,161,6763,117,42,0,0,36,0
1957:Q1,22321,2877,16663,2781,22321,7427,58,0,38,0,7392,0,58,161,6985,126,46,0,0,30,0
1957:Q2,22794,2922,16728,3144,22794,7558,63,0,52,0,7513,0,63,161,7172,135,49,0,0,28,0
1957:Q3,23478,3122,16823,3533,23478,7782,68,0,52,0,7746,0,68,161,7376,143,54,0,0,28,0
1957:Q4,24259,3255,17422,3582,24259,8022,72,0,56,0,7975,0,72,161,7660,154,59,0,0,28,0
1958:Q1,24812,3577,17694,3541,24812,8181,76,0,55,0,8148,0,76,161,7856,163,65,0,0,31,0
1958:Q2,25496,3856,17892,3749,25496,8390,80,0,56,0,8461,0,80,161,7990,173,70,0,0,35,0
1958:Q3,26204,3929,18128,4147,26204,8595,84,0,55,0,8739,0,84,161,8189,183,76,0,0,38,0
1958:Q4,27222,3871,19056,4295,27222,8885,87,0,54,0,9154,0,87,160,8474,196,83,0,0,42,0
1959:Q1,27761,4115,19037,4609,27761,9054,74,0,51,0,9452,0,74,160,8551,210,89,0,0,46,0
1959:Q2,28553,4277,19019,5257,28553,9302,62,0,50,0,9918,0,62,158,8636,226,95,0,0,44,0
1959:Q3,29283,4379,18954,5950,29283,9540,21,0,48,0,10257,0,21,155,8849,243,102,0,0,47,0
1959:Q4,30228,4370,19734,6124,30228,9826,21,0,47,0,10621,0,21,146,9121,262,113,0,0,50,0
1960:Q1,30899,4809,19655,6435,30899,10017,22,0,46,0,10872,0,22,145,9319,281,124,0,0,51,0
1960:Q2,31668,4942,19729,6997,31668,10225,23,0,45,0,11178,0,23,145,9539,303,138,0,0,49,0
1960:Q3,32531,5080,19924,7527,32531,10464,24,0,45,0,11533,0,24,147,9765,325,153,0,0,51,0
1960:Q4,33407,5208,20413,7786,33407,10708,24,0,45,0,11848,0,24,149,10045,346,168,0,0,50,0
1961:Q1,34121,5329,20295,8497,34121,10873,26,0,50,0,12158,0,26,153,10238,364,182,1,0,50,0
1961:Q2,35173,5454,20541,9178,35173,11148,28,0,53,0,12600,0,28,156,10526,381,197,3,0,53,0
1961:Q3,36085,5600,20716,9769,36085,11391,30,0,54,0,12990,0,30,157,10761,397,210,4,0,61,0
1961:Q4,37403,5743,21638,10022,37403,11827,33,0,56,0,13577,0,33,155,11007,416,224,4,0,71,0
1962:Q1,38374,5884,21936,10554,38374,11795,38,0,57,0,14281,0,38,154,11263,437,237,5,0,69,0
1962:Q2,39584,6050,22305,11229,39584,11882,44,0,58,0,15122,0,44,150,11491,460,249,6,0,78,0
1962:Q3,40733,6211,22745,11777,40733,11918,50,0,60,0,15874,0,50,144,11803,482,259,7,0,86,0
1962:Q4,42206,6339,23743,12124,42206,11976,54,0,62,0,16673,0,54,134,12380,505,272,8,0,88,0
1963:Q1,43148,6542,24087,12519,43148,11894,56,0,65,0,17344,0,56,131,12693,528,284,9,0,88,0
1963:Q2,44492,6649,24588,13255,44492,11884,56,0,67,0,18302,0,56,128,13048,549,295,10,0,97,0
1963:Q3,45835,6775,25151,13909,45835,11833,56,0,71,0,19222,0,56,126,13467,573,308,13,0,110,0
1963:Q4,47304,6935,26162,14207,47304,11790,60,0,75,0,20067,0,60,121,14078,600,322,15,0,116,0
1964:Q1,47831,7081,26662,14088,47831,11524,65,0,79,0,20669,0,65,120,14211,636,332,18,0,112,0
1964:Q2,48672,7237,27086,14349,48672,11304,72,0,83,0,21457,0,72,120,14405,675,342,21,0,121,0
1964:Q3,49848,7388,27830,14630,49848,11135,79,0,93,0,22488,0,79,120,14633,709,356,30,0,126,0
1964:Q4,51179,7540,29026,14613,51179,10981,84,0,101,0,23434,0,84,120,15087,747,373,41,0,127,0
1965:Q1,51982,7718,29689,14575,51982,10740,86,0,107,0,24049,0,86,124,15432,785,390,54,0,129,0
1965:Q2,53197,7905,30030,15262,53197,10523,86,0,111,0,25024,0,86,130,15768,856,410,68,0,135,0
1965:Q3,54413,8086,30482,15845,54413,10307,86,0,119,0,25944,0,86,137,16180,889,432,86,0,147,0
1965:Q4,55661,8258,31378,16025,55661,10093,88,0,127,0,26717,0,88,142,16790,913,454,104,0,145,0
1966:Q1,57017,8436,31881,16700,57017,10118,93,0,105,0,27521,0,93,140,17251,948,480,125,0,143,0
1966:Q2,58796,8616,32941,17239,58796,10303,100,0,120,0,28481,0,100,140,17777,976,510,147,0,142,0
1966:Q3,60317,8800,33848,17669,60317,10429,108,0,130,0,29200,0,108,140,18337,1013,540,170,0,142,0
1966:Q4,61468,8956,34693,17819,61468,10456,114,0,140,0,29692,0,114,143,18847,1071,566,194,0,131,0
1967:Q1,62233,9149,35222,17862,62233,10355,115,0,148,0,29999,0,115,171,19298,1095,588,219,0,130,0
1967:Q2,63577,9197,35501,18879,63577,10387,113,0,155,0,30846,0,113,176,19694,1094,611,245,0,143,0
