date,LM554090005.Q,LM554022005.Q,LM553061103.Q,LM553062003.Q,LM553063003.Q,LM553064103.Q,LM554090005.Q,LM554091603.Q,LM554092603.Q,LM554091303.Q,LM554091203.Q,LM554092303.Q
1945:Q4,971,194,49,0,145,777,971,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1000,200,50,0,150,800,1000,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1300,260,65,0,195,1040,1300,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1400,280,70,0,210,1120,1400,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1700,340,85,0,255,1360,1700,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2000,400,100,0,300,1600,2000,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2200,440,110,0,330,1760,2200,ND,ND,ND,ND,ND
1952:Q1,2267,453,113,0,340,1814,2267,ND,ND,ND,ND,ND
1952:Q2,2344,469,117,0,352,1875,2344,ND,ND,ND,ND,ND
1952:Q3,2424,485,121,0,364,1939,2424,ND,ND,ND,ND,ND
1952:Q4,2500,500,125,0,375,2000,2500,ND,ND,ND,ND,ND
1953:Q1,2575,515,129,0,386,2060,2575,ND,ND,ND,ND,ND
1953:Q2,2650,530,132,0,398,2120,2650,ND,ND,ND,ND,ND
1953:Q3,2725,545,136,0,409,2180,2725,ND,ND,ND,ND,ND
1953:Q4,2800,560,140,0,420,2240,2800,ND,ND,ND,ND,ND
1954:Q1,2873,575,144,0,431,2298,2873,ND,ND,ND,ND,ND
1954:Q2,2943,589,147,0,442,2354,2943,ND,ND,ND,ND,ND
1954:Q3,3016,603,151,0,452,2413,3016,ND,ND,ND,ND,ND
1954:Q4,3100,620,155,0,465,2480,3100,ND,ND,ND,ND,ND
1955:Q1,3192,638,160,0,478,2554,3192,ND,ND,ND,ND,ND
1955:Q2,3294,659,165,0,494,2635,3294,ND,ND,ND,ND,ND
1955:Q3,3399,680,170,0,510,2719,3399,ND,ND,ND,ND,ND
1955:Q4,3500,700,175,0,525,2800,3500,ND,ND,ND,ND,ND
1956:Q1,3598,720,180,0,540,2878,3598,ND,ND,ND,ND,ND
1956:Q2,3693,739,185,0,554,2954,3693,ND,ND,ND,ND,ND
1956:Q3,3791,758,190,0,568,3033,3791,ND,ND,ND,ND,ND
1956:Q4,3900,780,195,0,585,3120,3900,ND,ND,ND,ND,ND
1957:Q1,4016,803,201,0,602,3213,4016,ND,ND,ND,ND,ND
1957:Q2,4139,828,207,0,621,3311,4139,ND,ND,ND,ND,ND
1957:Q3,4267,853,213,0,640,3414,4267,ND,ND,ND,ND,ND
1957:Q4,4400,880,220,0,660,3520,4400,ND,ND,ND,ND,ND
1958:Q1,4539,908,227,0,681,3631,4539,ND,ND,ND,ND,ND
1958:Q2,4686,937,234,0,703,3749,4686,ND,ND,ND,ND,ND
1958:Q3,4835,967,242,0,725,3868,4835,ND,ND,ND,ND,ND
1958:Q4,4980,996,249,0,747,3984,4980,ND,ND,ND,ND,ND
1959:Q1,5119,1075,269,0,806,4044,5119,ND,ND,ND,ND,ND
1959:Q2,5248,1102,289,0,813,4146,5248,ND,ND,ND,ND,ND
1959:Q3,5385,1131,310,0,821,4254,5385,ND,ND,ND,ND,ND
1959:Q4,5546,1165,333,0,832,4381,5546,ND,ND,ND,ND,ND
1960:Q1,5548,1265,359,0,906,4283,5548,ND,ND,ND,ND,ND
1960:Q2,5908,1322,391,0,931,4586,5908,ND,ND,ND,ND,ND
1960:Q3,5841,1373,421,0,952,4468,5841,ND,ND,ND,ND,ND
1960:Q4,6364,1400,445,0,955,4964,6364,ND,ND,ND,ND,ND
1961:Q1,6481,1468,447,0,1021,5013,6481,ND,ND,ND,ND,ND
1961:Q2,6298,1449,441,0,1008,4849,6298,ND,ND,ND,ND,ND
1961:Q3,6178,1421,432,0,989,4757,6178,ND,ND,ND,ND,ND
1961:Q4,6083,1399,426,0,973,4684,6083,ND,ND,ND,ND,ND
1962:Q1,6073,1434,418,0,1016,4639,6073,ND,ND,ND,ND,ND
1962:Q2,5098,1392,406,0,986,3706,5098,ND,ND,ND,ND,ND
1962:Q3,5280,1363,398,0,965,3917,5280,ND,ND,ND,ND,ND
1962:Q4,5739,1377,402,0,975,4362,5739,ND,ND,ND,ND,ND
1963:Q1,6144,1499,420,0,1079,4645,6144,ND,ND,ND,ND,ND
1963:Q2,6556,1614,452,0,1162,4942,6556,ND,ND,ND,ND,ND
1963:Q3,6947,1737,486,0,1251,5210,6947,ND,ND,ND,ND,ND
1963:Q4,7290,1823,510,0,1313,5467,7290,ND,ND,ND,ND,ND
1964:Q1,7528,1957,527,0,1430,5571,7528,ND,ND,ND,ND,ND
1964:Q2,7703,2003,539,0,1464,5700,7703,ND,ND,ND,ND,ND
1964:Q3,7822,2034,548,0,1486,5788,7822,ND,ND,ND,ND,ND
1964:Q4,7890,2051,552,0,1499,5839,7890,ND,ND,ND,ND,ND
1965:Q1,7894,2131,553,0,1578,5763,7894,ND,ND,ND,ND,ND
1965:Q2,7521,2112,547,0,1565,5409,7521,ND,ND,ND,ND,ND
1965:Q3,7719,2084,540,0,1544,5635,7719,ND,ND,ND,ND,ND
1965:Q4,7633,2061,534,0,1527,5572,7633,ND,ND,ND,ND,ND
1966:Q1,7548,2113,528,0,1585,5435,7548,ND,ND,ND,ND,ND
1966:Q2,7437,2082,521,0,1561,5355,7437,ND,ND,ND,ND,ND
1966:Q3,6742,2056,514,0,1542,4686,6742,ND,ND,ND,ND,ND
1966:Q4,7300,2044,511,0,1533,5256,7300,ND,ND,ND,ND,ND
1967:Q1,8000,2117,511,0,1606,5883,8000,ND,ND,ND,ND,ND
1967:Q2,7819,2123,512,0,1611,5696,7819,ND,ND,ND,ND,ND
1967:Q3,7891,2143,517,0,1626,5748,7891,ND,ND,ND,ND,ND
1967:Q4,7549,2189,528,0,1661,5360,7549,ND,ND,ND,ND,ND
1968:Q1,7232,2271,548,0,1723,4961,7232,ND,ND,ND,ND,ND
1968:Q2,8274,2399,579,0,1820,5875,8274,ND,ND,ND,ND,ND
1968:Q3,8598,2522,609,0,1913,6076,8598,ND,ND,ND,ND,ND
1968:Q4,8925,2588,625,0,1963,6337,8925,ND,ND,ND,ND,ND
1969:Q1,8707,2702,630,0,2072,6005,8707,ND,ND,ND,ND,ND
1969:Q2,8696,2699,630,0,2069,5997,8696,ND,ND,ND,ND,ND
1969:Q3,8565,2660,621,0,2039,5905,8565,ND,ND,ND,ND,ND
1969:Q4,8587,2576,601,0,1975,6011,8587,ND,ND,ND,ND,ND
1970:Q1,8077,2423,646,0,1777,5654,8077,ND,ND,ND,ND,ND
1970:Q2,6642,2173,579,0,1594,4469,6642,ND,ND,ND,ND,ND
1970:Q3,5269,1941,518,0,1423,3328,5269,ND,ND,ND,ND,ND
1970:Q4,6141,1842,491,0,1351,4299,6141,ND,ND,ND,ND,ND
1971:Q1,6746,1936,500,0,1436,4810,6746,ND,ND,ND,ND,ND
1971:Q2,7163,2097,541,0,1556,5066,7163,ND,ND,ND,ND,ND
1971:Q3,7778,2287,590,0,1697,5491,7778,ND,ND,ND,ND,ND
1971:Q4,7775,2410,622,0,1788,5365,7775,ND,ND,ND,ND,ND
1972:Q1,8207,2562,641,0,1921,5645,8207,ND,ND,ND,ND,ND
1972:Q2,8227,2601,650,0,1951,5626,8227,ND,ND,ND,ND,ND
1972:Q3,8139,2636,659,0,1977,5503,8139,ND,ND,ND,ND,ND
1972:Q4,8450,2704,676,0,2028,5746,8450,ND,ND,ND,ND,ND
1973:Q1,8780,2897,702,0,2195,5883,8780,ND,ND,ND,ND,ND
1973:Q2,9051,3053,740,0,2313,5998,9051,ND,ND,ND,ND,ND
1973:Q3,9673,3192,774,0,2418,6481,9673,ND,ND,ND,ND,ND
1973:Q4,9855,3252,788,0,2464,6603,9855,ND,ND,ND,ND,ND
1974:Q1,9797,3331,784,0,2547,6466,9797,ND,ND,ND,ND,ND
1974:Q2,9495,3228,760,0,2468,6267,9495,ND,ND,ND,ND,ND
1974:Q3,8349,3111,732,0,2379,5238,8349,ND,ND,ND,ND,ND
1974:Q4,8954,3044,716,0,2328,5910,8954,ND,ND,ND,ND,ND
1975:Q1,10078,3107,710,0,2397,6971,10078,ND,ND,ND,ND,ND
1975:Q2,10675,3106,710,0,2396,7569,10675,ND,ND,ND,ND,ND
1975:Q3,9511,3119,713,0,2406,6392,9511,ND,ND,ND,ND,ND
1975:Q4,8952,3133,716,0,2417,5819,8952,ND,ND,ND,ND,ND
1976:Q1,10051,3258,724,0,2534,6793,10051,ND,ND,ND,ND,ND
1976:Q2,9757,3333,741,0,2592,6424,9757,ND,ND,ND,ND,ND
1976:Q3,9602,3385,752,0,2633,6217,9602,ND,ND,ND,ND,ND
1976:Q4,9319,3355,746,0,2609,5964,9319,ND,ND,ND,ND,ND
1977:Q1,8673,3230,718,0,2512,5443,8673,ND,ND,ND,ND,ND
1977:Q2,8429,2998,666,0,2332,5431,8429,ND,ND,ND,ND,ND
1977:Q3,7694,2770,616,0,2154,4924,7694,ND,ND,ND,ND,ND
1977:Q4,7373,2654,590,0,2064,4719,7373,ND,ND,ND,ND,ND
1978:Q1,7050,2720,588,0,2132,4330,7050,ND,ND,ND,ND,ND
1978:Q2,7297,2811,608,0,2203,4486,7297,ND,ND,ND,ND,ND
1978:Q3,7599,2923,632,0,2291,4676,7599,ND,ND,ND,ND,ND
1978:Q4,8039,2974,643,0,2331,5065,8039,ND,ND,ND,ND,ND
1979:Q1,8056,3061,644,0,2417,4995,8056,ND,ND,ND,ND,ND
1979:Q2,7986,3035,639,0,2396,4951,7986,ND,ND,ND,ND,ND
1979:Q3,7897,3001,632,0,2369,4896,7897,ND,ND,ND,ND,ND
1979:Q4,7855,2985,628,0,2357,4870,7855,ND,ND,ND,ND,ND
1980:Q1,7366,2989,629,0,2360,4377,7366,ND,ND,ND,ND,ND
1980:Q2,7429,3013,634,0,2379,4416,7429,ND,ND,ND,ND,ND
1980:Q3,7471,3029,638,0,2391,4442,7471,ND,ND,ND,ND,ND
1980:Q4,7920,3010,634,0,2376,4910,7920,ND,ND,ND,ND,ND
1981:Q1,8160,3182,621,0,2561,4978,8160,ND,ND,ND,ND,ND
1981:Q2,7874,3064,598,0,2466,4810,7874,ND,ND,ND,ND,ND
1981:Q3,7199,2952,576,0,2376,4247,7199,ND,ND,ND,ND,ND
1981:Q4,7068,2898,565,0,2333,4170,7068,ND,ND,ND,ND,ND
1982:Q1,6982,3187,567,0,2620,3795,6982,ND,ND,ND,ND,ND
1982:Q2,6831,3254,578,0,2676,3577,6831,ND,ND,ND,ND,ND
1982:Q3,7104,3332,592,0,2740,3772,7104,ND,ND,ND,ND,ND
1982:Q4,7488,3370,599,0,2771,4118,7488,ND,ND,ND,ND,ND
1983:Q1,7344,3082,602,0,2480,4262,7344,ND,ND,ND,ND,ND
1983:Q2,7669,3100,603,0,2497,4569,7669,ND,ND,ND,ND,ND
1983:Q3,7593,3142,600,0,2542,4451,7593,ND,ND,ND,ND,ND
1983:Q4,7441,3149,592,0,2557,4292,7441,ND,ND,ND,ND,ND
1984:Q1,7194,3126,575,0,2551,4068,7194,ND,ND,ND,ND,ND
1984:Q2,6987,3133,545,0,2588,3854,6987,ND,ND,ND,ND,ND
1984:Q3,6780,2815,519,0,2296,3965,6780,ND,ND,ND,ND,ND
1984:Q4,6384,2672,512,0,2160,3712,6384,ND,ND,ND,ND,ND
1985:Q1,6866,2943,518,200,2225,3923,6866,ND,ND,ND,ND,ND
1985:Q2,7101,3071,531,400,2140,4030,7101,ND,ND,ND,ND,ND
1985:Q3,7370,3557,559,650,2348,3813,7370,ND,ND,ND,ND,ND
1985:Q4,8280,4070,612,950,2508,4210,8280,ND,ND,ND,ND,ND
1986:Q1,10409,4542,689,1200,2653,5867,10409,ND,ND,ND,ND,ND
1986:Q2,12164,5337,789,1450,3098,6827,12164,ND,ND,ND,ND,ND
1986:Q3,12976,6132,906,1700,3526,6844,12976,ND,ND,ND,ND,ND
1986:Q4,14472,6986,1038,2000,3948,7486,14472,ND,ND,ND,ND,ND
1987:Q1,18309,7587,1285,2241,4061,10722,18309,ND,ND,ND,ND,ND
1987:Q2,20025,7933,1061,2458,4414,12092,20025,ND,ND,ND,ND,ND
1987:Q3,22067,8956,1034,2751,5171,13111,22067,ND,ND,ND,ND,ND
1987:Q4,21346,10967,1604,3271,6092,10379,21346,ND,ND,ND,ND,ND
1988:Q1,25422,14134,2277,3914,7943,11288,25422,ND,ND,ND,ND,ND
1988:Q2,31986,19708,3547,4996,11165,12278,31986,ND,ND,ND,ND,ND
1988:Q3,37918,24682,4418,6175,14089,13236,37918,ND,ND,ND,ND,ND
1988:Q4,43176,28834,4800,7497,16537,14342,43176,ND,ND,ND,ND,ND
1989:Q1,44532,31464,5500,8565,17399,13068,44532,ND,ND,ND,ND,ND
1989:Q2,45834,31645,5989,9426,16230,14189,45834,ND,ND,ND,ND,ND
1989:Q3,50042,34512,6282,11252,16978,15530,50042,ND,ND,ND,ND,ND
1989:Q4,52489,35390,6629,12101,16660,17099,52489,ND,ND,ND,ND,ND
1990:Q1,55110,37898,6651,12923,18324,17212,55110,ND,ND,ND,ND,ND
1990:Q2,53156,36563,6561,12768,17234,16593,53156,ND,ND,ND,ND,ND
1990:Q3,52398,36398,6556,13248,16594,16000,52398,ND,ND,ND,ND,ND
1990:Q4,52880,36692,6830,14121,15741,16188,52880,ND,ND,ND,ND,ND
1991:Q1,55894,38766,7408,16225,15133,17128,55894,ND,ND,ND,ND,ND
1991:Q2,61342,42557,8307,19233,15017,18785,61342,ND,ND,ND,ND,ND
1991:Q3,66622,46088,9252,22405,14431,20534,66622,ND,ND,ND,ND,ND
1991:Q4,71234,49482,9967,25413,14102,21752,71234,ND,ND,ND,ND,ND
1992:Q1,77815,55306,10490,29411,15405,22509,77815,ND,ND,ND,ND,ND
1992:Q2,82885,60007,10855,33176,15976,22878,82885,ND,ND,ND,ND,ND
1992:Q3,87824,64628,11195,36731,16702,23196,87824,ND,ND,ND,ND,ND
1992:Q4,93466,69666,11642,39682,18342,23800,93466,ND,ND,ND,ND,ND
1993:Q1,97204,74662,12160,42700,19802,22542,97204,ND,ND,ND,ND,ND
1993:Q2,103158,79658,12678,45718,21262,23500,103158,ND,ND,ND,ND,ND
1993:Q3,109998,84654,13196,48736,22722,25344,109998,ND,ND,ND,ND,ND
1993:Q4,116141,89650,13714,51754,24182,26491,116141,ND,ND,ND,ND,ND
1994:Q1,116045,88725,13476,52159,23090,27320,116045,ND,ND,ND,ND,ND
1994:Q2,115773,87800,13238,52564,21998,27973,115773,ND,ND,ND,ND,ND
1994:Q3,117600,86875,13000,52969,20906,30725,117600,ND,ND,ND,ND,ND
1994:Q4,117830,85950,12762,53374,19814,31880,117830,ND,ND,ND,ND,ND
1995:Q1,123538,89146,12648,54606,21892,34392,123538,ND,ND,ND,ND,ND
1995:Q2,130628,93397,12788,56167,24442,37231,130628,ND,ND,ND,ND,ND
1995:Q3,136571,96307,12374,58044,25889,40264,136571,ND,ND,ND,ND,ND
1995:Q4,142539,100693,12311,60318,28064,41846,142539,ND,ND,ND,ND,ND
1996:Q1,141195,97876,11818,58908,27150,43319,141195,ND,ND,ND,ND,ND
1996:Q2,142010,97671,11693,58755,27223,44339,142010,ND,ND,ND,ND,ND
1996:Q3,143582,98877,11696,59478,27703,44705,143582,ND,ND,ND,ND,ND
1996:Q4,146909,100005,11861,59541,28603,46904,146909,ND,ND,ND,ND,ND
1997:Q1,141972,97473,11200,58526,27747,44499,141972,ND,ND,ND,ND,ND
1997:Q2,148491,99195,11045,59812,28338,49296,148491,ND,ND,ND,ND,ND
1997:Q3,151998,100607,11016,60542,29049,51391,151998,ND,ND,ND,ND,ND
1997:Q4,151768,102220,10851,61992,29377,49548,151768,ND,ND,ND,ND,ND
1998:Q1,155851,102862,10580,61679,30603,52989,155851,ND,ND,ND,ND,ND
1998:Q2,155960,105053,10431,62616,32006,50907,155960,ND,ND,ND,ND,ND
1998:Q3,150058,108372,10564,64227,33581,41686,150058,ND,ND,ND,ND,ND
1998:Q4,155748,108208,10140,63628,34440,47540,155748,ND,ND,ND,ND,ND
1999:Q1,159283,108739,9911,65086,33742,50544,159283,ND,ND,ND,ND,ND
1999:Q2,164502,108297,9664,65185,33448,56205,164502,ND,ND,ND,ND,ND
1999:Q3,144954,108296,9540,66013,32743,36658,144954,ND,ND,ND,ND,ND
1999:Q4,146940,105749,8145,64513,33091,41191,146940,ND,ND,ND,ND,ND
2000:Q1,149305,107414,8187,66339,32888,41891,149305,ND,ND,ND,ND,ND
2000:Q2,147357,106266,8145,66032,32089,41091,147357,ND,ND,ND,ND,ND
2000:Q3,145409,106157,8221,66446,31490,39252,145409,ND,ND,ND,ND,ND
2000:Q4,143066,106523,7603,68267,30653,36543,143066,ND,ND,ND,ND,ND
2001:Q1,138532,106056,6736,69474,29846,32476,138532,ND,ND,ND,ND,ND
2001:Q2,138790,104950,6704,70092,28154,33840,138790,ND,ND,ND,ND,ND
2001:Q3,136335,107247,6956,73537,26754,29088,136335,ND,ND,ND,ND,ND
