date,FU116300005.Q,FU116000105.Q,FU116000105.Q,FU115050005.Q,FU115019005.Q,FU115020005.Q,FU115000005.Q,FU114090005.Q,FU113020005.Q,FU113030003.Q,FU113034003.Q,FU114022005.Q,FU113061003.Q,FU113062003.Q,FU114023005.Q,FU113065005.Q,FU113066003.Q,FU113092405.Q,FU113070003.Q,FU113090005.Q,FU113076005.Q,FU113072003.Q,FU113093005.Q,FU114194005.Q,FU114190005.Q,FU114123005.Q,FU113168005.Q,FU113169005.Q,FU113165005.Q,FU115114305.Q,FU113170005.Q,FU113178003.Q,FU113193003.Q,FU113181115.Q,FU115114103.Q,FU112090205.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3931,3931,3931,5943,5823,120,-2011,1895,604,0,0,0,0,0,90,0,90,-38,1005,234,234,0,0,3906,3364,1865,827,146,892,1,1498,0,0,542,0,542
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,4955,4955,4955,6929,8620,-1691,-1974,814,150,0,0,0,0,0,112,0,112,-20,311,261,261,0,0,2789,2758,1739,647,362,730,3,1016,0,0,30,-2,32
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5878,5878,5878,13143,10384,2759,-7264,-56,-470,0,0,0,0,0,121,0,121,2,70,221,221,0,0,7208,2448,1314,13,327,975,3,1131,0,0,4760,1,4759
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
