1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1591,0,0,0,673,0,17,231,261,0,0,0,164,194,17,177,239,-471,0,0,710,0,101,101,0,0,0,0,0,203,0,3,200,0,-71,-71,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,211,23,0,0,0,0,0,0,0,0,0,0
1952:Q1,-1332,0,0,0,688,0,-54,402,-180,0,0,0,520,168,20,148,716,0,0,0,716,0,-1288,-1288,0,0,0,0,0,-324,0,-7,-317,0,4,4,0,-580,-580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-596,-536,-60,0,0,0,0,0,0,0,0,0,0
1952:Q2,2176,0,0,0,1076,0,-64,276,292,0,0,0,572,156,20,136,464,-284,0,0,748,0,256,256,0,0,0,0,0,-168,0,-3,-165,0,128,128,0,-212,-212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,565,63,0,0,0,0,0,0,0,0,0,0
1952:Q3,4720,0,0,0,1448,0,60,136,544,0,0,0,708,144,0,144,1992,64,0,0,1928,0,248,248,0,0,0,0,0,-52,0,1,-53,0,44,44,0,-72,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,788,88,0,0,0,0,0,0,0,0,0,0
1952:Q4,4428,0,0,0,792,0,144,92,632,0,0,0,-76,80,16,64,1028,588,0,0,440,0,596,596,0,0,0,0,0,632,0,11,621,0,148,148,0,148,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,734,82,0,0,0,0,0,0,0,0,0,0
1953:Q1,2268,0,0,0,624,0,88,728,-900,0,0,0,708,204,24,180,1956,1392,0,0,564,0,-1012,-1012,0,0,0,0,0,-788,0,-18,-770,0,652,652,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,616,68,0,0,0,0,0,0,0,0,0,0
1953:Q2,1816,0,0,0,1376,16,56,24,-296,0,0,0,1576,212,20,192,-576,-1052,0,0,476,0,428,428,0,0,0,0,0,-164,0,1,-165,0,756,756,0,-392,-392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,238,26,0,0,0,0,0,0,0,0,0,0
1953:Q3,4188,0,0,0,2288,8,72,128,12,0,0,0,2068,196,20,176,728,20,0,0,708,0,332,332,0,0,0,0,0,-48,0,-3,-45,0,-260,-260,0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,508,56,0,0,0,0,0,0,0,0,0,0
1953:Q4,2256,0,0,0,680,8,-204,264,-272,0,0,0,884,268,12,256,804,432,0,0,372,0,604,604,0,0,0,0,0,160,0,-0,160,0,308,308,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1012,-911,-101,0,0,0,0,0,0,0,0,0,0
1954:Q1,-400,0,0,0,-88,12,-172,544,-416,0,0,0,-56,260,28,232,596,200,0,0,396,0,-1288,-1288,0,0,0,0,0,-256,0,-1,-255,0,88,88,0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,-47,-5,0,0,0,0,0,0,0,0,0,0
1954:Q2,612,0,0,0,-1488,12,-404,-84,-772,0,0,0,-240,260,20,240,852,496,0,0,356,0,180,180,0,0,0,0,0,-52,0,4,-56,0,628,628,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,-22,-2,0,0,0,0,0,0,0,0,0,0
1954:Q3,2692,0,0,0,-316,8,48,164,-96,0,0,0,-440,228,20,208,1052,632,0,0,420,0,56,56,0,0,0,0,0,172,0,2,170,0,980,980,0,344,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,130,14,0,0,0,0,0,0,0,0,0,0
1954:Q4,5940,0,0,0,228,8,-48,432,-56,0,0,0,-108,192,20,172,1552,1052,0,0,500,0,712,712,0,0,0,0,0,296,0,4,292,0,1528,1528,0,404,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,-40,-4,0,0,0,0,0,0,0,0,0,0
1955:Q1,904,0,0,0,788,100,36,744,32,0,0,0,-124,284,40,244,1048,796,0,0,252,0,-660,-660,0,0,0,0,0,-60,0,4,-64,0,1196,1196,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1440,-1296,-144,0,0,0,0,0,0,0,0,0,0
1955:Q2,3032,0,0,0,572,24,80,272,-36,0,0,0,232,168,20,148,556,76,0,0,480,0,1260,1260,0,0,0,0,0,-80,0,6,-86,0,248,248,0,-440,-440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,1184,132,0,0,0,0,0,0,0,0,0,0
1955:Q3,4244,0,0,0,244,8,-100,404,12,64,0,0,-144,188,20,168,1532,-24,0,0,1556,0,1032,1032,0,0,0,0,0,172,0,2,170,0,400,400,0,288,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,338,38,0,0,0,0,0,0,0,0,0,0
1955:Q4,2844,0,0,0,140,16,-92,220,40,200,0,0,-244,132,40,92,672,204,0,0,468,0,568,568,0,0,0,0,0,116,0,-1,117,0,-100,-100,0,-344,-344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,1588,176,0,0,0,0,0,0,0,0,0,0
1956:Q1,892,0,0,0,-208,20,-140,-32,28,-160,0,0,76,244,20,224,1016,672,0,0,344,0,-1116,-1116,0,0,0,0,0,-76,0,4,-80,0,-36,-36,0,292,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,634,70,0,0,0,0,0,0,0,0,0,0
1956:Q2,640,0,0,0,916,36,168,116,8,272,0,0,316,296,24,272,-48,-308,0,0,260,0,140,140,0,0,0,0,0,92,0,5,87,0,12,12,0,-548,-548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-372,-335,-37,0,0,0,0,0,0,0,0,0,0
1956:Q3,3096,0,0,0,92,36,-8,96,140,16,0,0,-188,180,36,144,2340,-328,0,0,2668,0,-124,-124,0,0,0,0,0,244,0,3,241,0,-20,-20,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-188,-169,-19,0,0,0,0,0,0,0,0,0,0
1956:Q4,3392,0,0,0,1620,40,-16,676,96,1052,0,0,-228,296,20,276,-232,-412,0,0,180,0,344,344,0,0,0,0,0,300,0,-0,300,0,180,180,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,173,19,0,0,0,0,0,0,0,0,0,0
1957:Q1,-1560,0,0,0,-144,72,40,140,228,-600,0,0,-24,324,20,304,-1768,-2132,0,0,364,0,-1068,-1068,0,0,0,0,0,4,0,1,3,0,-508,-508,0,-268,-268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,1494,166,0,0,0,0,0,0,0,0,0,0
1957:Q2,-784,0,0,0,-1036,84,300,-196,8,-832,0,0,-400,380,48,332,-1800,-1848,0,0,48,0,472,472,0,0,0,0,0,-24,0,-0,-24,0,780,780,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,493,55,0,0,0,0,0,0,0,0,0,0
1957:Q3,2040,0,0,0,568,72,-196,-20,264,460,0,0,-12,384,32,352,-1180,-1952,0,0,772,0,160,160,0,0,0,0,0,284,0,3,281,0,-416,-416,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,1188,132,0,0,0,0,0,0,0,0,0,0
1957:Q4,2044,0,0,0,1716,84,88,-84,104,-148,0,0,1672,452,40,412,-948,-1504,0,0,556,0,584,584,0,0,0,0,0,464,0,17,447,0,-1204,-1204,0,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,295,33,0,0,0,0,0,0,0,0,0,0
1958:Q1,2540,0,0,0,788,120,-108,436,204,-296,0,0,432,444,40,404,1316,280,0,0,1036,0,-2276,-2276,0,0,0,0,0,68,0,1,67,0,996,996,0,228,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,72,8,0,0,0,0,0,0,0,0,0,0
1958:Q2,1776,0,0,0,308,124,60,-40,148,-28,0,0,44,392,40,352,-556,-624,0,0,68,0,932,932,0,0,0,0,0,148,0,6,142,0,1728,1728,0,376,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-908,-817,-91,0,0,0,0,0,0,0,0,0,0
1958:Q3,3520,0,0,0,1356,96,16,104,236,76,0,0,828,308,40,268,1204,-656,0,0,1860,0,324,324,0,0,0,0,0,392,0,11,381,0,272,272,0,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-324,-292,-32,0,0,0,0,0,0,0,0,0,0
