1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,8007,8007,8007,12541,11117,1424,-4534,707,506,0,0,0,0,0,109,0,109,5,-117,204,204,0,0,5240,3621,3293,814,454,2025,4,325,0,0,1619,2,1617
1952:Q1,8315,8315,8315,11854,10714,1140,-3539,6595,52,0,0,0,0,0,3368,0,3368,4,2912,260,260,0,0,10134,4634,2036,569,26,1440,0,2598,0,0,5500,4,5496
1952:Q2,8383,8383,8383,12305,10636,1669,-3922,-244,-636,0,0,0,0,0,744,0,744,8,-652,292,292,0,0,3678,3765,3421,496,173,2752,4,340,0,0,-87,0,-87
1952:Q3,8450,8450,8450,11972,9636,2336,-3522,1380,-808,0,0,0,0,0,260,0,260,4,1624,300,300,0,0,4902,3275,2503,256,171,2076,0,772,0,0,1627,4,1623
1952:Q4,8525,8525,8525,11332,10645,687,-2807,656,-484,0,0,0,0,0,1284,0,1284,4,-428,280,280,0,0,3463,666,2054,196,794,1064,-4,-1384,0,0,2797,8,2789
1953:Q1,8606,8606,8606,12082,11171,911,-3476,3260,-336,0,0,0,0,0,-884,0,-884,8,4212,260,260,0,0,6736,5242,586,-80,26,640,4,4652,0,0,1494,0,1494
1953:Q2,8682,8682,8682,10959,11415,-456,-2277,-184,-292,0,0,0,0,0,444,0,444,0,-592,256,256,0,0,2093,2626,2234,-192,-114,2540,0,392,0,0,-532,4,-536
1953:Q3,8754,8754,8754,12471,11720,751,-3717,500,-164,0,0,0,0,0,-32,0,-32,12,428,256,256,0,0,4217,3575,2367,656,139,1572,0,1208,0,0,641,8,633
1953:Q4,8820,8820,8820,13476,11606,1870,-4656,-1212,8,0,0,0,0,0,984,0,984,8,-2468,256,256,0,0,3444,-6301,-1513,-2424,323,588,0,-4788,0,0,9745,8,9737
1954:Q1,8876,8876,8876,11490,10802,688,-2614,2720,236,0,0,0,0,0,-1236,0,-1236,4,3456,260,260,0,0,5334,7152,1712,712,284,716,0,5440,0,0,-1818,4,-1822
1954:Q2,8936,8936,8936,10662,11027,-365,-1726,-224,496,0,0,0,0,0,292,0,292,4,-1280,264,264,0,0,1502,4625,3205,80,-143,3268,0,1420,0,0,-3123,8,-3131
1954:Q3,8997,8997,8997,12171,11627,544,-3174,1176,556,0,0,0,0,0,-200,0,-200,8,556,256,256,0,0,4350,7489,4085,1084,349,2652,4,3400,0,0,-3139,4,-3143
1954:Q4,9059,9059,9059,11565,12077,-512,-2506,-1148,412,0,0,0,0,0,1148,0,1148,8,-2968,252,252,0,0,1358,-2092,1220,-972,720,1472,-4,-3308,0,0,3450,12,3438
1955:Q1,9121,9121,9121,12450,12374,76,-3329,2504,320,0,0,0,0,0,-1192,0,-1192,8,3124,244,244,0,0,5833,6448,2688,284,536,1868,4,3756,0,0,-615,4,-619
1955:Q2,9221,9221,9221,12666,13470,-804,-3445,-916,276,0,0,0,0,0,472,0,472,8,-1916,244,244,0,0,2529,7221,5505,1616,317,3572,0,1716,0,0,-4692,8,-4700
1955:Q3,9356,9356,9356,13007,14015,-1008,-3651,676,264,0,0,0,0,0,-24,0,-24,16,180,240,240,0,0,4327,7007,4843,1388,611,2844,4,2160,0,0,-2680,4,-2684
1955:Q4,9529,9529,9529,14415,13768,647,-4886,-760,272,0,0,0,0,0,1168,0,1168,16,-2456,240,240,0,0,4126,717,2645,1016,513,1116,-4,-1924,0,0,3409,16,3393
1956:Q1,9743,9743,9743,13686,13383,303,-3943,3280,148,0,0,0,0,0,-1096,0,-1096,12,4020,196,196,0,0,7223,6570,2378,380,-42,2040,4,4188,0,0,653,4,649
1956:Q2,9930,9930,9930,11790,12957,-1167,-1860,1000,76,0,0,0,0,0,404,0,404,16,324,180,180,0,0,2860,5386,4394,780,166,3448,0,992,0,0,-2526,8,-2534
1956:Q3,10095,10095,10095,12311,12825,-514,-2216,2420,140,0,0,0,0,0,160,0,160,12,1924,184,184,0,0,4636,6118,4110,1268,318,2524,4,2004,0,0,-1482,4,-1486
1956:Q4,10237,10237,10237,11305,12698,-1393,-1068,4,320,0,0,0,0,0,1156,0,1156,12,-1692,208,208,0,0,1072,-2013,1483,-256,995,744,-4,-3492,0,0,3085,12,3073
1957:Q1,10358,10358,10358,13411,13066,345,-3053,2968,480,0,0,0,0,0,-1252,0,-1252,16,3504,220,220,0,0,6021,5005,1169,-12,309,872,4,3832,0,0,1017,0,1017
1957:Q2,10480,10480,10480,13605,12865,740,-3125,-1768,556,0,0,0,0,0,484,0,484,28,-3072,236,236,0,0,1357,1483,2795,344,-165,2616,0,-1312,0,0,-126,4,-130
1957:Q3,10608,10608,10608,13901,13301,600,-3293,196,708,0,0,0,0,0,-104,0,-104,8,-648,232,232,0,0,3489,3501,3177,216,393,2568,0,324,0,0,-12,4,-16
1957:Q4,10744,10744,10744,12341,13529,-1188,-1597,-316,920,0,0,0,0,0,1036,0,1036,12,-2476,192,192,0,0,1281,967,2667,1272,395,1000,0,-1700,0,0,314,4,310
1958:Q1,10882,10882,10882,15428,13552,1876,-4546,5092,1536,0,0,0,0,0,-1600,0,-1600,8,4956,192,192,0,0,9638,6739,1683,-312,511,1484,4,5052,0,0,2899,4,2895
1958:Q2,10998,10998,10998,14964,13702,1262,-3966,2268,2232,0,0,0,0,0,288,0,288,0,-404,152,152,0,0,6234,4435,3935,812,11,3112,0,500,0,0,1799,8,1791
1958:Q3,11101,11101,11101,16301,14176,2125,-5200,3680,1920,0,0,0,0,0,136,0,136,40,1432,152,152,0,0,8880,5753,4593,248,453,3892,4,1156,0,0,3127,4,3123
1958:Q4,11181,11181,11181,17111,15181,1930,-5930,-12,600,0,0,0,0,0,1180,0,1180,16,-1988,180,180,0,0,5918,2571,4987,1472,691,2824,-4,-2412,0,0,3347,12,3335
1959:Q1,11178,11178,11178,15240,15304,-64,-4062,1332,-660,0,0,0,0,0,-1068,0,-1068,20,2808,232,232,0,0,5394,8350,5654,492,1006,4156,0,2696,0,0,-2955,8,-2963
1959:Q2,11229,11229,11229,14556,15959,-1403,-3327,-3248,-1968,0,0,0,0,0,532,0,532,8,-2092,272,272,0,0,79,7840,7812,1288,588,5936,4,24,0,0,-7761,8,-7769
1959:Q3,11272,11272,11272,14049,16097,-2048,-2777,-1660,-2248,0,0,0,0,0,-100,0,-100,48,368,272,272,0,0,1117,7981,6709,1216,349,5144,4,1268,0,0,-6864,8,-6872
1959:Q4,11308,11308,11308,14149,15588,-1439,-2841,-4988,-1520,0,0,0,0,0,1924,0,1924,20,-5656,244,244,0,0,-2147,-1534,4098,1224,134,2740,-4,-5628,0,0,-613,16,-629
1960:Q1,11331,11331,11331,18684,15534,3150,-7353,3020,-1036,0,0,0,0,0,-2244,0,-2244,24,6084,192,192,0,0,10373,10629,4413,548,513,3352,4,6212,0,0,-256,0,-256
1960:Q2,11405,11405,11405,16422,15011,1411,-5017,-2948,-772,0,0,0,0,0,644,0,644,-4,-2980,164,164,0,0,2069,3927,5363,396,99,4868,0,-1436,0,0,-1858,4,-1862
1960:Q3,11463,11463,11463,16402,14651,1751,-4939,204,-556,0,0,0,0,0,-392,0,-392,48,944,160,160,0,0,5143,6103,5091,212,367,4512,0,1012,0,0,-960,4,-964
1960:Q4,11507,11507,11507,13326,14911,-1585,-1819,-1872,-408,0,0,0,0,0,1100,0,1100,16,-2768,188,188,0,0,-53,780,4236,904,296,3036,4,-3460,0,0,-832,4,-836
1961:Q1,11543,11543,11543,15019,15193,-174,-3476,2404,-108,0,0,0,0,0,-2432,0,-2432,20,4708,216,216,0,0,5880,11132,7160,440,788,5932,0,3972,0,0,-5252,8,-5260
1961:Q2,11595,11595,11595,16557,15699,858,-4962,-124,192,0,0,0,0,0,676,0,676,4,-1240,244,244,0,0,4838,3968,5408,-164,-344,5916,4,-1444,0,0,870,8,862
1961:Q3,11663,11663,11663,18517,16285,2232,-6854,1640,272,0,0,0,0,0,140,0,140,60,936,232,232,0,0,8494,7956,8116,872,760,6484,0,-160,0,0,538,12,526
1961:Q4,11750,11750,11750,19346,16922,2424,-7596,-1356,116,0,0,0,0,0,1328,0,1328,16,-3004,188,188,0,0,6240,1824,6092,1256,220,4616,4,-4272,0,0,4417,8,4409
1962:Q1,11853,11853,11853,20755,17517,3238,-8902,2100,60,0,0,0,0,0,-1412,0,-1412,20,3280,152,152,0,0,11002,9549,6749,548,933,5268,0,2800,0,0,1453,4,1449
1962:Q2,11948,11948,11948,19590,18211,1379,-7642,-1520,36,0,0,0,0,0,972,0,972,4,-2624,92,92,0,0,6122,6833,7921,1004,45,6872,0,-1088,0,0,-710,4,-714
1962:Q3,12039,12039,12039,20121,18554,1567,-8082,496,-8,0,0,0,0,0,-4,0,-4,64,340,104,104,0,0,8578,8264,7560,948,428,6184,4,700,0,0,314,0,314
1962:Q4,12121,12121,12121,19664,18645,1019,-7543,-1468,-84,0,0,0,0,0,1184,0,1184,16,-2764,180,180,0,0,6075,5245,8109,1956,425,5728,0,-2864,0,0,830,4,826
1963:Q1,12190,12190,12190,21857,18941,2916,-9667,1572,-96,0,0,0,0,0,-1396,0,-1396,20,2748,296,296,0,0,11239,9061,7081,116,1585,5380,0,1980,0,0,2178,4,2174
1963:Q2,12280,12280,12280,21150,20039,1111,-8870,-744,-204,0,0,0,0,0,848,0,848,0,-1788,400,400,0,0,8126,7586,9426,1232,22,8172,0,-1840,0,0,540,4,536
1963:Q3,12381,12381,12381,21268,20509,759,-8887,440,-196,0,0,0,0,0,184,0,184,76,-20,396,396,0,0,9327,7179,8547,812,563,7172,4,-1372,0,0,2148,4,2144
1963:Q4,12498,12498,12498,22682,21133,1549,-10184,-1428,-84,0,0,0,0,0,1316,0,1316,16,-2944,268,268,0,0,8756,5295,9623,2468,1127,6028,0,-4328,0,0,3461,8,3453
1964:Q1,12628,12628,12628,22471,21863,608,-9843,1704,4,0,0,0,0,0,-1148,0,-1148,20,2452,376,376,0,0,11547,8837,6745,516,1357,4872,4,2088,0,0,2710,4,2706
1964:Q2,12780,12780,12780,21839,21800,39,-9059,592,116,0,0,0,0,0,552,0,552,4,-480,400,400,0,0,9651,9513,9593,852,485,8256,0,-80,0,0,138,8,130
1964:Q3,12938,12938,12938,21526,21867,-341,-8588,1616,156,0,0,0,0,0,132,0,132,84,828,416,416,0,0,10204,9120,9152,944,728,7480,4,-36,0,0,1084,4,1080
1964:Q4,13116,13116,13116,22132,21881,251,-9016,-280,132,0,0,0,0,0,1368,0,1368,32,-2220,408,408,0,0,8736,3498,7694,676,794,6224,0,-4196,0,0,5237,8,5229
1965:Q1,13310,13310,13310,25050,22392,2658,-11740,1476,104,0,0,0,0,0,-1136,0,-1136,32,2084,392,392,0,0,13216,10068,7736,1704,1224,4808,4,2328,0,0,3148,4,3144
1965:Q2,13522,13522,13522,25538,22898,2640,-12016,-192,120,0,0,0,0,0,668,0,668,80,-1444,384,384,0,0,11824,10179,10711,1472,439,8800,0,-532,0,0,1645,8,1637
1965:Q3,13750,13750,13750,25794,23273,2521,-12044,1484,108,0,0,0,0,0,32,0,32,64,884,396,396,0,0,13528,10156,9748,1312,532,7904,4,404,0,0,3372,8,3364
1965:Q4,14002,14002,14002,26317,23989,2328,-12315,-200,84,0,0,0,0,0,1480,0,1480,28,-2228,436,436,0,0,12115,5598,9110,1788,962,6360,0,-3512,0,0,6517,12,6505
1966:Q1,14272,14272,14272,26828,24231,2597,-12556,1956,12,0,0,0,0,0,-1356,0,-1356,48,2788,464,464,0,0,14512,13425,12777,2164,2253,8360,4,644,0,0,1087,0,1087
1966:Q2,14534,14534,14534,24561,24047,514,-10027,-428,-28,0,0,0,0,0,516,0,516,56,-1468,496,496,0,0,9599,8235,10907,2804,123,7980,0,-2672,0,0,1364,4,1360
1966:Q3,14789,14789,14789,25191,23861,1330,-10402,2760,-32,0,0,0,0,0,-420,0,-420,72,2620,520,520,0,0,13162,7799,7247,672,675,5900,0,552,0,0,5364,4,5360
1966:Q4,15037,15037,15037,25286,23154,2132,-10249,-84,8,0,0,0,0,0,1052,0,1052,32,-1696,520,520,0,0,10165,4470,7806,3360,654,3792,0,-3336,0,0,5695,4,5691
1967:Q1,15282,15282,15282,26030,22467,3563,-10748,2004,92,0,0,0,0,0,-1336,0,-1336,48,2636,564,564,0,0,12752,6180,6396,392,1688,4316,4,-220,0,0,6572,12,6560
1967:Q2,15531,15531,15531,25627,22996,2631,-10096,432,120,0,0,0,0,0,304,0,304,96,-672,584,584,0,0,10528,11737,11809,1992,505,9312,4,-76,0,0,-1209,16,-1225
1967:Q3,15789,15789,15789,25119,23404,1715,-9330,2344,148,0,0,200,200,0,-412,0,-412,36,1760,612,612,0,0,11674,12028,10440,400,556,9484,4,1584,0,0,-354,16,-370
1967:Q4,16062,16062,16062,24940,24493,447,-8878,404,168,0,0,200,200,0,980,0,980,48,-1600,608,608,0,0,9282,11031,12679,2656,1883,8140,4,-1652,0,0,-1749,16,-1765
1968:Q1,16343,16343,16343,29046,25421,3625,-12703,-4608,124,0,0,200,200,0,-1120,0,-1120,44,-4516,660,660,0,0,8095,-2524,6552,464,1072,5016,4,-9080,0,0,10619,12,10607
1968:Q2,16657,16657,16657,31262,25874,5388,-14605,896,172,0,0,200,200,0,340,0,340,128,-628,684,684,0,0,15501,14311,13663,2500,363,10800,4,644,0,0,1191,12,1179
1968:Q3,17002,17002,17002,27906,26677,1229,-10904,2684,176,0,0,200,200,0,-580,0,-580,32,2108,748,748,0,0,13588,12800,10428,368,508,9552,4,2368,0,0,788,16,772
1968:Q4,17377,17377,17377,27530,28368,-838,-10153,252,148,0,0,200,200,0,1280,0,1280,224,-2432,832,832,0,0,10405,10895,13243,2520,1239,9484,4,-2352,0,0,-490,16,-506
1969:Q1,17788,17788,17788,32924,29977,2947,-15136,2412,108,0,0,200,200,0,-1288,0,-1288,56,2408,928,928,0,0,17548,12061,11157,2944,1705,6508,4,900,0,0,5487,16,5471
1969:Q2,18180,18180,18180,33097,30756,2341,-14917,2328,80,0,0,200,200,0,548,400,148,116,352,1032,1032,0,0,17245,20395,18679,3180,1383,14116,4,1712,0,0,-3150,16,-3166
1969:Q3,18545,18545,18545,32289,31904,385,-13744,2880,64,0,0,200,200,0,72,400,-328,36,1440,1068,1068,0,0,16624,18663,16551,2944,1319,12288,8,2104,0,0,-2039,16,-2055
1969:Q4,18901,18901,18901,31022,31812,-790,-12121,280,64,0,0,200,200,0,1308,400,908,48,-2380,1040,1040,0,0,12401,12738,14882,1920,1798,11164,4,-2148,0,0,-337,20,-357
1970:Q1,19247,19247,19247,33207,31653,1554,-13960,2340,112,800,0,200,200,0,-792,400,-1192,56,884,1080,1080,0,0,16300,2658,-27922,-60,2158,-30020,4,84,0,30492,13643,28,13615
1970:Q2,19616,19616,19616,32800,31827,973,-13184,1860,108,1600,0,200,200,0,656,400,256,72,-1884,1108,1108,0,0,15044,18776,17428,1276,1212,14940,8,780,0,560,-3731,24,-3755
1970:Q3,20017,20017,20017,31747,32596,-849,-11730,2064,104,1600,0,200,200,0,808,400,408,24,-1768,1096,1096,0,0,13794,20407,19191,-144,999,18336,8,-160,0,1368,-6613,24,-6637
1970:Q4,20449,20449,20449,30360,33736,-3376,-9911,1264,112,1600,0,200,200,0,1396,400,996,96,-3180,1040,1040,0,0,11175,16463,17971,580,1663,15728,4,-3416,0,1904,-5288,28,-5316
1971:Q1,20926,20926,20926,38746,34996,3750,-17820,13600,112,1600,0,200,200,0,-392,1100,-1492,68,6840,5172,1172,0,4000,31420,25608,15980,2312,2472,11196,4,6608,0,3016,5812,8,5804
1971:Q2,21387,21387,21387,42310,37436,4874,-20923,8008,108,1600,0,200,200,0,1540,1200,340,80,-724,5204,1204,0,4000,28931,28935,28115,2552,1231,24332,4,-2044,1244,1616,-3,12,-15
1971:Q3,21852,21852,21852,41873,38622,3251,-20021,9840,136,1600,0,240,240,0,1064,1200,-136,24,1512,5264,1264,0,4000,29861,25417,21881,60,-67,21888,4,-660,1452,2740,4444,12,4432
1971:Q4,22313,22313,22313,37680,39592,-1912,-15367,7848,192,1600,0,160,160,0,2020,1200,820,144,-1628,5360,1360,0,4000,23215,26866,24298,3776,1066,19456,0,-3092,1452,4208,-3651,16,-3667
1972:Q1,22782,22782,22782,42172,42082,90,-19390,9420,240,1600,0,200,200,0,-164,1200,-1364,40,2052,5452,1452,0,4000,28810,25173,19137,1992,1965,15180,4,900,1452,3680,3638,16,3622
1972:Q2,23269,23269,23269,45896,42545,3351,-22627,10616,312,1600,0,200,200,0,1244,1100,144,140,752,6368,1568,0,4800,33243,42694,37962,4048,286,33628,4,2136,1452,1140,-9451,16,-9467
1972:Q3,23785,23785,23785,45953,43205,2748,-22168,11724,304,1600,0,200,200,0,956,1100,-144,28,2248,6388,1588,0,4800,33892,35197,28925,-324,1045,28204,4,2804,1452,2012,-1305,16,-1321
1972:Q4,24328,24328,24328,45878,45954,-76,-21550,8184,216,1600,0,200,200,0,2136,1100,1036,180,-2464,6316,1516,0,4800,29734,43608,39512,5308,1496,32708,4,-1264,1452,3904,-13874,20,-13894
1973:Q1,24903,24903,24903,46362,48342,-1980,-21459,12080,516,1624,0,132,132,0,-676,680,-1356,112,1880,8492,1468,0,7024,33539,43022,35842,6676,9494,19672,20,1832,1456,3872,-9483,84,-9567
1973:Q2,25571,25571,25571,55713,49187,6526,-30142,8656,544,1620,0,112,112,0,848,516,332,248,2052,3232,1388,0,1844,38798,36870,31238,6980,1534,22724,32,3592,1476,532,1928,124,1804
1973:Q3,26355,26355,26355,52839,49425,3414,-26484,7676,596,1608,0,60,60,0,-300,124,-424,208,2492,3012,1376,0,1636,34160,15866,8082,7796,1894,-1608,24,3744,1508,2508,18294,100,18194
1973:Q4,27243,27243,27243,53794,48123,5671,-26551,7896,588,1600,0,28,28,0,496,-180,676,112,2840,2232,1428,0,804,34447,8680,-3372,9212,1868,-14452,8,4264,1544,6236,25767,136,25631
1974:Q1,28251,28251,28251,45360,46649,-1289,-17109,10352,1764,2088,0,64,64,0,-988,276,-1264,92,5816,1516,1492,0,24,27461,48117,32985,9532,3781,19672,32,9056,1736,4308,-20655,120,-20775
1974:Q2,29318,29318,29318,48504,45610,2894,-19186,8932,964,1880,0,60,60,0,388,208,180,420,4368,852,1552,0,-700,28118,56300,44616,9632,2376,32608,32,6552,1668,3432,-28182,120,-28302
1974:Q3,30442,30442,30442,45741,45168,573,-15299,1800,-616,1364,0,48,48,0,-456,48,-504,196,756,508,1520,0,-1012,17099,50947,42399,8168,4519,29712,32,616,1488,6412,-33847,124,-33971
1974:Q4,31622,31622,31622,38539,43346,-4807,-6917,-2136,-1744,952,0,48,48,0,72,-100,172,196,-2132,472,1388,0,-916,4781,34156,28424,5876,3636,18912,28,-3804,1348,8160,-29375,128,-29503
1975:Q1,32846,32846,32846,46104,41332,4772,-13258,460,-120,372,0,-40,-40,0,-2212,-460,-1752,160,1620,680,1744,0,-1064,13718,28692,22896,4524,2512,15860,-4,1468,1208,3124,-14974,-16,-14958
1975:Q2,33893,33893,33893,42404,41365,1039,-8511,2208,220,348,0,-8,-8,0,-272,-328,56,124,1476,320,1812,0,-1492,10719,27446,24530,1840,4830,17860,-4,1768,1148,4,-16727,-16,-16711
1975:Q3,34752,34752,34752,42876,42393,483,-8124,2548,880,276,0,68,68,0,-532,-24,-508,124,1116,616,1884,0,-1268,10672,21709,17613,3276,4029,10308,-4,1524,996,1580,-11037,-16,-11021
1975:Q4,35441,35441,35441,45366,43289,2077,-9925,5548,1344,220,0,124,124,0,792,248,544,628,840,1600,2004,0,-404,15473,25140,16368,4240,4856,7272,-4,488,876,7412,-9666,-20,-9646
1976:Q1,35928,35928,35928,45887,44710,1177,-9959,3832,1104,472,0,-100,-100,0,-1020,296,-1316,228,-36,3184,2768,0,416,13791,35900,33424,5192,4724,23508,4,2468,1168,-1164,-22108,12,-22120
1976:Q2,36569,36569,36569,47128,46217,911,-10559,8184,1428,844,0,36,36,0,700,544,156,232,496,4448,3292,0,1156,18743,31695,26247,5092,3975,17180,4,3776,1172,496,-12952,12,-12964
1976:Q3,37337,37337,37337,51076,47140,3936,-13739,12024,2272,1768,0,376,376,0,628,1116,-488,144,1828,5008,3484,0,1524,25763,35230,29230,4744,6774,17712,0,2980,1188,1832,-9468,16,-9484
1976:Q4,38230,38230,38230,48561,49933,-1372,-10331,16988,2984,2524,0,652,652,0,2540,1640,900,508,2904,4876,3356,0,1520,27319,36795,29039,6804,4399,17836,-52,2784,1204,3820,-9476,64,-9540
1977:Q1,39223,39223,39223,52167,51667,500,-12944,9808,2148,1844,0,684,684,0,-600,676,-1276,304,116,5312,3620,0,1692,22752,52544,44048,7960,11296,24792,-4,6224,1120,1156,-29792,-12,-29780
1977:Q2,40306,40306,40306,61865,55386,6479,-21559,15660,2384,2160,0,768,768,0,532,948,-416,200,3792,5824,3800,0,2024,37219,47824,45656,9028,3844,32784,0,4900,1104,-3836,-10604,-16,-10588
1977:Q3,41456,41456,41456,64440,57519,6921,-22984,19276,2900,2952,0,980,980,0,760,1608,-848,72,5580,6032,3972,0,2060,42260,44457,39869,7980,4913,26976,-4,2692,1072,828,-2197,-12,-2185
1977:Q4,42667,42667,42667,71099,60444,10655,-28432,24288,3296,3592,0,1156,1156,0,2804,2200,604,508,7020,5912,4124,0,1788,52720,44614,41342,8320,5674,27348,4,580,1048,1640,8106,-24,8130
1978:Q1,43945,43945,43945,64171,61959,2212,-20226,19016,3192,2152,0,1280,1280,0,-68,1988,-2056,316,6332,5812,4264,0,1548,39242,53986,45326,11912,8426,24988,24,2136,376,6124,-14744,108,-14852
1978:Q2,45340,45340,45340,72347,69460,2887,-27007,21176,3232,2648,0,1076,1076,0,1684,2228,-544,464,6216,5856,4520,0,1336,48183,67291,60599,16168,11427,33004,36,3608,660,2388,-19108,124,-19232
1978:Q3,46843,46843,46843,83375,74776,8599,-36532,22216,3300,3888,0,568,568,0,2264,2840,-576,380,5924,5892,4576,0,1316,58748,71838,65290,17796,11850,35644,40,4440,1360,708,-13089,152,-13241
1978:Q4,48463,48463,48463,82032,80231,1801,-33569,24764,3368,4892,0,164,164,0,4384,3364,1020,344,5696,5916,4428,0,1488,58333,72214,62366,16216,10330,35820,28,4156,1924,3740,-13881,192,-14073
1979:Q1,50163,50163,50163,90715,84829,5886,-40552,22180,3016,5916,0,32,32,0,1400,3424,-2024,248,5612,5956,4284,0,1672,62732,71196,53208,15652,9624,27932,88,7680,2264,7956,-8464,340,-8804
1979:Q2,51945,51945,51945,93654,88333,5321,-41709,23036,2972,5848,0,-132,-132,0,2800,3204,-404,488,5020,6040,4164,0,1876,64745,106559,93667,16448,16823,60396,88,8668,2496,1640,-41814,340,-42154
1979:Q3,53774,53774,53774,99328,92615,6713,-45554,20052,2824,5676,0,-540,-540,0,2144,2664,-520,356,3548,6044,4220,0,1824,65606,96224,81196,16452,8468,56276,88,8640,3076,3224,-30618,340,-30958
1979:Q4,55653,55653,55653,93553,92468,1085,-37900,19476,2724,5548,0,-876,-876,0,2904,2256,648,864,2364,5948,4432,0,1516,57376,93910,67178,14376,14402,38400,204,8060,3540,14928,-36534,224,-36758
1980:Q1,57550,57550,57550,89541,89148,393,-31991,5348,3032,1072,0,-680,-680,0,-2784,-888,-1896,560,1952,2196,3800,0,-1604,37339,89825,72177,3608,15485,53084,232,6872,4300,6244,-52486,908,-53394
1980:Q2,59487,59487,59487,77324,81008,-3684,-17837,2300,2948,1828,0,-504,-504,0,-784,-48,-736,500,2104,-3792,3744,0,-7536,20137,74470,54786,-3076,5046,52816,220,6060,3592,9812,-54333,844,-55177
1980:Q3,61440,61440,61440,70726,84269,-13543,-9286,12656,2732,3716,0,-64,-64,0,1744,2044,-300,364,2492,1672,3636,0,-1964,21942,73603,60783,2008,7695,51080,264,5676,1828,5052,-51661,1012,-52673
