date,FU316902505.A,FU316300001.A,FU316902605.A,FU316025001.A,FU316020001.A,FU316401005.A,FU316402101.A,FU316140005.A,FU316402101.A,FU316240001.A,FU316402015.A,FU316150195.A,FU316130101.A,FU316121185.A,FU316112101.A,FU316130095.A,FU316140005.A,FU316220001.A,FU316601001.A,FU316404001.A,FU316403105.A,FU316403001.A,FU316012005.A,FU316901001.A,FU316006085.A,FU316006385.A,FU316006085.A,FU315440005.A,FU315050905.A,FU315019001.A,FU316300001.A,FU315420003.A,FU315000995.A,FU315000995.A,FU314090005.A,FU313011105.A,FU313011205.A,FU313011303.A,FU314000005.A,FU313011505.A,FU313011405.A,FU313020005.A,FU313030003.A,FU313091105.A,FU314022005.A,FU313061703.A,FU313063763.A,FU314023005.A,FU314041005.A,FU313066220.A,FU313069005.A,FU313065005.A,FU313081105.A,FU313064105.A,FU313092803.A,FU313092403.A,FU313094303.A,FU313094205.A,FU313096005.A,FU313070000.A,FU313078000.A,FU314190005.A,FU313111303.A,FU314100005.A,FU314122005.A,FU313161105.A,FU313161705.A,FU314123005.A,FU313152005.A,FU313140003.A,FU313195105.A,FU343073045.A,FU313196005.A,FU713014003.A,FU313170005.A,FU313172003.A,FU313193005.A,FU315000005.A,FV318090185.A,FV312010095.A,FV318090085.A,FU317005045.A,FR312010095.A,FR315015605.A,FR315013265.A,FR315013765.A,FR318080005.A,FR313011105.A,FR314000005.A,FR313064105.A,FR313094303.A,FR313111303.A,FR318200005.A,FC312090095.A,FL312000095.A,LM312010095.A,LM315015605.A,LM315013265.A,LM315013765.A,FL314090005.A,FL313011105.A,FL313011205.A,FL313011303.A,FL314000005.A,FL313011505.A,FL313011405.A,FL313020005.A,FL313030003.A,FL313091105.A,FL314022005.A,FL313061703.A,FL313063763.A,FL314023005.A,FL314041005.A,FL313066220.A,FL313069005.A,FL313065005.A,FL313081105.A,LM313064105.A,FL313092803.A,FL313092403.A,LM313094303.A,FL313094205.A,FL313096005.A,FL313070000.A,FL313078000.A,FL312000095.A,FL314190005.A,FL313111303.A,FL314100005.A,FL314122005.A,FL313161105.A,FL313161705.A,FL314123005.A,FL313152005.A,FL313140003.A,FL313195105.A,FL343073045.A,FL313196005.A,FL713014003.A,FL313170005.A,FL313172003.A,FL313193013.A,FL312090095.A
1960,45007,15167,29840,30536,24045,6491,-696,-271,-696,13072,-1146,2377,1328,897,152,13878,-271,62483,16017,20113,302,7283,51135,50978,157,-700,157,857,7181,21897,15167,451,-7881,-7881,924,-14,-14,0,1145,0,-403,1043,-23,528,35,35,0,996,801,0,801,195,165,0,154,11,0,0,-1403,68,-1471,9422,0,-140,-2059,-1798,-261,951,9985,76,0,9909,685,0,456,0,229,-8498,-193,0,424,617,476,-393,605,264,0,0,0,0,0,0,476,-417,252574,205213,99524,78386,27303,47361,37,37,0,12012,0,1656,7154,262,2940,37,37,0,26678,20878,0,20878,5800,1194,0,824,370,0,0,7403,1790,5613,252574,387804,0,3530,189038,188350,688,61034,130526,6426,0,124100,3676,0,3359,0,317,-135230
1961,47057,16034,31023,31916,25070,6846,-892,-1368,-892,13161,-2014,2278,1413,687,178,13901,-1368,63610,16565,23383,357,7779,48002,52734,-4732,-5636,-4732,904,9105,24646,16034,493,-14741,-14741,2656,21,21,0,381,58,81,-41,22,261,-2,-2,0,1662,1213,0,1213,449,165,0,171,-6,0,0,429,-14,443,18806,0,-70,6163,5856,307,1941,10549,93,0,10456,223,0,259,0,-36,-16150,-924,0,486,1409,1910,1236,468,206,0,0,0,0,0,0,1910,-4650,266574,215738,103011,82023,30704,50836,58,58,0,12393,116,1737,7055,284,3201,35,35,0,28340,22091,0,22091,6249,1359,0,995,364,0,0,8651,1776,6875,266574,406454,0,3460,195201,194206,995,62975,140883,6519,0,134364,3935,0,3618,0,317,-139880
1962,50120,17170,32950,33851,26630,7221,-901,-1558,-901,14131,-2273,2592,1598,799,195,15107,-1558,68345,18626,23802,394,8357,53648,59018,-5370,-6383,-5370,1013,9924,26500,17170,594,-16308,-16308,3362,21,21,0,550,-9,-625,954,-15,245,-35,-35,0,1983,1911,0,1911,72,116,0,122,-6,0,0,727,229,498,19499,0,-99,6091,5548,543,1777,11283,125,0,11158,447,0,433,0,14,-16137,-486,0,-656,-171,5172,2068,3102,2,0,0,0,0,0,0,5172,-1697,284095,230254,107166,88720,34368,53841,79,79,0,12943,18,1112,8098,269,3446,0,0,0,30323,24002,0,24002,6321,1475,0,1117,358,0,0,9021,2005,7016,284095,425672,0,3361,201292,199754,1538,64752,152002,6644,0,145358,4265,0,4051,0,214,-141577
1963,53169,18353,34816,35532,27931,7601,-716,-1732,-716,14686,-2222,2774,1685,880,209,16254,-1732,73024,21106,24968,463,8848,59045,61206,-2161,-3506,-2161,1345,8841,26669,18353,525,-12347,-12347,3800,4,4,0,27,57,-25,-443,-9,447,29,29,0,1525,1924,0,1924,-399,7,0,62,-55,0,0,2208,485,1723,16895,0,-47,2286,2457,-171,2678,11844,131,0,11713,134,0,330,0,-196,-13095,-1420,0,-672,748,2163,1864,-23,322,0,0,0,0,0,0,2163,-2763,298206,240733,110868,90317,39548,57473,83,83,0,12970,59,1087,7671,260,3893,29,29,0,31848,25926,0,25926,5922,1482,0,1179,303,0,0,11061,2490,8571,298206,442546,0,3314,203578,202211,1367,67430,163664,6775,0,156889,4560,0,4381,0,179,-144340
1964,56446,19204,37242,38004,29901,8103,-762,-2018,-762,15424,-2719,3530,1723,1582,225,17491,-2018,70727,21782,25509,617,9353,56247,63139,-6892,-8389,-6892,1497,8540,27118,19204,626,-16929,-16929,3598,0,0,0,330,110,-273,462,12,19,-17,-17,0,2785,2834,0,2834,-49,47,0,112,-65,0,0,453,244,209,19610,0,-48,5411,4556,855,1890,12530,104,0,12426,-173,0,95,0,-268,-16012,-272,0,-1189,-917,2345,1525,567,253,0,0,0,0,0,0,2345,-6316,311509,250987,114031,91829,45127,60522,83,83,0,13300,137,814,8165,272,3912,12,12,0,34633,28760,0,28760,5873,1529,0,1291,238,0,0,10965,2734,8231,311509,462165,0,3266,208989,206767,2222,69320,175994,6879,0,169115,4596,0,4476,0,120,-150656
1965,59322,20013,39309,40185,31500,8685,-875,-3709,-875,15427,-2989,3320,1800,1297,223,18592,-3709,78876,22742,27715,937,10149,60982,66497,-5515,-6735,-5515,1220,7156,26698,20013,471,-13892,-13892,3230,-11,-11,0,-1308,175,98,-1575,-22,16,33,33,0,2907,2926,0,2926,-19,-10,0,0,-10,0,0,1619,388,1231,17192,0,150,706,258,448,2237,13503,134,0,13369,596,0,572,0,24,-13962,-592,0,-521,71,5300,3570,1547,183,0,0,0,0,0,0,5300,-2027,326409,262979,119241,92859,50879,63430,332,332,0,11992,152,912,6750,250,3928,45,45,0,37540,31686,0,31686,5854,1519,0,1291,228,0,0,12002,3122,8880,326409,479092,0,3416,209695,207025,2670,71557,189129,7013,0,182116,5295,0,5048,0,247,-152683
1966,65550,21049,44502,45696,35840,9856,-1194,-7050,-1194,14449,-3925,3885,1991,1649,245,20264,-7050,88609,30620,30347,1019,13352,69500,76487,-6987,-8328,-6987,1341,9682,30089,21049,642,-18011,-18011,4653,3,3,0,-380,270,-529,-356,-30,265,1310,1310,0,3908,2871,0,2871,1037,-6,0,-100,94,0,0,-182,1249,-1431,20996,0,682,2468,1113,1355,2381,14826,107,0,14719,639,0,783,0,-144,-16343,-899,0,-2566,-1668,6874,4658,1941,275,0,0,0,0,0,0,6874,-2353,345325,278893,125613,95719,57561,66432,76,76,0,11612,446,383,6370,220,4193,1355,1355,0,41448,34557,0,34557,6891,1513,0,1191,322,0,0,10428,4371,6057,345325,500361,0,4098,212163,208138,4025,73938,203675,7120,0,196555,6487,0,5831,0,656,-155036
1967,71308,22464,48844,50118,39112,11006,-1273,-7282,-1273,15164,-3785,4543,2334,1907,302,21931,-7282,92753,34102,37075,968,14933,68533,88059,-19526,-20721,-19526,1195,9252,31947,22464,-231,-29973,-29973,1916,7,7,0,927,512,97,481,47,-210,-88,-88,0,4568,3642,0,3642,926,171,0,193,-22,0,0,-3669,1468,-5137,31682,0,573,12916,8761,4155,1345,16022,80,0,15942,826,0,652,0,174,-29766,6948,0,6741,-207,11440,7891,2661,889,0,0,0,0,0,0,11440,-2333,374521,299817,134421,100595,64801,74704,83,83,0,12996,741,480,7525,267,3983,1267,1267,0,46016,38199,0,38199,7817,1684,0,1384,300,0,0,12658,5839,6819,374521,531890,0,4671,225079,216899,8180,75283,219355,7200,0,212155,7502,0,6483,0,1019,-157369
1968,78340,24155,54185,55210,43146,12064,-1025,-7316,-1025,16872,-4147,5536,2735,2464,337,24552,-7316,110345,37897,42417,953,16384,83078,96845,-13768,-16633,-13768,2865,6049,31118,24155,-914,-22681,-22681,6157,442,442,0,-774,588,868,-2268,101,-63,134,134,0,5118,3674,0,3674,1444,-172,0,128,-300,0,0,1409,575,834,32027,0,416,11940,8780,3160,1917,17047,-14,0,17061,707,0,-16,0,723,-25870,-1934,0,1256,3189,12795,7953,2796,2046,0,0,0,0,0,0,12795,-5771,399957,319583,143061,103491,73031,80374,525,525,0,12222,1467,1348,5119,368,3920,1401,1401,0,50834,41573,0,41573,9261,1512,0,1512,0,0,0,13880,6414,7466,399957,563097,0,5062,237019,225679,11340,77200,236134,7186,0,228948,7682,0,6467,0,1215,-163140
1969,83627,25819,57808,59071,46040,13031,-1263,-9589,-1263,17812,-4509,5835,2490,3019,326,27464,-9589,125139,43314,46341,998,18206,95315,100465,-5150,-7447,-5150,2297,5014,30729,25819,104,-12461,-12461,3941,967,967,0,1934,-410,1037,1553,-157,-89,-1297,-1297,0,4436,3466,0,3466,970,184,0,184,0,0,0,-2283,919,-3202,17208,0,272,-3257,-953,-2304,1621,19009,66,0,18943,-437,0,-78,0,-359,-13267,291,0,1097,806,18530,11084,3720,3726,0,0,0,0,0,0,18530,11374,427291,343047,154673,105910,82464,84244,1492,1492,0,14156,814,2385,6915,211,3831,104,104,0,55270,45039,0,45039,10231,1696,0,1696,0,0,0,11526,7333,4193,427291,579057,0,5334,233762,224726,9036,78821,253834,7252,0,246582,7306,0,6389,0,917,-151766
1970,89511,27634,61877,64343,49647,14696,-2466,-15767,-2466,18081,-4753,6701,2809,3494,398,33330,-15767,116349,45504,56357,959,23160,67528,102344,-34816,-36394,-34816,1578,2558,30461,27634,-269,-38952,-38952,1619,-301,-1152,851,2345,-1078,-375,3530,252,16,-97,-97,0,2892,2590,0,2590,302,233,0,233,0,0,0,-3453,-777,-2676,38608,867,222,11975,12933,-958,2469,23174,106,0,23068,-99,400,-1038,0,539,-36989,-3535,0,-5498,-1963,24281,13204,5833,5244,0,0,0,0,0,0,24281,-15648,456586,370168,168165,110089,91914,86418,1191,340,851,16501,372,2010,9809,463,3847,7,7,0,58154,47621,0,47621,10533,1929,0,1929,0,0,0,8636,6556,2080,456586,624000,867,5556,245737,237659,8078,81290,284495,7358,0,277137,6055,400,5351,0,304,-167414
1971,95168,29064,66104,68888,51514,17374,-2784,-16697,-2784,18992,-4641,6971,3108,3357,506,35235,-16697,116269,50330,66891,928,28154,55785,106681,-50896,-52257,-50896,1361,-1705,27798,29064,-439,-50552,-50552,4621,-17,-266,249,1836,-191,-1349,3501,57,-182,18,18,0,2806,3186,0,3186,-380,247,0,247,0,0,0,-269,-1704,1435,54330,717,490,22683,23733,-1050,5035,25700,71,0,25629,-295,0,-1123,0,828,-49709,3572,0,2729,-843,22260,13354,4745,4161,94,94,0,0,0,136,22218,-26467,483295,391164,182422,109194,99548,92131,1268,74,1194,18337,263,661,13228,520,3665,25,25,0,60279,50126,0,50126,10153,2176,0,2176,0,0,0,10046,4852,5194,483295,677176,1720,6046,268420,261392,7028,86325,309726,7429,0,302297,4939,400,4228,0,311,-193881
1972,101319,30204,71115,73493,55043,18450,-2378,-21119,-2378,18481,-6583,6991,3250,3231,510,37630,-21119,136536,58258,73820,1120,37690,63286,112297,-49011,-49701,-49011,690,-1568,29349,30204,-713,-48133,-48133,423,700,-3,703,-1208,1,-151,-978,86,-166,-17,-17,0,1849,2542,0,2542,-693,271,0,271,0,0,0,-1172,-819,-353,46732,710,533,11935,11036,899,6070,27253,152,0,27101,231,0,201,0,30,-46309,5127,0,3303,-1824,34395,21735,8538,4122,94,61,33,0,0,61,34428,-10147,519608,424729,205043,112314,107372,94879,2035,77,1958,17984,49,543,13287,606,3499,8,8,0,62128,52668,0,52668,9460,2447,0,2447,0,0,0,10277,4033,6244,519608,723636,2491,6579,280355,272428,7927,92395,336675,7581,0,329094,5141,400,4429,0,312,-204028
1973,105334,32354,72980,76365,57166,19199,-3384,-23666,-3384,19799,-5149,8360,3365,4341,654,43291,-23666,148878,74546,85702,1048,38880,76225,114534,-38309,-39214,-38309,905,-3907,31652,32354,-3205,-35307,-35307,4622,-9,0,-9,-1376,-91,35,-1756,-167,603,-2,-2,0,3858,4447,0,4447,-589,373,0,373,0,0,0,1778,274,1504,39079,0,422,4352,3922,430,4727,29151,175,0,28976,427,0,790,0,-363,-34457,4598,0,3748,-850,46607,26585,11009,9014,271,217,54,0,0,276,46602,11986,571018,470809,232712,118385,119712,100209,2251,85,2166,17819,4,632,12642,439,4102,6,6,0,64804,55933,0,55933,8871,2820,0,2820,0,0,0,12509,4307,8202,571018,763060,2767,7001,284707,276350,8357,97122,365532,7756,0,357776,5931,400,5219,0,312,-192042
1974,113194,35383,77812,81060,60482,20578,-3249,-24297,-3249,20064,-3191,10063,3635,5550,878,47984,-24297,166457,84085,104602,1081,40903,81821,123169,-41348,-44479,-41348,3131,-5390,35666,35383,-5673,-39089,-39089,4193,87,-85,172,-3773,17,1268,-4555,38,-541,-6,-6,0,6351,3653,0,3653,2698,537,0,537,0,0,0,997,998,-1,43655,0,445,10858,10988,-130,3770,29145,115,0,29030,-563,0,-556,0,-7,-39462,4219,0,4592,373,68546,45144,11334,12068,71,36,35,0,0,42,68575,28314,645609,539642,278687,126796,134159,105967,2374,0,2374,14230,3,1935,8254,477,3561,0,0,0,72220,59586,0,59586,12634,3357,0,3357,0,0,0,13786,5305,8481,645609,809337,2809,7333,270110,261883,8227,126347,394450,7871,0,386579,8288,400,6165,0,1723,-163728
1975,121336,38744,82592,87008,64417,22591,-4417,-28507,-4417,22077,-4336,10636,4281,5382,973,52467,-28507,159378,88054,134319,1106,49761,35951,133876,-97925,-102749,-97925,4824,676,39853,38744,-434,-103425,-103425,16873,119,53,66,3407,158,407,2738,95,9,0,0,0,13422,6913,0,6913,6509,654,0,654,0,0,0,-729,1190,-1919,120876,0,837,81516,81869,-353,7835,30523,2281,0,28242,165,100,774,0,-709,-104003,-3119,0,-2541,578,31340,8357,14991,7993,-211,-105,-106,0,0,-124,31253,-74615,696541,572069,288182,139511,144376,124472,2335,0,2335,17531,0,2236,11153,572,3570,0,0,0,85642,66499,0,66499,19143,4011,0,4011,0,0,0,14953,6495,8458,696541,934884,2685,8170,351626,343752,7874,134300,424687,10152,0,414535,13416,500,11791,0,1125,-238343
1976,130791,41671,89120,92025,67804,24221,-2905,-33271,-2905,21374,-4936,12093,5155,5870,1068,58896,-33271,191018,99786,145995,1223,53611,59150,140046,-80896,-85930,-80896,5034,696,44754,41671,-2387,-86626,-86626,22086,78,0,78,6227,133,2213,3855,159,-133,0,0,0,7939,7519,0,7519,420,1101,0,1101,0,0,0,6741,454,6287,110511,0,489,59539,59560,-21,14247,29507,599,0,28908,6729,700,5090,0,939,-88425,-2718,0,-919,1799,44394,22441,14343,7610,-8,-18,10,0,0,-20,44406,-44242,761927,619507,311938,152562,155007,142420,2395,0,2395,21185,151,4459,14990,731,854,0,0,0,93791,74228,0,74228,19563,5112,0,5112,0,0,0,19937,6949,12988,761927,1044512,2665,8659,411165,402836,8329,148547,453706,10751,0,442955,19770,1200,17920,0,650,-282585
1977,139223,45269,93954,97383,71779,25604,-3429,-39854,-3429,22723,-6890,13003,5779,5937,1287,65261,-39854,218918,111078,155022,1577,59007,77690,151137,-73447,-77483,-73447,4036,2513,49203,45269,-1421,-79995,-79995,8976,122,1,121,-108,-79,291,-434,147,-33,0,0,0,9865,5683,0,5683,4182,870,0,870,0,0,0,-1773,-762,-1011,95471,0,250,42281,43054,-773,20613,29997,671,0,29326,2330,50,3205,0,-925,-86495,-2643,0,3857,6500,32494,7537,16014,8944,333,113,220,0,0,122,32705,-47420,808666,655972,321005,167372,167595,152694,2630,1,2629,21297,2,4973,14626,878,818,0,0,0,103554,79809,0,79809,23745,5982,0,5982,0,0,0,19231,6187,13044,808666,1138671,2787,8909,453446,445890,7556,169160,481994,11422,0,470572,22375,1250,21125,0,0,-330005
1978,151542,49668,101875,104770,77546,27224,-2895,-49474,-2895,25278,-8697,15952,7425,7006,1521,79112,-49474,254547,128715,165402,2228,68474,102140,164180,-62040,-68812,-62040,6772,4436,54742,49668,-639,-73248,-73248,25258,-1250,-1,-1249,2763,2342,-4224,4451,64,131,0,0,0,17413,12592,0,12592,4821,867,0,867,0,0,0,5465,2725,2740,99901,0,474,30914,32249,-1335,28598,35742,690,0,35052,4173,50,4399,0,-276,-74643,1475,0,2870,1395,60302,27446,21782,11075,491,178,313,0,0,202,60591,-6747,901725,721488,350840,187425,183223,180237,1558,0,1558,24373,2768,1076,18652,942,935,0,0,0,120341,92375,0,92375,27966,6849,0,6849,0,0,0,27116,8912,18204,901725,1238477,2989,9383,484360,478139,6221,197758,517163,12112,0,505051,26824,1300,25524,0,0,-336752
1979,162979,54591,108388,111057,82014,29043,-2668,-56157,-2668,25684,-8204,20488,9151,9279,2058,91456,-56157,291178,149798,186067,2543,69826,131470,178833,-47364,-56392,-47364,9028,4302,61741,54591,-2849,-60694,-60694,22542,1351,216,1135,-686,-129,187,-785,65,-25,0,0,0,19282,12681,0,12681,6601,552,0,552,0,0,0,2043,2401,-358,83590,1139,1110,36682,37965,-1283,7109,36117,518,0,35599,1433,500,2243,0,-1310,-61048,4521,0,4875,355,70859,44711,10192,15957,80,31,49,0,0,45,70894,19023,1004947,799572,397310,197501,204761,205375,2724,0,2724,23736,1324,1280,19183,1007,942,0,0,0,141523,106956,0,106956,34567,7401,0,7401,0,0,0,29991,11313,18678,1004947,1322676,4173,10493,521042,516104,4938,204867,552534,12630,0,539904,29567,1800,27767,0,0,-317729
1980,178916,60394,118522,122163,90120,32043,-3641,-60885,-3641,33663,-9446,26069,11314,11706,3049,107529,-60885,310831,163631,223840,3142,77020,115860,204620,-88761,-98986,-88761,10225,5788,70249,60394,-4068,-104773,-104773,25355,28,12,16,1945,3236,1698,-2537,-210,-242,0,0,0,23613,16107,0,16107,7506,795,0,795,0,0,0,-1026,3778,-4804,124885,1152,564,93082,93575,-493,-6807,35798,565,0,35233,1096,718,2266,0,-1888,-99530,13291,0,8048,-5243,78859,41669,17261,19929,-198,-130,-68,0,0,-170,78831,-6864,1123902,888284,441487,215889,230908,235618,2610,0,2610,26755,5030,2910,16176,797,1842,0,0,0,165553,123480,0,123480,42073,8196,0,8196,0,0,0,32504,15091,17413,1123902,1448495,5155,11057,614124,609679,4445,198060,587548,13195,0,574353,32551,2518,30033,0,0,-324593
1981,201526,67523,134003,136617,100697,35920,-2614,-63935,-2614,49929,-11071,33251,14819,14024,4408,133429,-63935,344359,193009,255007,3128,76072,145483,233557,-88074,-96919,-88074,8845,7374,80423,67523,-5526,-104293,-104293,20371,1729,-94,1823,2972,431,2473,376,-142,-165,0,0,0,23954,19015,0,19015,4939,1142,0,1142,0,0,0,-9426,2542,-11968,135637,1093,445,95699,96040,-341,-225,36237,638,0,35599,2388,800,539,0,1049,-115266,-6611,0,4362,10973,58605,19411,18674,20520,-731,-338,-393,0,0,-545,58419,-45111,1211798,959787,463386,237746,258655,252011,4095,0,4095,29334,4645,5094,17367,655,1573,0,0,0,189833,142821,0,142821,47012,9338,0,9338,0,0,0,19411,17633,1778,1211798,1581502,5703,11502,709823,705719,4104,197835,622749,13833,0,608916,33890,3318,30572,0,0,-369704
1982,220143,75379,144763,146902,108406,38496,-2139,-89815,-2139,40956,-14563,38612,18337,15205,5070,152681,-89815,330810,206043,285985,4381,74402,91032,258386,-167353,-174508,-167353,7155,10880,89951,75379,-3692,-185388,-185388,22161,1372,0,1372,10325,520,2543,6429,472,361,0,0,0,16203,13839,0,13839,2364,1007,0,1007,0,0,0,-6746,4792,-11538,216789,0,357,162878,163631,-753,10493,36858,846,0,36012,6203,1300,4753,0,150,-194628,7284,0,16525,9240,49877,15193,19790,14894,-612,-217,-395,0,0,-298,49563,-117661,1309811,1024194,480445,262817,280932,285617,5250,0,5250,39264,4448,7378,24513,1127,1798,0,0,0,206050,156674,0,156674,49376,10345,0,10345,0,0,0,24708,22425,2283,1309811,1797176,5405,11859,872701,869350,3351,208328,658940,14679,0,644261,39943,4618,35325,0,0,-487365
1983,233261,81124,152137,154083,113122,40961,-1945,-106457,-1945,44383,-20862,38938,20365,14229,4344,166971,-106457,335101,223068,307218,5220,76871,72843,280020,-207177,-216986,-207177,9809,16265,102337,81124,-4949,-233251,-233251,13719,92,27,65,-5864,-1653,4453,-8264,-451,50,0,0,0,8973,7753,0,7753,1220,1369,0,1369,0,0,0,9149,3766,5383,244730,0,468,175358,175398,-40,24393,37487,958,0,36529,7024,0,5011,0,2013,-231011,6983,0,4744,-2240,39326,8765,17379,13183,-797,-290,-507,0,0,-275,38804,-171199,1379982,1084225,491876,289329,303020,295757,5025,0,5025,32893,2601,11360,16444,676,1812,0,0,0,214814,164218,0,164218,50596,11714,0,11714,0,0,0,31311,26191,5120,1379982,2038546,5130,12327,1048059,1044748,3311,232721,695355,15637,0,679718,44954,4618,40336,0,0,-658564
1984,253034,90583,162451,165135,121147,43988,-2685,-126122,-2685,47300,-20680,43770,22786,16054,4930,193827,-126122,362381,254129,313413,6274,83555,99694,296211,-196517,-208330,-196517,11813,21054,115594,90583,-3957,-229383,-229383,30893,1003,24,979,7765,578,1013,5264,532,378,0,0,0,17148,16281,0,16281,867,1426,0,1426,0,0,0,3551,5082,-1531,270094,0,553,187926,187993,-67,27751,41845,1084,0,40761,12019,0,7143,0,4876,-239201,7844,0,17662,9818,72869,17968,43787,11115,-1231,-363,-868,0,0,-327,71965,-128520,1513219,1181793,512526,344038,325229,331426,5641,0,5641,39790,3059,11607,21828,1208,2088,0,0,0,231856,180393,0,180393,51463,13140,0,13140,0,0,0,40999,31273,9726,1513219,2300303,4803,12880,1235985,1232741,3244,260472,734066,16721,0,717345,52097,4618,47479,0,0,-787084
1985,270784,96971,173813,175437,128151,47286,-1624,-142415,-1624,46052,-21033,47932,25577,17796,4559,213742,-142415,396861,277909,329880,8596,89936,121136,320380,-199244,-212436,-199244,13192,34356,132529,96971,-1202,-246793,-246793,31801,903,6,897,13919,1935,-931,12992,40,-116,0,0,0,18005,16164,0,16164,1841,1301,0,1301,0,0,0,-2327,3679,-6006,298953,0,387,193147,193174,-27,72410,21686,1108,0,20578,11323,100,10640,0,583,-267152,-7832,0,12528,20360,-7231,12155,-26656,7271,2041,755,1286,0,0,579,-5769,-226037,1585243,1210016,528614,333965,347437,375227,7293,0,7293,54995,5840,11996,33973,1248,1938,0,0,0,250671,197367,0,197367,53304,14441,0,14441,0,0,0,47827,34952,12875,1585243,2598364,5382,13267,1429132,1425915,3217,332882,754864,17829,0,737035,62837,4718,58119,0,0,-1013121
1986,282734,103588,179146,179734,132009,47725,-588,-155765,-588,43698,-24589,49918,28842,17804,3272,224204,-155765,418336,298933,348661,7611,96623,123831,339771,-215940,-229050,-215940,13110,35275,141887,103588,-3024,-264325,-264325,7021,272,26,246,-1394,471,-1485,409,185,-974,0,0,0,10676,9153,0,9153,1523,1482,0,1482,0,0,0,-4015,-2322,-1693,299988,0,489,183161,182770,391,62372,35883,1042,0,34841,18083,300,14618,0,3165,-292967,-23312,0,5330,28642,11127,19953,-13555,4729,2098,856,1242,0,0,611,12614,-239748,1649214,1259625,553366,339675,366584,389589,8395,0,8395,54843,7847,11790,32846,1433,927,0,0,0,257450,203093,0,203093,54357,15923,0,15923,0,0,0,52978,32630,20348,1649214,2902083,5993,13756,1612293,1608685,3608,395254,797032,18871,0,778161,77755,5018,72737,0,0,-1252869
1987,294438,110107,184331,184830,138372,46458,-499,-170944,-499,45940,-30007,45937,25130,17739,3068,232315,-170944,480476,317431,361467,10206,91097,184605,350342,-165737,-177628,-165737,11891,41899,152444,110107,-438,-219527,-219527,-17961,496,-14,510,-13601,-3795,-2064,-8075,218,114,0,0,0,-7858,-2569,0,-2569,-5289,1211,0,1211,0,0,0,1791,7978,-6187,205047,0,469,104483,102947,1536,69684,32305,1205,0,31100,-1894,0,7477,0,-9371,-223008,-13966,0,-10484,3482,15708,10895,-7758,12570,2807,1378,1429,0,0,958,17557,-174037,1691399,1317674,570498,352037,395139,373725,10283,0,10283,42671,7414,11415,21410,1651,781,0,0,0,242290,193222,0,193222,49068,17134,0,17134,0,0,0,61347,40608,20739,1691399,3118305,6951,14225,1716776,1711632,5144,464938,829017,20076,0,808941,86398,5018,80214,0,1166,-1426906
1988,315928,118914,197014,196357,146174,50183,657,-179001,657,49827,-29150,47581,27394,17364,2823,247915,-179001,499981,354779,382943,9607,98931,203493,363451,-159958,-172069,-159958,12111,28919,147989,118914,-156,-200988,-200988,-5032,-110,17,-127,9972,2533,-1032,8996,-247,-277,0,0,0,-9473,-8422,0,-8422,-1051,1314,0,1314,0,0,0,-6735,74,-6809,237919,0,511,130235,112801,17434,57666,31899,1173,0,30726,17608,0,7966,0,9642,-242951,-40000,0,1963,41964,58437,27242,14480,16715,-874,-519,-355,0,0,-358,57921,-154148,1769167,1405285,601146,379567,424572,363882,9634,-3,9637,52288,8234,9803,32118,1404,729,0,0,0,216820,168803,0,168803,48017,18448,0,18448,0,0,0,66692,40682,26010,1769167,3350221,6593,14736,1847011,1824433,22578,522604,860257,21249,0,839008,99020,5018,88180,0,5822,-1581054
1989,332375,126871,205504,204436,151149,53287,1067,-195391,1067,49741,-27052,50513,25880,21646,2987,269660,-195391,551403,377963,416854,11787,105388,223521,382885,-159364,-170676,-159364,11312,23613,151220,126871,-736,-194289,-194289,-4698,540,5,535,-2293,12615,-471,-14179,-143,-115,0,0,0,-3021,-2289,0,-2289,-732,1173,0,1173,0,0,0,-1097,3194,-4291,242013,0,567,119702,118083,1619,61205,32260,1157,0,31103,28279,3500,8619,0,16160,-246711,-37010,0,15412,52422,47702,24823,10020,12859,-475,-221,-254,0,0,-154,47381,-160306,1835820,1477370,627901,402685,446784,358450,9951,0,9951,49741,13218,9106,25570,1261,586,0,0,0,208811,161526,0,161526,47285,19621,0,19621,0,0,0,70326,43876,26450,1835820,3577180,6439,15303,1966713,1942516,24197,583809,891827,22406,0,869421,113089,8518,96799,0,7772,-1741360
