date,FU892150005.Q,FU712151003.Q,FU762150005.Q,FU762152005.Q,FU762151005.Q,FU752150005.Q,FU752152005.Q,FU752151005.Q,FU472150053.Q,FU512151003.Q,FU542151073.Q,FU402150005.Q,FU642151073.Q,FU662151003.Q,FU732151003.Q,FU262151003.Q,FU892050005.Q,FU102051003.Q,FU212051003.Q,FU712051000.Q,FU762050005.Q,FU762052005.Q,FU762051005.Q,FU752050005.Q,FU752052005.Q,FU752051005.Q,FU472050053.Q,FU472052053.Q,FU472051053.Q,FU512051005.Q,FU542051075.Q,FU572051005.Q,FU222051043.Q,FU632051000.Q,FU652051003.Q,FU402050005.Q,FU402052033.Q,FU662051003.Q,FU732051003.Q,FU502051005.Q,FU262051005.Q,FU902050005.Q,FU712151103.Q,FU632051103.Q,FU792051115.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-6,0,-6,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,4,0,0,0,5,ND,ND,0,ND,ND,0,ND,ND,0,0,0,0,0,-1,0,0,0,0,0,0,-10,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-6,0,-8,ND,ND,2,ND,ND,0,0,0,0,0,0,0,0,-9,0,0,0,-17,ND,ND,1,ND,ND,0,ND,ND,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,9,0,8,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,54,0,0,53,-6,ND,ND,0,ND,ND,0,ND,ND,0,0,0,0,0,7,0,0,0,0,0,0,-45,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-6,0,-6,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,108,0,0,144,-60,ND,ND,1,ND,ND,0,ND,ND,0,0,0,0,0,23,0,0,0,0,0,0,-114,0,0,0
1952:Q1,224,0,224,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,424,0,80,103,152,ND,ND,1,ND,ND,0,ND,ND,0,0,83,0,0,5,0,0,0,0,0,0,-200,0,0,0
1952:Q2,-197,0,-197,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,32,0,87,100,-148,ND,ND,1,ND,ND,0,ND,ND,0,0,3,0,0,-11,0,0,0,0,0,0,-229,0,0,0
1952:Q3,385,0,386,ND,ND,-1,ND,ND,0,0,0,0,0,0,0,0,1017,0,512,100,408,ND,ND,-1,ND,ND,0,ND,ND,0,0,4,0,0,-6,0,0,0,0,0,0,-632,0,0,0
1952:Q4,-378,0,-378,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-651,0,-432,164,-394,ND,ND,1,ND,ND,0,ND,ND,0,0,3,0,0,7,0,0,0,0,0,0,273,0,0,0
1953:Q1,577,0,577,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,411,0,9,-64,463,ND,ND,-1,ND,ND,0,ND,ND,0,0,1,0,0,3,0,0,0,0,0,0,166,0,0,0
1953:Q2,-579,0,-579,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-718,0,-256,0,-455,ND,ND,0,ND,ND,0,ND,ND,0,0,2,0,0,-9,0,0,0,0,0,0,139,0,0,0
1953:Q3,189,0,189,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,1002,0,815,0,188,ND,ND,1,ND,ND,0,ND,ND,0,0,0,0,0,-2,0,0,0,0,0,0,-813,0,0,0
1953:Q4,-196,0,-196,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-839,0,-640,-2,-217,ND,ND,0,ND,ND,0,ND,ND,0,0,1,0,0,19,0,0,0,0,0,0,643,0,0,0
1954:Q1,37,0,37,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-484,0,-391,-198,107,ND,ND,0,ND,ND,0,ND,ND,0,0,2,0,0,-4,0,0,0,0,0,0,521,0,0,0
1954:Q2,-49,0,-49,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,2,0,216,-100,-111,ND,ND,0,ND,ND,0,ND,ND,0,0,2,0,0,-5,0,0,0,0,0,0,-51,0,0,0
1954:Q3,303,0,302,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,1046,0,1006,-200,234,ND,ND,1,ND,ND,0,ND,ND,0,0,2,0,0,3,0,0,0,0,0,0,-743,0,0,0
1954:Q4,-311,0,-311,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-1091,0,-834,-56,-210,ND,ND,0,ND,ND,0,ND,ND,0,0,3,0,0,6,0,0,0,0,0,0,780,0,0,0
1955:Q1,653,0,653,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,962,0,230,56,654,ND,ND,0,ND,ND,0,ND,ND,0,0,5,0,0,17,0,0,0,0,0,0,-309,0,0,0
1955:Q2,-613,0,-613,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-839,0,-402,100,-542,ND,ND,1,ND,ND,0,ND,ND,0,0,7,0,0,-3,0,0,0,0,0,0,226,0,0,0
1955:Q3,417,0,417,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,1629,0,1136,100,348,ND,ND,0,ND,ND,0,ND,ND,0,0,7,0,0,12,26,0,0,0,0,0,-1212,0,0,0
1955:Q4,-434,0,-434,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-608,0,-415,98,-300,ND,ND,0,ND,ND,0,ND,ND,0,0,7,0,0,-12,14,0,0,0,0,0,174,0,0,0
1956:Q1,789,0,789,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,441,0,-158,-98,646,ND,ND,0,ND,ND,0,ND,ND,0,0,8,0,0,43,0,0,0,0,0,0,348,0,0,0
1956:Q2,-735,0,-736,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,-1165,0,-563,0,-574,ND,ND,1,ND,ND,0,ND,ND,0,0,10,0,0,-36,-3,0,0,0,0,0,430,0,0,0
1956:Q3,693,0,693,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,2360,0,1878,0,468,ND,ND,0,ND,ND,0,ND,ND,0,0,8,0,0,21,-15,0,0,0,0,0,-1667,0,0,0
1956:Q4,-747,0,-747,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-1093,0,-586,40,-540,ND,ND,1,ND,ND,0,ND,ND,0,0,8,0,0,-12,-4,0,0,0,0,0,346,0,0,0
1957:Q1,892,0,891,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,526,0,-174,60,621,ND,ND,0,ND,ND,0,ND,ND,0,0,6,0,0,13,0,0,0,0,0,0,366,0,0,0
1957:Q2,-278,0,-279,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,-1277,0,-1118,0,-166,ND,ND,0,ND,ND,0,ND,ND,0,0,5,0,0,5,-3,0,0,0,0,0,999,0,0,0
1957:Q3,37,0,36,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,2196,0,2242,0,-45,ND,ND,0,ND,ND,0,ND,ND,0,0,5,0,0,-7,1,0,0,0,0,0,-2159,0,0,0
1957:Q4,-665,0,-666,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,-612,0,-422,142,-343,ND,ND,1,ND,ND,0,ND,ND,0,0,4,0,0,4,2,0,0,0,0,0,-53,0,0,0
1958:Q1,567,0,567,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,449,0,-62,-132,614,ND,ND,0,ND,ND,0,ND,ND,0,0,5,0,0,30,-6,0,0,0,0,0,118,0,0,0
1958:Q2,1,0,0,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,-1889,0,-1758,-100,-62,ND,ND,0,ND,ND,0,ND,ND,0,0,3,0,0,30,-2,0,0,0,0,0,1890,0,0,0
1958:Q3,330,0,330,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,2046,0,2093,-100,63,ND,ND,0,ND,ND,0,ND,ND,0,0,4,0,0,-11,-3,0,0,0,0,0,-1716,0,0,0
1958:Q4,-896,0,-897,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,-1498,0,-676,-109,-657,ND,ND,0,ND,ND,0,ND,ND,0,0,6,0,0,-55,-7,0,0,0,0,0,602,0,0,0
1959:Q1,1088,0,1089,ND,ND,-1,ND,ND,0,0,0,0,0,0,0,0,-372,0,-1213,-31,833,ND,ND,0,ND,ND,0,ND,ND,0,0,7,0,0,32,0,0,0,0,0,0,1460,0,0,0
1959:Q2,255,0,255,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-275,0,-204,0,-81,ND,ND,1,ND,ND,0,ND,ND,0,0,7,0,0,2,0,0,0,0,0,0,530,0,0,0
1959:Q3,-553,0,-553,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,700,0,998,0,-343,ND,ND,0,ND,ND,0,ND,ND,0,0,9,0,0,36,0,0,0,0,0,0,-1253,0,0,0
1959:Q4,-689,0,-689,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,-925,0,-422,3,-479,ND,ND,0,ND,ND,0,ND,ND,0,0,8,0,0,-35,0,0,0,0,0,0,236,0,0,0
1960:Q1,1732,0,1734,ND,ND,-2,ND,ND,0,0,0,0,0,0,0,0,649,0,-422,52,981,ND,ND,0,ND,ND,0,ND,ND,0,0,10,0,0,28,0,0,0,0,0,0,1083,0,0,0
1960:Q2,-431,0,-429,ND,ND,-2,ND,ND,0,0,0,0,0,0,0,0,-47,0,-154,100,-12,ND,ND,0,ND,ND,0,ND,ND,0,0,10,0,0,9,0,0,0,0,0,0,-384,0,0,0
1960:Q3,-335,0,-334,ND,ND,-1,ND,ND,0,0,0,0,0,0,0,0,78,0,155,100,-209,ND,ND,1,ND,ND,0,ND,ND,0,0,11,0,0,20,0,0,0,0,0,0,-413,0,0,0
1960:Q4,-991,0,-989,ND,ND,-2,ND,ND,0,0,0,0,0,0,0,0,-884,0,-331,95,-628,ND,ND,0,ND,ND,0,ND,ND,0,0,9,0,0,-32,3,0,0,0,0,0,-107,0,0,0
1961:Q1,1230,0,1227,ND,ND,3,ND,ND,0,0,0,0,0,0,0,0,1212,0,255,-110,997,ND,ND,1,ND,ND,0,ND,ND,0,0,9,0,0,63,-3,0,0,0,0,0,18,0,0,0
1961:Q2,-1022,0,-1025,ND,ND,3,ND,ND,0,0,0,0,0,0,0,0,-1159,0,-79,-50,-1002,ND,ND,2,ND,ND,0,ND,ND,0,0,7,0,0,-37,0,0,0,0,0,0,137,0,0,0
1961:Q3,1306,0,1307,ND,ND,-1,ND,ND,0,0,0,0,0,0,0,0,1687,0,556,-50,1122,ND,ND,-1,ND,ND,0,ND,ND,0,0,7,0,0,53,0,0,0,0,0,0,-381,0,0,0
1961:Q4,-1348,0,-1346,ND,ND,-2,ND,ND,0,0,0,0,0,0,0,0,-1888,0,-611,-48,-1156,ND,ND,0,ND,ND,0,ND,ND,0,0,9,0,0,-82,0,0,0,0,0,0,540,0,0,0
1962:Q1,1419,0,1421,ND,ND,-2,ND,ND,0,0,0,0,0,0,0,0,1608,0,96,58,1299,ND,ND,-1,ND,ND,0,ND,ND,0,0,14,0,0,142,0,0,0,0,0,0,-189,0,0,0
1962:Q2,-1133,0,-1131,ND,ND,-2,ND,ND,0,0,0,0,0,0,0,0,-1081,0,-41,50,-1044,ND,ND,-1,ND,ND,0,ND,ND,0,0,17,0,0,-62,0,0,0,0,0,0,-52,0,0,0
1962:Q3,828,0,829,ND,ND,-1,ND,ND,0,0,0,0,0,0,0,0,1664,0,912,50,666,ND,ND,0,ND,ND,0,ND,ND,0,0,17,0,0,19,0,0,0,0,0,0,-836,0,0,0
1962:Q4,-717,0,-718,ND,ND,1,ND,ND,0,0,0,0,0,0,0,0,-901,0,-446,80,-565,ND,ND,0,ND,ND,0,ND,ND,0,0,14,0,0,16,0,0,0,0,0,0,184,0,0,0
1963:Q1,1515,0,1512,ND,ND,3,ND,ND,0,0,0,0,0,0,0,0,732,0,-467,-80,1239,ND,ND,2,ND,ND,0,ND,ND,0,0,11,0,0,27,0,0,0,0,0,0,783,0,0,0
1963:Q2,-1090,0,-1093,ND,ND,3,ND,ND,0,0,0,0,0,0,0,0,-1098,0,1,-100,-978,ND,ND,1,ND,ND,0,ND,ND,0,0,5,0,0,-27,0,0,0,0,0,0,8,0,0,0
1963:Q3,758,0,762,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,0,1615,0,1004,-100,704,ND,ND,2,ND,ND,0,ND,ND,0,0,8,0,0,-3,0,0,0,0,0,0,-857,0,0,0
1963:Q4,-832,0,-837,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,-2313,0,-1749,-17,-584,ND,ND,0,ND,ND,0,ND,ND,0,0,16,0,0,21,0,0,0,0,0,0,1481,0,0,0
1964:Q1,1403,0,1399,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,1228,68,-198,177,1163,ND,ND,0,ND,ND,0,ND,ND,0,0,26,0,0,-17,9,0,0,0,0,0,175,0,0,0
1964:Q2,-892,0,-896,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,250,101,943,80,-961,ND,ND,0,ND,ND,0,ND,ND,0,0,36,0,0,44,7,0,0,0,0,0,-1142,0,0,0
1964:Q3,484,0,485,ND,ND,-1,ND,ND,0,0,0,0,0,0,0,0,1138,-34,344,80,783,ND,ND,-4,ND,ND,0,ND,ND,0,0,36,0,0,-71,4,0,0,0,0,0,-654,0,0,0
1964:Q4,-103,0,-108,ND,ND,5,ND,ND,0,0,0,0,0,0,0,0,-2304,174,-2102,133,-624,ND,ND,60,ND,ND,0,ND,ND,0,0,30,0,0,18,7,0,0,0,0,0,2201,0,0,0
1965:Q1,775,0,779,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,0,1658,-29,910,-23,717,ND,ND,-42,ND,ND,0,ND,ND,0,0,23,0,0,106,-4,0,0,0,0,0,-883,0,0,0
1965:Q2,-399,0,-394,ND,ND,-5,ND,ND,0,0,0,0,0,0,0,0,204,-82,848,-100,-508,ND,ND,15,ND,ND,0,ND,ND,0,0,17,0,0,18,-4,0,0,0,0,0,-603,0,0,0
1965:Q3,931,0,931,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,1324,138,539,-100,706,ND,ND,2,ND,ND,0,ND,ND,0,0,17,0,0,33,-11,0,0,0,0,0,-393,0,0,0
1965:Q4,-763,0,-770,ND,ND,7,ND,ND,0,0,0,0,0,0,0,0,-1040,257,-1247,52,-183,ND,ND,9,ND,ND,0,ND,ND,0,0,22,0,0,58,-8,0,0,0,0,0,277,0,0,0
1966:Q1,-42,0,-38,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,0,382,-81,443,-2,-3,ND,ND,-10,ND,ND,0,ND,ND,0,0,26,0,0,-3,12,0,0,0,0,0,-424,0,0,0
1966:Q2,-52,0,-48,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,0,438,-73,265,100,-1,ND,ND,18,ND,ND,0,ND,ND,0,0,29,0,0,90,10,0,0,0,0,0,-490,0,0,0
1966:Q3,260,0,248,ND,ND,12,ND,ND,0,0,0,0,0,0,0,0,2228,42,1708,0,241,ND,ND,-20,ND,ND,0,ND,ND,0,0,31,0,0,211,15,0,0,0,0,0,-1968,0,0,0
1966:Q4,234,0,224,ND,ND,10,ND,ND,0,0,0,0,0,0,0,0,-34,414,-903,285,161,ND,ND,-8,ND,ND,0,ND,ND,0,0,32,0,0,-27,12,0,0,0,0,0,268,0,0,0
1967:Q1,775,0,776,ND,ND,-1,ND,ND,0,0,0,0,0,0,0,0,-604,-327,-785,-185,739,ND,ND,-27,ND,ND,0,ND,ND,0,0,33,0,0,-34,-18,0,0,0,0,0,1379,0,0,0
1967:Q2,811,0,811,ND,ND,0,ND,ND,0,0,0,0,0,0,0,0,759,99,-20,-100,674,ND,ND,13,ND,ND,0,ND,ND,0,0,36,0,0,68,-11,0,0,0,0,0,52,0,0,0
1967:Q3,286,0,289,ND,ND,-3,ND,ND,0,0,0,0,0,0,0,0,839,-62,959,-100,26,ND,ND,7,ND,ND,0,ND,ND,0,0,35,0,0,-26,0,0,0,0,0,0,-553,0,0,0
1967:Q4,276,0,279,ND,ND,-3,ND,ND,0,0,0,0,0,0,0,0,-668,65,-703,-141,19,ND,ND,32,ND,ND,0,ND,ND,0,0,32,0,0,48,-20,0,0,0,0,0,944,0,0,0
1968:Q1,725,0,721,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,1756,433,613,-259,398,ND,ND,-14,ND,ND,0,ND,ND,0,0,30,0,0,553,2,0,0,0,0,0,-1031,0,0,0
1968:Q2,834,0,830,ND,ND,4,ND,ND,0,0,0,0,0,0,0,0,-562,-36,-669,0,368,ND,ND,2,ND,ND,0,ND,ND,0,0,28,0,0,-263,8,0,0,0,0,0,1396,0,0,0
1968:Q3,476,0,470,ND,ND,6,ND,ND,0,0,0,0,0,0,0,0,2164,-46,1169,0,962,ND,ND,-3,ND,ND,0,ND,ND,0,0,26,0,0,58,-2,0,0,0,0,0,-1688,0,0,0
1968:Q4,474,0,467,ND,ND,7,ND,ND,0,0,0,0,0,0,0,0,-1668,100,-2642,0,985,ND,ND,8,ND,ND,0,ND,ND,0,0,26,0,0,-149,4,0,0,0,0,0,2142,0,0,0
1969:Q1,1845,0,1833,ND,ND,12,ND,ND,0,0,0,0,0,0,0,0,3000,1081,1113,0,378,ND,ND,10,ND,ND,0,ND,ND,0,0,26,0,0,358,34,0,0,0,0,0,-1155,0,0,0
1969:Q2,1855,0,1844,ND,ND,11,ND,ND,0,0,0,0,0,0,0,0,1705,-256,1460,0,298,ND,ND,26,ND,ND,0,ND,ND,0,0,24,0,0,109,44,0,0,0,0,0,150,0,0,0
1969:Q3,1862,0,1856,ND,ND,6,ND,ND,0,0,0,0,0,0,0,0,6104,922,3558,0,1375,ND,ND,-9,ND,ND,0,ND,ND,0,0,23,0,0,203,32,0,0,0,0,0,-4242,0,0,0
1969:Q4,1700,0,1690,ND,ND,10,ND,ND,0,0,0,0,0,0,0,0,-392,443,-2259,0,1424,ND,ND,9,ND,ND,0,ND,ND,0,0,26,0,0,-106,71,0,0,0,0,0,2092,0,0,0
1970:Q1,501,0,510,ND,ND,-9,ND,ND,0,0,0,0,0,0,0,0,906,451,-589,0,786,ND,ND,26,ND,ND,0,ND,ND,0,0,26,0,0,199,7,0,0,0,0,0,-405,0,0,0
1970:Q2,468,0,466,ND,ND,2,ND,ND,0,0,0,0,0,0,0,0,-4505,-2503,-2010,0,519,ND,ND,42,ND,ND,0,ND,ND,0,0,28,0,0,-868,287,0,0,0,0,0,4973,0,0,0
1970:Q3,433,0,434,ND,ND,-1,ND,ND,0,0,0,0,0,0,0,0,3847,-1196,1073,0,2595,ND,ND,-37,ND,ND,0,ND,ND,0,0,28,0,0,969,415,0,0,0,0,0,-3414,0,0,0
1970:Q4,543,0,515,ND,ND,28,ND,ND,0,0,0,0,0,0,0,0,-257,171,-2489,0,2461,ND,ND,-7,ND,ND,0,ND,ND,0,0,29,0,0,-486,64,0,0,0,0,0,800,0,0,0
1971:Q1,1881,0,1885,ND,ND,-4,ND,ND,0,0,0,0,0,0,0,0,864,1084,-403,350,675,ND,ND,36,ND,ND,0,ND,ND,0,0,31,0,0,-182,-727,0,0,0,0,0,1017,0,0,0
1971:Q2,1917,0,1906,ND,ND,11,ND,ND,0,0,0,0,0,0,0,0,417,-1312,1819,300,-466,ND,ND,112,ND,ND,0,ND,ND,0,0,31,0,0,-121,54,0,0,0,0,0,1500,0,0,0
1971:Q3,1991,0,1894,ND,ND,97,ND,ND,0,0,0,0,0,0,0,0,5604,1057,1901,300,2120,ND,ND,-49,ND,ND,0,ND,ND,0,0,34,0,0,-70,311,0,0,0,0,0,-3613,0,0,0
1971:Q4,2221,0,1914,ND,ND,307,ND,ND,0,0,0,0,0,0,0,0,-71,14,-2764,554,2130,ND,ND,-63,ND,ND,0,ND,ND,0,0,35,0,0,275,-252,0,0,0,0,0,2292,0,0,0
1972:Q1,3639,0,3291,ND,ND,348,ND,ND,0,0,0,0,0,0,0,0,3386,1488,800,-394,1150,ND,ND,149,ND,ND,0,ND,ND,0,0,153,0,0,45,-5,0,0,0,0,0,253,0,0,0
1972:Q2,2995,0,3196,ND,ND,-201,ND,ND,0,0,0,0,0,0,0,0,1009,546,63,-420,-154,ND,ND,92,ND,ND,0,ND,ND,0,0,233,0,0,-124,773,0,0,0,0,0,1986,0,0,0
1972:Q3,1942,0,1514,ND,ND,428,ND,ND,0,0,0,0,0,0,0,0,4211,-1008,2314,-320,3067,ND,ND,-49,ND,ND,0,ND,ND,0,0,241,0,0,119,-153,0,0,0,0,0,-2269,0,0,0
1972:Q4,1622,0,1887,ND,ND,-265,ND,ND,0,0,0,0,0,0,0,0,-538,585,-3266,-223,2469,ND,ND,99,ND,ND,0,ND,ND,0,0,182,0,0,-169,-215,0,0,0,0,0,2160,0,0,0
1973:Q1,5932,0,5385,ND,ND,547,ND,ND,0,0,0,0,0,0,0,0,7715,3826,606,-57,2137,ND,ND,37,ND,ND,0,ND,ND,0,0,130,0,0,474,462,0,0,0,0,100,-1783,0,0,0
1973:Q2,3471,0,3115,ND,ND,356,ND,ND,0,0,0,0,0,0,0,0,1508,-169,346,10,-41,ND,ND,291,ND,ND,0,ND,ND,0,0,88,0,0,154,729,0,0,0,0,100,1963,0,0,0
