1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q4,765,706,-73042,0,-51498,-3924,-21222,0,2333,-1618,0,-21937,4322,5228,0,-906,0,-720,-39101,-36464,4991,10156,-5165,7378,-57998,6977,-1803,2734,1257,-2637,-346,-2291,34001,-50620
2012:Q1,817,765,-3682,26,-31827,32321,-7899,0,12477,-1401,0,-18975,-1994,-910,0,-1084,0,5691,20138,10418,4986,8991,-4005,1093,-15617,22331,6979,39,-9393,9720,-6705,16425,23872,-14524
2012:Q2,823,785,20367,14,8638,20781,-1787,0,-12131,2860,0,7484,-2957,-2658,0,-299,0,-4322,-576,24579,46070,44620,1450,5248,-19525,1918,-5499,1514,-5147,-25155,597,-25752,-20905,-14277
2012:Q3,833,784,17313,-18,-17226,9573,20913,0,17182,-2074,0,5805,-4629,-4382,0,-247,0,8700,-5668,5203,-4806,-55358,50552,5554,-2066,-13734,5053,1700,13502,-10871,-295,-10576,-22933,3488
2012:Q4,842,797,-50604,10,-31802,-4513,-6464,0,-461,1770,0,-7773,2534,2850,0,-316,0,-10369,-14575,-23701,-55670,-53982,-1688,4309,37498,10107,2659,-158,-22446,9126,1046,8080,36074,41807
2013:Q1,682,615,101264,-8,102536,469,-15629,0,3664,-4152,0,-15141,4977,6174,0,-1197,0,8919,111301,92270,62780,39032,23748,9978,16113,-1467,5660,239,-1033,19031,2117,16914,10104,26091
2013:Q2,690,612,219772,2,218308,2333,-8754,0,-8323,-257,0,-174,-6591,-6812,0,221,0,14474,196177,194906,219150,230656,-11506,660,7147,-13524,-11224,-223,-7080,1271,2114,-843,-23516,7807
2013:Q3,698,623,38177,1,3920,18194,6958,0,2587,-53,0,4424,12831,12033,0,798,0,-3727,-16975,4252,-86471,-77970,-8501,14517,70910,21107,-4360,72,-11523,-21227,2176,-23403,-55077,85426
2013:Q4,704,639,-28685,0,-15472,-22187,-6820,0,-1092,-572,0,-5156,14358,14442,0,-84,0,1436,-31657,-38706,-24434,-43822,19388,5565,1849,-18405,8129,31,-11441,7049,2237,4812,-2907,7415
2014:Q1,749,661,170081,-2,122983,23186,-6950,0,-1489,-3206,0,-2255,25085,22587,0,2498,0,5779,149349,148823,40217,38871,1346,17344,49112,43772,-737,343,-1228,526,155,371,-20644,66457
2014:Q2,755,679,29767,30,-2427,27920,-7143,0,-1373,-1780,0,-3990,10592,9144,0,1448,0,795,32372,34118,6282,15099,-8817,7225,12423,9991,1301,-688,-2416,-1746,1305,-3051,2681,19648
2014:Q3,764,696,11924,-24,19174,-9442,-7882,0,-5071,-418,0,-2393,7935,6787,0,1148,0,2163,-6321,-11441,-55928,-59561,3633,5803,20955,8871,-1747,724,9881,5120,-1908,7028,-18177,26756
2014:Q4,772,700,-176828,18,-199003,-614,-8395,0,-4898,-142,0,-3355,34246,32305,0,1941,0,-3080,-193611,-173911,-124636,-124441,-195,14670,-48827,-4085,-7634,-1159,-2240,-19700,4933,-24633,-16711,-34155
2015:Q1,662,795,-10901,-40,-16454,-18338,-7330,0,-1473,-1305,0,-4552,26136,26295,0,-159,0,5125,-2657,6573,-15038,-21102,6064,11641,-5235,-1340,2745,-525,14325,-9230,-2254,-6976,8111,6405
2015:Q2,669,798,32737,-1,14390,10741,-94,0,2916,4188,0,-7198,13459,10726,0,2733,0,-5758,42316,28134,64815,66911,-2096,11731,-36259,4864,7118,208,-24343,14182,1293,12889,9449,-24528
2015:Q3,678,804,-11282,0,-15560,-12058,6769,0,-3341,-2526,0,12636,18407,12722,0,5685,0,-8840,-4025,-3663,27475,30821,-3346,-8117,-19627,565,-10721,-561,7323,-362,406,-768,7131,-27744
2015:Q4,687,804,-140272,0,-180800,20037,6670,0,15955,2385,0,-11670,22718,17939,0,4779,0,-8897,-128262,-127079,-101912,-100396,-1516,-4616,-56626,31251,8839,88,-4103,-1183,1793,-2976,11893,-61241
2016:Q1,655,810,89142,0,58889,-12692,13474,0,7757,-284,0,6001,17716,12673,0,5043,0,11755,83547,60943,-464,-6566,6102,23692,6763,1286,8647,1747,19272,22604,881,21723,-5751,30453
2016:Q2,664,817,59122,0,17078,-2429,17967,0,8410,-486,0,10043,19910,15082,0,4828,0,6596,28290,38901,41244,38523,2721,20932,-58618,21237,-448,875,13679,-10611,1597,-12208,-30985,-37685
2016:Q3,673,830,-179978,-1,-164018,1359,-12942,0,9595,1707,0,-24244,2277,-2912,0,5189,-3,-6650,-201503,-193875,-71692,-69059,-2633,-20039,-79603,11609,-7604,1554,-28100,-7628,1371,-8999,-21682,-99642
2016:Q4,683,842,-71904,0,-34501,-11678,-13389,0,-418,-3140,0,-9831,-11296,-13677,0,2381,0,-1040,-36318,-31972,-21406,-17700,-3706,-20088,-11019,32588,2712,1101,-15860,-4346,1780,-6126,35427,-31108
2017:Q1,1060,1357,145159,0,161097,4040,-10651,0,-5668,715,0,-5698,-1528,-2768,0,1240,0,-7799,137702,123687,39022,40795,-1773,18913,70507,1392,-4245,-492,-1410,14015,3658,10357,-7755,89421
2017:Q2,1076,1383,1479,-1,-24264,12872,1562,0,2376,915,0,-1729,705,-3685,0,4390,0,10605,25150,41463,-18427,-19326,899,6643,16234,33249,585,-436,3615,-16313,4687,-21000,23364,22877
2017:Q3,1089,1402,112333,0,77834,30264,-7591,0,-6898,-1615,0,922,5058,4834,0,224,0,6768,86096,93562,52874,55214,-2340,-4157,3688,30500,8852,-1139,2944,-7466,173,-7639,-26550,-469
2017:Q4,1104,1437,25162,0,-72401,27879,43990,0,13531,24494,0,5965,1614,-1524,0,3138,0,24080,-2924,-2946,40790,42664,-1874,10932,-64578,14018,-11829,-974,8695,22,1809,-1787,-28419,-53646
2018:Q1,1104,1495,53999,0,66949,-3718,-2830,0,1425,-1553,0,-2702,-6333,-7454,0,1121,0,-69,100575,54498,54481,56971,-2490,-5701,25813,-26202,4704,-1560,2963,46077,1472,44605,46185,20112
2018:Q2,1123,1518,11929,0,-45165,26063,10976,0,11161,-258,0,73,17231,11955,0,5276,0,2824,-7281,-24614,-13271,-11783,-1488,557,30342,-23376,-6996,-1455,-10415,17333,5303,12030,-19605,30898
2018:Q3,1142,1536,-73457,0,-72325,14733,-3530,0,7008,-8562,0,-1976,-3210,-2401,0,-809,0,-9125,-64695,-55718,-7193,-6478,-715,9788,-36978,-16444,-7589,-382,3080,-8977,2272,-11249,8368,-27189
2018:Q4,1160,1550,-6937,0,-60905,13799,21737,0,9851,7880,0,4006,32459,29997,0,2462,0,-14027,-2303,-4065,27500,32072,-4572,-11883,-21179,17132,-2774,-873,-11988,1762,3776,-2014,4244,-33062
2019:Q1,1383,2279,38889,0,-21288,45801,-13933,0,440,-1814,0,-12559,11286,11054,0,232,0,17023,14848,-3411,-42413,-42892,479,12842,47801,-15263,-1441,-1083,-3854,18259,2836,15423,-24938,60643
2019:Q2,1412,2329,-19829,0,-53517,16855,3966,0,-1582,3190,0,2358,11188,10822,0,366,0,1679,-32402,-16767,-69221,-65926,-3295,6606,13494,22403,4063,-1018,6906,-15635,504,-16139,-13489,20101
2019:Q3,1437,2357,-3958,0,-18154,21240,3220,0,399,6087,0,-3266,-1219,-3739,0,2520,0,-9045,28920,32257,33419,38200,-4781,-3362,-21526,15755,14614,-847,-5796,-3337,281,-3618,31959,-24890
2019:Q4,1453,2356,6102,0,48466,-23881,-23375,0,-9123,1407,0,-15659,7053,7384,0,-331,0,-2161,50855,48191,-299,407,-706,5519,49272,23531,3756,-955,-32633,2664,1873,791,43851,54792
2020:Q1,1679,2212,474673,0,319719,-51844,26114,0,-14686,4333,0,36467,158475,156276,0,2199,0,22209,462142,458649,355378,352933,2445,52042,-49520,47113,16934,-1073,37775,3493,653,2840,-13064,2523
2020:Q2,1701,2065,-358366,0,-229206,-24978,-18646,0,1601,1111,0,-21358,-66583,-65980,0,-603,0,-18953,-292271,-281684,-224522,-226769,2247,4679,58170,-98981,-12906,-787,-7337,-10587,334,-10921,65731,62848
2020:Q3,1718,2142,-42207,1,4942,33948,-13763,0,-7114,-2681,0,-3968,-62173,-61683,0,-490,0,-5162,-54254,-46668,-49955,-44292,-5663,9680,-33670,42734,-8230,-203,-7024,-7586,2848,-10434,-12471,-23990
2020:Q4,1741,2204,-82247,-1,-47129,-12486,-6343,0,-7123,5126,0,-4346,-12068,-11529,0,-539,0,-4220,-49889,-45440,-4796,-8918,4122,-9451,-25756,4060,-1617,-862,-7018,-4449,4617,-9066,31895,-35207
2021:Q1,1830,2109,178277,0,208587,-15942,-3078,0,-8035,2880,0,2077,-16865,-16258,0,-607,0,5575,142612,100816,-1439,-1420,-19,50443,35060,12517,763,-251,3723,41796,-497,42293,-35945,85503
2021:Q2,1873,2164,-45612,0,-11910,-31540,-10590,0,-3505,-4137,0,-2948,-1528,-2558,0,1030,0,9956,-105450,-81010,-38988,-39274,286,-10683,-7285,-15494,-7348,-1855,643,-24440,-6989,-17451,-60129,-17968
2021:Q3,1929,2181,215559,0,167469,23213,2528,0,2297,814,0,-583,29467,27102,0,2365,0,-7118,179503,167187,158093,151162,6931,8829,-18979,26401,-6251,94,-1000,12316,3325,8991,-36307,-10150
2021:Q4,1986,2230,-96910,64,-136367,-23516,-1368,0,1608,-5225,0,2249,73349,66047,0,7302,0,-9072,-96503,-81413,-17404,-13392,-4012,-22882,-4642,-40937,1332,-413,3533,-15090,2166,-17256,163,-27523
2022:Q1,2132,2452,260093,-64,203815,6285,14763,0,7761,-1730,0,8732,27426,23601,0,3825,0,7868,257596,233961,112206,105122,7084,25500,45275,17020,23566,-302,10696,23635,-30,23665,-2817,70774
2022:Q2,2195,2522,39508,-1,-55209,7278,30550,0,10399,4423,0,15728,42707,37891,0,4816,0,14183,38727,63559,24612,18838,5774,19397,27016,-53293,18862,-410,27375,-24832,1811,-26643,-1108,46413
2022:Q3,2259,2596,133243,0,53290,12441,24468,0,1500,1304,0,21664,27507,24103,0,3404,0,15537,101863,87785,78023,76852,1171,-16308,11479,-15413,1471,437,28096,14078,3043,11035,-31717,-4829
2022:Q4,2292,2624,-21456,0,-73153,-36606,-11378,0,-3299,-4153,0,-3926,76143,72493,0,3650,0,23538,49598,51194,47850,60694,-12844,-40883,20374,-11610,14373,105,20985,-1596,5583,-7179,70722,-20509
2023:Q1,2352,2695,175251,-1,164543,71322,-25016,0,335,-6575,0,-18776,-1514,-1495,0,-19,0,-34083,126698,115751,148080,145853,2227,10433,-40816,45920,822,10,-48698,10947,3233,7714,-48896,-30383
2023:Q2,2376,2728,-38927,1,-45767,13137,13228,0,8213,3444,0,1571,-21123,-23160,0,2037,0,1597,574,-2151,-95804,-93142,-2662,7773,9849,48793,10988,752,15498,2725,5674,-2949,39148,17622
2023:Q3,2404,2746,-4839,0,-14697,-15940,-4605,0,-5006,-2000,0,2401,17035,19522,0,-2487,0,13368,-35384,-59206,-69892,-69557,-335,14987,-14031,-5664,3043,370,11981,23822,518,23304,-30887,956
2023:Q4,2435,2789,-36031,-1,-46604,1411,-20289,0,-1261,-1068,0,-17960,38953,39286,0,-333,0,-9501,39042,58319,58668,53415,5253,-23087,6685,-1710,28662,313,-11212,-19277,2583,-21860,74720,-16402
2024:Q1,2464,2821,125375,5,75046,30336,15050,0,8366,55,0,6629,4007,-1296,0,5303,0,931,109513,99687,2466,6021,-3555,46204,15912,23791,4927,714,5673,9826,-1029,10855,-16219,62116
