1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q1,191,290,-3807,0,336,-2388,4621,47,2501,680,0,1393,-6872,-8147,-4297,5572,0,496,-11262,-8985,-2748,-954,-1794,604,-16853,12120,-2213,119,-14,-2277,555,-2832,-7554,ND
1990:Q2,196,285,9078,0,-338,1259,2618,1021,307,292,0,998,6647,4376,-513,2784,1,-1109,8072,9837,-8395,-14516,6121,-398,-1863,20426,-218,174,111,-1765,635,-2400,-1096,ND
1990:Q3,200,289,6870,0,285,1972,2534,-134,1228,347,0,1093,-1447,-1838,-2390,2781,-1,3527,5986,-35,5102,19348,-14246,617,-380,-7944,-826,-31,3427,6021,188,5833,-973,ND
1990:Q4,205,286,17534,0,-108,-3605,5595,1088,956,612,0,2939,15952,10285,1459,4208,0,-300,12533,15286,3199,-3893,7092,-468,20259,-8957,2372,-404,-715,-2753,-310,-2443,-5083,ND
1991:Q1,226,286,6541,0,-685,-2958,3117,-816,3346,789,0,-202,2204,3929,-5320,3595,-4,4867,-4444,-4048,-14602,-2814,-11788,-459,13596,16,-6395,-142,3938,-396,590,-986,-11045,ND
1991:Q2,229,283,7583,0,-101,7179,-2431,-166,-2247,718,0,-736,6356,2918,869,2569,0,-3420,-12548,-8100,-19046,-13156,-5890,-238,-4112,17658,-96,188,-2454,-4448,-350,-4098,-20185,ND
1991:Q3,232,281,22079,0,408,3344,3453,-530,1889,340,0,1754,10499,9862,-211,848,8,4367,32747,30518,15851,13005,2846,514,18875,-5038,-1829,-145,2290,2229,393,1836,10619,ND
1991:Q4,234,278,25655,0,111,1047,11978,464,6431,2151,0,2932,13322,12515,-946,1753,15,-818,19030,15288,1272,2023,-751,385,12574,458,-1275,1096,778,3742,979,2763,-6669,ND
1992:Q1,283,386,-11176,0,-152,-2044,-2102,1154,-2181,569,0,-1644,-7438,-4110,-3237,-91,-16,576,-2000,-3065,9891,14548,-4657,-909,-7106,-2168,-1769,2,-1006,1065,610,455,9074,ND
1992:Q2,285,400,16274,0,-301,3603,7007,224,4936,1812,0,35,5579,5154,242,183,0,386,22327,18135,-4445,686,-5131,72,3874,18658,-1092,165,903,4192,332,3860,5938,ND
1992:Q3,288,408,14775,0,737,9205,1793,-1297,1744,227,0,1119,-2773,-313,-1586,-874,1,5812,1401,989,12200,12070,130,290,4305,-18687,-1903,-77,4861,412,254,158,-13495,ND
1992:Q4,292,421,3761,0,-575,-180,3947,121,4249,325,0,-748,4158,5059,1011,-1912,-9,-3580,7458,5732,989,-304,1293,-79,14452,-5844,1013,-945,-3854,1726,2328,-602,3568,ND
1993:Q1,365,339,-8363,0,522,-1786,5039,-1213,2222,2952,0,1078,-13818,-10969,-1479,-1370,0,1680,-15516,-6381,13543,16919,-3376,20,-14210,-4931,-1851,133,915,-9135,-30,-9105,-7127,ND
1993:Q2,371,349,7571,0,-320,7216,157,-29,-140,952,0,-626,-1329,545,-638,-1236,154,1693,7722,10868,-6623,-6976,353,194,11635,6023,-1131,434,336,-3146,794,-3940,173,ND
1993:Q3,376,352,-3958,0,628,559,2025,-508,254,1033,0,1246,-7924,-5531,-1195,-1198,-139,893,-4670,-10535,4420,13441,-9021,658,-6691,-8353,-1683,166,948,5865,-146,6011,-688,ND
1993:Q4,382,368,9491,0,-501,7685,7946,868,4186,2460,0,432,-603,2836,-698,-2741,-15,-5021,10488,9779,5164,-5315,10479,-845,14566,-5813,-463,569,-3399,709,238,471,1011,ND
1994:Q1,417,389,-3390,0,-367,-10897,5170,-633,3107,3608,0,-912,-3072,-114,-1434,-1524,-1,5777,5226,5713,11101,15016,-3915,458,-8734,-184,-1655,3,4724,-487,424,-911,8644,ND
1994:Q2,423,395,16590,0,146,11013,1860,143,342,-295,0,1670,-3891,-2730,-139,-1022,0,7462,12194,9094,-7580,-10205,2625,-200,3153,7836,-209,26,6068,3100,170,2930,-4368,ND
1994:Q3,431,403,1426,0,-115,-1466,-1483,-85,-2221,-824,0,1647,3439,4129,400,-1090,0,1051,1422,5868,-5433,-3765,-1668,96,14631,-6522,489,163,2444,-4446,718,-5164,24,ND
1994:Q4,438,420,14636,0,307,10837,-4761,340,-4685,-940,0,524,9390,11508,-955,-1163,0,-1137,17952,13583,3827,4926,-1099,67,4302,4974,-1213,245,1381,4369,1693,2676,3334,ND
1995:Q1,451,416,11368,0,-533,-20044,28912,-980,20586,8210,0,1096,5294,7185,-456,-1435,2,-2263,-1187,-8864,-10741,-10666,-75,-633,4195,-2634,-398,67,1280,7677,1523,6154,-12519,ND
1995:Q2,458,420,26014,0,341,3799,12886,627,6717,4870,0,672,12417,13476,109,-1168,4,-3433,28816,26612,-4039,-4048,9,-202,10770,10352,-165,53,9843,2204,179,2025,2841,ND
1995:Q3,464,422,11448,0,-287,6193,131,-298,-1022,55,0,1396,3426,5728,-1473,-829,-6,1991,9578,8084,12393,8568,3825,205,3607,-3539,-1233,444,-3793,1494,2416,-922,-1828,ND
1995:Q4,469,429,6265,0,375,3175,4031,226,3339,1123,0,-657,4254,7071,-1111,-1706,5,-5575,6835,5739,13335,18348,-5013,521,-10245,4821,-1287,248,-1654,1096,1691,-595,610,ND
1996:Q1,460,529,-3284,0,-394,-6299,5998,230,5502,1823,0,-1557,2579,4767,-269,-1919,0,-5168,590,-1188,9670,1535,8135,-95,-792,-2558,-323,245,-7335,1778,-181,1959,3806,ND
1996:Q2,464,541,10989,0,132,1308,5282,-491,4260,1394,0,119,7769,9838,-1175,-894,0,-3502,7131,8720,-7319,-3917,-3402,163,5000,15391,-1253,-227,-3035,-1589,-1747,158,-3935,ND
1996:Q3,468,558,4887,0,63,-9711,4224,-85,-181,2882,0,1608,10596,10679,-1,-82,-2,-283,7850,644,-12572,-10669,-1903,-739,21456,-7183,118,16,-452,7206,626,6580,2873,ND
1996:Q4,473,572,41623,0,470,15434,17733,860,8857,6335,0,1681,8245,7418,832,-5,-2,-257,59249,52617,12041,9371,2670,10,20289,11254,745,-462,8740,6632,1595,5037,17526,ND
1997:Q1,486,655,23396,0,-466,-1035,18179,-56,13273,5050,0,-88,5157,6744,-129,-1458,0,1561,27968,12192,-12603,-19771,7168,3,13248,774,95,496,10179,15776,886,14890,4403,ND
1997:Q2,492,667,14221,0,366,12579,-6137,-57,-8223,2695,0,-552,9340,11251,577,-2488,0,-1927,10703,13102,-18926,-14383,-4543,856,17285,14330,609,651,-1703,-2399,2671,-5070,-3693,ND
1997:Q3,499,699,-9100,0,-429,-6610,7989,-58,4744,2853,0,450,-8681,-7139,-876,-666,-3,-1366,9612,-566,-5215,1914,-7129,-602,14422,-6572,-1098,144,-1645,10178,1571,8607,18512,ND
1997:Q4,506,700,34161,0,2320,13242,7771,-46,4565,1876,0,1376,7917,11535,-2104,-1514,0,2911,27577,31527,11009,12779,-1770,562,1695,13440,-2034,1132,5723,-3950,142,-4092,-6779,ND
1998:Q1,514,772,-6438,0,-2034,-7241,10822,-93,4606,5049,0,1260,-6000,-2192,-1668,-2140,0,-1985,-2240,-10848,-31222,-32703,1481,-514,10687,13804,-1704,96,-1995,8608,-121,8729,3940,ND
1998:Q2,524,795,22986,0,817,12937,4467,86,4126,3217,0,-2962,308,2621,-1382,-931,0,4457,18455,26683,16573,17522,-949,539,-8768,14165,-1515,191,5498,-8228,9,-8237,-4802,ND
1998:Q3,536,802,1745,0,-921,16542,-20738,-128,-17453,-4579,0,1422,2407,3064,-471,-186,0,4455,17838,3758,-6221,1373,-7594,-519,-6341,20979,-455,692,-4377,14080,3907,10173,15827,ND
1998:Q4,550,825,-21238,0,226,-15150,4399,36,-1557,1553,0,4367,-10025,-6435,-1146,-2444,0,-688,-31186,-31924,33024,34566,-1542,261,-26564,-36383,-1135,1037,-2164,738,-353,1091,-10223,ND
1999:Q1,560,803,-23689,0,-455,-439,-1978,-38,1189,2583,0,-5712,-18888,-16605,-249,-2034,0,-1929,-16438,-14639,-11261,-18591,7330,298,-6258,8890,-274,738,-6772,-1799,-1030,-769,7009,ND
1999:Q2,578,822,-30408,0,665,-2913,-8860,6,-2823,-5350,0,-693,-16787,-15147,-425,-1215,0,-2513,-6554,-18457,-15939,-14572,-1367,-1017,-57,-1628,-32,1311,-1095,11903,13220,-1317,23609,ND
1999:Q3,596,842,11711,0,-715,-4250,12261,166,9334,5049,0,-2288,2771,3219,-172,-276,0,1644,25022,11247,-1689,-1219,-470,283,6017,-8297,-279,674,14538,13775,-231,14006,13065,ND
1999:Q4,616,844,11270,0,943,-7594,8102,219,2008,2632,0,3243,4671,5370,232,-931,0,5148,16757,23284,-11240,-8365,-2875,990,50800,-19772,182,1869,455,-6527,2921,-9448,5259,ND
2000:Q1,640,813,6522,0,-979,19885,-4679,131,-4764,-660,0,614,-3569,-4295,14,712,0,-4136,-22628,-44966,-81020,-83488,2468,-888,20597,13205,-44,188,2996,22338,802,21536,-29323,ND
2000:Q2,656,843,1162,0,160,8289,-7272,18,-5384,-1250,0,-656,2468,1830,86,552,0,-2483,32906,32784,12989,12506,483,1071,840,20504,70,106,-2796,122,147,-25,31557,ND
2000:Q3,667,855,23715,0,-185,12796,7760,-90,6848,349,0,653,1077,1380,-103,-200,0,2267,21535,16762,-10747,-10478,-269,-1282,5819,13626,-89,1995,7440,4773,-606,5379,-2368,ND
2000:Q4,672,859,35814,0,45,6000,11613,-126,2826,1914,0,6999,17466,17363,-21,124,0,690,55849,31332,5336,-6485,11821,701,2341,22682,22,-2625,2875,24517,5769,18748,19848,ND
2001:Q1,675,887,17534,0,79,15177,3311,19,3886,2613,0,-3207,-526,-379,-130,-17,0,-507,23636,21205,-31209,-21899,-9310,-505,29015,13695,-143,930,9422,2431,-1216,3647,5889,ND
2001:Q2,688,870,-41471,0,-96,-30801,5007,0,4277,-18411,0,19141,-14158,-13532,-254,-372,0,-1423,-39624,-35009,-1711,-10342,8631,-163,3403,-28787,-466,650,-7935,-4615,3388,-8003,1665,ND
2001:Q3,690,859,6117,0,168,-9225,8417,0,6402,-634,0,2649,-1347,-2185,-312,1150,0,8104,-19000,-1959,27369,23679,3690,431,-22236,-12165,-323,385,4580,-17041,-61,-16980,-25286,ND
2001:Q4,696,826,4227,0,-1,12507,3310,0,-4764,-5589,0,13663,-3971,-4049,100,-22,0,-7618,15621,13989,-6518,-12660,6142,592,24590,12813,59,177,-17724,1632,2175,-543,11265,ND
