1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q1,3350177,157381,2545332,1821,130784,33736,3089,4736,13299,880,43425,0,-8045,423739,3350177,2544918,374568,4332,14649,26745,0,11109,1628,4864,0,964,148975,42931,174494
1986:Q2,3411274,162526,2565157,1807,157048,27190,3097,4849,13544,824,53750,44,-9613,431051,3411274,2565484,380501,4352,15043,27206,0,11423,1265,5665,0,947,174895,45963,178530
1986:Q3,3462103,168829,2599323,1849,160583,33362,3131,6021,13604,1268,49448,44,-11201,435842,3462103,2599522,385267,4157,15758,27115,0,11873,1337,4800,0,988,178937,46735,185614
1986:Q4,3641785,194800,2626591,1874,165174,36177,4511,7060,13672,2732,47170,36,-12448,554436,3641785,2626878,492916,3931,15923,30945,0,15483,1908,7300,0,1576,184019,46237,214669
1987:Q1,3690365,202796,2655972,1916,169269,36840,4376,7339,14085,2249,50005,35,-15043,560526,3690365,2657069,497880,3726,16112,31975,0,16265,1915,7051,0,1603,188930,47111,220728
1987:Q2,3716583,210992,2675005,1961,159012,39943,4774,7628,14383,3477,50050,35,-18724,568047,3716583,2675852,505393,3634,16394,31434,0,16638,1919,7388,0,1591,177728,51337,227275
1987:Q3,3760372,220494,2695351,2009,163881,42297,4824,7501,14508,2491,49308,36,-18682,576354,3760372,2696523,512687,3489,16801,32027,0,16849,1948,7480,0,1590,183380,51377,236221
1987:Q4,3840901,234602,2729672,2047,165478,44375,7555,5179,14966,2488,49443,36,-23924,608984,3840901,2733333,538287,3461,17134,36035,0,18998,2314,6296,0,3472,185232,55819,240520
1988:Q1,3907585,250376,2773767,2095,165293,50132,7832,5475,15481,3126,53657,36,-31681,611996,3907585,2777691,539169,3387,17413,37030,0,19867,2385,7232,0,3089,184641,64079,251602
1988:Q2,3972572,268114,2808808,2110,171938,54584,7959,5247,15819,3185,55101,37,-36954,616624,3972572,2812747,543416,3398,17711,36967,0,20288,2341,7546,0,2886,192311,69869,263092
1988:Q3,4032629,280328,2838802,2097,177798,57096,8060,5573,16360,2843,59156,62,-41260,625714,4032629,2842805,551164,3498,18036,37305,0,20857,2433,8080,0,2798,198400,74838,272415
1988:Q4,4179841,309155,2875911,2113,181709,59657,8883,5501,16930,2027,58956,62,-42407,701344,4179841,2877591,615888,3522,18448,41869,0,24805,2785,9509,0,3561,202202,75373,304288
1989:Q1,4246303,313167,2917096,2131,186991,63846,8789,5989,17118,4347,61371,62,-46103,711499,4246303,2918621,623885,3181,18709,42987,0,25189,2673,10536,0,3588,207931,81598,307405
1989:Q2,4305081,322350,2953647,2145,191405,62457,9030,5934,16755,7019,62181,61,-48111,720208,4305081,2954342,627786,2785,18966,43164,0,25561,2570,14940,0,3336,212436,81071,318124
1989:Q3,4339915,336600,2968766,2198,190213,60831,9679,6315,16709,4042,63447,61,-48526,729580,4339915,2969623,633194,2716,19280,43329,0,26042,2391,18207,0,3328,211833,79270,330702
1989:Q4,4550863,416172,2998918,2243,190083,66305,12823,7729,16335,8446,60284,39,-52442,823928,4550863,2996828,699900,2784,19621,48073,0,32196,3451,33185,0,3296,210830,77831,422868
1990:Q1,4595936,428428,3018723,2313,195068,64028,13080,8059,14963,7785,61520,60,-52501,834410,4595936,3016393,711938,2588,19945,47750,0,32800,3523,29746,0,3396,215565,76511,435781
1990:Q2,4647847,438759,3048349,2344,199023,62263,13255,7901,14447,8481,64236,61,-53079,841807,4647847,3045548,719735,2516,20252,47427,0,32645,3513,29091,0,3419,219308,77154,447239
1990:Q3,4708075,457011,3080868,2399,200105,68284,13541,7941,13966,6492,62321,64,-61166,856249,4708075,3077698,730991,2443,20713,46494,1,32953,3873,31645,0,3501,220791,80874,456098
1990:Q4,4556510,439126,3092908,2423,200723,62998,14387,8229,13679,3822,58767,62,-65675,725061,4556510,3094227,620602,2417,20925,41838,2,28250,3084,21178,0,2867,218294,81430,421396
1991:Q1,4570992,449864,3080520,2501,203959,62680,16456,8574,13355,1660,61573,63,-68765,738552,4570992,3082407,627688,2344,21208,42315,3,28406,3222,26304,0,2918,221342,81948,430887
1991:Q2,4586982,444698,3082873,2545,206272,58232,16383,8537,13263,8828,63819,64,-65651,747119,4586982,3084979,639629,2402,21633,41694,4,28654,3235,22640,0,3036,223575,79739,435762
1991:Q3,4602842,445024,3073647,2565,209561,60461,17063,9670,13260,4351,67565,70,-59197,758802,4602842,3076147,650024,2460,21974,41869,6,28385,3080,23616,0,3213,226335,85103,440630
1991:Q4,4768770,530447,3049904,2652,212139,73103,25720,8987,12974,5862,72436,60,-51399,825885,4768770,3051486,707523,2599,22429,44339,8,29491,4578,26246,0,4298,228794,91720,555259
1992:Q1,4782982,543600,3035547,2745,217255,74168,25904,9286,12823,6446,78535,54,-62819,839438,4782982,3037102,715458,2529,22743,44666,10,29688,4709,30755,0,4448,234614,97380,558880
1992:Q2,4807688,548213,3029491,2832,227197,78360,25976,9654,12497,6772,81665,54,-65082,850059,4807688,3030836,726172,2438,23049,44939,12,29920,4898,29265,0,4695,244642,104337,562485
1992:Q3,4845158,549027,3039542,2977,234121,78772,26028,9546,12818,7400,88934,52,-61627,857568,4845158,3041370,736546,2530,23430,45834,15,26301,4867,29089,0,4751,251980,110777,567668
1992:Q4,4787637,559391,3029082,3054,240958,73917,27596,10411,12802,4520,93598,48,-53808,786068,4787637,3030265,661732,2528,23856,47327,20,27484,4629,28140,0,6208,259684,114767,580997
1993:Q1,4848938,566741,3065680,3187,249818,64782,27668,9469,13110,2863,105338,50,-58464,798696,4848938,3067861,675496,2632,24079,47941,25,28129,4700,25589,0,6402,269686,111869,584529
1993:Q2,4916436,567120,3100798,3288,258654,61636,27445,9921,13509,5152,114947,50,-61210,815126,4916436,3102719,683306,2689,24359,48406,50,28375,4433,33304,0,7001,279031,114063,588700
1993:Q3,5005088,560165,3147759,3331,265127,67501,27383,10126,14088,6048,123441,52,-52585,832652,5005088,3150407,700764,2754,24606,49875,54,29094,4412,31470,0,7042,286718,123313,594579
1993:Q4,5282597,571322,3187650,3401,275323,69813,28079,13824,14447,10696,135570,51,-54877,1027298,5282597,3189137,841370,2809,24999,61578,59,39933,6775,61672,0,5951,298465,125382,624467
1994:Q1,5374074,587483,3244957,3445,277090,69326,28586,14274,14718,10539,146351,52,-66248,1043501,5374074,3246396,856893,2886,25221,61917,66,38765,6791,63201,0,5924,300753,134457,630804
1994:Q2,5472965,589773,3313318,3523,282630,72426,28877,14302,15420,10944,146678,52,-64450,1059472,5472965,3314135,871906,2946,25583,63499,75,38858,7039,62480,0,6029,306966,137478,635971
1994:Q3,5560031,608064,3363023,3608,289573,67980,29278,14538,15858,11035,152667,58,-72412,1076761,5560031,3363972,888013,3006,25979,64678,89,39145,6924,62315,0,6078,314674,137262,647896
1994:Q4,5595070,603366,3411898,3683,291166,70559,28158,11045,16273,6080,142368,62,-70065,1080477,5595070,3412886,919042,2979,26429,64293,104,43149,6454,34552,0,3431,316908,140975,623868
1995:Q1,5694715,622434,3448439,3786,302755,78236,28486,11317,16643,5211,154304,65,-78259,1101298,5694715,3449728,937697,2952,26741,65023,102,43690,6474,35767,0,3281,331228,155525,636507
1995:Q2,5776594,635622,3489609,3815,311954,80440,29619,11458,17097,4842,158241,72,-83079,1116904,5776594,3490749,951848,2922,27018,66141,121,43672,6722,36032,0,3340,341368,160337,646324
1995:Q3,5892066,651330,3547879,3915,321948,81934,29949,11781,17756,5670,167986,78,-87346,1139186,5892066,3549924,971997,2897,27421,67545,136,44623,6613,36151,0,3474,352463,166737,662085
1995:Q4,6343054,810799,3593122,3966,325089,92501,47140,17673,18256,9545,173479,81,-82187,1333590,6343054,3596521,1148470,2917,27947,74631,161,55674,8348,33491,0,4173,354955,165486,870280
1996:Q1,6442941,826671,3622877,4037,329899,94279,47778,17740,18382,10110,188931,88,-80654,1362803,6442941,3626815,1174835,2889,28385,75897,153,56329,8612,34926,0,3196,362023,179302,889579
1996:Q2,6535874,848477,3663069,4138,341743,92690,48394,17809,18932,11018,199508,119,-89708,1379685,6535874,3666868,1188860,2903,28762,76867,161,56953,8801,36053,0,3395,372792,190610,902849
1996:Q3,6625863,858314,3695790,4535,346271,99896,48872,18216,19242,9550,208799,208,-84508,1400678,6625863,3700028,1206236,2892,29195,78530,172,57616,9025,36771,0,4018,378361,204238,918781
1996:Q4,7071889,985202,3780543,4602,350720,108248,55729,25520,19706,12896,237433,224,-79245,1570311,7071889,3782559,1348893,3013,29781,87431,177,52366,10365,43244,0,19349,384575,230726,1079410
1997:Q1,7257960,1004761,3874374,4762,361945,124024,55498,26070,20352,14498,254892,146,-85598,1602236,7257960,3877397,1376179,3016,30208,89244,184,54057,11076,43655,0,19731,396904,259785,1096524
1997:Q2,7384704,1017911,3945043,5050,373839,121625,56000,29150,20827,13730,262461,164,-89890,1628794,7384704,3949294,1397562,3011,30619,91229,195,55624,11199,45259,0,19973,412320,256434,1111985
1997:Q3,7543726,1020301,4028712,5227,384519,131803,58717,30071,21244,10527,277568,212,-77352,1652177,7543726,4033793,1418328,3025,31034,92023,400,57279,11286,45720,0,19553,424432,276387,1130466
1997:Q4,8190380,1276237,4157389,5433,385573,147338,81654,44527,21468,9785,305007,278,-81163,1836854,8190380,4161482,1577700,3005,31370,98063,220,72298,14788,59275,0,7036,427120,280081,1457942
1998:Q1,8339244,1296902,4203089,5471,399061,155946,82048,44691,22807,9039,329267,471,-85599,1876051,8339244,4208022,1618945,3031,31755,100662,222,71753,15362,55038,0,7561,441534,311679,1473680
1998:Q2,8490851,1306229,4295239,5791,411374,147718,82186,45244,23385,10766,336067,445,-82047,1908454,8490851,4299880,1644819,3309,32199,101557,253,73296,16095,58347,0,7755,456869,307756,1488716
1998:Q3,8622032,1309322,4352804,5910,423265,161798,82291,45383,24201,9739,341460,433,-69225,1934651,8622032,4357277,1668351,3297,32612,101600,294,74616,15477,60373,0,8142,467405,325177,1507411
1998:Q4,9424606,1683980,4377457,5952,433020,189311,101330,58400,25521,17170,378871,365,-59528,2212757,9424606,4381490,1897721,3045,32950,84517,309,85576,20527,105568,0,14017,501107,327322,1970457
1999:Q1,9486308,1680377,4336243,6122,441717,187512,101419,58595,26966,12886,419984,22,-42230,2256695,9486308,4340208,1935834,3027,33344,86505,400,87033,20704,107114,0,15822,511649,364713,1979955
1999:Q2,9748529,1757231,4422662,6282,437463,199415,105054,67502,27824,16707,429964,2865,-17698,2293258,9748529,4426929,1967133,3032,33800,87866,452,87483,21080,108745,0,17773,512361,369305,2112570
1999:Q3,10025351,1768154,4588639,6330,441252,213190,110060,67408,29561,18756,433643,3618,-1977,2346717,10025351,4593150,2014631,3026,34129,89984,486,89718,21665,109492,0,19477,517342,385297,2146954
1999:Q4,10852197,2089245,4642819,6432,447077,232573,115951,72359,31583,22377,483581,3495,-8493,2713198,10852197,4648560,2371618,3031,34401,101625,534,89795,17954,38451,0,93804,530835,395728,2525861
2000:Q1,10949959,2118640,4608616,6744,462759,254911,116936,74085,32610,19652,484603,3617,5483,2761303,10949959,4614849,2411972,3046,34731,104965,565,90877,18723,39072,0,96706,549224,414799,2570430
2000:Q2,11275584,2196536,4776155,6865,470202,255033,118429,76930,32747,20024,495886,3457,5708,2817612,11275584,4783034,2461361,3018,35128,106426,590,93309,19156,38692,0,99544,559673,421363,2654290
2000:Q3,11563653,2226767,4962521,6933,483822,259806,118939,86016,33111,19121,504286,3568,5937,2852826,11563653,4969142,2488243,3026,35444,111029,610,94263,19639,39150,0,101466,586297,422999,2692345
2000:Q4,11169573,2048977,5042006,6997,494551,246445,102175,71982,33812,15579,515666,3384,6557,2581442,11169573,5051158,2250535,3065,35839,109497,647,78602,17478,26512,0,100076,604731,442425,2449008
2001:Q1,11327256,2069397,5084297,7029,508500,240804,104890,90522,34589,20170,539203,3452,7481,2616922,11327256,5095434,2283374,3018,36352,110854,704,79228,18023,26789,0,100198,643483,451536,2478263
2001:Q2,11528865,2113956,5193550,7143,519373,236189,102818,92675,35479,21360,544848,3000,7621,2650853,11528865,5206115,2315809,3496,36822,112354,736,79108,17938,27146,0,100066,662345,438300,2528630
2001:Q3,11652257,2124557,5269731,7266,543576,219148,103606,93532,36221,14894,537050,2452,7721,2692503,11652257,5282677,2344470,3510,37157,113532,826,79004,18136,26852,0,112503,686833,411309,2535448
2001:Q4,10753185,1821515,5218585,7373,555581,201315,91474,69088,37088,17727,527901,1490,7677,2196371,10753185,5233252,1905224,3517,37460,102700,871,61571,10959,14784,0,103746,692204,420800,2166097
2002:Q1,10884978,1839806,5269216,7648,561957,195619,91645,69810,37806,17342,544816,1652,7789,2239872,10884978,5282926,1938772,3515,37887,104200,967,66045,11092,15420,0,107428,699052,432091,2185583
2002:Q2,11051262,1866231,5337638,8330,579276,218439,95158,72819,38092,17404,538870,1030,7704,2270271,11051262,5351133,1963660,3530,38231,105215,1072,67303,12936,15237,0,109509,717599,447602,2218235
2002:Q3,11224549,1891983,5438203,8264,597483,212602,96001,74890,38697,19508,530618,1195,7748,2307357,11224549,5451381,1996708,3554,38569,106379,1111,67180,13355,15365,0,112097,733009,436971,2248870
2002:Q4,10112484,1399049,5296870,8380,606482,204315,66536,71740,39080,15247,517676,821,7327,1878961,10112484,5311282,1597059,3570,38851,90573,1162,75383,12137,11790,0,95896,756681,459548,1658552
2003:Q1,10341781,1428011,5414204,8505,618090,208415,65422,72922,40293,30271,530955,644,7471,1916578,10341781,5427966,1627648,3612,39203,93855,1235,76765,12274,11518,0,99266,773685,467812,1706942
2003:Q2,10546330,1430079,5555276,8657,633818,207146,66554,73198,40859,30347,536478,693,7446,1955779,10546330,5569751,1661272,3632,39597,95381,1321,78788,12763,11861,0,100680,799108,462532,1709644
2003:Q3,10724393,1446790,5670967,8746,636756,204712,66914,73699,41695,31345,539214,1278,7450,1994827,10724393,5685441,1694901,3693,39881,96529,1392,80657,13184,12315,0,102716,807772,456221,1729691
2003:Q4,11842639,1779615,5752947,8847,644599,244432,87912,83452,42283,39525,561604,1282,7552,2588589,11842639,5767803,2177533,4165,40154,112963,1407,101567,18427,18720,0,164783,820875,477701,2136541
2004:Q1,12187545,1794274,5928200,8978,664109,268715,88376,84582,44099,42878,587689,3811,7710,2664124,12187545,5941568,2233406,4258,40460,117196,1540,107183,18305,19243,0,175610,862923,509835,2156018
2004:Q2,12659123,1820690,6274812,9226,691492,247942,87807,96368,45233,46066,591392,6322,7700,2734073,12659123,6288098,2291294,4264,40937,121211,1597,109994,19198,20100,0,179937,902387,479754,2200352
2004:Q3,13212901,1841994,6630876,10502,772177,273309,86705,101505,45260,48192,599589,6538,7699,2788555,13212901,6645034,2338903,4256,41756,123326,1618,112939,20036,20487,0,180996,997019,488672,2237859
2004:Q4,14011301,1964420,6767092,11914,803258,328457,80486,113141,44788,28558,640819,7989,7828,3212551,14011301,6781941,2683387,4209,42006,161506,1654,108605,21717,17658,0,228511,1042207,519183,2398717
2005:Q1,14296138,1990644,6925155,12560,816924,334794,83100,113579,45138,32119,652905,8208,8002,3273010,14296138,6940052,2736757,4254,42330,162919,1650,109776,21903,17744,0,233375,1060344,528482,2436552
2005:Q2,14719601,2006820,7221773,12937,838592,354062,81793,114767,45905,33790,674102,8514,8049,3318497,14719601,7236528,2771265,4052,42660,164313,1688,116945,22454,19928,0,234034,1088667,558847,2458220
2005:Q3,15084543,2030231,7566510,13307,843857,358815,79189,123377,46715,34650,668423,8426,8053,3302990,15084543,7581218,2750778,4124,42922,165708,1771,118836,23835,21812,0,233226,1098312,562836,2479165
2005:Q4,15517073,2045086,7754503,13536,860169,349844,74348,115383,46697,47965,701378,7305,8413,3492446,15517073,7769366,2905825,4125,43144,180133,1768,126073,24731,21498,0,245382,1131949,579383,2483696
2006:Q1,16008644,2127680,7819008,13759,869163,382850,86766,116048,47271,53281,690079,7331,8689,3786719,16008644,7833922,3144554,4131,44433,187464,1808,134482,25280,30721,0,274876,1123102,608800,2595071
2006:Q2,16292143,2100715,8045975,14970,915675,376825,88838,121553,47306,55025,704611,7834,8838,3803978,16292143,8061164,3156264,4151,44565,183938,1789,132227,24789,36484,0,282047,1175942,618018,2570765
2006:Q3,16882600,2216374,8261597,15069,945400,381190,99799,129062,47405,59803,719067,7868,8844,3991122,16882600,8276345,3315151,4247,44873,181334,1850,137879,26269,43924,0,298069,1219349,614333,2718977
2006:Q4,17574867,2344607,8378483,15325,986433,371112,128217,128185,46878,65604,753335,8282,9022,4339384,17574867,8390870,3600899,4297,45083,184953,1925,144320,28843,57430,0,333837,1276756,610123,2895531
2007:Q1,17913989,2426609,8396447,15846,994892,395751,109099,127958,46873,67380,759641,8272,0,4565221,17913989,8411708,3770549,4572,45363,206552,1738,150063,31087,101014,0,317002,1281072,647691,2945578
2007:Q2,18664793,2618184,8533508,16102,1006420,403989,111537,136503,46980,78802,773372,7699,0,4931697,18664793,8549081,4032871,4878,46516,230892,1881,161604,33850,162819,0,319468,1303093,658484,3159356
2007:Q3,19082364,2711633,8578810,17274,1055003,390001,110096,135123,53821,83366,801425,7661,0,5138151,19082364,8595272,4193944,4951,46594,257369,2341,165527,36441,209363,0,292716,1357669,665517,3254660
2007:Q4,18838452,2627511,8427415,18450,1099496,359426,96372,128401,55971,86265,794809,6704,0,5137632,18838452,8445119,4188931,5006,46664,269493,2500,165697,37114,243250,0,253398,1369010,714757,3097513
2008:Q1,17671333,2428530,7933997,19549,1112317,344099,78070,117485,53478,82230,783811,8407,0,4709360,17671333,7952896,3827997,5797,46752,259022,2345,143238,34248,234939,0,228049,1385571,706786,2843693
2008:Q2,17392318,2406296,7832556,19874,1100992,330190,72456,107170,55284,78447,782877,8835,0,4597341,17392318,7851630,3735019,5901,47804,261364,2638,132835,32446,237292,0,217200,1377489,702453,2788247
2008:Q3,16062048,2239695,7560599,20312,1117934,266251,59604,92737,54588,75554,773480,7544,0,3793750,16062048,7580828,3067457,6092,47909,234303,2840,104575,27382,202080,0,176012,1365773,664027,2582770
2008:Q4,14324771,1741398,7140840,21076,1096370,331804,39374,76380,51767,60088,783507,6050,0,2976117,14324771,7159815,2379070,6363,47970,210232,2758,76631,21630,164680,0,139626,1363555,751933,2000508
2009:Q1,13081788,1518373,6716080,22558,1169723,324519,29894,73951,53478,56045,387099,6516,0,2723552,13081788,6738329,2167754,5772,48083,211347,2423,70262,19751,141699,0,0,1657995,269334,1749039
2009:Q2,13360132,1740822,6175763,24246,1195038,292565,39468,90051,55284,66964,367805,7211,0,3304915,13360132,6194310,2630841,5874,49363,253738,2511,87078,25176,162910,0,0,1699407,224457,2024467
2009:Q3,14250320,2013019,6043253,24918,1259501,287378,52904,109238,54588,78889,347953,8350,0,3970329,14250320,6059967,3153068,6067,49420,306263,2509,108886,30770,184977,0,0,1787069,199919,2361405
2009:Q4,14371051,2120860,5846124,25640,1287611,308850,63479,110245,51767,88355,311269,8347,1788,4146716,14371051,5865354,3285979,6341,50431,320550,2372,120812,30944,182313,0,0,1788968,203086,2513901
2010:Q1,14722110,2223657,5935153,26255,1274142,303462,66487,118754,50999,93433,338787,1856,4220,4284905,14722110,5956286,3398627,6358,51736,327151,2365,124345,36049,187349,0,0,1797261,189183,2645400
2010:Q2,14250606,1951267,6270389,26620,1300098,252347,60479,115252,50531,82120,350119,4408,6152,3780824,14250606,6292785,2985956,6436,54017,298618,2365,106367,36000,168197,0,0,1819369,150402,2330094
2010:Q3,15338915,2199833,6429352,26686,1320112,291559,67884,129507,50627,100383,323156,4801,7112,4387903,15338915,6452704,3465391,6740,54805,337670,2410,123792,44960,196456,0,0,1840963,177066,2635958
2010:Q4,15972779,2423211,6515202,26524,1309125,297460,74172,153021,49021,120266,321727,3079,7678,4672293,15972779,6542683,3704505,6721,55282,358167,2172,104406,51461,216971,0,0,1831080,171578,2927753
2011:Q1,16544482,2545481,6577936,26293,1336904,339658,80329,160507,48611,118301,324414,2579,9630,4973839,16544482,6604293,3973084,6686,56339,372516,2185,104031,54920,229534,0,0,1857667,188946,3094281
2011:Q2,16653392,2546067,6630047,26486,1359435,334596,78237,172195,44188,111493,340832,2548,10012,4997256,16653392,6656739,4016734,6815,57847,364804,2011,99334,55961,228931,0,0,1881250,173421,3109545
2011:Q3,15486359,2196929,6723122,26005,1386299,292322,66464,163132,43472,87389,373653,2458,10392,4114722,15486359,6749434,3318713,6978,58254,298581,2033,81846,47928,188286,0,0,1907139,140135,2687032
2011:Q4,16132922,2419115,6870343,26899,1385177,313158,73331,177953,43079,90429,346141,3644,10434,4373219,16132922,6896989,3553509,7011,58384,306207,2850,82380,51461,202504,0,0,1865421,137844,2968362
2012:Q1,17247372,2719864,6876824,27217,1471052,349727,88930,267096,42432,98062,496444,5381,9706,4794637,17247372,6912105,3904967,7092,58150,327225,2817,85446,59068,222732,0,0,2195835,154269,3317666
2012:Q2,17065739,2649376,7035929,27342,1494521,325928,97036,270062,41630,93768,511538,4787,9520,4504302,17065739,7071450,3669708,7006,59810,307727,2937,81614,57585,204669,0,0,2231068,128517,3243648
2012:Q3,18011607,2804150,7278888,27369,1530281,334599,89921,211789,41256,98389,716033,4133,6112,4868687,18011607,7313103,3980620,7107,58356,321619,2906,87719,63586,217795,4,0,2409405,117941,3431446
2012:Q4,18249099,2795947,7396009,27360,1533784,348695,72743,129779,41249,95897,760331,4566,3518,5039221,18249099,7428806,4125439,7162,57085,325214,2906,95828,69252,220236,11,0,2375296,126021,3415843
2013:Q1,18992645,3077786,7506718,27564,1550262,388664,72027,138177,40360,100324,787136,4797,480,5298350,18992645,7538060,4355129,7118,55603,335798,2954,103709,70473,232102,17,0,2395168,142935,3753579
2013:Q2,19376900,3173798,7870430,27493,1530786,392235,66848,135604,40636,97093,813086,4230,0,5224661,19376900,7901965,4320976,7382,57219,321572,2976,105114,68731,225795,19,0,2373919,142092,3849140
2013:Q3,20469687,3355031,8233772,27441,1543712,380474,61861,137000,40485,91800,830088,4217,0,5763806,20469687,8261746,4783945,7637,57279,350681,3002,119536,75053,249070,25,0,2398768,118689,4044256
2013:Q4,21384826,3703444,8353624,27507,1567133,411035,63823,128582,41723,98218,873181,4973,0,6111583,21384826,8384938,5111672,7752,57356,362441,2353,122435,81039,255383,57,0,2432683,123501,4443216
2014:Q1,21410663,3629661,8330714,28051,1590945,407435,71353,126149,40550,109292,878829,7067,0,6190617,21410663,8364096,5162328,8027,57356,356468,2366,126207,83359,255638,80,0,2481072,123872,4389794
2014:Q2,22208142,3832069,8594024,28162,1624993,405375,79912,129581,42080,113570,852285,6813,0,6499278,22208142,8627670,5407449,8107,58726,364411,2585,138176,88184,260405,176,0,2510305,120821,4621127
2014:Q3,22244919,3872779,8861841,28190,1635119,396802,88929,127237,42422,114451,829693,6945,0,6240511,22244919,8896432,5179133,8285,59202,342519,2752,133583,86745,244531,247,0,2507927,127849,4655714
2014:Q4,22546587,4079838,9075803,28572,1650013,376055,97478,125442,42933,116214,828302,6937,0,6119000,22546587,9108186,5073034,8500,59414,324793,2919,128059,87185,233989,333,0,2521207,103216,4895752
2015:Q1,23060108,4263227,9259430,28822,1642859,357462,108443,129475,41848,111021,830309,6849,0,6280363,23060108,9291020,5227538,8592,61500,325057,2984,129585,87344,241997,412,0,2510464,96240,5077375
2015:Q2,23467071,4284281,9549255,29133,1680023,367028,120318,124493,42904,102708,858907,6929,0,6301092,23467071,9580197,5271678,8718,61501,323923,3194,125275,83732,244380,590,0,2556603,109129,5098151
2015:Q3,22810771,4021092,9708432,29281,1699716,345873,129018,111616,42297,82312,895292,7188,0,5738654,22810771,9744281,4819892,8867,61511,291829,3318,112408,71696,223785,1140,0,2590638,108361,4773045
2015:Q4,23073989,4277665,9753242,29451,1704466,357079,161009,112611,44202,92543,654974,12899,0,5873848,23073989,9788340,4970467,9017,61511,287819,3340,112492,68222,226326,1393,0,2329288,105385,5110389
2016:Q1,23213933,4340066,9690045,30078,1741847,382176,181681,127010,42738,83868,667348,12376,0,5914700,23213933,9725311,5010098,9103,63000,287057,3486,114464,60978,223980,1131,0,2379532,127108,5208685
2016:Q2,23629649,4534623,9946955,30113,1774628,377318,171061,132152,45360,82772,640230,10823,0,5883614,23629649,9979799,4973410,9487,63211,278023,3240,114252,62471,238486,1042,0,2382282,114900,5409046
2016:Q3,24461511,4851007,10113815,30176,1794169,380489,162451,137898,46010,81248,564042,58983,0,6241223,24461511,10162074,5273607,9773,63231,290241,3368,123740,67191,249508,964,0,2460795,105901,5651118
2016:Q4,24592160,5006014,10120512,30443,1782420,387157,151930,141399,46948,76694,545325,54251,0,6249067,24592160,10165312,5268983,9760,63258,292184,3448,128009,66907,247392,918,0,2422860,99775,5823354
2017:Q1,25432679,5358623,10141335,30595,1811910,410563,157023,147908,45996,82709,490987,56746,0,6698284,25432679,10187645,5654562,9954,64093,309061,3462,138227,73674,264243,699,0,2415003,110132,6201924
2017:Q2,26431447,5529674,10635970,30843,1841434,396365,158244,155002,48000,85373,483508,55382,0,7011652,26431447,10681603,5923117,10158,64127,325488,3580,150935,79494,269339,664,0,2433400,89132,6400410
2017:Q3,27274252,5793776,10731289,31188,1860038,392637,160790,162067,50339,90681,471011,59779,0,7470657,27274252,10778989,6321476,12227,64764,343382,3706,160330,84023,287883,592,0,2445623,81493,6689764
2017:Q4,28139026,6154227,10915274,31389,1862876,403534,167519,176352,51148,95718,473524,58896,0,7748569,28139026,10959571,6565521,12312,64764,353196,4093,160509,90276,297939,546,0,2434735,79706,7115858
2018:Q1,27853863,6089111,11016866,31667,1876534,444054,164975,169582,50702,96505,495230,63605,0,7355032,27853863,11055676,6214293,12073,64764,343007,3672,152846,89336,294427,540,0,2456692,124311,7042226
2018:Q2,28144620,6241213,11229210,32076,1893243,472961,171854,169397,52281,104029,483829,63115,0,7231412,28144620,11255948,6103822,12361,66042,343407,3878,155427,77534,294203,530,0,2457207,136341,7237920
2018:Q3,28837668,6718184,11376600,32276,1853755,485021,180849,174441,51104,114269,500601,65036,0,7285532,28837668,11366045,6144693,12487,66092,348605,3935,162927,77170,302918,536,0,2420158,125092,7807010
2018:Q4,26751223,5813208,11338604,32335,1926627,434516,152969,136261,52232,102084,493031,64194,0,6205162,26751223,11337209,5215883,12486,66092,302475,3978,138141,65685,267295,538,0,2472827,123078,6745536
2019:Q1,28605709,6587898,11573185,32522,1957418,483617,176756,161768,49578,109827,496816,65565,0,6910759,28605709,11562089,5777528,12454,66092,326856,3820,164569,77817,303795,542,0,2511463,138501,7660183
2019:Q2,29564588,6853515,11968393,32395,2002060,469451,183677,175702,50560,111937,522761,63391,0,7130746,29564588,11954173,5937216,12577,67441,333459,3867,178072,81792,316999,489,0,2581369,122362,7974772
2019:Q3,29698841,6914221,12088772,32488,1996779,459043,190598,187204,49208,111137,550016,63404,0,7055971,29698841,12068908,5825480,12755,67459,339635,3843,186315,83563,322622,490,0,2593700,118744,8075327
2019:Q4,30963009,7497758,12160730,31698,2013143,479649,201432,204025,48565,132175,560758,79653,0,7553423,30963009,12136126,6215922,12746,67459,357220,3941,208461,90602,339206,501,0,2620776,119535,8790514
2020:Q1,27693708,6000951,12288450,31966,2019400,406205,160774,162725,55046,102475,568183,80788,0,5816745,27693708,12289199,4749350,12620,68757,295206,4283,164869,73626,265349,259,0,2629712,122375,7018103
2020:Q2,30333081,7192800,12424493,33525,2051991,448240,183813,201681,46187,121331,580672,81076,112500,6854772,30333081,12412701,5618578,12798,182767,326010,3920,198828,85426,298905,110,0,2653295,111454,8428289
2020:Q3,31884445,7810253,12855853,33892,2080964,467239,203534,220342,43948,132722,596243,82996,112500,7243959,31884445,12836872,5929897,12978,182982,344990,3959,215044,87994,312563,23,0,2693284,101020,9162839
