1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q1,348445,2295,329171,257,0,160,279,242,723,19,144,0,0,15155,348445,329104,14068,143,874,654,0,88,132,83,0,93,0,0,3206
1953:Q2,347548,2314,327805,260,0,163,280,244,739,20,148,0,0,15575,347548,327737,14475,143,874,675,0,90,134,86,0,97,0,0,3237
1953:Q3,348948,2377,328754,262,0,167,281,245,748,21,151,0,0,15942,348948,328684,14828,146,874,685,0,92,136,90,0,101,0,0,3312
1953:Q4,350868,2434,330287,265,0,164,290,252,758,19,143,0,0,16256,350868,330215,15127,148,874,699,0,92,139,94,0,106,0,0,3374
1954:Q1,351485,2489,330507,270,0,167,291,253,786,20,147,0,0,16555,351485,330434,15411,149,866,741,0,94,141,98,0,111,0,0,3440
1954:Q2,351884,2559,330418,272,0,170,292,255,783,21,150,0,0,16964,351884,330343,15804,150,845,763,0,96,144,102,0,115,0,0,3522
1954:Q3,353561,2631,331786,276,0,172,293,256,792,21,153,0,0,17181,353561,331710,16004,152,845,777,0,98,147,106,0,120,0,0,3602
1954:Q4,356268,2619,333904,288,0,185,326,283,898,21,164,0,0,17580,356268,333825,16376,154,938,804,0,109,149,111,0,125,0,0,3677
1955:Q1,358674,2696,335883,294,0,187,327,284,933,22,167,0,0,17881,358674,335803,16659,156,938,846,0,111,152,115,0,131,0,0,3763
1955:Q2,359913,2780,336493,295,0,190,329,286,960,23,171,0,0,18386,359913,336411,17148,157,938,875,0,112,155,120,0,136,0,0,3861
1955:Q3,363540,2848,339658,298,0,194,330,287,972,24,175,0,0,18754,363540,339575,17497,161,938,889,0,114,158,125,0,142,0,0,3941
1955:Q4,368401,2870,343890,303,0,202,357,310,990,24,179,0,0,19276,368401,343803,17998,165,938,910,0,118,161,131,0,148,0,0,4029
1956:Q1,374929,2954,349694,310,0,206,359,311,1048,25,183,0,0,19839,374929,349606,18544,168,938,973,0,120,163,136,0,155,0,0,4126
1956:Q2,380463,3030,354444,316,0,208,360,312,1072,25,186,0,0,20510,380463,354354,19196,172,935,1004,0,123,166,141,0,161,0,0,4211
1956:Q3,385000,3098,358028,320,0,210,360,313,1085,26,188,0,0,21372,385000,357937,20004,175,970,1018,0,126,169,147,0,168,0,0,4286
1956:Q4,388887,3148,360920,326,0,207,365,317,1102,25,177,0,0,22300,388887,360826,20911,178,970,1041,0,128,172,154,0,174,0,0,4333
1957:Q1,393393,3182,364641,331,0,210,366,317,1230,25,181,0,0,22910,393393,364547,21504,182,1045,1093,0,130,175,160,0,182,0,0,4375
1957:Q2,397411,3228,367362,333,0,210,367,318,1252,25,184,0,0,24132,397411,367267,22707,189,1038,1117,0,133,178,166,0,189,0,0,4427
1957:Q3,401649,3236,371118,338,0,211,367,319,1264,25,187,0,0,24584,401649,371022,23137,191,1038,1133,0,136,181,173,0,197,0,0,4441
1957:Q4,404415,3355,373277,345,0,202,356,309,1283,24,188,0,0,25076,404415,373179,23606,193,1038,1156,0,138,185,182,0,206,0,0,4532
1958:Q1,410879,3423,379282,350,0,202,357,310,1338,24,188,0,0,25405,410879,379183,23919,195,1038,1213,0,141,187,188,0,212,0,0,4603
1958:Q2,414923,3498,382613,353,0,203,357,310,1348,24,188,0,0,26029,414923,382512,24520,195,1034,1233,0,143,191,194,0,220,0,0,4681
1958:Q3,418414,3569,385638,357,0,204,357,310,1361,24,188,0,0,26406,418414,385536,24874,205,1028,1248,0,146,194,201,0,228,0,0,4754
1958:Q4,420874,3574,387370,363,0,224,395,343,1379,26,187,0,0,27013,420874,387266,25458,209,1028,1270,0,148,198,209,0,235,0,0,4853
1959:Q1,422306,3675,388083,374,0,225,395,343,1446,26,186,0,0,27553,422306,387977,25975,213,1031,1342,0,151,202,215,0,244,0,0,4956
1959:Q2,422808,3797,387659,380,0,227,396,344,1471,27,187,0,0,28320,422808,387551,26718,215,1034,1369,0,154,205,223,0,253,0,0,5086
1959:Q3,423135,3889,387362,383,0,229,397,344,1488,28,189,0,0,28826,423135,387252,27202,227,1027,1383,0,157,209,231,0,261,0,0,5186
1959:Q4,425095,3906,388729,387,0,233,413,358,1514,28,190,0,0,29337,425095,388616,27691,232,1029,1405,0,160,212,239,0,270,0,0,5241
1960:Q1,428791,3980,391670,395,0,236,413,359,1613,29,193,0,0,29903,428791,391557,28236,237,1029,1504,0,162,216,247,0,280,0,0,5323
1960:Q2,430354,4025,392725,400,0,240,415,360,1634,30,199,0,0,30326,430354,392611,28559,236,1111,1525,0,164,220,256,0,289,0,0,5383
1960:Q3,433763,4087,395672,403,0,244,417,362,1663,32,206,0,0,30677,433763,395557,28887,248,1115,1539,0,167,224,264,0,299,0,0,5463
1960:Q4,437598,4102,398671,409,0,244,431,374,1690,29,198,0,0,31450,437598,398553,29557,252,1194,1564,0,171,228,274,0,309,0,0,5496
1961:Q1,440821,4162,400984,423,0,248,433,375,1788,30,203,0,0,32175,440821,400864,30253,257,1194,1672,0,174,232,284,0,320,0,0,5571
1961:Q2,445280,4244,404641,425,0,251,433,376,1807,31,205,0,0,32867,445280,404519,30915,257,1198,1692,0,177,235,293,0,332,0,0,5662
1961:Q3,451331,4286,409854,432,0,253,434,377,1820,32,206,0,0,33637,451331,409729,31653,272,1187,1711,0,180,239,304,0,343,0,0,5713
1961:Q4,458176,4194,415905,445,0,273,483,418,1835,33,228,0,0,34362,458176,415778,32176,276,1359,1735,0,183,244,314,0,355,0,0,5756
1962:Q1,463663,4231,420842,453,0,275,483,419,1849,33,232,0,0,34846,463663,420714,32629,281,1360,1752,0,186,248,325,0,367,0,0,5801
1962:Q2,467673,4299,424078,458,0,278,484,420,1860,34,235,0,0,35527,467673,423949,33278,282,1362,1765,0,189,253,336,0,380,0,0,5879
1962:Q3,473214,4344,428933,462,0,280,485,421,1868,35,237,0,0,36149,473214,428804,33863,297,1351,1776,0,193,258,348,0,393,0,0,5931
1962:Q4,478138,4502,432978,467,0,262,463,401,1884,31,207,0,0,36943,478138,432848,34500,301,1475,1794,0,196,261,360,0,407,0,0,5996
1963:Q1,481074,4550,434939,478,0,264,463,402,1895,32,210,0,0,37841,481074,434808,35357,306,1477,1814,0,200,266,373,0,421,0,0,6052
1963:Q2,482213,4657,435056,481,0,264,464,402,1910,32,209,0,0,38738,482213,434924,36216,305,1486,1828,0,203,271,385,0,435,0,0,6160
1963:Q3,482933,4755,435029,487,0,264,463,402,1932,32,207,0,0,39362,482933,434896,36796,324,1473,1855,0,207,276,399,0,451,0,0,6256
1963:Q4,487412,4644,438601,497,0,276,487,422,1902,33,219,0,0,40331,487412,438464,37662,328,1482,1888,0,210,281,413,0,466,0,0,6218
1964:Q1,489151,4714,439495,508,0,276,487,422,1912,33,217,0,0,41087,489151,439357,38374,333,1468,1923,0,214,285,428,0,482,0,0,6287
1964:Q2,495581,4798,444805,513,0,278,488,423,1927,33,219,0,0,42097,495581,444665,39290,334,1519,1945,0,218,290,442,0,499,0,0,6379
1964:Q3,500915,4840,449175,518,0,279,489,424,1915,34,221,0,0,43020,500915,449034,40166,355,1475,1966,0,222,296,457,0,516,0,0,6428
1964:Q4,511110,4788,458292,524,0,294,519,450,1930,35,237,0,0,44041,511110,458149,41077,362,1529,1992,0,226,301,474,0,534,0,0,6466
1965:Q1,517852,4925,463326,536,0,296,520,451,1960,36,238,0,0,45564,517852,463182,42550,371,1529,2030,0,230,307,490,0,553,0,0,6610
1965:Q2,524174,4927,468213,541,0,294,519,450,1991,35,231,0,0,46973,524174,468067,43912,391,1524,2054,0,234,311,507,0,572,0,0,6602
1965:Q3,529146,5058,472078,544,0,291,518,449,2012,34,223,0,0,47939,529146,471930,44825,407,1519,2073,0,237,317,525,0,592,0,0,6721
1965:Q4,548936,5104,485191,551,0,293,517,448,2029,34,223,0,0,54546,548936,485039,51381,413,1519,2093,0,242,323,543,0,612,0,0,6771
1966:Q1,552830,5216,487894,560,0,290,516,447,2127,33,217,0,0,55530,552830,487742,52315,426,1571,2135,0,246,329,562,0,633,0,0,6871
1966:Q2,568483,5294,501873,562,0,294,517,448,2223,34,223,0,0,57015,568483,501720,53751,440,1609,2179,0,251,334,581,0,655,0,0,6963
1966:Q3,575684,5264,507878,566,0,297,519,450,2270,35,229,0,0,58176,575684,507724,54846,457,1623,2210,0,255,340,602,0,679,0,0,6948
