1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q3,334925,316504,7356,7202,1372,1585,906,0,71357,1904,2292,2075,1951,323,1343,0,0,81245,355406,102369
1980:Q4,372980,353802,7774,7449,1419,1650,886,0,88418,2914,3664,2617,2217,344,703,0,0,100877,396064,127105
1981:Q1,375307,355334,8216,7703,1468,1719,867,0,90754,3170,3844,2679,2248,27,652,0,0,103374,399401,130251
1981:Q2,380702,359895,8682,7968,1518,1791,848,0,94013,3428,4288,2752,2353,48,694,0,0,107576,405735,135545
1981:Q3,381264,359587,9174,8240,1569,1865,829,0,97403,3710,4599,2878,2441,173,741,0,0,111945,408141,141050
1981:Q4,391944,369351,9695,8522,1623,1942,811,0,115036,3913,5201,2782,2841,29,851,0,0,130653,421753,164623
1982:Q1,212463,197927,6111,5355,966,1254,850,0,72489,1999,2962,1686,1690,-81,411,0,0,81156,243539,116759
1982:Q2,218347,202781,6469,5663,1000,1449,985,0,73334,2161,3215,1662,1856,89,518,0,0,82835,248434,120035
1982:Q3,222999,206557,6903,5989,1011,1718,821,0,75116,2414,3457,1634,1834,-95,672,0,0,85032,250887,122948
1982:Q4,227369,210743,7290,6089,1078,1524,645,0,86561,3029,4210,2135,2119,193,945,0,0,99192,259212,130428
1983:Q1,233652,215580,7866,6282,1085,2125,714,0,87383,3519,4407,2121,2149,106,1056,0,0,100741,262012,131637
1983:Q2,239183,220261,8182,6737,1149,2094,760,0,88571,3688,4405,2117,2137,247,1090,0,0,102255,266291,135215
1983:Q3,245414,225710,8506,7064,1194,2114,826,0,89413,3893,4662,2328,2124,421,1132,0,0,103973,272353,139319
1983:Q4,285799,262731,10443,8147,1425,2415,638,0,102936,3954,5339,2859,2460,17,1358,0,0,118923,311862,153318
1984:Q1,292708,268766,10857,8251,1418,2965,451,0,105426,4315,5509,2900,2338,980,1541,0,0,123009,316732,158119
1984:Q2,300418,275475,11798,8562,1445,2518,620,0,109517,4446,5669,2849,2277,1036,1621,0,0,127415,322263,167041
1984:Q3,306197,280585,11901,8836,1491,2870,514,0,111727,4507,6236,2720,2199,1711,1652,0,0,130752,326660,171534
1984:Q4,288987,263661,11774,8468,1648,2844,592,0,112020,4149,6017,2362,2849,1124,2043,0,0,130564,311775,172377
1985:Q1,293098,267804,12239,8012,1591,2858,594,0,115539,4413,6182,2308,2738,1047,1848,0,0,134075,314950,177246
1985:Q2,301107,274917,12694,8348,1702,2850,596,0,118160,4322,6266,2236,2798,1267,1819,0,0,136868,319650,181919
1985:Q3,303568,277439,12145,8645,1701,3008,630,0,120862,4349,6856,2449,3128,1023,1825,0,0,140492,322966,186837
1985:Q4,403897,370692,16064,10881,1708,3601,951,0,147722,5567,7944,3180,5080,964,2540,0,0,172997,423131,219996
1986:Q1,409090,374288,16237,11109,1628,4864,964,0,157381,5699,8144,3089,4736,880,2610,0,-8045,174494,432137,223347
1986:Q2,416008,380217,16491,11423,1265,5665,947,0,162526,5830,8329,3097,4849,824,2644,44,-9613,178530,438596,229184
1986:Q3,420084,384997,16089,11873,1337,4800,988,0,168829,5937,8885,3131,6021,1268,2700,44,-11201,185614,442873,238054
