1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,1106,0,0,0,1106,1106,0,0,0,0,0,0,0,44773,1106,0,0,0,0,0,0,0,1106,0,1106,43667,43667,0,0,0
1953:Q1,1340,0,0,0,1340,1340,0,0,0,0,0,0,0,44663,1340,0,0,0,0,0,0,0,1340,0,1340,43323,43323,0,0,0
1953:Q2,1273,0,0,0,1273,1273,0,0,0,0,0,0,0,44681,1273,0,0,0,0,0,0,0,1273,0,1273,43408,43408,0,0,0
1953:Q3,1447,0,0,0,1447,1447,0,0,0,0,0,0,0,44737,1447,0,0,0,0,0,0,0,1447,0,1447,43290,43290,0,0,0
1953:Q4,1374,0,0,0,1374,1374,0,0,0,0,0,0,0,44580,1374,0,0,0,0,0,0,0,1374,0,1374,43206,43206,0,0,0
1954:Q1,1498,0,0,0,1498,1498,0,0,0,0,0,0,0,45087,1498,0,0,0,0,0,0,0,1498,0,1498,43589,43589,0,0,0
1954:Q2,1368,0,0,0,1368,1368,0,0,0,0,0,0,0,44895,1368,0,0,0,0,0,0,0,1368,0,1368,43527,43527,0,0,0
1954:Q3,1372,0,0,0,1372,1372,0,0,0,0,0,0,0,44559,1372,0,0,0,0,0,0,0,1372,0,1372,43187,43187,0,0,0
1954:Q4,1149,0,0,0,1149,1149,0,0,0,0,0,0,0,44267,1149,0,0,0,0,0,0,0,1149,0,1149,43118,43118,0,0,0
1955:Q1,1456,0,0,0,1456,1456,0,0,0,0,0,0,0,44498,1456,0,0,0,0,0,0,0,1456,0,1456,43042,43042,0,0,0
1955:Q2,1548,0,0,0,1548,1548,0,0,0,0,0,0,0,44852,1548,0,0,0,0,0,0,0,1548,0,1548,43304,43304,0,0,0
1955:Q3,1607,0,0,0,1607,1607,0,0,0,0,0,0,0,44779,1607,0,0,0,0,0,0,0,1607,0,1607,43172,43172,0,0,0
1955:Q4,1445,0,0,0,1445,1445,0,0,0,0,0,0,0,44584,1445,0,0,0,0,0,0,0,1445,0,1445,43139,43139,0,0,0
1956:Q1,1967,0,0,0,1967,1967,0,0,0,0,0,0,0,45613,1967,0,0,0,0,0,0,0,1967,0,1967,43646,43646,0,0,0
1956:Q2,1780,0,0,0,1780,1780,0,0,0,0,0,0,0,45315,1780,0,0,0,0,0,0,0,1780,0,1780,43535,43535,0,0,0
1956:Q3,1721,0,0,0,1721,1721,0,0,0,0,0,0,0,45133,1721,0,0,0,0,0,0,0,1721,0,1721,43412,43412,0,0,0
1956:Q4,1528,0,0,0,1528,1528,0,0,0,0,0,0,0,44897,1528,0,0,0,0,0,0,0,1528,0,1528,43369,43369,0,0,0
1957:Q1,1956,0,0,0,1956,1956,0,0,0,0,0,0,0,45431,1956,0,0,0,0,0,0,0,1956,0,1956,43475,43475,0,0,0
1957:Q2,1743,0,0,0,1743,1743,0,0,0,0,0,0,0,45460,1743,0,0,0,0,0,0,0,1743,0,1743,43717,43717,0,0,0
1957:Q3,1832,0,0,0,1832,1832,0,0,0,0,0,0,0,45132,1832,0,0,0,0,0,0,0,1832,0,1832,43300,43300,0,0,0
1957:Q4,1838,0,0,0,1838,1838,0,0,0,0,0,0,0,44999,1838,0,0,0,0,0,0,0,1838,0,1838,43161,43161,0,0,0
1958:Q1,2132,0,0,0,2132,2132,0,0,0,0,0,0,0,45219,2132,0,0,0,0,0,0,0,2132,0,2132,43087,43087,0,0,0
1958:Q2,2217,0,0,0,2217,2217,0,0,0,0,0,0,0,43453,2217,0,0,0,0,0,0,0,2217,0,2217,41236,41236,0,0,0
1958:Q3,2235,0,0,0,2235,2235,0,0,0,0,0,0,0,43452,2235,0,0,0,0,0,0,0,2235,0,2235,41217,41217,0,0,0
1958:Q4,1933,0,0,0,1933,1933,0,0,0,0,0,0,0,43265,1933,0,0,0,0,0,0,0,1933,0,1933,41332,41332,0,0,0
1959:Q1,2015,0,0,0,2015,2015,0,0,0,0,0,0,0,43240,2015,0,0,0,0,0,0,0,2015,0,2015,41225,41225,0,0,0
1959:Q2,2033,0,0,0,2033,2033,0,0,0,0,0,0,0,43148,2033,0,0,0,0,0,0,0,2033,0,2033,41115,41115,0,0,0
1959:Q3,2250,0,0,0,2250,2250,0,0,0,0,0,0,0,42638,2250,0,0,0,0,0,0,0,2250,0,2250,40388,40388,0,0,0
1959:Q4,1759,0,0,0,1759,1759,0,0,0,0,0,0,0,42024,1759,0,0,0,0,0,0,0,1759,0,1759,40265,40265,0,0,0
1960:Q1,2920,0,0,0,2920,2920,0,0,0,0,0,0,0,43255,2920,0,0,0,0,0,0,0,2920,0,2920,40335,40335,0,0,0
1960:Q2,2968,0,0,0,2968,2968,0,0,0,0,0,0,0,43234,2968,0,0,0,0,0,0,0,2968,0,2968,40266,40266,0,0,0
1960:Q3,3051,0,0,0,3051,3051,0,0,0,0,0,0,0,43468,3051,0,0,0,0,0,0,0,3051,0,3051,40417,40417,0,0,0
1960:Q4,2727,0,0,0,2727,2727,0,0,0,0,0,0,0,41839,2727,0,0,0,0,0,0,0,2727,0,2727,39112,39112,0,0,0
1961:Q1,3288,0,0,0,3288,3288,0,0,0,0,0,0,0,42754,3288,0,0,0,0,0,0,0,3288,0,3288,39466,39466,0,0,0
1961:Q2,3162,0,0,0,3162,3162,0,0,0,0,0,0,0,42680,3162,0,0,0,0,0,0,0,3162,0,3162,39518,39518,0,0,0
1961:Q3,3167,0,0,0,3167,3167,0,0,0,0,0,0,0,42299,3167,0,0,0,0,0,0,0,3167,0,3167,39132,39132,0,0,0
1961:Q4,2362,0,0,0,2362,2362,0,0,0,0,0,0,0,61622,2362,0,0,0,0,0,0,0,2362,0,2362,59260,59260,0,0,0
1962:Q1,3406,0,0,0,3406,3406,0,0,0,0,0,0,0,62038,3406,0,0,0,0,0,0,0,3406,0,3406,58632,58632,0,0,0
1962:Q2,3359,0,0,0,3359,3359,0,0,0,0,0,0,0,48232,3359,0,0,0,0,0,0,0,3359,0,3359,44873,44873,0,0,0
1962:Q3,3614,0,0,0,3614,3614,0,0,0,0,0,0,0,46329,3614,0,0,0,0,0,0,0,3614,0,3614,42715,42715,0,0,0
1962:Q4,3282,0,0,0,3282,3282,0,0,0,0,0,0,0,53116,3282,0,0,0,0,0,0,0,3282,0,3282,49834,49834,0,0,0
1963:Q1,4165,0,0,0,4165,4165,0,0,0,0,0,0,0,57765,4165,0,0,0,0,0,0,0,4165,0,4165,53600,53600,0,0,0
1963:Q2,4650,0,0,0,4650,4650,0,0,0,0,0,0,0,61672,4650,0,0,0,0,0,0,0,4650,0,4650,57022,57022,0,0,0
1963:Q3,5040,0,0,0,5040,5040,0,0,0,0,0,0,0,64962,5040,0,0,0,0,0,0,0,5040,0,5040,59922,59922,0,0,0
1963:Q4,4502,0,0,0,4502,4502,0,0,0,0,0,0,0,62883,4502,0,0,0,0,0,0,0,4502,0,4502,58381,58381,0,0,0
1964:Q1,4939,0,0,0,4939,4939,0,0,0,0,0,0,0,67353,4939,0,0,0,0,0,0,0,4939,0,4939,62414,62414,0,0,0
1964:Q2,5737,0,0,0,5737,5737,0,0,0,0,0,0,0,69926,5737,0,0,0,0,0,0,0,5737,0,5737,64189,64189,0,0,0
1964:Q3,5304,0,0,0,5304,5304,0,0,0,0,0,0,0,71696,5304,0,0,0,0,0,0,0,5304,0,5304,66392,66392,0,0,0
1964:Q4,5454,0,0,0,5454,5454,0,0,0,0,0,0,0,69683,5454,0,0,0,0,0,0,0,5454,0,5454,64229,64229,0,0,0
1965:Q1,6617,0,0,0,6617,6617,0,0,0,0,0,0,0,65267,6617,0,0,0,0,0,0,0,6617,0,6617,58650,58650,0,0,0
1965:Q2,7114,0,0,0,7114,7114,0,0,0,0,0,0,0,61731,7114,0,0,0,0,0,0,0,7114,0,7114,54617,54617,0,0,0
1965:Q3,6859,0,0,0,6859,6859,0,0,0,0,0,0,0,65613,6859,0,0,0,0,0,0,0,6859,0,6859,58754,58754,0,0,0
1965:Q4,6540,0,0,0,6540,6540,0,0,0,0,0,0,0,69176,6540,0,0,0,0,0,0,0,6540,0,6540,62636,62636,0,0,0
1966:Q1,7245,0,0,0,7245,7245,0,0,0,0,0,0,0,69448,7245,0,0,0,0,0,0,0,7245,0,7245,62203,62203,0,0,0
1966:Q2,7311,0,0,0,7311,7311,0,0,0,0,0,0,0,66550,7311,0,0,0,0,0,0,0,7311,0,7311,59239,59239,0,0,0
1966:Q3,8256,0,0,0,8256,8256,0,0,0,0,0,0,0,60467,8256,0,0,0,0,0,0,0,8256,0,8256,52211,52211,0,0,0
1966:Q4,9061,0,0,0,9061,9061,0,0,0,0,0,0,0,72141,9061,0,0,0,0,0,0,0,9061,0,9061,63080,63080,0,0,0
1967:Q1,10587,0,0,0,10587,10587,0,0,0,0,0,0,0,81441,10587,0,0,0,0,0,0,0,10587,0,10587,70854,70854,0,0,0
1967:Q2,10607,0,0,0,10607,10607,0,0,0,0,0,0,0,80180,10607,0,0,0,0,0,0,0,10607,0,10607,69573,69573,0,0,0
1967:Q3,9806,0,0,0,9806,9806,0,0,0,0,0,0,0,88759,9806,0,0,0,0,0,0,0,9806,0,9806,78953,78953,0,0,0
1967:Q4,10957,0,0,0,10957,10957,0,0,0,0,0,0,0,86517,10957,0,0,0,0,0,0,0,10957,0,10957,75560,75560,0,0,0
1968:Q1,11952,0,0,0,11952,11952,0,0,0,0,0,0,0,86693,11952,0,0,0,0,0,0,0,11952,0,11952,74741,74741,0,0,0
1968:Q2,11922,0,0,0,11922,11922,0,0,0,0,0,0,0,107711,11922,0,0,0,0,0,0,0,11922,0,11922,95789,95789,0,0,0
1968:Q3,12379,0,0,0,12379,12379,0,0,0,0,0,0,0,131906,12379,0,0,0,0,0,0,0,12379,0,12379,119527,119527,0,0,0
1968:Q4,13190,0,0,0,13190,13190,0,0,0,0,0,0,0,106278,13190,0,0,0,0,0,0,0,13190,0,13190,93088,93088,0,0,0
1969:Q1,14269,0,0,0,14269,14269,0,0,0,0,0,0,0,97221,14269,0,0,0,0,0,0,0,14269,0,14269,82952,82952,0,0,0
1969:Q2,15811,0,0,0,15811,15811,0,0,0,0,0,0,0,85106,15811,0,0,0,0,0,0,0,15811,0,15811,69295,69295,0,0,0
1969:Q3,18346,0,0,0,18346,18346,0,0,0,0,0,0,0,89609,18346,0,0,0,0,0,0,0,18346,0,18346,71263,71263,0,0,0
1969:Q4,20119,0,0,0,20119,20119,0,0,0,0,0,0,0,89284,20119,0,0,0,0,0,0,0,20119,0,20119,69165,69165,0,0,0
1970:Q1,24448,0,0,0,24448,24448,0,0,0,0,0,0,0,91929,24448,0,0,0,0,0,0,0,24448,0,24448,67481,67481,0,0,0
1970:Q2,25738,0,0,0,25738,25738,0,0,0,0,0,0,0,73429,25738,0,0,0,0,0,0,0,25738,0,25738,47691,47691,0,0,0
1970:Q3,19444,0,0,0,19444,19444,0,0,0,0,0,0,0,77714,19444,0,0,0,0,0,0,0,19444,0,19444,58270,58270,0,0,0
1970:Q4,17968,0,0,0,17968,17968,0,0,0,0,0,0,0,80574,17968,0,0,0,0,0,0,0,17968,0,17968,62606,62606,0,0,0
1971:Q1,16102,0,0,0,16102,16102,0,0,0,0,0,0,0,88268,16102,0,0,0,0,0,0,0,16102,0,16102,72166,72166,0,0,0
1971:Q2,14861,0,0,0,14861,14861,0,0,0,0,0,0,0,86533,14861,0,0,0,0,0,0,0,14861,0,14861,71672,71672,0,0,0
1971:Q3,14755,0,0,0,14755,14755,0,0,0,0,0,0,0,87510,14755,0,0,0,0,0,0,0,14755,0,14755,72755,72755,0,0,0
1971:Q4,15070,0,0,0,15070,15070,0,0,0,0,0,0,0,88669,15070,0,0,0,0,0,0,0,15070,0,15070,73599,73599,0,0,0
1972:Q1,14346,0,0,0,14346,14346,0,0,0,0,0,0,0,91643,14346,0,0,0,0,0,0,0,14346,0,14346,77297,77297,0,0,0
1972:Q2,13295,0,0,0,13295,13295,0,0,0,0,0,0,0,88194,13295,0,0,0,0,0,0,0,13295,0,13295,74899,74899,0,0,0
1972:Q3,10805,0,0,0,10805,10805,0,0,0,0,0,0,0,86054,10805,0,0,0,0,0,0,0,10805,0,10805,75249,75249,0,0,0
1972:Q4,10506,0,0,0,10506,10506,0,0,0,0,0,0,0,77661,10506,0,0,0,0,0,0,0,10506,0,10506,67155,67155,0,0,0
1973:Q1,8710,0,0,0,8710,8710,0,0,0,0,0,0,0,61806,8710,0,0,0,0,0,0,0,8710,0,8710,53096,53096,0,0,0
1973:Q2,10720,0,0,0,10720,10720,0,0,0,0,0,0,0,54688,10720,0,0,0,0,0,0,0,10720,0,10720,43968,43968,0,0,0
1973:Q3,11639,0,0,0,11639,11639,0,0,0,0,0,0,0,64199,11639,0,0,0,0,0,0,0,11639,0,11639,52560,52560,0,0,0
1973:Q4,15782,0,0,0,15782,15782,0,0,0,0,0,0,0,57319,15782,0,0,0,0,0,0,0,15782,0,15782,41537,41537,0,0,0
1974:Q1,16425,0,0,0,16425,16425,0,0,0,0,0,0,0,57265,16425,0,0,0,0,0,0,0,16425,0,16425,40840,40840,0,0,0
