1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q2,926,62,0,0,288,0,-455,0,-10,753,494,34,460,0,40,2,0,0,0,0,0,40,1137,1136,0,0,0,688,284,0,-17,181,1,0,1,0
1952:Q3,1387,-12,0,0,837,0,92,0,40,705,499,36,463,0,22,2,0,0,0,0,0,39,1190,1190,0,0,1,731,288,0,11,159,0,0,0,0
1952:Q4,1269,81,0,0,657,0,-203,0,-10,870,455,16,439,0,40,2,0,0,0,0,0,34,1205,1205,0,0,1,773,283,0,-10,158,0,0,0,0
1953:Q1,1162,-156,0,0,717,0,-132,0,50,799,535,45,490,0,29,2,0,0,0,0,0,35,1199,1198,0,0,0,766,280,0,-10,162,1,0,1,0
1953:Q2,1144,-42,0,0,564,0,-30,0,15,579,560,48,512,0,29,2,0,0,0,0,0,31,1161,1159,0,0,0,742,279,0,-14,152,2,0,2,0
1953:Q3,1149,82,0,0,491,0,-103,0,40,554,527,44,483,0,14,2,0,0,0,0,0,33,1141,1140,0,0,1,713,280,0,35,111,1,0,1,0
1953:Q4,1552,185,0,0,656,0,-158,0,40,774,650,64,586,1,21,3,0,0,0,0,0,36,1145,1142,0,0,-1,687,286,0,71,99,3,0,3,0
1954:Q1,1191,-155,0,0,695,0,-109,0,165,639,553,58,495,0,53,2,0,0,0,0,0,43,1174,1173,0,0,1,705,288,0,-46,225,1,0,1,0
1954:Q2,1288,41,0,0,416,0,-321,0,194,543,675,60,615,0,106,3,0,0,0,0,0,47,1211,1209,0,0,0,738,288,0,-45,228,2,0,2,0
1954:Q3,1222,10,0,0,386,0,-261,0,134,513,703,52,651,0,71,3,0,0,0,0,0,49,1216,1215,0,0,1,769,294,0,28,123,1,0,1,0
1954:Q4,1549,129,0,0,395,0,-68,0,55,408,936,43,893,0,40,2,0,0,0,0,0,47,1163,1163,0,0,2,789,305,0,15,52,0,0,0,0
1955:Q1,1306,-179,0,0,567,0,66,0,138,363,853,61,792,0,19,3,0,0,0,0,0,43,1214,1213,0,0,1,781,322,0,6,103,1,0,1,0
1955:Q2,1189,28,0,0,306,0,-50,0,0,356,787,37,750,0,25,3,0,0,0,0,0,40,1260,1258,0,0,0,761,341,0,-33,189,2,0,2,0
1955:Q3,1422,71,0,0,489,0,78,0,32,379,801,42,759,0,15,3,0,0,0,0,0,43,1295,1294,0,0,1,757,341,0,42,153,1,0,1,0
1955:Q4,1446,105,0,0,85,0,-588,0,22,651,1191,23,1168,0,6,3,0,0,0,0,0,56,1288,1287,0,0,1,771,321,0,24,170,1,0,1,0
1956:Q1,1180,-215,0,0,317,0,-499,0,155,661,1007,56,951,1,0,2,0,0,0,0,0,68,1299,1298,0,0,1,792,299,0,-18,224,1,0,1,0
1956:Q2,1357,36,0,0,272,0,-123,0,-7,402,964,68,896,0,0,3,0,0,0,0,0,82,1268,1267,0,0,0,819,271,0,-50,227,1,0,1,0
1956:Q3,1462,-2,0,0,522,0,-120,0,65,577,856,36,820,0,0,3,0,0,0,0,0,83,1244,1243,0,0,0,805,280,0,90,68,1,0,1,0
1956:Q4,1472,197,0,0,255,0,-279,0,22,512,946,69,877,0,-2,3,0,0,0,0,0,73,1236,1234,0,0,-1,751,325,0,18,141,2,0,2,0
1957:Q1,1208,-207,0,0,568,0,-77,0,16,629,766,76,690,0,13,3,0,0,0,0,0,65,1223,1223,0,0,1,698,368,0,-1,157,0,0,0,0
1957:Q2,1215,68,0,0,498,0,-130,0,33,595,585,83,502,0,0,3,0,0,0,0,0,61,1193,1192,0,0,0,645,411,0,-76,212,1,0,1,0
1957:Q3,1364,8,0,0,671,0,-59,0,26,704,602,88,514,0,22,3,0,0,0,0,0,58,1209,1208,0,0,0,637,421,0,39,111,1,0,1,0
1957:Q4,1364,142,0,0,512,0,-260,0,28,744,644,103,541,0,8,4,0,0,0,0,0,54,1288,1283,0,0,-4,671,400,0,40,176,5,0,5,0
1958:Q1,1252,-122,0,0,743,0,58,0,84,601,558,101,457,1,19,2,0,0,0,0,0,51,1308,1307,0,0,0,714,375,0,123,95,1,0,1,0
1958:Q2,1195,40,0,0,667,0,-12,0,74,605,424,88,336,0,19,4,0,0,0,0,0,41,1352,1352,0,0,0,764,351,0,-87,324,0,0,0,0
1958:Q3,1405,7,0,0,853,0,220,0,79,554,476,67,409,0,20,3,0,0,0,0,0,46,1320,1320,0,0,0,778,363,0,35,144,0,0,0,0
1958:Q4,1584,149,0,0,664,17,-112,50,68,641,687,63,624,0,20,4,0,0,0,0,0,60,1182,1187,0,0,5,761,411,0,13,-3,-5,0,-5,0
1959:Q1,1229,-148,0,0,768,107,29,11,147,474,484,85,399,0,44,4,0,0,0,0,0,77,1258,1258,0,0,0,769,468,0,32,-11,0,0,0,0
1959:Q2,1440,-12,0,0,837,91,16,13,163,554,482,94,388,0,36,3,0,0,0,0,0,94,1319,1318,0,0,0,771,534,0,-41,54,1,0,1,0
1959:Q3,1261,-48,0,0,487,-15,-45,8,157,382,671,107,564,0,50,4,0,0,0,0,0,97,1443,1443,0,0,1,833,527,0,79,3,0,0,0,0
1959:Q4,1543,151,0,0,311,-82,-315,-10,52,666,928,144,784,1,62,3,0,0,0,0,0,87,1580,1579,0,0,0,939,446,0,16,178,1,0,1,0
1960:Q1,1281,-182,0,0,462,19,-40,1,84,398,876,168,708,0,42,4,0,0,0,0,0,79,1544,1543,0,0,0,918,371,0,-58,312,1,0,1,0
1960:Q2,1327,61,0,0,333,39,-254,27,73,448,793,180,613,0,64,4,0,0,0,0,0,72,1407,1406,0,0,1,859,302,0,-39,283,1,0,1,0
1960:Q3,1477,-5,0,0,571,73,3,5,153,337,704,146,558,0,131,4,0,0,0,0,0,72,1265,1263,0,0,0,750,284,0,46,183,2,0,2,0
1960:Q4,1659,147,0,0,503,45,-150,-4,78,534,814,119,695,0,115,4,0,0,0,0,0,76,1148,1149,0,0,3,625,318,0,35,168,-1,0,-1,0
1961:Q1,1471,-98,0,0,680,66,116,-10,105,403,692,142,550,0,111,4,0,0,0,0,0,82,1244,1243,0,0,1,667,341,0,6,228,1,0,1,0
1961:Q2,1477,38,0,0,527,-36,-135,-10,35,673,770,150,620,1,51,3,0,0,0,0,0,87,1408,1407,0,0,0,771,353,0,-67,350,1,0,1,0
1961:Q3,1515,39,0,0,728,8,20,22,80,598,551,111,440,0,107,4,0,0,0,0,0,86,1518,1517,0,0,0,899,356,0,22,240,1,0,1,0
1961:Q4,1723,83,0,0,442,-139,-294,7,80,788,921,99,822,0,196,5,0,0,0,0,0,76,1485,1495,0,0,11,1017,350,0,7,110,-10,0,-10,0
