1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q4,546880,5130,-104597,45145,35482,0,6659,237441,7116,163562,11183,867,54713,25890,ND,34395,109555,118923,0,0,0,29005,3852,0,3852,791878,468211,22626,141573,0,84633,21540,63093,ND,180373,74204,106169,26063,0,0,11131,1812,1812,0,0,0,323667,26154,285799,11714,0,0
1984:Q1,543696,5214,-120019,45042,35237,0,6184,242956,8284,165238,11128,900,57406,31823,ND,35110,105627,123009,0,0,0,29700,3813,0,3813,816970,483423,23864,146438,0,86938,24158,62780,ND,188468,80890,107578,24024,0,0,11627,2064,2064,0,0,0,333547,28801,292708,12038,0,0
1984:Q2,575880,5052,-114355,46736,39130,0,6027,251925,8544,171303,11310,933,59835,39326,ND,39626,100731,127415,0,0,0,30621,3646,0,3646,836556,498738,23447,147963,0,94088,30516,63572,ND,197325,82391,114934,21845,0,0,12009,2061,2061,0,0,0,337818,25051,300418,12349,0,0
1984:Q3,597990,4895,-117629,46640,39850,0,5760,261357,9720,176035,11776,967,62859,43130,ND,40782,107372,130752,0,0,0,29834,5247,0,5247,834162,489784,23209,142799,0,90689,26707,63982,ND,199745,87896,111849,20463,0,0,10688,2191,2191,0,0,0,344378,25456,306197,12725,0,0
1984:Q4,628214,4803,-127353,49641,40125,0,6758,293903,8327,200289,11969,1000,72318,48668,ND,41813,104852,130564,0,0,0,29808,4632,0,4632,814714,486593,23838,139968,0,86615,23721,62894,ND,200649,89932,110717,22788,0,0,10647,2088,2088,0,0,0,328121,25994,288987,13140,0,0
1985:Q1,648925,4857,-124064,48382,40689,0,6455,299838,8763,195702,12289,1050,82034,48317,ND,43171,112979,134075,0,0,0,29100,5126,0,5126,823720,486823,24400,141748,0,88126,24638,63488,ND,198775,88996,109779,21852,0,0,9764,2158,2158,0,0,0,336897,30324,293098,13475,0,0
1985:Q2,685725,4891,-119675,50957,40485,0,6661,318067,7655,209640,13063,1100,86609,49099,ND,45051,120428,136868,0,0,0,28222,4671,0,4671,826480,479160,24997,136231,0,91397,25838,65559,ND,196277,89458,106819,18543,0,0,9823,1892,1892,0,0,0,347320,32398,301107,13815,0,0
1985:Q3,709133,5191,-119394,53402,41802,0,7618,334129,8040,216962,14335,1150,93642,51608,ND,46345,115106,140492,0,0,0,28937,3897,0,3897,841192,485735,27204,141303,0,93573,27417,66156,ND,193381,87673,105708,19398,0,0,9002,1874,1874,0,0,0,355457,37738,303568,14151,0,0
1985:Q4,831312,5382,-89648,54449,43349,0,7517,363921,8166,226392,17478,1200,110685,56021,ND,46999,136791,172997,0,0,0,30028,3506,0,3506,964504,501783,32101,148461,0,94352,19248,75104,ND,195712,90650,105062,19234,0,0,9985,1938,1938,0,0,0,462721,44383,403897,14441,0,0
1986:Q1,889445,5577,-77996,53548,38895,0,8479,384990,9019,235450,18793,1250,120478,57016,ND,48853,162113,174494,0,0,0,29553,3923,0,3923,999873,517762,33829,152917,0,104342,24895,79447,ND,193898,89002,104896,23047,0,0,7813,1916,1916,0,0,0,482111,58372,409090,14649,0,0
