date,LM893064105.Q,LM103164105.Q,LM103164115.Q,LM103164125.Q,LM793164105.Q,LM763164105.Q,LM763164113.Q,LM763164123.Q,LM513164105.Q,LM513164113.Q,LM513164123.Q,LM543164175.Q,LM543164113.Q,LM543164123.Q,LM554090005.Q,LM564090005.Q,LM403164105.Q,LM643164105.Q,LM643164113.Q,LM643164123.Q,LM663164105.Q,LM663164113.Q,LM663164123.Q,LM733164105.Q,LM733164113.Q,LM733164123.Q,LM503164105.Q,LM503164115.Q,LM503164125.Q,LM263164100.Q,LM893064105.Q,LM153064105.Q,LM103064103.Q,LM313064105.Q,LM213064103.Q,FL713064103.Q,LM763064103.Q,FL753064103.Q,LM513064105.Q,LM543064105.Q,LM573064105.Q,LM343064105.Q,LM223064145.Q,LM653064100.Q,LM553064103.Q,LM563064100.Q,LM663064103.Q,FL503064105.Q,LM263064105.Q,LM883164115.Q,LM883164123.Q,LM883164133.Q,LM883164135.Q,PC073164013.Q
1945:Q4,152852,103694,103694,0,48216,1811,1811,0,0,0,0,0,0,0,971,0,0,0,0,0,121,121,0,2325,2325,0,42988,42988,0,942,152852,144855,0,0,0,0,166,1,1760,999,0,0,7,1033,777,0,554,0,2700,151910,0,0,0,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,146656,97302,97302,0,48353,2333,2333,0,0,0,0,0,0,0,1000,0,0,0,0,0,141,141,0,2616,2616,0,42263,42263,0,1001,146656,138515,0,0,0,0,180,1,1719,1249,0,0,8,1044,800,0,450,0,2690,145655,0,0,0,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,144829,95116,95116,0,48741,2890,2890,0,0,0,0,0,0,0,1300,0,0,0,0,0,104,104,0,2228,2228,0,42219,42219,0,972,144829,136405,0,0,0,0,146,1,1744,1390,0,0,10,1153,1040,0,460,0,2480,143857,0,0,0,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,144008,94141,94141,0,48923,2444,2444,0,0,0,0,0,0,0,1400,0,0,0,0,0,100,100,0,2009,2009,0,42970,42970,0,944,144008,135486,0,0,0,0,157,1,1809,1428,0,0,13,1226,1120,0,463,0,2305,143064,0,0,0,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,153784,103822,103822,0,49254,2599,2599,0,0,0,0,0,0,0,1700,0,0,0,0,0,104,104,0,1975,1975,0,42876,42876,0,708,153784,142455,0,0,0,0,157,1,2224,1718,0,0,20,2710,1360,0,649,0,2490,153076,0,0,0,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,177528,126681,126681,0,49672,2077,2077,0,0,0,0,0,0,0,2000,0,0,0,0,0,94,94,0,2053,2053,0,43448,43448,0,1175,177528,164696,0,0,0,0,181,1,2587,2103,0,0,29,2897,1600,0,509,0,2925,176353,0,0,0,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,199082,147629,147629,0,50063,2184,2184,0,0,0,0,0,0,0,2200,0,0,0,0,0,93,93,0,2053,2053,0,43533,43533,0,1390,199082,184698,0,0,0,0,227,1,2911,2221,275,0,41,2948,1760,0,550,0,3450,197692,0,0,0,ND
1952:Q1,202048,151463,151463,0,50222,2143,2143,0,0,0,0,0,0,0,2267,0,0,0,0,0,87,87,0,1968,1968,0,43757,43757,0,363,202048,186382,0,0,0,0,249,2,2941,2236,1445,0,44,3034,1814,0,447,0,3454,201685,0,0,0,ND
1952:Q2,208759,157607,157607,0,50363,2168,2168,0,0,0,0,0,0,0,2344,0,0,0,0,0,87,87,0,1890,1890,0,43874,43874,0,789,208759,192554,0,0,0,0,278,2,3040,2301,1562,0,47,3120,1875,0,441,0,3539,207970,0,0,0,ND
1952:Q3,208511,156907,156907,0,50476,2204,2204,0,0,0,0,0,0,0,2424,0,0,0,0,0,88,88,0,2028,2028,0,43732,43732,0,1128,208511,192052,0,0,0,0,302,2,2977,2245,1602,0,49,3261,1939,0,648,0,3434,207383,0,0,0,ND
1952:Q4,198678,146628,146628,0,50591,2155,2155,0,0,0,0,0,0,0,2500,0,0,0,0,0,81,81,0,2188,2188,0,43667,43667,0,1459,198678,181107,0,0,0,0,336,2,3245,2446,1843,0,56,3326,2000,0,612,0,3705,197219,0,0,0,ND
1953:Q1,195249,143052,143052,0,50705,2554,2554,0,0,0,0,0,0,0,2575,0,0,0,0,0,83,83,0,2170,2170,0,43323,43323,0,1492,195249,177850,0,0,0,0,357,2,3165,2396,1916,0,59,3255,2060,0,620,0,3569,193757,0,0,0,ND
