1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q3,253518,167527,147198,20330,21149,5512,25359,23872,25274,18665,4671,1938,8638,7386,1252,16636,7133,4752,1410,971,9503,6527,2009,967,-1402,1487,1548,-61,11103,25368,2949,1038,674,364,0,-589,253518,27206,10385,3815,1815,293564
1971:Q4,261855,170544,149611,20933,21965,5625,26448,24816,25929,19219,4652,2058,8745,7516,1229,17184,7077,4269,1346,1462,10107,7434,2077,596,-1113,1632,1686,-54,11124,25928,686,1060,689,371,0,-151,261855,27784,10492,-759,1932,297839
1972:Q1,270219,177088,154618,22471,21976,5775,27879,26027,27481,20447,4818,2216,9285,7984,1301,18196,7333,4975,1388,970,10863,7488,2129,1246,-1454,1852,1895,-43,11345,25936,644,1135,729,406,0,-271,270219,28354,10632,1890,2044,306825
1972:Q2,275476,180618,157593,23025,22832,5038,28352,26359,27821,20630,4920,2272,9365,8010,1355,18456,7407,4947,1373,1087,11049,7673,2192,1185,-1462,1993,2023,-30,11660,26880,862,1174,759,415,0,-215,275476,28989,10748,4175,2029,318223
1972:Q3,279467,183936,160581,23355,23884,5969,29543,27488,28943,21688,4773,2482,9692,8376,1316,19251,7572,4928,1362,1282,11679,8384,2095,1200,-1455,2055,2070,-15,12227,27199,4243,1219,797,422,0,-265,279467,29691,10986,3200,2230,321726
1972:Q4,294340,189691,165993,23699,26404,5938,31437,29400,31639,24134,4941,2564,10768,9425,1343,20871,7755,4822,1378,1555,13116,9887,2220,1009,-2239,2037,2034,3,12777,27914,888,1252,827,425,0,-184,294340,30458,11150,-2104,2256,332340
1973:Q1,303190,196353,170838,25515,26036,5873,33374,31434,35391,27106,5164,3121,11504,10164,1340,23887,8029,4922,1503,1604,15858,12020,2321,1517,-3957,1940,1917,23,12896,28469,842,1394,907,487,0,-363,303190,31291,11332,3404,2668,343675
1973:Q2,309403,200804,175047,25757,27486,5836,32813,31004,36267,27435,5321,3511,11509,10146,1363,24758,8370,5145,1647,1578,16388,12144,2311,1933,-5263,1808,1772,37,13345,29080,1077,1472,966,506,0,-355,309403,32257,11592,3613,2907,355215
1973:Q3,314389,205102,179041,26061,28447,5585,33257,31616,36286,26924,5262,4101,10996,9727,1269,25290,8753,5356,1761,1636,16537,11841,2232,2465,-4670,1641,1597,44,14320,29684,2862,1412,1016,396,0,-556,314389,33355,11955,-12,3469,357250
1973:Q4,326185,210424,183836,26589,30552,5823,33946,32507,38186,28672,5350,4165,11623,10372,1251,26563,9096,5327,1787,1982,17467,12973,2312,2183,-5679,1439,1394,45,15126,29987,449,1462,1051,411,0,-685,326185,34587,12315,-860,3576,369236
1974:Q1,328375,214584,187045,27538,28934,5879,32574,31373,39315,29349,5163,4803,11151,10070,1081,28164,9421,5069,1792,2560,18743,14210,2290,2243,-7942,1201,1161,40,16234,30042,848,1575,1083,492,0,-598,328375,35951,12627,1631,4267,372087
1974:Q2,333561,219622,191324,28298,27159,5730,32231,31366,40552,30872,5139,4541,11666,10596,1070,28886,9700,5762,1906,2032,19186,14514,2163,2509,-9186,866,840,26,17453,31110,859,1643,1128,515,0,-529,333561,37432,13099,2746,4099,384372
1974:Q3,340373,225049,195783,29266,27750,5818,31071,30639,43143,33534,5354,4256,12878,11742,1136,30265,9845,5536,1925,2384,20420,16256,2293,1872,-12504,432,429,3,18352,31832,657,1743,1220,523,0,-584,340373,39030,13765,-1401,3819,388548
1974:Q4,344100,228460,198130,30330,28370,5753,29828,29928,38517,29520,5128,3869,11540,10441,1099,26977,9803,5165,1849,2789,17174,13914,2180,1080,-8589,-100,-71,-29,19620,31919,943,1828,1307,521,0,-735,344100,40746,14244,4485,3335,400236
1975:Q1,345319,229595,197980,31615,28184,5666,29438,30167,33255,24641,5149,3465,9578,8462,1116,23677,9603,6210,1844,1549,14074,9969,2189,1916,-3088,-729,-661,-69,20647,31965,1329,2089,1537,552,0,-934,345319,42578,14608,5007,2849,401746
1975:Q2,353532,232794,200092,32702,28580,5601,32235,33462,35207,26892,4977,3338,10355,9329,1026,24852,9512,6055,1789,1668,15340,11508,2162,1670,-1745,-1227,-1122,-104,20763,33448,1095,2274,1725,549,0,-1068,353532,44159,14786,3543,2914,414891
1975:Q3,368150,238998,205323,33674,30177,5562,37441,39032,41964,33448,4924,3592,13006,11930,1076,28958,9509,6023,1738,1748,19449,15495,2110,1844,-2932,-1591,-1457,-135,21084,34537,925,2319,1774,545,0,-1042,368150,45488,15045,482,3250,426848
1975:Q4,379046,245845,211443,34402,31299,5464,39746,41569,44348,34736,5376,4236,13325,12187,1138,31023,9718,6283,1844,1591,21305,16266,2394,2645,-2779,-1823,-1663,-161,21167,35342,1145,2354,1808,546,0,-1025,379046,46566,15281,4320,3992,441419
1976:Q1,391101,253679,217805,35874,31599,5409,43778,45701,48387,38456,5928,4003,15211,13849,1362,33176,10484,6035,1910,2539,22692,18572,2656,1464,-2686,-1923,-1742,-181,21025,35220,1350,2387,1762,625,0,-644,391101,47393,15589,6280,3937,452624
1976:Q2,398070,258876,222346,36531,32157,5114,43288,45258,48983,38619,6217,4146,14845,13422,1423,34138,10978,6969,2009,2000,23160,18228,2785,2146,-3725,-1970,-1767,-203,21654,36381,1107,2349,1745,604,0,-641,398070,48417,15757,5229,4161,465356
1976:Q3,405925,264594,227113,37481,33171,5006,43687,45651,49455,38810,6546,4099,14745,13235,1510,34710,11459,7243,2083,2133,23251,18332,2953,1966,-3804,-1964,-1740,-225,22107,37020,1327,2263,1664,599,0,-595,405925,49641,16033,1955,4280,470668
1976:Q4,414283,271199,232482,38717,34048,4781,43586,45492,49390,38181,6909,4300,14617,12989,1628,34773,11963,7528,2148,2287,22810,17664,3133,2013,-3898,-1906,-1660,-247,22612,37767,1341,2138,1523,615,0,-505,414283,51062,16336,7189,4469,484765
1977:Q1,425729,278320,237511,40809,34648,4112,46030,47826,53188,41016,7385,4787,15730,13963,1767,37458,12140,7305,2104,2731,25318,19748,3514,2056,-5362,-1796,-1526,-269,24284,38485,1530,2040,1367,673,0,-659,425729,52681,16703,8391,5191,494492
1977:Q2,442581,287573,245227,42346,35128,4079,51228,52962,56793,44057,7942,4795,17105,15178,1927,39688,12476,7464,2146,2866,27212,21415,3869,1929,-3831,-1734,-1457,-277,25249,39540,1399,1956,1251,705,0,-772,442581,54369,17046,3912,5187,515630
1977:Q3,456301,295527,251877,43651,35592,3901,54910,56633,58996,45668,8389,4940,17710,15658,2052,41286,12885,7808,2184,2893,28401,22202,4153,2047,-2363,-1723,-1452,-271,26337,40595,1720,2007,1215,792,0,-849,456301,56125,17314,4037,5221,530111
1977:Q4,468231,304406,259544,44862,39124,3774,53615,55375,59517,46040,8886,4591,17959,15779,2180,41558,13205,8334,2282,2589,28353,21927,4424,2002,-4142,-1760,-1510,-250,27320,41044,2451,2078,1257,821,0,-679,468231,57949,17642,3107,4692,541593
1978:Q1,477421,312728,265961,46767,39631,3973,52485,54332,59533,44617,9307,5609,16548,14181,2367,42985,13643,8483,2407,2753,29342,21953,4533,2856,-5201,-1847,-1633,-215,27705,41411,1993,2338,1411,927,0,-856,477421,59842,18058,2650,5523,548976
1978:Q2,501706,324782,276511,48271,41529,3906,59931,61888,67688,52698,10070,4920,20002,17431,2571,47686,14016,8272,2494,3250,33670,26995,5005,1670,-5800,-1957,-1761,-196,28434,43393,2031,2509,1544,965,0,-746,501706,61873,18626,5956,4687,585549
1978:Q3,513691,334215,284499,49716,42086,4281,61556,63644,69472,53272,10583,5617,20057,17382,2675,49415,14744,9367,2779,2598,34671,26523,5129,3019,-5828,-2088,-1894,-194,28861,42597,2018,2683,1687,996,0,-569,513691,64045,18951,4966,5223,597234
1978:Q4,529842,345040,293599,51441,42729,4386,64597,66838,73718,56193,10802,6723,21245,18562,2683,52473,15396,9804,3009,2583,37077,27827,5110,4140,-6880,-2241,-2032,-209,29848,43498,2894,2845,1821,1024,0,-207,529842,66355,19446,9754,6148,619839
1979:Q1,542988,355629,302141,53488,45014,4317,62507,64923,73690,56126,10622,6942,20481,17819,2662,53209,15904,9550,3078,3276,37305,28757,4882,3666,-8767,-2416,-2175,-240,31196,43915,2173,3071,1963,1108,0,-487,542988,68805,19890,8408,6420,629476
1979:Q2,552943,363688,308595,55092,44795,3906,63110,65831,75827,56828,10805,8195,20528,17888,2640,55299,16463,9544,3263,3656,38836,29396,4902,4539,-9996,-2722,-2422,-300,32621,44485,2167,3175,2048,1127,0,-669,552943,71336,20471,10579,7363,650374
1979:Q3,566148,374180,317347,56834,45183,3842,62572,65731,76761,56584,10432,9746,20259,17766,2493,56502,16963,8985,3366,4612,39539,29833,4573,5134,-11030,-3159,-2773,-386,34670,45370,2058,3240,2099,1141,0,-851,566148,73948,21129,11633,9024,664909
1979:Q4,578301,383735,325231,58504,44445,4028,61027,64755,75100,55230,10142,9728,19469,17146,2323,55631,17689,9560,3632,4497,37942,28524,4187,5231,-10345,-3728,-3227,-501,38293,46331,2133,3267,2115,1152,0,-691,578301,76642,21660,14379,9125,682569
1980:Q1,587751,393399,333444,59954,41891,3948,59350,63778,77142,57643,9437,10062,21347,19178,2169,55795,18571,9568,3791,5212,37224,28897,3478,4850,-13364,-4428,-3784,-643,42255,46929,2412,3290,2044,1246,0,-898,587751,79418,22270,18737,9497,694299
1980:Q2,589418,399793,338470,61323,40078,4274,51692,56335,64842,46978,8652,9213,16233,14478,1755,48609,19331,12901,3954,2476,29278,19599,2943,6737,-8507,-4643,-3918,-725,44177,49411,2249,3348,2082,1266,0,-1105,589418,82258,22984,13378,8953,701104
1980:Q3,606171,407150,344326,62825,43350,4967,53519,57893,68467,51658,8086,8723,18036,16386,1650,50431,18961,10761,3378,4822,31470,24511,3058,3901,-10574,-4374,-3629,-746,45862,51373,2165,3427,2178,1249,0,-1311,606171,85164,23676,4517,8604,712171
1980:Q4,635452,421907,357182,64725,46251,5790,58565,62185,71873,55759,8641,7473,19868,18161,1707,52005,19137,11421,3478,4238,32869,26177,3457,3235,-9688,-3621,-2915,-706,50532,52617,2974,3932,2326,1606,0,-1167,635452,88135,24524,7640,7132,749734
1981:Q1,657084,434903,366916,67987,47054,5991,60783,63166,72523,56882,8106,7535,19535,17977,1558,52988,19810,12377,3648,3785,33178,26528,2901,3750,-9357,-2383,-1778,-605,51314,57258,2893,4110,2589,1521,0,-1435,657084,91172,25214,17098,7851,777731
1981:Q2,669219,443688,374171,69517,44092,5834,59832,61216,67293,53080,7338,6876,17269,16147,1122,50024,20659,12947,3819,3893,29366,23986,2397,2983,-6077,-1385,-823,-562,56426,59160,2658,4140,2743,1397,0,-1293,669219,94111,25997,8798,7503,793315
1981:Q3,692531,453772,382642,71129,45572,5771,64023,64651,69192,55491,6830,6871,17912,17004,908,51280,21477,13504,4145,3828,29803,24983,1777,3043,-4541,-628,-50,-578,63665,59348,2591,4276,2871,1405,0,-1304,692531,96952,26677,3590,8174,813177
1981:Q4,696207,460163,387644,72519,42962,6185,61257,61367,66018,51192,6429,8398,15599,14866,733,50419,21939,13674,4326,3939,28480,22652,1370,4459,-4651,-110,541,-652,65390,59879,3331,4387,2972,1415,0,-685,696207,99696,27411,8222,9407,822819
1982:Q1,696313,466166,391885,74281,41299,5887,54960,54793,58018,44951,5164,7904,12653,12448,205,45365,21891,14599,4433,2859,23474,17904,526,5045,-3225,167,950,-784,68586,59055,3560,4660,3008,1652,0,-739,696313,102342,28140,1761,8998,815420
1982:Q2,708705,471091,395435,75656,42353,5270,58532,57818,59004,44712,5890,8402,13184,12805,379,45820,21805,11854,4270,5682,24015,20054,1242,2720,-1186,714,1558,-843,71083,59856,3351,4788,3074,1714,0,-917,708705,104503,28967,641,10232,835431
1982:Q3,712956,476189,399110,77080,42675,6095,57884,56351,57950,43736,6430,7785,13303,12572,731,44647,22053,13097,4531,4426,22594,18068,1168,3359,-1599,1533,2363,-831,69246,60366,3126,4880,3120,1760,0,-1252,712956,106179,29509,-1749,8757,839321
1982:Q4,716711,479537,401089,78448,44865,6581,56380,53759,55254,39141,7616,8498,12154,10938,1216,43100,22734,14508,4808,3418,20366,13694,1592,5080,-1495,2621,3367,-746,68195,61656,4980,4988,3184,1804,0,-510,716711,107369,29956,7996,8523,853617
1983:Q1,731402,486802,405612,81190,45816,6445,60598,56618,56056,39373,8456,8227,12560,11368,1192,43496,23350,15741,5096,2513,20146,12264,2168,5714,562,3981,4569,-589,69362,62224,4299,5075,3195,1880,0,-620,731402,108074,30003,9475,8513,865517
1983:Q2,751962,496574,413668,82906,45659,6186,68156,62892,64658,46966,9105,8586,16333,15000,1333,48325,23794,15209,5209,3376,24531,16758,2563,5210,-1766,5265,5759,-494,69878,65354,4589,5226,3293,1933,0,-482,751962,109005,30765,12577,9185,897665
1983:Q3,772603,507409,422851,84558,45951,5936,72361,65887,69675,52521,8405,8750,18496,17363,1133,51179,24425,15845,5361,3219,26754,19312,1912,5531,-3788,6473,6935,-461,73297,67053,4296,5471,3495,1976,0,-577,772603,110162,31380,15377,9467,921105
1983:Q4,795681,521704,435382,86322,48825,5870,76788,69182,71635,53773,8369,9493,19030,17990,1040,52605,24823,16455,5332,3037,27782,19328,1997,6456,-2453,7606,8098,-491,76259,68651,8120,5909,3813,2096,0,-204,795681,111545,31689,19423,9920,949750
1984:Q1,827963,535962,446002,89960,55480,5798,83935,75271,76919,59677,8587,8656,22109,20555,1554,54810,25095,16691,5755,2649,29715,22431,1277,6007,-1648,8664,9248,-584,77692,70126,7324,6671,4402,2269,0,-377,827963,113153,32409,16363,9260,975322
1984:Q2,853635,548790,457036,91754,57944,5429,84419,74436,76888,59267,8510,9111,21786,20270,1516,55102,25437,16797,5551,3089,29664,22200,1443,6022,-2452,9984,10601,-617,82070,71944,3835,7162,4812,2350,0,-287,853635,114887,32987,9023,9385,1005431
1984:Q3,869908,560403,466763,93640,58092,6112,83282,71718,71646,54099,8087,9460,18686,17636,1050,52960,25489,17002,5587,2900,27471,19462,1450,6560,72,11565,12157,-592,85590,73246,3964,7535,5142,2393,0,-388,869908,116746,34047,5453,9339,1018206
1984:Q4,882581,570717,475114,95603,56734,7314,85631,72224,72175,53929,8903,9342,18896,17479,1417,53279,26007,16714,5639,3654,27272,19736,1848,5688,49,13408,13916,-508,85695,74457,5942,7790,5371,2419,0,184,882581,118732,35435,10579,8306,1038655
1985:Q1,896332,580878,483037,97841,60167,6720,86739,71227,71089,51669,10534,8886,20128,17838,2290,50961,27209,17047,6599,3563,23752,16784,1645,5323,138,15513,15878,-365,85535,75110,7010,8051,5487,2564,0,143,896332,120844,35069,12811,6423,1053804
1985:Q2,909066,590911,490907,100005,59619,6332,87569,70937,70851,49834,11036,9981,19703,16982,2721,51148,27780,19006,7148,1626,23368,13846,1167,8355,86,16632,16912,-280,84694,76459,6458,9537,5537,4000,0,404,909066,122992,35648,10635,6917,1076593
1985:Q3,927463,601605,499354,102251,60184,6764,91819,75056,73264,52744,11578,8942,21185,18461,2724,52079,28149,17674,6935,3540,23929,16609,1918,5402,1792,16764,17017,-254,83984,78065,3537,8197,5583,2614,0,382,927463,125177,36114,9762,5624,1094394
1985:Q4,937272,613930,509253,104678,61081,6388,86951,71041,73036,50799,11949,10289,20594,17802,2792,52442,28608,18279,7221,3108,23834,14718,1936,7181,-1995,15910,16194,-284,85560,78499,4356,8276,5653,2623,0,943,937272,127399,36896,20867,6401,1114190
1986:Q1,949573,622777,515884,106893,61407,5503,84631,70561,65627,41602,13561,10465,21960,18300,3660,43667,30148,17687,8087,4375,13519,5615,1815,6090,4934,14070,14443,-373,89346,79147,4450,10513,5835,4678,0,699,949573,129657,37390,15180,5540,1123009
1986:Q2,947900,629297,520451,108846,62908,5270,81207,68389,64908,40979,14315,9613,22101,17966,4135,42807,30672,18989,8105,3578,12135,4024,2075,6035,3481,12818,13243,-425,89327,79828,9267,8629,5864,2765,0,702,947900,131855,38125,19437,3874,1140617
1986:Q3,962036,638808,527867,110941,66104,4148,78740,66586,65227,41615,13775,9837,22501,18614,3887,42726,30442,17728,7328,5387,12284,5274,2560,4450,1359,12154,12595,-441,88694,81736,4861,8312,5752,2560,0,356,962036,133992,38746,19041,4545,1149123
1986:Q4,971937,651181,538133,113048,66060,3348,78987,66910,69623,46168,13895,9559,25309,21358,3951,44314,29813,18451,6818,4543,14501,6359,3126,5016,-2713,12077,12498,-421,86724,82663,6317,8507,5497,3010,0,785,971937,136069,39462,26188,2999,1166883
1987:Q1,986246,661939,548163,113776,68860,3622,82427,69838,73307,49014,13970,10324,25386,21409,3977,47922,29154,18722,6694,3738,18768,8884,3299,6586,-3469,12589,12953,-364,85502,83875,9020,8504,5319,3185,0,538,986246,138085,40065,17732,3592,1175141
1987:Q2,1014178,673006,557473,115533,70577,3533,92042,79141,83934,55418,16399,12117,28781,24089,4692,55154,29074,18414,6287,4373,26080,12915,5421,7744,-4793,12901,13265,-364,86500,85829,6312,8588,5140,3448,0,415,1014178,140288,40654,9577,4533,1206204
1987:Q3,1039786,685066,567696,117370,72374,4369,97982,84968,88899,59381,17579,11939,29971,24871,5101,58928,30061,18695,6477,4889,28867,15816,6001,7050,-3931,13014,13436,-422,87889,88378,5269,8120,4932,3188,0,878,1039786,142678,41341,-144,4441,1218062
1987:Q4,1058503,702394,582935,119459,74658,5072,98362,85434,89480,58665,17186,13630,28565,23861,4704,60915,31580,20421,7454,3705,29336,14383,5028,9925,-4046,12928,13464,-536,89238,89464,9682,8082,4837,3245,0,916,1058503,145256,42016,16441,4921,1255811
1988:Q1,1082530,714390,591546,122844,79790,5263,99195,86628,91204,62667,15361,13176,28148,24495,3653,63056,33371,17977,6410,8984,29685,20195,5298,4192,-4576,12568,13264,-697,91666,91143,7851,7779,4900,2879,0,1155,1082530,147966,42985,558,6247,1263197
1988:Q2,1107402,730781,605383,125398,80625,5070,102509,90286,96656,65200,17023,14433,30001,25663,4338,66655,35242,19571,7414,8257,31413,19966,5272,6176,-6370,12224,13045,-821,91284,93394,5636,7919,5028,2891,0,1456,1107402,150655,43765,-1246,5704,1302528
1988:Q3,1131688,743960,615714,128247,83399,5301,104109,92213,98750,66308,18155,14288,32280,26151,6130,66470,37502,23487,8836,5180,28968,16671,3190,9108,-6537,11896,12806,-909,94803,94261,3698,8292,5191,3101,0,1262,1131688,153323,44520,-5918,5041,1318251
1988:Q4,1150153,758855,627140,131715,81710,6857,110429,98844,103535,70295,18151,15089,33838,27644,6194,69697,39396,21131,8792,9473,30301,21520,3166,5616,-4691,11586,12547,-961,98503,95666,12317,8766,5478,3288,0,1684,1150153,155971,45313,9429,5666,1352462
1989:Q1,1172236,769765,635202,134564,87025,5770,106803,95511,103946,67727,20217,16002,34293,28171,6122,69654,42245,26291,10484,5469,27409,13265,3611,10533,-8435,11292,12267,-976,103257,98185,9584,9308,5818,3490,0,1708,1172236,158597,46010,7194,5599,1373801
1989:Q2,1184925,778638,640867,137771,84880,5293,105091,94309,99032,62373,20663,15996,30741,25471,5270,68291,44324,26337,10653,7334,23968,10565,4741,8662,-4723,10781,11889,-1107,105526,99471,5180,9416,5783,3633,0,1791,1184925,161171,46750,14247,5417,1409333
1989:Q3,1200060,788761,648063,140699,84289,5002,105389,95334,95442,57411,21393,16638,29734,23610,6124,65708,45528,27257,10700,7571,20181,6544,4569,9067,-108,10055,11410,-1355,107153,100280,3175,9782,5798,3984,0,2577,1200060,163692,47530,13835,6074,1418988
1989:Q4,1203062,802437,658920,143517,84936,5458,101436,92323,95405,56471,20440,18495,29655,23956,5699,65750,47213,25476,10511,11226,18537,7038,4230,7269,-3082,9113,10831,-1718,106412,100930,9490,9760,5772,3988,0,1183,1203062,166160,48348,32552,7700,1439459
1990:Q1,1230187,818191,671108,147083,86401,5784,104450,96495,97388,57028,22006,18355,29188,23635,5554,68200,48296,29927,12281,6088,19904,3466,4172,12267,-893,7955,10153,-2198,107762,104920,7944,9844,5820,4024,0,779,1230187,168576,48930,29961,7380,1464926
1990:Q2,1253840,833678,684708,148970,87780,6664,109144,102178,101673,59668,23223,18782,30417,24827,5590,71256,48500,28987,12337,7177,22756,5854,5297,11605,505,6967,9523,-2556,107563,104836,6529,9743,5736,4007,0,963,1253840,170951,49606,21060,7906,1495260
1990:Q3,1262603,843130,692328,150803,89735,7900,102178,96030,103579,62446,23396,17737,31285,25505,5780,72294,48946,29391,12854,6701,23348,7549,4763,11036,-7549,6148,8940,-2792,107318,105996,4458,9718,5468,4250,0,1086,1262603,173287,50466,18178,6784,1497842
1990:Q4,1267319,845374,693055,152319,89238,7818,103558,98058,103013,59206,22594,21213,30926,24487,6440,72087,47822,29994,12820,5008,24265,4726,3334,16205,-4955,5500,8406,-2906,109380,109237,8062,9875,5169,4706,0,901,1267319,175583,51133,26156,12622,1505116
1991:Q1,1273975,846883,692932,153951,86865,8242,112794,107773,104914,56387,27486,21040,30039,23857,6182,74875,49434,30064,12986,6384,25440,2466,8318,14656,2859,5021,7919,-2898,102984,110626,6452,9938,4789,5150,0,2095,1273975,177839,51904,15171,9864,1503546
1991:Q2,1284194,856903,700036,156867,88254,8873,111953,107297,105147,57792,28681,18675,28999,21854,7145,76148,50466,31583,13151,5731,25683,4354,8385,12944,2150,4656,7628,-2972,99773,112836,6406,9664,4483,5181,0,2344,1284194,179751,52485,19968,7140,1538497
1991:Q3,1299527,867481,707021,160460,88405,9859,111585,107182,106838,59406,29930,17502,29229,21356,7873,77609,51106,31472,13021,6612,26503,6578,9036,10890,344,4404,7533,-3129,98820,115756,3647,9620,4257,5364,0,1647,1299527,181320,53125,17374,6278,1545871
1991:Q4,1306916,879247,714489,164759,90639,11603,112410,108145,108571,58828,30488,19255,29546,21531,8015,79025,51125,32373,13152,5600,27901,4924,9322,13655,-426,4265,7634,-3369,94331,117873,10983,9666,4108,5559,0,2130,1306916,182546,53422,40198,8305,1570214
1992:Q1,1341498,898918,728214,170704,94678,12501,119853,115613,115059,60168,35260,19631,32608,22172,10436,82451,50838,31939,11023,7877,31613,6058,13801,11754,554,4241,7931,-3690,92308,118640,7424,9656,4125,5593,-62,2368,1341498,183428,53615,18624,8183,1584678
1992:Q2,1363784,912975,737996,174980,98802,14317,120860,116583,119232,65605,34726,18901,33093,23747,9346,86139,51453,33028,11106,7319,34686,8830,14274,11582,-2649,4278,8159,-3882,90896,119834,5956,9591,4115,5508,-32,2466,1363784,184698,54097,17698,8014,1623903
1992:Q3,1376995,922129,744139,177990,101964,16079,117650,113274,114112,62723,33575,17814,31949,23613,8337,82163,51847,33444,10872,7531,30316,5666,14366,10283,-838,4376,8320,-3944,88932,122066,3635,9720,4068,5668,-16,2090,1376995,186356,54482,29952,7303,1637992
1992:Q4,1393371,934226,755193,179034,104712,17676,122927,118390,118278,68561,32972,16744,34264,24898,9366,84014,52369,35856,11207,5307,31645,7808,12400,11437,112,4537,8412,-3875,89795,122835,13073,10753,3979,6785,-11,3520,1393371,188403,55166,49239,7577,1673754
1993:Q1,1398550,936392,753984,182408,104732,20180,122329,117570,119092,68704,29686,20702,35432,24351,11081,83660,53237,36232,12733,4273,30423,8122,5873,16429,-1522,4760,8436,-3677,89606,122076,8867,10051,3780,6287,-16,2051,1398550,190838,55704,40042,9302,1673530
1993:Q2,1423335,950055,766613,183443,107389,21713,129410,124201,125782,76889,30653,18241,38531,27739,10791,87251,54297,36400,12696,5201,32954,12749,7165,13040,-1581,5209,8734,-3525,88019,124214,9390,9826,3590,6287,-51,2101,1423335,193298,56086,32283,7663,1707709
1993:Q3,1438762,958528,773405,185123,105862,23132,133109,127223,127122,76183,30921,20018,36596,25237,11359,90526,55950,37189,12912,5849,34577,13758,6650,14169,101,5886,9303,-3418,86073,126715,9422,9676,3418,6352,-94,5090,1438762,195783,56391,36550,9039,1718643
1993:Q4,1470145,972315,785339,186976,110001,25055,145870,139081,140100,87322,34807,17971,44489,30714,13775,95611,58209,39362,13589,5259,37402,17247,7444,12712,-1019,6789,10146,-3357,83761,130120,9003,9837,3266,6714,-143,2190,1470145,198293,57107,46550,5155,1758677
1994:Q1,1486497,978346,788178,190168,112557,27244,148153,140233,142297,90257,33272,18768,38980,29268,9713,103317,61496,37971,14665,8860,41822,23019,8895,9908,-2064,7920,11262,-3342,83415,132932,8392,10177,3202,7174,-199,2064,1486497,200828,57493,42540,6840,1774114
1994:Q2,1517299,997883,805830,192053,113531,28365,154123,145368,147912,96221,32366,19326,41031,31168,9863,106881,63867,39932,15490,8446,43014,25121,7013,10880,-2544,8755,11979,-3225,83505,135903,8094,9925,3197,6920,-192,2159,1517299,203761,57981,29860,5712,1816394
1994:Q3,1543411,1007938,814676,193262,114192,29072,162802,153508,157427,102041,35570,19816,45057,34492,10564,112370,65812,39070,15662,11080,46558,28479,9344,8736,-3919,9294,12299,-3005,84074,137638,7986,10316,3312,7112,-108,5366,1543411,207093,58474,28542,5324,1831467
1994:Q4,1568138,1022024,827905,194119,116364,28985,169015,159477,163386,109347,33982,20057,47604,37428,10176,115782,67383,41005,16598,9780,48400,30915,7209,10277,-3909,9538,12221,-2683,87664,138775,8051,10295,3543,6697,55,3067,1568138,210824,59153,38308,5090,1865262
1995:Q1,1581496,1033610,839526,194085,116839,29572,169426,159939,168073,110333,35550,22191,48687,35265,13422,119387,68079,41812,17442,8825,51308,33257,4685,13366,-8134,9487,11745,-2259,88356,138166,8491,10904,4003,6469,432,3114,1581496,214953,59835,34558,7457,1876765
1995:Q2,1598418,1043216,848797,194419,117993,30394,175630,166035,173087,111096,37808,24183,47758,34090,13668,125329,69579,42427,17744,9408,55750,34578,6396,14775,-7052,9595,11563,-1969,87218,138136,8654,11225,4460,6278,487,3260,1598418,218696,60242,19517,8160,1901040
1995:Q3,1627722,1054932,859726,195205,121115,31427,184238,174375,176833,115542,39538,21753,49507,35702,13805,127327,71603,46275,18680,6648,55724,33566,7054,15105,-2458,9862,11675,-1813,86376,140254,8787,11459,4911,6142,406,6709,1627722,222054,60636,11566,4713,1917547
1995:Q4,1645523,1066329,869973,196356,125239,33491,187385,177096,177736,115050,37867,24820,48498,35266,13232,129238,74286,47511,18884,7891,54953,32273,5752,16929,-640,10289,12081,-1792,85815,141347,8881,11377,5353,5969,55,3423,1645523,225025,60940,26523,7622,1944399
1996:Q1,1674411,1078635,881110,197525,130828,34880,196126,185250,184716,118884,40667,25165,50415,36465,13951,134301,76709,46738,20661,9311,57592,35682,6056,15854,534,10875,12780,-1905,85287,142452,8876,11704,5700,6180,-176,3377,1674411,227611,61282,12816,9317,1962108
1996:Q2,1706305,1096876,897488,199388,136875,35403,199535,188007,188420,122265,41682,24473,53348,38540,14808,135073,79792,47845,20989,10958,55281,35881,5885,13515,-413,11528,13302,-1774,86525,144393,8859,12050,5882,6451,-283,3508,1706305,230512,61378,8198,7252,2013661
1996:Q3,1730465,1112808,911809,200998,136869,35919,201170,188922,187749,122049,41037,24663,53429,38498,14932,134320,82504,50515,21820,10169,51816,33037,4286,14494,1173,12248,13646,-1398,87500,145737,8798,12232,5811,6711,-290,7030,1730465,233729,61742,10817,6453,2029400
