1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q3,1663,419,-1225,732,-1000,832,384,-140,-140,0,0,0,0,-9610,6453,0,6463,-8436,14899,-10,0,-10,0,0,0,0,0,0,1124,0,1124,-995,-1063,-889,-2498,2363,2359,108,2251,0,-25,0,34,-5,0,0,0,-39,68,0,68,1474
2000:Q4,1707,421,27415,68,-1000,832,529,-262,-262,0,0,0,0,26055,290,0,290,-5615,5905,0,0,0,0,0,0,0,0,0,904,0,904,24513,24449,1421,9897,13416,-3044,266,-3310,0,1198,0,77,15185,0,0,0,-285,64,0,64,-1617
2001:Q1,647,273,-10660,99,0,628,-721,-88,-88,0,0,0,0,-21380,12039,0,12159,5503,6656,-120,0,-120,0,0,0,0,0,0,-1237,0,-1237,-10388,-10420,-1217,-8391,-193,536,28,508,0,-1133,0,-146,550,0,0,0,-619,32,0,32,647
2001:Q2,624,268,13261,83,0,399,-554,128,128,0,0,0,0,1255,11248,0,11248,-3118,14366,0,0,0,0,0,0,0,0,0,702,0,702,12542,12428,819,1171,11201,1497,-34,1531,0,22,0,32,9650,0,0,0,-763,114,0,114,-364
2001:Q3,600,266,24926,92,0,287,-175,-62,-62,0,0,0,0,24630,-974,0,-974,-6022,5048,0,0,0,0,0,0,0,0,0,1128,0,1128,24591,24468,6290,-514,18871,2586,-22,2608,0,-75,0,507,15853,0,0,0,-179,123,0,123,-0
2001:Q4,565,255,19496,72,0,60,526,-54,-54,0,0,0,0,2370,17539,0,17539,6970,10569,0,0,0,0,0,0,0,0,0,-1017,0,-1017,19833,19726,-7459,10673,17549,-3148,3,-3151,0,630,0,-548,20615,0,0,0,-1037,107,0,107,648
2002:Q1,-135,147,3782,94,0,613,-453,-14,-14,0,0,0,0,-20750,23681,0,23681,10290,13391,0,0,0,0,0,0,0,0,0,612,0,612,3011,2736,4937,-12412,9592,-966,-13,-953,0,-619,0,193,10984,0,0,0,619,275,0,275,-1053
2002:Q2,-141,146,20190,46,0,365,238,164,164,0,0,0,0,2500,15327,0,15327,4269,11058,0,0,0,0,0,0,0,0,0,1551,0,1551,18770,18088,-91,1631,16649,2407,-17,2424,0,10,0,-164,14396,0,0,0,-101,682,0,682,-1707
2002:Q3,-130,145,3248,60,0,320,634,-7,-7,0,0,0,0,-10250,13508,0,13508,5577,7931,0,0,0,0,0,0,0,0,0,-1017,0,-1017,3718,3784,844,1301,690,-252,-15,-237,0,0,0,61,881,0,0,0,949,-66,0,-66,195
2002:Q4,-123,142,43471,106,0,282,22,-137,-137,0,0,0,0,17750,25215,0,25215,24472,743,0,0,0,0,0,0,0,0,0,233,0,233,44147,44031,-627,9968,15091,-3472,-13,-3459,0,968,145,-18,17468,21091,0,21091,-1492,116,0,116,411
2003:Q1,-441,149,3019,57,0,201,-1615,-10,-10,0,0,0,0,-7750,12058,0,12058,6024,6034,0,0,0,0,0,0,0,0,0,78,0,78,1916,1791,4246,-9286,9041,2332,6,2326,0,-971,0,121,7559,-1673,0,-1673,-537,125,0,125,-1693
2003:Q2,-411,153,12296,33,0,267,672,738,738,0,0,0,0,0,10654,0,10654,6259,4395,0,0,0,0,0,0,0,0,0,-68,0,-68,12795,12643,933,1008,7337,185,-8,193,0,-14,0,650,6516,2662,0,2662,703,152,0,152,-64
2003:Q3,-389,157,9875,105,0,208,29,-594,-594,0,0,0,0,5750,3998,0,3998,2568,1430,0,0,0,0,0,0,0,0,0,380,0,380,8709,8620,1421,821,3447,261,-24,285,0,20,0,-821,3987,2903,0,2903,28,89,0,89,-1711
2003:Q4,-375,159,18000,57,0,195,177,-112,-112,0,0,0,0,6250,10539,0,10549,3300,7249,-10,0,-10,0,0,0,0,0,0,895,0,895,19373,19272,-6083,7590,17398,-1521,-20,-1501,0,491,-126,80,18474,669,0,669,-302,101,0,101,840
2004:Q1,521,191,-8870,83,0,293,-270,2,2,0,0,0,0,-16250,7419,0,7419,1706,5713,0,0,0,0,0,0,0,0,0,-147,0,-147,-9683,-9814,1897,-6994,-1413,206,45,161,0,-483,0,-79,-1057,-3951,0,-3951,647,131,0,131,-484
2004:Q2,517,196,19875,76,0,278,752,259,259,0,0,0,0,6000,13307,0,13307,7756,5551,0,0,0,0,0,0,0,0,0,-797,0,-797,19879,19631,4673,2390,14943,85,-63,148,0,5,0,196,14657,-2473,0,-2473,98,248,0,248,325
2004:Q3,551,204,10584,61,0,240,1676,-87,-87,0,0,0,0,-4250,12950,0,12950,4509,8441,0,0,0,0,0,0,0,0,0,-6,0,-6,10186,8910,-4964,-1328,6312,-57,-12,-45,0,3,0,-151,6517,6465,0,6465,2425,1276,0,1276,-51
2004:Q4,606,209,22848,91,0,155,-914,-193,-193,0,0,0,0,3750,17478,0,17478,4166,13312,0,0,0,0,0,0,0,0,0,2482,0,2482,21374,19962,-621,-491,17899,-96,-21,-75,0,1039,7,-47,16996,5090,0,5090,-1915,1412,0,1412,-1077
2005:Q1,1105,131,-6569,68,0,111,-2338,9,9,0,0,0,0,-2000,-493,0,-493,35,-528,0,0,0,0,0,0,0,0,0,-1926,0,-1926,-6922,-7568,941,600,-2497,-679,14,-693,0,-1052,16,58,-840,-6677,0,-6677,65,646,0,646,621
2005:Q2,1218,134,10923,72,0,70,436,183,183,0,0,0,0,3500,7396,0,7396,2010,5386,0,0,0,0,0,0,0,0,0,-734,0,-734,10098,9721,-1876,3186,5973,-893,-47,-846,0,21,-9,-36,6890,2077,0,2077,361,377,0,377,259
2005:Q3,1294,137,3280,38,0,-186,666,675,675,0,0,0,0,-8750,11638,0,11638,4743,6895,0,0,0,0,0,0,0,0,0,-801,0,-801,2380,2010,-1181,-4153,5930,8,0,8,0,-4,6,-2,5922,737,0,737,677,370,0,370,258
2005:Q4,1486,140,29749,145,0,111,1196,-838,-838,0,0,0,0,21000,7855,0,7855,1512,6343,0,0,0,0,0,0,0,0,0,280,0,280,30572,30343,-2884,8920,20701,157,-35,192,0,1912,40,-20,18612,3585,0,3585,21,229,0,229,2169
2006:Q1,1059,191,-5877,61,0,1339,-1741,494,494,0,0,0,0,-20000,14327,0,14327,4100,10227,0,0,0,0,0,0,0,0,0,-357,0,-357,-7328,-7551,1979,-10063,3761,889,7,882,0,-1943,-6,3,4818,-3965,0,-3965,737,223,0,223,-583
2006:Q2,1160,195,13040,78,0,111,-181,-275,-275,0,0,0,0,4500,7822,0,7822,0,7822,0,0,0,0,0,0,0,0,0,985,0,985,12408,11197,-59,2604,5889,35,-35,70,0,11,1,58,5784,2624,0,2624,139,1211,0,1211,333
2006:Q3,1253,200,-7236,106,0,94,-62,31,31,0,0,0,0,-9750,2560,0,2560,1649,911,0,0,0,0,0,0,0,0,0,-215,0,-215,-7518,-7617,-3633,-2548,-4165,-98,-24,-74,0,7,-3,-44,-4027,1991,0,1991,738,99,0,99,771
2006:Q4,1219,204,29633,103,0,122,766,-255,-255,0,0,0,0,19250,9991,0,9991,0,9991,0,0,0,0,0,0,0,0,0,-344,0,-344,29717,29461,1369,11638,18142,-641,102,-743,0,718,108,1,17956,-1540,0,-1540,-148,256,0,256,1099
2007:Q1,-628,224,-5785,130,0,165,-537,-40,-40,0,0,0,0,-7500,1986,0,1986,0,1986,0,0,0,0,0,0,0,0,0,12,0,12,-7543,-8064,-559,-10533,-5034,-414,49,-463,0,-536,-18,-9,-4057,7668,0,7668,394,521,0,521,-2610
2007:Q2,38,231,2026,118,0,150,-431,177,177,0,0,0,0,-8000,9621,0,9621,0,9621,0,0,0,0,0,0,0,0,0,392,0,392,1688,1432,-1146,2273,5520,409,5,404,0,100,-31,107,4935,-4934,0,-4934,-281,256,0,256,-531
