1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q2,160994,101171,85268,128048,119233,13409,105824,9222,-407,-42780,37679,-188,8632,-12396,0,-1024,-4768,2708,-5600,-676,-1200,0,-1220,1104,-2324,280,7652,5996,168,100,26024,8423,80459,81285,13888,700,0,13188,43268,16080,14776,12412,184,21372,-6752,9325,-826,1684,656,-3166,15903
1969:Q3,158486,101395,82528,132970,123113,13652,109461,10194,-337,-50442,40562,-764,4684,-4272,0,3688,-7912,1668,-8452,-128,-1000,0,-24,920,-944,256,7292,5544,128,-76,27788,4230,91004,88335,13664,2568,0,11096,36552,8312,16724,11516,204,23628,-3012,17299,2669,3960,764,-2055,18867
1969:Q4,155703,98137,88615,128941,123443,13177,110266,5787,-289,-40326,46534,-1780,1868,508,0,1772,1068,2000,-360,428,-1000,0,624,1412,-788,108,7208,4248,140,-28,20616,10182,86860,79361,10256,88,0,10168,33444,11280,7300,14864,512,18540,-6264,22873,7499,6632,1224,-357,9522
1970:Q1,148140,96757,68669,125807,124111,13349,110762,1823,-127,-57138,27578,-4,460,3584,0,1804,-408,2256,-1364,-800,-500,0,139,444,-305,328,3956,7068,-844,-84,10781,798,84716,63902,16872,3940,0,12932,24960,-1052,13552,12460,496,12280,-3576,12870,20815,5268,1932,13615,28088
1970:Q2,147211,102610,95125,130040,124879,13118,111761,5081,80,-34915,45256,192,-2824,5452,0,-10012,6600,1620,3440,40,1500,0,255,1128,-873,396,3208,7724,76,556,7625,26008,80171,78467,22888,-332,0,23220,37684,8792,10520,18372,188,12728,-2600,7579,1705,4780,680,-3755,7485
1970:Q3,149672,102480,67455,131156,126214,13528,112686,5083,-141,-63701,3177,-316,188,1656,0,-4784,-1484,500,3804,-1288,-4500,0,5107,1160,3947,244,3716,6144,28,-364,3301,-10259,66878,67903,21904,464,0,21440,25948,12632,-8104,21420,300,5592,-2224,16383,-1025,4456,1156,-6637,35025
1970:Q4,145499,100290,95257,121132,124872,14916,109956,-3984,244,-25875,23221,-1372,6360,1688,0,684,1316,2668,-2532,180,1000,0,2007,1768,239,156,4064,6424,104,-196,6117,-4131,49096,45348,26064,3036,0,23028,17368,5740,-8056,19684,212,-1824,-2128,5656,3748,8332,732,-5316,5033
1971:Q1,156625,111166,69366,142215,127972,15913,112059,12254,1989,-72849,31517,1136,-5900,10388,0,4336,980,2612,-1992,-640,1000,0,10045,1868,8177,-220,240,-6932,72,-268,5799,11841,104366,89934,24404,2176,0,22228,24012,3080,5016,15916,168,21036,2120,18194,14432,7960,668,5804,41800
1971:Q2,161565,113745,94162,142536,132220,17669,114551,10875,-559,-48374,42247,80,5368,6720,0,-5248,5984,-316,5780,-480,1000,0,2157,2284,-127,352,236,6876,84,44,11907,7687,90621,76865,16784,-5724,80,22428,44052,8892,6080,29080,132,5300,6260,4337,13757,13284,488,-15,19583
1971:Q3,165666,117772,101707,144180,134617,18838,115779,10188,-625,-42473,60033,548,-4332,3364,0,4228,736,3280,-3436,-108,1000,0,3913,2440,1473,344,232,8300,24,100,16511,26065,102506,83702,14752,552,132,14068,41960,13720,2600,25640,-264,9712,4240,13302,18804,15356,-984,4432,16065
