1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q1,941345,402645,49564,84535,2124,344692,50850,8984,-2049,1107967,358357,379517,95925,244124,30044,-166622,115647,724,11952,-63651,-130332,147424,180,-277936,3056,-4162,26310,-316,0,0,0,-5908,-6316,408,0,0,1116,536,-14088,-432,280992,0,0,516,128692,129184,-492,71168,0,71168,71168,84,11272,69260,27992,0,41268,66681,40544
1988:Q2,950150,400585,49316,90048,2748,351688,45080,9228,1457,1108814,359379,380641,94690,244608,29496,-158664,117896,2520,13052,-56340,-103323,147561,2428,-253312,-10208,-584,-4940,288,0,0,0,-4236,-1484,-2752,0,0,1192,-2268,432,-92,243104,0,0,400,128164,120440,7724,55576,4,55572,55572,2080,4480,52404,30316,0,22088,46983,-380
1988:Q3,967626,402529,50240,97763,2392,357692,45668,9864,1478,1120902,359940,383949,99281,248860,28872,-153276,119942,44,12312,-45690,-47561,147459,-2380,-192640,30048,14450,19530,-900,0,0,0,7268,10932,-3664,0,0,1300,-3432,-7928,-240,222688,0,0,480,145016,124120,20896,44328,-8,44336,44336,148,1536,31180,33952,0,-2772,1871,16676
1988:Q4,990605,409621,50188,102702,2232,365044,48725,10352,1741,1151873,376126,387665,105826,254068,28188,-161268,122172,2108,11128,-52332,-99255,149513,-852,-247916,-43024,-4142,-4918,-60,0,0,0,-35016,-36820,1804,0,0,1648,5460,-5652,-344,204892,0,0,648,119068,77460,41608,59588,-16,59604,59604,2380,14576,8632,30648,0,-22016,46923,-15320
1989:Q1,1031053,439507,50816,104886,3000,370937,49905,10860,1142,1171136,370465,408783,101076,263236,27576,-140083,123986,-140,12204,-28161,-104180,149391,124,-253695,-32023,7792,-45029,-288,0,0,0,1977,2032,-55,0,0,1044,1692,800,-12,221672,0,1400,560,125052,126228,-1176,64948,-4,64952,64952,88,11772,17852,24800,0,-6948,76019,-33993
1989:Q2,1032696,448427,49236,94438,2464,375429,50588,11252,862,1194208,384941,413227,99768,269260,27012,-161512,125804,2978,10964,-49650,-62708,149387,-1548,-210547,34154,24328,20519,-188,0,0,0,-1981,1396,-3377,0,0,1028,4053,-13392,-212,244701,0,12600,720,99944,94812,5132,48856,-4,48860,48860,2108,6872,73602,29610,0,43992,13058,43312
1989:Q3,1046881,457067,50040,91577,2736,379849,52070,12544,998,1212451,386374,418995,108974,271388,26720,-165570,127781,-561,10192,-47420,-105074,155034,-728,-259380,-27621,11772,-25105,-520,0,0,0,-11175,-11196,21,0,0,1256,2067,-6044,128,231759,0,0,440,131284,124184,7100,51564,-4,51568,51568,-32,1984,46520,34628,0,11892,57654,-3502
1989:Q4,1059266,467379,48872,91371,2760,385638,49487,12492,1267,1229557,389758,426411,111732,274756,26900,-170291,129913,2719,11888,-54985,-112945,151066,-792,-263219,6700,6842,-7099,424,0,0,0,-903,-1388,485,0,0,1364,4964,1472,-364,269920,0,0,548,122528,127108,-4580,79453,0,79453,79453,2464,13849,51078,35374,0,15704,57961,-29494
1990:Q1,1062617,463172,50276,91050,2688,393980,50376,12120,-1045,1261251,397552,443404,113223,280316,26756,-198634,131023,-284,12596,-79923,-120367,156129,-432,-276064,12199,6392,-24931,592,0,0,0,39965,10528,29437,0,0,1296,3977,-15388,296,288264,0,0,600,76468,46896,29572,196084,4,196080,196080,-16,-9612,24740,25404,0,-664,40444,8315
1990:Q2,1079516,472028,50764,94660,2888,398959,50265,12504,-2552,1287513,405557,449576,120784,285016,26580,-207997,132418,1486,5692,-82757,-116712,158378,-1360,-273730,29356,-1304,-15918,-296,0,0,0,40638,-2336,42974,0,0,1228,4792,272,-56,303086,0,0,644,198192,192820,5372,54089,-12,54101,54101,2192,-2432,50401,35217,0,15184,33954,-17523
