1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,140868,0,0,0,0,0,0,14141,0,126727,140868,140868,14141,126727,140868,0
1961:Q2,143994,0,0,0,0,0,0,14927,0,129067,143994,143994,14927,129067,143994,0
1961:Q3,146706,0,0,0,0,0,0,14996,0,131710,146706,146706,14996,131710,146706,0
1961:Q4,149370,0,0,0,0,0,0,15006,0,134364,149370,149370,15006,134364,149370,0
1962:Q1,152244,0,0,0,0,0,0,15054,0,137190,152244,152244,15054,137190,152244,0
1962:Q2,155598,0,0,0,0,0,0,15908,0,139690,155598,155598,15908,139690,155598,0
1962:Q3,158460,0,0,0,0,0,0,15923,0,142537,158460,158460,15923,142537,158460,0
1962:Q4,161357,0,0,0,0,0,0,15999,0,145358,161357,161357,15999,145358,161357,0
1963:Q1,164388,0,0,0,0,0,0,16048,0,148340,164388,164388,16048,148340,164388,0
1963:Q2,167946,0,0,0,0,0,0,17000,0,150946,167946,167946,17000,150946,167946,0
1963:Q3,170982,0,0,0,0,0,0,17073,0,153909,170982,170982,17073,153909,170982,0
1963:Q4,174049,0,0,0,0,0,0,17160,0,156889,174049,174049,17160,156889,174049,0
1964:Q1,177283,0,0,0,0,0,0,17268,0,160015,177283,177283,17268,160015,177283,0
1964:Q2,181023,0,0,0,0,0,0,18179,0,162844,181023,181023,18179,162844,181023,0
1964:Q3,184288,0,0,0,0,0,0,18348,0,165940,184288,184288,18348,165940,184288,0
1964:Q4,187524,0,0,0,0,0,0,18409,0,169115,187524,187524,18409,169115,187524,0
1965:Q1,190957,0,0,0,0,0,0,18480,0,172477,190957,190957,18480,172477,190957,0
1965:Q2,194964,0,0,0,0,0,0,19550,0,175414,194964,194964,19550,175414,194964,0
1965:Q3,198420,0,0,0,0,0,0,19728,0,178692,198420,198420,19728,178692,198420,0
1965:Q4,201840,0,0,0,0,0,0,19724,0,182116,201840,201840,19724,182116,201840,0
1966:Q1,205597,0,0,0,0,0,0,19747,0,185850,205597,205597,19747,185850,205597,0
1966:Q2,209964,0,0,0,0,0,0,20835,0,189129,209964,209964,20835,189129,209964,0
1966:Q3,213730,0,0,0,0,0,0,20935,0,192795,213730,213730,20935,192795,213730,0
1966:Q4,217532,0,0,0,0,0,0,20977,0,196555,217532,217532,20977,196555,217532,0
1967:Q1,221609,0,0,0,0,0,0,20925,0,200684,221609,221609,20925,200684,221609,0
1967:Q2,226338,0,0,0,0,0,0,22043,0,204295,226338,226338,22043,204295,226338,0
1967:Q3,230370,0,0,0,0,0,0,22074,0,208296,230370,230370,22074,208296,230370,0
1967:Q4,234447,0,0,0,0,0,0,22292,0,212155,234447,234447,22292,212155,234447,0
1968:Q1,238791,0,0,0,0,0,0,22334,0,216457,238791,238791,22334,216457,238791,0
1968:Q2,243833,0,0,0,0,0,0,23603,0,220230,243833,243833,23603,220230,243833,0
1968:Q3,248166,0,0,0,0,0,0,23594,0,224572,248166,248166,23594,224572,248166,0
1968:Q4,252576,0,0,0,0,0,0,23628,0,228948,252576,252576,23628,228948,252576,0
1969:Q1,257215,0,0,0,0,0,0,23755,0,233460,257215,257215,23755,233460,257215,0
1969:Q2,262443,0,0,0,0,0,0,24871,0,237572,262443,262443,24871,237572,262443,0
1969:Q3,267166,0,0,0,0,0,0,25176,0,241990,267166,267166,25176,241990,267166,0
1969:Q4,271729,0,0,0,0,0,0,25147,0,246582,271729,271729,25147,246582,271729,0
1970:Q1,279823,0,0,0,0,0,0,25185,0,254638,279823,279823,25185,254638,279823,0
1970:Q2,288618,0,0,0,0,0,0,26910,0,261708,288618,288618,26910,261708,288618,0
1970:Q3,296637,0,0,0,0,0,0,27046,0,269591,296637,296637,27046,269591,296637,0
1970:Q4,304665,0,0,0,0,0,0,27528,0,277137,304665,304665,27528,277137,304665,0
1971:Q1,311535,0,0,0,0,0,0,27726,0,283809,311535,311535,27726,283809,311535,0
1971:Q2,319084,0,0,0,0,0,0,29583,0,289501,319084,319084,29583,289501,319084,0
1971:Q3,325799,0,0,0,0,0,0,29814,0,295985,325799,325799,29814,295985,325799,0
1971:Q4,332668,0,0,0,0,0,0,30371,0,302297,332668,332668,30371,302297,332668,0
1972:Q1,339900,0,0,0,0,0,0,30289,0,309611,339900,339900,30289,309611,339900,0
1972:Q2,347994,0,0,0,0,0,0,32423,0,315571,347994,347994,32423,315571,347994,0
1972:Q3,355206,0,0,0,0,0,0,32693,0,322513,355206,355206,32693,322513,355206,0
1972:Q4,362458,0,0,0,0,0,0,33364,0,329094,362458,362458,33364,329094,362458,0
1973:Q1,369946,0,0,0,0,0,0,33182,0,336764,369946,369946,33182,336764,369946,0
1973:Q2,378319,0,0,0,0,0,0,35497,0,342822,378319,378319,35497,342822,378319,0
1973:Q3,385715,0,0,0,0,0,0,35193,0,350522,385715,385715,35193,350522,385715,0
1973:Q4,393275,0,0,0,0,0,0,35499,0,357776,393275,393275,35499,357776,393275,0
1974:Q1,400970,0,0,0,0,0,0,35113,0,365857,400970,400970,35113,365857,400970,0
1974:Q2,409655,0,0,0,0,0,0,38912,0,370743,409655,409655,38912,370743,409655,0
1974:Q3,417159,0,1501,1501,0,0,0,36625,0,379033,417159,417159,38126,379033,417159,0
1974:Q4,424817,0,1501,1501,0,0,0,36737,0,386579,424817,424817,38238,386579,424817,0
1975:Q1,432623,0,0,0,0,0,0,37947,0,394676,432623,432623,37947,394676,432623,0
1975:Q2,441366,0,0,0,0,0,0,43043,0,398323,441366,441366,43043,398323,441366,0
1975:Q3,448879,0,0,0,0,0,0,41962,0,406917,448879,448879,41962,406917,448879,0
1975:Q4,456596,0,38,38,0,0,0,42023,0,414535,456596,456596,42061,414535,456596,0
1976:Q1,464663,0,74,74,0,0,0,41249,0,423340,464663,464663,41323,423340,464663,0
1976:Q2,473805,0,96,96,0,0,0,47585,0,426124,473805,473805,47681,426124,473805,0
1976:Q3,481472,0,124,124,0,0,0,46188,0,435160,481472,481472,46312,435160,481472,0
1976:Q4,489612,0,142,142,0,0,0,46515,0,442955,489612,489612,46657,442955,489612,0
1977:Q1,497807,0,152,152,0,0,0,45314,0,452341,497807,497807,45466,452341,497807,0
1977:Q2,507281,0,6,6,0,0,0,46922,0,460353,507281,507281,46928,460353,507281,0
1977:Q3,515436,0,38,38,0,0,0,53064,0,462334,515436,515436,53102,462334,515436,0
1977:Q4,523804,0,55,55,0,0,0,53177,0,470572,523804,523804,53232,470572,523804,0
1978:Q1,533860,0,66,66,0,0,0,51900,0,481894,533860,533860,51966,481894,533860,0
1978:Q2,545218,0,84,84,0,0,0,53341,0,491793,545218,545218,53425,491793,545218,0
1978:Q3,554977,0,117,117,0,0,0,59536,0,495324,554977,554977,59653,495324,554977,0
1978:Q4,565310,0,140,140,0,0,0,60119,0,505051,565310,565310,60259,505051,565310,0
1979:Q1,575555,0,156,156,0,0,0,58395,0,517004,575555,575555,58551,517004,575555,0
1979:Q2,587168,0,186,186,0,0,0,59860,0,527122,587168,587168,60046,527122,587168,0
1979:Q3,597407,0,226,226,0,0,0,67381,0,529800,597407,597407,67607,529800,597407,0
1979:Q4,608163,0,5,5,0,0,0,68254,0,539904,608163,608163,68259,539904,608163,0
1980:Q1,618645,0,27,27,0,0,0,66134,0,552484,618645,618645,66161,552484,618645,0
1980:Q2,630342,0,56,56,0,0,0,67302,0,562984,630342,630342,67358,562984,630342,0
1980:Q3,640721,0,78,78,0,0,0,76846,0,563797,640721,640721,76924,563797,640721,0
1980:Q4,651536,0,104,104,0,0,0,77079,0,574353,651536,651536,77183,574353,651536,0
1981:Q1,662352,0,138,138,0,0,0,74301,0,587913,662352,662352,74439,587913,662352,0
1981:Q2,674536,0,211,211,0,0,0,75442,0,598883,674536,674536,75653,598883,674536,0
1981:Q3,685230,0,0,0,0,0,0,86895,0,598335,685230,685230,86895,598335,685230,0
1981:Q4,696095,0,0,0,0,0,0,87179,0,608916,696095,696095,87179,608916,696095,0
1982:Q1,707641,0,0,0,0,0,0,84313,0,623328,707641,707641,84313,623328,707641,0
1982:Q2,720639,0,0,0,0,0,0,86345,0,634294,720639,720639,86345,634294,720639,0
1982:Q3,732139,0,0,0,0,0,0,98516,0,633623,732139,732139,98516,633623,732139,0
1982:Q4,743506,0,0,0,0,0,0,99245,0,644261,743506,743506,99245,644261,743506,0
1983:Q1,755768,0,0,0,0,0,0,96374,0,659394,755768,755768,96374,659394,755768,0
1983:Q2,768968,0,0,0,0,0,0,98735,0,670233,768968,768968,98735,670233,768968,0
1983:Q3,780748,0,0,0,0,0,0,111500,0,669248,780748,780748,111500,669248,780748,0
1983:Q4,793505,0,0,0,0,0,0,113787,0,679718,793505,793505,113787,679718,793505,0
1984:Q1,807741,0,0,0,0,0,0,111640,0,696101,807741,807741,111640,696101,807741,0
1984:Q2,822701,0,0,0,0,0,0,115547,0,707154,822701,822701,115547,707154,822701,0
1984:Q3,836207,0,0,0,0,0,0,128964,0,707243,836207,836207,128964,707243,836207,0
1984:Q4,849607,0,0,0,0,0,0,132262,0,717345,849607,849607,132262,717345,849607,0
1985:Q1,865155,0,0,0,0,0,0,140863,0,724292,865155,865155,140863,724292,865155,0
1985:Q2,879865,0,0,0,0,0,0,144839,0,735026,879865,879865,144839,735026,879865,0
1985:Q3,894564,0,0,0,0,0,0,158741,0,735823,894564,894564,158741,735823,894564,0
1985:Q4,909165,0,14194,14194,0,0,0,157936,0,737035,909165,909165,172130,737035,909165,0
1986:Q1,927364,0,14169,14169,0,0,0,155533,0,757662,927364,927364,169702,757662,927364,0
1986:Q2,944944,0,0,0,0,0,0,175169,0,769775,944944,944944,175169,769775,944944,0
1986:Q3,962461,0,15000,15000,0,0,0,171641,0,775820,962461,962461,186641,775820,962461,0
1986:Q4,979843,0,15000,15000,0,0,0,186682,0,778161,979843,979843,201682,778161,979843,0
1987:Q1,995221,0,15000,15000,0,0,0,183583,0,796638,995221,995221,198583,796638,995221,0
1987:Q2,1010879,0,15000,15000,0,0,0,189634,0,806245,1010879,1010489,204244,806245,1010489,390
1987:Q3,1026378,0,15000,15000,0,0,0,203568,0,807810,1026378,1025651,217841,807810,1025651,727
1987:Q4,1041977,0,14845,14845,0,0,0,218191,0,808941,1041977,1040891,231950,808941,1040891,1086
1988:Q1,1058140,0,14846,14846,0,0,0,214548,0,828746,1058140,1056705,227959,828746,1056705,1435
1988:Q2,1074424,0,15002,15002,0,0,0,221773,0,837649,1074424,1072578,234929,837649,1072578,1846
1988:Q3,1090533,0,15004,15004,0,0,0,235457,5,840067,1090533,1088260,248193,840067,1088260,2273
1988:Q4,1106477,0,14852,14850,0,0,2,252610,7,839008,1106477,1103738,264730,839008,1103738,2739
1989:Q1,1123133,0,14857,14852,0,0,5,248542,18,859716,1123133,1119892,260176,859716,1119892,3241
1989:Q2,1140226,0,15017,15009,0,0,8,256934,27,868248,1140226,1136438,268190,868248,1136438,3788
1989:Q3,1156878,0,15022,15011,0,0,11,270436,42,871378,1156878,1152557,281179,871378,1152557,4321
1989:Q4,1173634,0,15030,15014,0,0,16,289128,55,869421,1173634,1168708,299287,869421,1168708,4926
1990:Q1,1190541,0,15043,15018,0,0,25,284447,89,890962,1190541,1185000,294038,890962,1185000,5541
1990:Q2,1207561,0,15058,15023,0,0,35,292148,123,900232,1207561,1201307,301075,900232,1201307,6254
1990:Q3,1224552,0,15076,15033,0,0,43,306458,142,902876,1224552,1217624,314748,902876,1217624,6928
1990:Q4,1241718,0,15134,15044,0,0,90,325078,340,901166,1241718,1233807,332641,901166,1233807,7911
1991:Q1,1259441,0,15186,15069,0,0,117,319626,449,924180,1259441,1250811,326631,924180,1250811,8630
1991:Q2,1277466,0,15223,15093,0,0,130,329704,474,932065,1277466,1268066,336001,932065,1268066,9400
1991:Q3,1295468,0,15287,15120,20,0,147,344882,669,934630,1295468,1285264,350634,934630,1285264,10204
1991:Q4,1313576,0,15364,15152,45,0,167,365988,1045,931179,1313576,1302178,370999,931179,1302178,11398
1992:Q1,1332329,0,15449,15187,79,0,183,360135,1385,955360,1332329,1320045,364685,955360,1320045,12284
1992:Q2,1351503,0,15533,15222,107,0,204,370570,1696,963704,1351503,1338078,374374,963704,1338078,13425
1992:Q3,1370531,0,15661,15276,151,0,234,386739,2001,966130,1370531,1356032,389902,966130,1356032,14499
1992:Q4,1389433,0,15744,15311,183,0,250,408440,2415,962834,1389433,1373620,410786,962834,1373620,15813
1993:Q1,1407591,0,15858,15358,222,0,278,401055,2929,987749,1407591,1390569,402820,987749,1390569,17022
1993:Q2,1425744,0,16001,15421,275,0,305,411349,3293,995101,1425744,1407484,412383,995101,1407484,18260
1993:Q3,1443916,0,16202,15504,343,0,355,426851,3779,997084,1443916,1424314,427230,997084,1424314,19602
1993:Q4,1461911,0,16311,15550,383,0,378,448175,4398,993027,1461911,1440891,447864,993027,1440891,21020
1994:Q1,1479788,0,16407,15593,424,0,390,440703,4792,1017886,1479788,1457834,439948,1017886,1457834,21954
1994:Q2,1497673,0,16405,15594,426,0,385,450871,5179,1025218,1497673,1474591,449373,1025218,1474591,23082
1994:Q3,1516688,0,16439,15608,440,0,391,466472,5832,1027945,1516688,1491828,463883,1027945,1491828,24860
1994:Q4,1534676,0,16411,15596,430,0,385,489022,6179,1023064,1534676,1508570,485506,1023064,1508570,26106
1995:Q1,1554337,0,16502,15633,461,0,408,481709,7171,1048955,1554337,1525847,476892,1048955,1525847,28490
1995:Q2,1574392,0,16643,15694,504,0,445,492549,8508,1056692,1574392,1543610,486918,1056692,1543610,30782
1995:Q3,1594303,0,16732,15733,533,0,466,507825,9946,1059800,1594303,1561417,501617,1059800,1561417,32886
1995:Q4,1613592,0,16907,15809,589,0,509,513026,11459,1072200,1613592,1578532,506332,1072200,1578532,35060
1996:Q1,1633161,0,16972,15837,620,0,515,518025,13121,1085043,1633161,1595893,510850,1085043,1595893,37268
1996:Q2,1653380,0,16961,15830,621,0,510,530491,14964,1090964,1653380,1613614,522650,1090964,1613614,39766
1996:Q3,1672554,0,17040,15863,649,0,528,544005,16362,1095147,1672554,1630935,535788,1095147,1630935,41619
