date,FU406000105.Q,FU405013005.Q,FU404090005.Q,FU403020005.Q,FU403030005.Q,FU402050005.Q,FU404022005.Q,FU403069105.Q,FU403061105.Q,FU403061705.Q,FU403062005.Q,FU403063005.Q,FU404023005.Q,FU403069305.Q,FU403069385.Q,FU403069345.Q,FU403069330.Q,FU403065005.Q,FU403065105.Q,FU403065195.Q,FU403065185.Q,FU403065405.Q,FU403065495.Q,FU403065485.Q,FU403065605.Q,FU403066005.Q,FU403093005.Q,FU404194005.Q,FU404190005.Q,FU402150005.Q,FU403161705.Q,FU403161795.Q,FU403161785.Q,FU403169283.Q,FU403190005.Q,FU403181105.Q,FU403164105.Q,FU403192405.Q,FU407005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,2,2,55,2,0,0,5,0,5,0,0,0,74,150,0,54,96,-76,0,0,0,0,0,0,-76,0,-26,30,117,0,295,0,295,0,-178,-87,0,-87,-25
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1,3,167,-3,0,0,-31,0,-31,0,0,0,226,298,0,167,131,-72,0,0,0,0,0,0,-72,0,-25,139,169,0,116,0,116,0,53,-30,0,-30,-29
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
