1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q4,578870,408400,451964,415069,412327,23585,388742,-9919,12661,36895,254501,5639,-4808,45722,30181,2865,6165,3980,708,223,1147,107,-2215,-2183,-32,-625,-59737,50216,64,5910,-108506,283630,217606,316107,46350,1938,22251,22161,206205,29615,68015,108575,20145,38680,-6793,11520,-98501,-117787,33433,-14147,-43564
2007:Q1,564273,405493,431043,402878,373941,-476,374417,29039,-102,28165,338063,-4030,-3716,-12842,15256,-1619,-20702,-13612,-5544,-2098,166,386,-1731,-1254,-477,-17183,8499,96048,319,-1226,94817,186173,309897,415229,62167,13652,14539,33976,160873,26358,57866,76649,110,20698,-11246,182627,-105332,-93338,53062,-65055,-25550
2007:Q2,566222,413463,464021,445242,446318,41015,405303,-1183,107,18779,373156,10518,44382,-15198,18384,-5219,-1055,5444,-5296,-2016,912,-99,-2240,-3508,1268,-12470,8993,63073,357,-1226,98908,165949,354377,458381,107095,28178,28043,50874,219930,40591,80645,98694,11429,40085,-9170,89012,-104004,-148989,45518,-533,-50559
2007:Q3,531714,405482,462127,469991,452297,43360,408938,18199,-506,-7864,348419,1141,35143,-28718,58720,-1052,-25273,-34566,6601,1949,887,-144,-1356,-2420,1064,-2262,9133,72588,92,-1226,50134,181355,356282,433359,11774,-22931,12220,22485,303047,92797,93620,116630,16392,11073,-10287,101360,-77077,-133385,55970,339,-56645
2007:Q4,542211,425450,618529,436960,448400,23067,425332,-12105,666,181570,422331,-6715,76,-13982,47448,407,-11847,-10473,103,-216,-1400,139,-2344,-1621,-723,14634,8783,83562,73,-1226,-26154,329616,240761,395748,37484,-7602,16464,28622,251190,83220,71841,96129,12006,40085,-15108,70091,-154987,-165257,24567,-14297,-193080
2008:Q1,505634,397569,321610,442906,407151,3574,403577,33736,2019,-121296,-80734,4787,-27089,-53218,86744,-950,-41971,-16596,-12963,-3693,-8462,-257,-5253,-1933,-3320,1666,57117,87587,514,-4128,32298,-218838,40562,242561,45607,16142,10051,19414,153362,66416,26249,60697,17865,-32583,20850,37461,-201999,-105491,41388,-137896,75959
2008:Q2,516122,407002,258578,441561,457392,33362,424030,-20660,4830,-182983,-63066,-18200,-20938,39205,8895,956,5331,5405,-325,519,-439,171,-1146,-1740,594,3691,55273,85047,86,-4128,17185,-234324,119917,248017,103128,-129,27300,75957,117146,35803,38042,43301,23667,-46165,-15396,65637,-128100,-78131,28137,-78106,148424
2008:Q3,524569,459512,354497,451390,453747,34783,418963,-4195,1838,-96894,-101692,-5257,-25855,-22338,30484,-2756,-3407,-1290,-5175,-1097,3520,635,-2523,-2163,-360,-21859,50366,84633,159,-4128,-68524,-110687,-4798,132240,33069,6711,14449,11909,100393,56543,25916,17934,-6165,-67370,17798,54515,-137038,-102476,43275,-77837,105015
2008:Q4,425637,429832,271042,402661,431569,19130,412438,-38122,9214,-131618,-56232,-6876,-94573,-34331,108279,1878,6958,305,3067,1650,2005,-69,-2041,-2647,606,-10811,39004,24545,308,-4128,-152170,67726,75386,234722,13557,-15061,13072,15546,25036,26399,-10384,9021,-11185,-77994,-13443,298751,-159336,-142142,61363,-78557,158789
2009:Q1,419792,420877,578664,334182,350519,2960,347559,-22705,6369,244481,-7021,1032,9756,10849,5394,291,-918,-7424,9235,-450,-3804,1525,-824,2429,-3253,17361,-20411,56121,-553,8817,990,-94925,-251502,-176267,79659,-24556,7427,96788,-167904,-75793,-86455,-5656,-10649,-81237,-298,4162,-75235,-37017,17539,-55757,-157787
2009:Q2,421595,416765,324605,305666,373659,25529,348130,-68638,645,18939,-20523,505,9536,4110,-25054,435,9463,6087,-630,4261,-253,-2,-2157,-1874,-283,9820,-23518,56698,86,8817,13778,-83041,-39462,-76451,54932,-20741,10818,64855,-130182,-93434,-26382,-10366,-3049,-18138,-7139,27124,36989,17520,21779,-2310,92160
2009:Q3,449962,425646,381568,338434,372366,26633,345733,-33777,-155,43134,22396,19,80858,72002,-40270,1093,-7536,-6251,-2470,-351,2097,-561,-1442,-786,-656,6950,-27042,68785,159,8817,-13737,-126260,-20738,-58077,18277,-13279,8058,23498,-168960,-100862,-35298,-32800,10482,-6588,5530,83181,37339,744,36789,-194,44078
2009:Q4,511872,458074,555355,342777,368676,16102,352574,-25652,-247,212578,157062,5268,59387,25180,-15660,-1145,11185,6289,714,709,3061,412,-558,-1029,471,2612,-28526,50240,308,8817,-56875,96830,-55516,-31590,26740,-14491,11122,30109,-126959,-70107,-18805,-38047,-8225,35925,-7608,48537,-23926,-70329,48003,-1600,-97281
2010:Q1,546798,476343,438041,334966,324343,1265,323078,10946,-323,103075,147351,6583,38222,-7519,-87195,1144,1222,1150,-109,3138,-2956,-1,-1673,432,-2105,-15358,-13083,115554,32,1865,96702,10856,44276,38670,72787,15207,9134,48446,-154554,-74357,-56432,-23765,2863,50002,13581,53991,5606,-40835,30897,15544,38302
2010:Q2,565297,495568,514382,382299,383803,25268,358535,-1423,-81,132083,235721,546,4855,15385,-50160,225,7709,6457,3114,878,-2267,-473,290,652,-362,-13228,-11531,81524,46,1865,76830,121366,103638,57975,44914,8362,10712,25840,-118252,-37637,-33335,-47280,-1501,50424,-5772,88162,45663,-34383,30021,50025,-18814
2010:Q3,586934,512685,408071,437983,390795,22687,368108,47410,-222,-29911,166022,-2866,46977,1071,-17216,2326,12484,7089,2357,626,2225,187,346,647,-301,-4255,-12767,89376,379,1865,15023,33280,195934,142122,88935,15959,2001,70975,-41229,-11258,-6110,-23861,2564,34300,3002,54550,53812,-67360,71355,49817,104613
2010:Q4,579629,491239,479631,399017,402487,13493,388994,-3016,-454,80614,152299,8940,-7055,40434,-12248,-3788,-24219,-27172,3421,-2668,1676,524,1448,1234,214,-832,-14069,45816,44,1865,-9686,125650,71685,15920,40443,-15010,11400,44053,-5949,19778,-8363,-17364,-11767,53306,31155,-91268,55765,-36430,38230,53965,11608
2011:Q1,574976,479909,382709,394590,359167,1362,357805,35852,-429,-11881,154467,10774,-40170,-14839,-19232,1170,-2663,5718,-5482,-2177,-656,-66,-2941,-1832,-1109,8945,6161,96078,47,-3459,115751,-1155,166348,162080,62517,27532,2617,32368,-46583,6917,-4552,-48948,-9,43163,24418,78574,4268,-42183,33198,13253,97200
2011:Q2,602979,513206,513952,408968,414950,24577,390372,-5675,-307,104984,195686,4843,80609,1313,-12039,-11,3501,-3437,6290,2323,-1279,-396,2847,2471,376,6397,6137,122187,60,-3459,75409,-92109,90702,87293,58724,-3549,4721,57552,14332,20678,29968,-36314,1430,35433,-15617,-7008,3408,-95359,50493,48275,-746
