1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987:Q1,101888,-6216,-3532,0,66736,-7796,8880,11120,-4004,58536,13055,-1376,14431,16,25788,28,0,-6100,0,0,0,12113,119036,118904,0,0,980,27752,24552,0,356,65264,132,-984,1116,0
1987:Q2,90256,-1196,-3528,0,62604,-6016,-14448,7952,1144,73972,17974,-704,18678,32,3664,16,0,-3696,0,0,0,14386,91664,91140,0,0,420,23572,27700,0,152,39296,524,-632,1156,0
1987:Q3,116544,2040,-2436,0,84992,7820,-1580,11640,-2944,70056,18359,568,17791,20,148,116,0,-4224,0,0,0,17529,124896,126296,0,0,1040,25100,37472,0,128,62556,-1400,-892,-508,0
1987:Q4,156872,2416,-2740,0,102996,5976,2968,1836,2632,89584,41608,3596,38012,24,-3424,-32,0,5184,0,0,0,10840,146272,145320,0,0,-2660,43680,73684,0,568,30048,952,-908,1860,0
1988:Q1,121812,-8188,3952,0,80716,-5632,-200,6652,-436,80332,19327,-1704,21031,56,1580,284,0,712,0,0,0,23373,128136,127424,0,0,-184,22844,87600,0,360,16804,712,-472,1184,0
1988:Q2,108156,-340,1540,0,78524,2028,4940,10256,-2124,63424,20583,2352,18231,20,-1232,-176,0,3064,0,0,0,6173,101712,102180,0,0,-320,22356,61424,0,392,18328,-468,444,-912,0
1988:Q3,102072,-3356,2896,0,76440,6476,944,6524,-2100,64596,23040,1536,21504,4,-4188,368,0,3960,0,0,0,2908,83628,82556,0,0,544,20896,56920,0,476,3720,1072,-232,1304,0
1988:Q4,115196,-808,3968,0,98564,11156,104,12396,-1508,76416,26634,1368,25266,104,-3336,-608,0,1880,0,0,0,-11202,123868,120464,0,0,-252,28352,77492,0,628,14244,3404,-272,3676,0
1989:Q1,66752,-364,-3508,0,57741,-3095,-7180,22984,-1240,46272,23045,2972,20073,52,-2908,-448,0,-2292,0,0,0,-4566,68752,67592,0,0,1672,12600,27196,0,824,25300,1160,-792,1952,0
1989:Q2,101200,3140,-4732,0,86169,-8863,-9420,31396,-108,73164,22710,3628,19082,20,-1208,-412,0,-5584,0,0,0,1096,105520,106104,0,0,36,29548,56060,0,1048,19412,-584,-364,-220,0
1989:Q3,78280,2804,-3500,0,55263,219,-10168,25384,584,39244,26105,2448,23657,8,88,-716,0,-5120,0,0,0,3348,74692,73848,0,0,132,20636,30456,0,1060,21564,844,-680,1524,0
1989:Q4,109112,15556,7452,0,95123,30043,-276,19488,136,45732,28992,3116,25876,244,-6048,808,0,-76,0,0,0,-32939,109916,109948,0,0,32,39916,42448,0,828,26724,-32,-700,668,0
1990:Q1,97896,1108,6848,0,74963,-15237,24044,15288,1156,49712,41974,15032,26942,32,-2040,288,0,3148,0,0,0,-28425,91104,91212,0,0,296,24120,60772,0,620,5404,-108,-1428,1320,0
1990:Q2,134824,-4808,4944,0,88084,6504,-2364,14692,6660,62592,24008,8360,15648,-16,-2024,-40,0,2272,0,0,0,22404,155772,157340,0,0,-152,27960,123964,0,372,5196,-1568,-936,-632,0
1990:Q3,66640,-7312,7376,0,98060,10744,2276,25232,3448,56360,-3109,-10132,7023,140,-7760,1440,0,8352,0,0,0,-30547,34984,36604,0,0,-100,24948,11152,0,408,196,-1620,-1780,160,0
1990:Q4,98668,-8208,8428,0,69433,5721,-4524,22964,1984,43288,12855,3912,8943,-132,12460,636,4,-13540,0,0,0,16731,99884,95448,0,0,1008,23012,64988,0,684,5756,4436,-1276,5712,0
1991:Q1,127808,-2512,3332,0,90022,6638,12448,29940,6812,34184,17566,13300,4266,52,1824,552,0,-5256,0,0,0,22227,128588,127652,0,0,-272,28232,55320,0,916,43456,936,-444,1380,0
1991:Q2,99400,492,152,0,113891,2427,4744,64792,-11092,53020,6955,2360,4595,-96,-2064,52,0,-828,0,0,0,-19154,85700,86096,0,0,576,27772,14512,0,1116,42120,-396,-248,-148,0
1991:Q3,75728,1184,160,0,65741,11805,26212,11012,2264,14448,-718,5296,-6014,-32,-3136,-620,0,-2788,0,0,0,15936,65288,61072,0,0,648,15572,22780,0,1232,20840,4216,-316,4532,0
1991:Q4,7256,200,176,0,28601,-21323,19408,60688,-6980,-23192,-38207,-1044,-37163,144,10972,2156,0,-1980,0,0,0,5194,17868,17200,0,0,-2812,16340,-13716,0,1280,16108,668,644,24,0
1992:Q1,68944,-148,152,0,79961,-2995,8440,29092,-444,45868,-3918,2276,-6194,200,6820,496,28,-528,0,0,0,-14120,73532,72364,0,4,76,28360,19252,0,1332,23340,1168,-28,1196,0
1992:Q2,67260,-484,152,0,87774,-1734,6172,19680,504,63152,-17433,4480,-21913,52,-280,692,64,-352,0,0,0,-2924,77932,76696,0,12,436,13800,49344,0,1412,11692,1236,-236,1472,0
1992:Q3,81564,-884,160,0,95536,-4732,13548,34712,1812,50196,-14626,6024,-20650,-24,1396,-124,0,-1740,0,0,0,1870,90592,88800,0,184,-268,35896,36536,0,1484,14968,1792,2224,-432,0
1992:Q4,80256,-1044,160,0,91133,-3203,8048,28088,2520,55680,-9283,10832,-20115,88,-1084,-84,0,-1872,0,0,0,2242,93804,91476,0,-172,540,24436,55356,0,1540,9776,2328,480,1848,0
1993:Q1,103244,108,144,0,128992,1336,27328,23808,412,76108,-10302,3340,-13642,84,-9548,260,24,-828,0,0,0,-5690,92132,94288,0,132,-512,26916,34948,0,1620,31184,-2156,1612,-3768,0
1993:Q2,101164,96,144,0,118635,7087,20404,38676,4196,48272,-10387,4044,-14431,108,-5168,-1080,12,-876,0,0,0,-320,87868,85808,0,592,824,28940,30932,0,1800,22720,2060,252,1808,0
1993:Q3,96148,88,156,0,120929,-7887,26464,29448,5468,67436,-10086,7656,-17742,-92,956,-88,4,-968,0,0,0,-14750,80208,83528,0,-140,516,29940,26464,0,1744,25004,-3320,-4140,820,0
1993:Q4,67520,76,160,0,84052,6264,3512,23256,3356,47664,-19557,8400,-27957,608,14500,-380,12,-1084,0,0,0,-10868,47788,51288,0,396,3660,29692,-8080,0,1472,24148,-3500,-1072,-2428,0
1994:Q1,103452,364,120,0,78090,-4214,-13944,23756,-560,73052,-8400,5704,-14104,376,4188,20,44,92,0,0,0,28558,74192,73228,0,36,204,23444,27364,0,1196,20984,964,-836,1800,0
1994:Q2,16180,376,156,0,36012,-984,11152,-6292,-6452,38588,-2040,9844,-11884,56,5356,984,8,44,0,0,0,-24772,24824,25664,0,24,0,22416,-13644,0,896,15972,-840,-952,112,0
1994:Q3,133708,364,148,0,85644,5616,14156,3232,-1764,64404,4565,7360,-2795,-4,3076,-464,4,-40,0,0,0,40415,101476,102660,0,36,212,66952,12796,0,876,21788,-1184,-2128,944,0
1994:Q4,61724,372,152,0,79950,14394,-23664,25624,992,62604,95,7208,-7113,-188,2468,1568,140,-124,0,0,0,-22710,65336,65456,0,1328,-2416,20880,12828,0,1204,31632,-120,-3068,2948,0
1995:Q1,96524,-424,152,0,97066,-9814,11800,28948,-4724,70856,6165,5308,857,4,-6484,96,-16,-448,0,0,0,413,97596,99176,0,-32,-188,42944,8588,0,1492,46372,-1580,-2668,1088,0
1995:Q2,111820,-416,176,0,114264,440,-2352,4140,5696,106340,3453,6168,-2715,56,-6384,988,4,-580,0,0,0,258,104792,110444,0,156,140,48324,19964,0,1732,40128,-5652,-6216,564,0
