date,FU116902505.A,FU116300001.A,FU116902605.A,FU116025001.A,FU116020001.A,FU116401005.A,FU116240101.A,FU116402105.A,FU116140001.A,FU116402105.A,FU116130101.A,FU116150005.A,FU116130001.A,FU116122001.A,FU113192281.A,FU116112001.A,FU116140001.A,FU116403001.A,FU116012005.A,FU116012005.A,FU116006305.A,FU116012005.A,FU115440005.A,FU115050985.A,FU115019085.A,FU115013085.A,FU115012005.A,FU116300001.A,FU115020005.A,FU115000905.A,FU115000905.A,FU114090005.A,FU114000005.A,FU113020005.A,FU113030003.A,FU114022005.A,FU113061003.A,FU113062003.A,FU114023005.A,FU113066003.A,FU113065005.A,FU113081005.A,FU113034003.A,FU113092405.A,FU113076005.A,FU113096005.A,FU113070003.A,FU113072003.A,FU113093005.A,FU114194005.A,FU114135005.A,FU114141005.A,FU113168005.A,FU113169005.A,FU114142005.A,FU113165005.A,FU115114305.A,FU113181005.A,FU112090205.A,FU115114103.A,FU113196005.A,FU113170005.A,FU113178003.A,FU113193003.A,FU115000005.A,FV118090105.A,FV112010005.A,FV118090085.A,FR112010005.A,FR115035005.A,FR115035023.A,FR115035035.A,FR115015205.A,FR115012265.A,FR115013265.A,FR115013765.A,FR115020005.A,FR114022005.A,FR114190085.A,FR115114305.A,FR112090205.A,FR115114103.A,FR118200005.A,FC112090095.A,FL112000005.A,LM112010005.A,LM115035005.A,LM115035023.A,LM115035035.A,LM115015205.A,LM115012265.A,LM115013265.A,LM115013765.A,LM115020005.A,FL114090005.A,FL114000005.A,FL113020005.A,FL113030003.A,LM114022005.A,LM113061003.A,LM113062003.A,FL114023005.A,FL113066003.A,FL113065005.A,FL113081005.A,FL113034003.A,FL113092405.A,FL113076005.A,FL113096005.A,FL113070003.A,FL113072003.A,FL113093005.A,FL112100005.A,FL114194005.A,FL114135005.A,FL114141005.A,FL113168005.A,FL113169005.A,FL114142005.A,FL113165005.A,FL115114305.A,LM113181005.A,LM112090205.A,LM115114103.A,FL113196005.A,FL113170005.A,FL113178003.A,FL113193003.A,FL112090095.A
1960,117056,11330,105726,37292,34990,2302,9671,58763,266,58763,599,59096,4676,54417,4,0,266,266,0,0,0,0,0,4969,15118,10647,4471,11330,1182,-4969,-4969,-399,-693,-693,0,0,0,0,-223,-223,0,21,0,21,176,320,320,0,0,4383,4778,834,515,319,3944,3942,2,-977,-980,3,582,582,0,0,-4782,38,0,38,10881,10688,9449,1239,441,-43,484,98,-347,0,10919,0,10917,2,-38,0,469340,434722,349081,163600,185481,45487,2251,43236,5154,35000,34617,18044,18044,0,0,0,0,3202,3202,0,252,0,252,4566,8554,8554,0,0,469340,469340,55055,16282,8858,7424,38773,38742,31,398671,398553,118,15614,15614,0,0,0
1961,119601,11541,108060,36824,34470,2354,9508,61728,298,61728,602,62032,5161,56866,5,0,298,298,0,0,0,0,0,5924,16130,10683,5447,11541,1335,-5924,-5924,641,118,118,0,0,0,0,-72,-72,0,25,0,25,220,350,350,0,0,6363,6696,957,601,356,5739,5737,2,143,134,9,-476,-476,0,0,-5722,40,0,40,17051,16605,9999,6606,103,-39,141,108,235,0,17091,0,17091,0,-40,0,492791,457533,370084,176327,193757,45398,2305,43093,5480,36571,35258,18162,18162,0,0,0,0,3130,3130,0,276,0,276,4787,8904,8904,0,0,492791,492791,61750,17239,9459,7780,44511,44478,33,415905,415778,127,15136,15136,0,0,0
1962,123871,11887,111984,37760,35204,2556,9838,64386,312,64386,600,64674,5665,59004,5,0,312,312,0,0,0,0,0,8264,18350,11689,6661,11887,1801,-8264,-8264,-98,1,1,0,0,0,0,185,185,0,26,0,26,132,-442,-442,0,0,7944,7586,1572,1114,458,6014,6013,1,471,468,3,-113,-113,0,0,-8042,38,0,38,16563,15976,9229,6747,310,-60,371,42,235,0,16602,0,16602,0,-38,-0,517337,482177,391707,189298,202409,46183,2347,43836,5680,38607,35160,18163,18163,0,0,0,0,3315,3315,0,301,0,301,4919,8462,8462,0,0,517337,517337,69336,18811,10573,8238,50525,50491,34,432978,432848,130,15023,15023,0,0,-0
1963,127257,12230,115027,38716,35955,2761,10227,66084,312,66084,607,66379,6149,60225,5,0,312,312,0,0,0,0,0,9612,20258,12567,7691,12230,1584,-9612,-9612,-40,-145,-145,0,0,0,0,238,238,0,28,0,28,340,-501,-501,0,0,9362,8671,1982,1157,825,6689,6688,1,2081,2076,5,-1390,-1390,0,0,-9402,37,0,37,3505,6792,-1874,8666,551,-20,571,155,-3993,0,3542,0,3540,2,-37,0,530241,495124,405397,192067,213330,47571,2463,45108,5958,36198,35117,18018,18018,0,0,0,0,3553,3553,0,328,0,328,5258,7961,7961,0,0,530241,530241,78007,20793,11731,9063,57214,57179,35,438601,438464,137,13633,13633,0,0,0
1964,133367,12750,120617,40739,37904,2835,10488,69391,352,69391,666,69705,7000,62698,7,0,352,352,0,0,0,0,0,9356,21967,13548,8419,12750,139,-9356,-9356,908,102,102,0,0,0,0,226,226,0,35,0,35,400,145,145,0,0,10035,8298,1588,747,841,6710,6708,2,2293,2287,6,-556,-556,0,0,-9127,44,0,44,17355,17707,6957,10750,643,-29,673,205,-1200,0,17399,0,17399,0,-44,0,557675,521650,430762,204221,226541,49566,2582,46984,6186,35137,36024,18119,18119,0,0,0,0,3779,3779,0,362,0,362,5658,8106,8106,0,0,557675,557675,86304,22381,12477,9904,63923,63886,37,458292,458149,143,13078,13078,0,0,0
1965,140572,13516,127057,41842,38951,2891,10671,74543,408,74543,665,74801,7674,67119,8,0,408,408,0,0,0,0,0,12303,23282,15350,7932,13516,2537,-12303,-12303,642,104,104,0,0,0,0,261,261,0,51,0,51,402,-176,-176,0,0,12671,9329,2359,1569,790,6970,6968,2,3670,3662,8,-328,-328,0,0,-12029,52,0,52,23176,20004,6559,13445,977,-83,1060,260,1936,0,23229,0,23228,1,-52,0,593575,556908,458451,215228,243223,52385,2683,49702,6463,39609,36666,18223,18223,0,0,0,0,4040,4040,0,413,0,413,6060,7930,7930,0,0,593575,593575,95633,24741,14046,10695,70892,70853,39,485191,485039,152,12750,12750,0,0,0
1966,148842,14511,134332,44378,41050,3328,10455,79499,471,79499,707,79735,8420,71306,8,0,471,471,0,0,0,0,0,11112,23979,16517,7462,14511,1643,-11112,-11112,1051,-10,-10,0,0,0,0,-52,-52,0,52,0,52,500,561,561,0,0,11860,9685,3176,2250,926,6509,6508,1,3377,3374,3,-1203,-1203,0,0,-10809,63,0,63,30058,27897,15132,12765,2449,-1,2450,226,-514,0,30121,0,30120,1,-63,0,635555,597837,493570,234063,259507,56839,2848,53991,6690,40738,37718,18213,18213,0,0,0,0,3988,3988,0,466,0,466,6560,8491,8491,0,0,635555,635555,105318,27917,16296,11621,77401,77361,40,518690,518534,156,11547,11547,0,0,0
1967,153573,15500,138073,45082,41694,3388,11641,81350,508,81350,801,81643,9138,72495,10,0,508,508,0,0,0,0,0,10071,23482,16196,7286,15500,2089,-10071,-10071,1296,132,132,0,100,100,0,-116,-116,0,57,0,57,592,531,531,0,0,11059,10335,2518,1360,1158,7817,7813,4,815,800,15,-91,-91,0,0,-9763,70,0,70,23795,22922,10054,12868,2439,33,2406,414,-1980,0,23865,0,23865,0,-70,0,670481,631468,522958,247419,275539,60640,3037,57603,7023,40847,39013,18344,18344,0,100,100,0,3872,3872,0,523,0,523,7152,9022,9022,0,0,670481,670481,115655,30436,17657,12779,85220,85176,44,543370,543199,171,11456,11456,0,0,0
1968,161589,16660,144929,46732,43110,3622,11893,86305,483,86305,833,86655,10038,76606,11,0,483,483,0,0,0,0,0,12433,26742,16450,10292,16660,2351,-12433,-12433,-194,155,155,0,200,200,0,-20,-20,0,107,0,107,731,-1367,-1367,0,0,11897,10975,2258,1463,795,8717,8713,4,3027,3013,14,-2105,-2105,0,0,-12091,85,0,85,42000,37498,22313,15185,3120,80,3040,333,1049,0,42086,0,42085,1,-85,0,724463,685645,569262,275581,293681,64814,3367,61447,7321,44247,38819,18499,18499,0,300,300,0,3852,3852,0,630,0,630,7882,7655,7655,0,0,724463,724463,126630,32694,19120,13573,93936,93888,48,588482,588296,186,9351,9351,0,0,0
1969,170088,18146,151942,48545,44724,3821,12541,90857,518,90857,1077,91415,11517,79888,10,0,518,518,0,0,0,0,0,14407,31332,18630,12702,18146,1221,-14407,-14407,1975,79,79,0,200,200,0,160,-140,300,64,0,64,1017,455,455,0,0,15955,15323,4299,2747,1552,11024,11019,5,-10,-27,17,642,642,0,0,-13980,103,0,103,34889,28509,14559,13950,3476,69,3408,469,2435,0,34992,0,34992,0,-103,0,775407,734613,609003,297781,311222,69951,3755,66196,7756,47903,40794,18578,18578,0,500,500,0,4012,3712,300,695,0,695,8899,8110,8110,0,0,775407,775407,141958,36998,21874,15124,104960,104907,53,623457,623254,203,9992,9992,0,0,0
