1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2219,1709,984,984,725,34597,-5,0,73,0,2666,256,29,0,108,5234,471,-468,-62,1619,3674,15027,5076,1450,7831,670,22,632,127,0,0,0,110,10318,33872,33651,2424,7228,4951,0,-6,1071,447,238,386,-255,-278,23,41,266,2555,13803,10,230,1333,221,200,21,510
1952:Q1,612,202,231,231,-28,5342,593,0,22,0,-393,-64,369,0,344,103,245,-1651,-122,474,1157,949,-338,-263,1519,31,0,353,24,0,0,0,26,3016,5370,5295,-211,-1621,1761,0,224,1,222,-112,-109,-629,-162,-467,0,144,653,3976,10,241,746,75,48,27,410
1952:Q2,645,680,234,234,446,9645,56,0,23,0,-1161,82,16,0,-55,2127,-163,591,-128,453,1374,5219,975,658,2046,1540,0,423,25,0,0,0,25,2865,9199,9168,-1211,1593,2349,0,-197,323,142,99,82,1046,1035,11,1,128,688,3921,0,-83,610,31,9,22,-35
1952:Q3,679,789,213,213,576,12188,-5,0,27,0,1802,-10,17,0,505,3043,210,881,378,346,1228,3554,-99,614,2120,919,1,609,20,0,0,0,24,2601,11612,11479,2269,1897,1506,0,385,232,167,93,-28,-471,-515,44,2,125,731,3900,40,165,698,133,118,15,-110
1952:Q4,707,867,231,231,636,13336,-154,0,31,0,-407,110,17,0,-219,4662,5,2810,227,378,1242,6224,2292,561,1939,1432,1,193,31,0,0,0,23,2824,12700,12752,-928,4660,2576,0,-378,-128,-175,-23,70,1502,1316,186,0,108,773,3935,10,16,606,-52,-80,28,-160
1953:Q1,689,614,287,287,327,4499,-626,0,14,0,401,-129,17,0,402,-1495,180,-3593,-45,591,1372,2304,-682,136,1579,1271,0,604,40,0,0,0,19,2948,4172,3972,402,-4197,1980,0,577,444,155,-104,393,-856,-626,-230,2,137,766,4022,10,-158,843,200,164,36,76
1953:Q2,685,760,290,290,469,5763,-98,0,28,0,-1392,-14,19,0,-462,-160,-173,-895,-436,192,1152,4651,180,745,2431,1295,1,601,32,0,0,0,16,2541,5294,5099,-1319,-1950,2847,0,-579,445,-119,15,549,294,285,9,2,83,742,4168,10,-114,470,195,165,30,-75
1953:Q3,716,686,299,299,387,14028,-335,0,18,0,167,121,18,0,187,6546,257,4489,208,470,1122,3704,486,190,2258,770,1,548,22,0,0,0,13,3018,13641,13477,568,3574,1635,0,189,684,278,119,287,448,341,107,2,77,713,4175,10,241,1161,164,143,21,30
1953:Q4,729,918,296,296,622,11513,-111,0,22,0,647,221,19,0,-199,5566,13,1779,1835,812,1127,1678,-886,108,2086,370,1,191,25,0,0,0,10,3443,10891,10900,-42,2605,2767,0,-196,113,-7,-26,146,420,224,196,-5,86,687,4226,0,500,-261,-9,-39,30,-189
1954:Q1,709,646,298,298,349,897,-58,0,41,0,-1129,-196,22,0,-93,-838,266,-3700,396,942,1258,93,-940,-94,1800,-673,0,164,55,0,0,0,11,2825,548,633,-1512,-5014,2677,0,37,40,232,-227,35,-1056,-812,-244,3,100,705,4020,10,-237,860,-85,-128,43,63
