1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,391,359,0,99,-8,-31,-23,-5,0,1365,1355,10,-974
1963:Q1,-503,-759,0,103,-22,173,-10,12,0,-1365,-1363,-2,862
1963:Q2,-383,147,0,-298,-29,-161,-42,0,0,-349,-366,17,-34
1963:Q3,1006,970,0,-20,30,-9,23,12,0,1755,1731,24,-749
1963:Q4,870,1031,0,-153,-1,-9,-3,5,0,1760,1721,39,-890
1964:Q1,-281,-635,0,200,-15,104,66,-1,0,-1405,-1463,58,1124
1964:Q2,-673,-434,0,-68,-16,-64,-85,-6,0,-994,-1051,57,321
1964:Q3,731,663,0,40,-12,82,-50,8,0,1382,1415,-33,-651
1964:Q4,897,873,0,49,-12,-4,-11,2,0,1270,1308,-38,-373
1965:Q1,-421,-320,0,-166,30,14,14,7,0,-1180,-1150,-30,759
1965:Q2,-756,-575,0,-91,-3,-83,-1,-3,0,-1296,-1386,90,540
1965:Q3,1243,1013,0,106,18,51,37,18,0,1639,1643,-4,-396
1965:Q4,2044,1965,0,22,11,-2,37,11,0,2145,2124,21,-101
1966:Q1,182,-162,0,256,8,104,-32,8,0,-751,-792,41,933
1966:Q2,-3152,-2538,0,-438,-17,-99,-43,-17,0,-3728,-3753,25,576
1966:Q3,1026,968,0,-11,8,29,24,8,0,1460,1541,-81,-434
1966:Q4,1019,852,0,118,3,26,17,3,0,1593,1573,20,-574
1967:Q1,-232,-684,0,166,79,211,-42,38,0,-1025,-1059,34,793
1967:Q2,-6242,-5434,0,-339,-73,-322,-50,-24,0,-7544,-7586,42,1302
1967:Q3,748,570,0,81,-1,31,31,36,0,1468,1514,-46,-720
1967:Q4,1344,1359,0,8,-3,-31,5,6,0,2089,1994,95,-745
1968:Q1,4740,4442,0,13,30,162,43,50,0,2607,2484,123,2133
1968:Q2,-4931,-4636,0,-98,-36,-90,-64,-7,0,-3947,-3991,44,-984
1968:Q3,137,-101,0,102,24,76,5,31,0,543,595,-52,-406
1968:Q4,1319,1400,0,-44,-40,14,15,-26,0,1816,1746,70,-497
1969:Q1,1592,1187,0,154,32,163,46,10,0,1579,1504,75,13
1969:Q2,-3744,-3297,0,-156,-6,-170,-50,-65,0,-6514,-6559,45,2770
1969:Q3,579,287,0,120,43,87,23,19,0,819,914,-95,-240
1969:Q4,57,121,0,-34,-18,-25,29,-16,0,924,939,-15,-867
1970:Q1,886,218,0,439,46,186,25,-28,0,973,921,52,-87
1970:Q2,-3374,-2792,0,-286,-47,-198,-40,-11,0,-6074,-6117,43,2700
1970:Q3,485,105,0,187,32,99,35,27,0,1344,1383,-39,-859
1970:Q4,-44,-163,0,18,36,38,12,15,0,1146,1137,9,-1190
1971:Q1,2158,1702,0,253,34,125,34,10,0,3249,3140,109,-1091
1971:Q2,-1216,-899,311,-455,33,-133,-33,-40,0,-3645,-4083,438,2429
1971:Q3,1931,1332,363,133,-12,80,25,10,0,1634,1304,330,297
1971:Q4,1218,955,363,87,-98,-99,0,10,0,1443,1074,369,-225
1972:Q1,1892,1312,363,-26,66,144,23,10,0,3744,3226,518,-1852
1972:Q2,-2376,-2141,363,-305,-14,-201,-51,-27,0,-5998,-6446,448,3622
1972:Q3,2266,1567,363,145,47,96,20,28,0,1629,1334,295,637
1972:Q4,2112,1697,363,12,21,-24,29,14,0,2051,1533,518,61
1973:Q1,3070,2113,364,336,26,182,34,15,0,4349,3872,477,-1279
1973:Q2,-2165,-1874,369,-324,-32,-207,-61,-36,0,-6021,-6506,485,3856
1973:Q3,2434,1805,377,106,22,87,25,12,0,1997,1760,237,437
1973:Q4,2099,1740,386,3,-3,-26,2,-3,0,2803,2378,425,-704
1974:Q1,3971,3020,434,291,35,177,27,-13,0,2912,2393,519,1059
1974:Q2,-1272,-1017,417,-314,-32,-215,-53,-58,0,-6019,-6697,678,4747
1974:Q3,4802,4136,372,190,21,76,21,-14,0,2988,2590,398,1814
1974:Q4,1501,1218,337,18,-4,-50,5,-23,0,1782,1713,69,-281
1975:Q1,-865,-1615,302,219,27,155,31,16,0,494,248,246,-1359
1975:Q2,-4895,-4319,287,-498,-33,-233,-53,-46,0,-7719,-8291,572,2824
1975:Q3,2752,2335,249,38,15,55,23,37,0,3188,2668,520,-436
1975:Q4,1585,1375,219,35,-4,-67,-1,28,0,3697,3456,241,-2112
1976:Q1,4124,3291,292,66,32,193,33,217,0,6540,5940,600,-2416
1976:Q2,-2738,-2668,293,23,-24,-203,-61,-98,0,-5816,-6384,568,3078
1976:Q3,3615,3087,297,59,33,128,25,-14,0,3474,3391,83,141
1976:Q4,2203,1788,301,60,13,15,3,23,0,3533,3340,193,-1330
1977:Q1,1838,1407,280,86,24,78,18,-55,0,3520,2988,532,-1682
1977:Q2,-5199,-5719,276,106,30,104,28,-24,0,-10681,-11457,776,5482
1977:Q3,3878,3334,268,110,32,111,31,-8,0,3634,3453,181,244
1977:Q4,2837,2322,262,97,32,97,29,-2,0,4181,4005,176,-1344
1978:Q1,3317,3002,94,89,33,92,30,-23,0,4501,4689,-188,-1184
1978:Q2,-4579,-5061,165,85,37,97,37,61,0,-9891,-10611,720,5312
1978:Q3,4166,3521,340,80,33,84,30,78,0,3420,3205,215,746
1978:Q4,4052,3459,481,74,21,56,9,-48,0,6071,5457,614,-2019
1979:Q1,5564,4885,566,80,11,33,-10,-1,0,6806,6042,764,-1242
1979:Q2,-4162,-4869,624,95,4,15,-30,-1,0,-12065,-12913,848,7903
1979:Q3,5427,4616,769,70,-4,-7,-38,21,0,3333,2780,553,2094
1979:Q4,3093,2299,885,-1,-15,-38,-39,2,0,4405,3733,672,-1312
1980:Q1,6158,5038,1075,-67,27,76,-22,31,0,7874,6078,1796,-1716
1980:Q2,-5385,-6432,898,-143,47,129,-18,134,0,-16484,-16791,307,11099
1980:Q3,3336,2762,457,-160,46,125,-18,124,0,1374,709,665,1962
1980:Q4,1537,1510,103,-127,24,66,-25,-14,0,5481,5200,281,-3944
1981:Q1,2624,3094,-292,-97,2,6,-25,-64,0,5669,5572,97,-3045
1981:Q2,-6034,-5470,-333,-89,-19,-51,-27,-45,0,-17757,-17183,-574,11723
1981:Q3,1861,2520,-437,-75,-21,-57,-29,-40,0,-872,-415,-457,2733
1981:Q4,-4792,-4144,-522,-63,-7,-12,-34,-10,0,-950,58,-1008,-3842
1982:Q1,-705,-644,30,-39,12,33,-36,-61,0,-1044,-1101,57,339
1982:Q2,-5936,-6140,167,-18,27,73,-45,0,0,-13436,-14071,635,7500
1982:Q3,2379,1674,509,-9,27,74,-39,143,0,1860,1352,508,519
1982:Q4,1866,831,785,-15,13,37,-22,237,0,2607,2282,325,-741
1983:Q1,6366,5862,503,-9,0,1,3,6,0,6314,6115,199,52
1983:Q2,-3708,-4043,486,-4,-12,-31,25,-129,0,-4108,-5710,1602,400
1983:Q3,4020,3634,444,-12,-14,-36,30,-26,0,2612,1920,692,1408
1983:Q4,-2001,-2392,413,-4,-10,-16,16,-8,0,3307,3058,249,-5308
1984:Q1,4404,4588,107,-220,0,0,5,-76,0,10296,9572,724,-5892
1984:Q2,-3434,-3673,171,210,2,2,-2,-144,0,-9854,-10490,636,6420
1984:Q3,1092,526,331,51,6,17,-4,165,0,-2985,-2402,-583,4077
1984:Q4,2417,2080,461,-173,12,42,-2,-3,0,1981,1789,192,436
1985:Q1,1171,388,624,17,17,68,3,54,0,4470,3255,1215,-3299
1985:Q2,-3571,-4085,719,-403,20,90,4,84,0,-11267,-12393,1126,7696
1985:Q3,4273,2826,956,292,27,109,5,58,0,2680,1594,1086,1593
1985:Q4,-534,-2287,1146,290,38,125,5,149,0,2103,1538,565,-2637
1986:Q1,1777,1320,240,134,46,154,2,-119,0,6872,6286,586,-5095
1986:Q2,71,-755,312,283,52,194,-4,-11,0,-9412,-10336,924,9483
1986:Q3,2734,1700,489,294,65,189,2,-5,0,661,378,283,2073
1986:Q4,2319,1510,632,-362,84,138,23,294,0,2920,1979,941,-601
1987:Q1,1513,1163,190,-104,104,89,47,24,0,3056,3296,-240,-1543
1987:Q2,1079,2981,21,-1858,125,38,70,-298,0,-6428,-7579,1151,7507
1987:Q3,848,835,62,-187,137,32,77,-108,0,-3324,-3392,68,4172
1987:Q4,280,103,309,-286,140,142,66,-194,0,993,1488,-495,-713
1988:Q1,1271,957,518,-496,79,90,58,65,0,7680,7306,374,-6409
1988:Q2,-2229,-2516,682,-653,79,98,51,30,0,-13545,-14833,1288,11316
1988:Q3,275,-1158,809,354,79,119,54,18,0,240,-795,1035,35
1988:Q4,1461,-778,901,999,79,157,67,36,0,2458,1513,945,-997
1989:Q1,5432,4763,1091,-405,-172,206,80,-131,0,13816,12572,1244,-8384
1989:Q2,-3317,-5756,1382,745,-172,262,91,131,0,-18394,-19638,1244,15077
1989:Q3,813,-1302,1309,456,-172,265,97,160,0,978,169,809,-165
1989:Q4,-3222,-3787,874,-345,-171,207,97,-97,0,2804,2606,198,-6026
1990:Q1,5098,3967,364,310,163,155,100,39,0,8602,8383,219,-3504
1990:Q2,-4507,-5126,82,127,162,93,104,51,0,-16530,-16540,10,12023
1990:Q3,6724,3804,56,2500,163,102,107,-8,0,2554,2853,-299,4170
1990:Q4,-3211,-2632,81,-1081,163,171,111,-24,0,-384,76,-460,-2827
1991:Q1,-3670,-3693,143,-533,166,229,114,-96,0,8462,7473,989,-12132
1991:Q2,-8046,-7207,83,-1518,166,279,114,37,0,-13358,-13993,635,5312
1991:Q3,6644,3977,146,1844,166,308,121,82,0,-1020,-1106,86,7664
1991:Q4,-3462,-2487,107,-1865,166,320,134,163,0,718,671,47,-4180
1992:Q1,6716,5651,162,822,-425,333,146,27,0,14611,14320,291,-7895
1992:Q2,-2360,-3124,153,497,-426,353,156,31,0,-17136,-17416,280,14776
1992:Q3,5798,3999,162,1454,-425,371,166,71,0,-159,30,-189,5957
1992:Q4,-986,-74,165,-1119,-425,385,173,-91,0,2234,2683,-449,-3220
1993:Q1,7255,6342,-411,2,530,405,184,203,0,14020,14453,-433,-6765
1993:Q2,-4869,-3353,-434,-2235,531,450,196,-24,0,-22538,-21465,-1073,17669
1993:Q3,7343,3049,-426,3172,531,436,201,380,0,-2970,-1873,-1097,10313
1993:Q4,624,-657,-463,695,531,368,196,-46,0,5696,5804,-108,-5072
1994:Q1,6974,4743,109,1705,-104,299,195,27,0,14501,13966,535,-7527
1994:Q2,-6860,-4212,504,-3394,-104,224,197,-75,0,-25705,-25744,39,18845
1994:Q3,4587,1420,320,2479,-103,219,196,56,0,1053,1061,-8,3534
1994:Q4,-3100,-2361,487,-1401,-104,301,192,-214,0,5156,4455,701,-8256
1995:Q1,14271,9139,91,4470,177,373,169,-148,0,23871,22796,1075,-9600
1995:Q2,-8711,-8556,108,-1090,177,433,192,25,0,-30516,-30318,-198,21805
1995:Q3,7657,1461,150,4930,178,460,202,276,0,-56,295,-351,7713
1995:Q4,927,-2050,202,2240,177,410,179,-231,0,-286,-639,353,1213
1996:Q1,10172,9022,476,278,160,105,185,-54,0,22929,21900,1029,-12757
1996:Q2,-1068,-3729,578,1466,161,113,210,133,0,-28139,-28569,430,27071
1996:Q3,5453,3466,837,745,161,151,210,-117,0,497,190,307,4956
1996:Q4,4945,804,426,2926,161,249,194,185,0,6725,6153,572,-1780
1997:Q1,16758,12269,1119,3493,-36,-47,184,-224,0,22902,21454,1448,-6144
1997:Q2,-4418,-4968,1280,-702,-37,-44,204,-151,0,-31873,-32715,842,27455
1997:Q3,14632,7195,900,6172,-36,-40,220,221,0,5011,4362,649,9621
1997:Q4,-2731,-5154,967,1093,-37,-37,202,235,0,-2111,-3417,1306,-620
1998:Q1,17316,9831,1302,5644,299,303,197,-260,0,25458,23634,1824,-8142
1998:Q2,-10019,-9130,-513,-1215,299,316,214,10,0,-34671,-33924,-747,24652
1998:Q3,16958,8644,2576,5210,299,315,216,-302,0,8969,6496,2473,7989
1998:Q4,-2041,-4501,755,423,299,319,193,471,0,-4967,-6394,1427,2926
1999:Q1,6387,5262,-112,627,199,191,195,25,0,26594,25594,1000,-20207
1999:Q2,3711,1616,5646,-4267,199,207,214,96,0,-19849,-25450,5601,23560
1999:Q3,9102,2651,666,5055,199,206,212,113,0,-1744,-2169,425,10846
1999:Q4,7531,-2555,2728,6070,199,198,209,682,0,5151,2258,2893,2380
2000:Q1,18106,11724,5913,-10,14,7,215,243,0,28790,22425,6365,-10684
2000:Q2,-1037,-2512,2810,-893,14,14,234,-704,0,-28814,-31490,2676,27777
2000:Q3,8863,112,-1199,9627,14,13,243,53,0,-11164,-8708,-2456,20027
2000:Q4,9541,-2364,4127,7167,14,14,259,324,0,-1231,-5225,3994,10772
2001:Q1,9735,4868,123,-1248,3256,3353,271,-888,0,17483,18092,-609,-7748
2001:Q2,-10930,-5292,315,-4373,-971,-1005,284,112,0,-28598,-27659,-939,17668
2001:Q3,49893,25557,2000,21993,-36,-45,297,127,0,20791,18575,2216,29102
2001:Q4,-34992,-22080,1611,-13993,-633,-651,311,443,0,-17413,-19766,2353,-17579
2002:Q1,12789,4022,749,8780,-552,-555,324,21,0,5844,5215,629,6945
2002:Q2,17737,3513,241,16750,-1395,-1431,338,-279,0,-11861,-11455,-406,29598
2002:Q3,8387,12475,240,-4425,-116,-121,351,-17,0,1656,1995,-339,6731
2002:Q4,-17281,-8101,241,-11310,882,910,365,-268,0,2110,465,1645,-19391
2003:Q1,7202,4260,-127,6332,-1938,-1990,378,287,0,32837,31793,1044,-25635
2003:Q2,1689,-801,-128,1657,135,139,392,295,0,-21629,-21862,233,23318
2003:Q3,-3170,2559,-127,-6705,315,326,406,56,0,7759,7042,717,-10929
2003:Q4,-16595,-17750,-128,1949,-422,-429,419,-234,0,17068,16352,716,-33663
2004:Q1,22897,9525,2089,7183,1729,1769,433,169,0,33465,30532,2933,-10568
2004:Q2,-15276,1427,2088,-18016,-660,-676,447,114,0,-18887,-21819,2932,3611
2004:Q3,26936,8232,2088,16402,-270,-276,461,299,0,7621,4067,3554,19315
2004:Q4,-1636,-12410,2089,6200,1058,1090,475,-138,0,12993,9438,3555,-14629
2005:Q1,8949,11693,2169,-6681,-661,-695,2711,413,0,47661,44026,3635,-38712
2005:Q2,-464,-1628,2169,-516,160,153,552,-1354,0,-25323,-28958,3635,24859
2005:Q3,1545,-1127,2169,-29,-790,-818,1600,540,0,404,-2961,3365,1141
2005:Q4,-14571,-10712,2169,-2698,-329,-343,-2944,286,0,15876,12511,3365,-30447
2006:Q1,19298,11917,2252,3642,414,423,164,486,0,39316,35868,3448,-20018
2006:Q2,-3215,-2992,2252,-858,-688,-698,-477,246,0,-41363,-44811,3448,38148
2006:Q3,18268,-681,2253,15015,496,514,214,457,0,-7272,-9014,1742,25540
2006:Q4,-3564,-9045,2252,-1756,2625,2699,125,-464,0,12102,10362,1740,-15666
2007:Q1,-19876,-12191,945,-5180,-1339,-1382,-1472,743,0,33946,33512,434,-53822
2007:Q2,-20019,-10116,946,-8661,-1002,-1026,-95,-65,0,-45124,-45559,435,25105
2007:Q3,-2370,-11232,945,6948,341,349,293,-14,0,-7334,-7391,57,4964
2007:Q4,-21280,-16054,946,-5930,606,622,-187,-1283,0,-16908,-16965,57,-4372
2008:Q1,4260,19179,1671,-15538,-529,-539,159,-143,0,22653,21871,782,-18393
2008:Q2,-39279,-17066,1670,-20486,-1957,-2008,-6,574,0,-59403,-60184,781,20124
2008:Q3,1716,16127,1671,-11369,-2257,-2312,-65,-79,0,-10416,-11847,1431,12132
2008:Q4,-59103,-15114,1671,-46810,681,694,-172,-53,0,-11620,-13051,1431,-47483
2009:Q1,935,1267,-1565,1685,-291,-290,-67,196,0,26533,28338,-1805,-25598
2009:Q2,-10477,-5574,-1565,-5145,384,398,-794,1819,0,-19157,-17352,-1805,8680
2009:Q3,23053,7095,-1565,16388,83,88,-784,1748,0,8185,9954,-1769,14868
2009:Q4,-13621,-6042,-1566,-7232,1414,1454,-1120,-529,0,12213,13983,-1770,-25834
2010:Q1,1451,13764,-183,-9747,-465,-479,-104,-1335,0,42630,43017,-387,-41179
2010:Q2,10736,-5589,-183,16367,44,46,75,-24,0,-35757,-35370,-387,46493
2010:Q3,19547,3185,-183,11897,1226,1260,154,2008,0,-1961,-1800,-161,21508
2010:Q4,28933,31338,-183,738,-186,-188,134,-2720,0,20054,20214,-160,8879
2011:Q1,26431,24272,146,1553,9,10,-139,580,0,52106,51937,169,-25675
2011:Q2,-3788,-15763,146,12394,-157,-161,-359,112,0,-38898,-39066,168,35110
2011:Q3,26042,12980,146,15074,-1146,-1179,818,-651,0,2152,2096,56,23890
2011:Q4,-10225,-8142,146,-2168,471,485,139,-1156,0,8904,8848,56,-19129
2012:Q1,30933,19033,1902,7558,831,857,296,456,0,46312,44499,1813,-15379
2012:Q2,-8830,-10754,1902,-15,170,182,-172,-143,0,-29410,-31223,1813,20580
2012:Q3,15661,-706,1902,12882,441,457,-145,830,0,-2214,-4140,1926,17875
2012:Q4,-6109,-6216,1902,-863,-285,-287,236,-596,0,13594,11668,1926,-19703
2013:Q1,7329,13213,793,-7853,-176,-190,201,1341,0,42797,42270,527,-35468
2013:Q2,-40023,-22621,794,-14301,-1848,-1901,-162,16,0,-40799,-41685,886,776
2013:Q3,11214,-3051,793,11837,611,627,235,162,0,10308,9421,887,906
2013:Q4,-5970,2548,794,-8498,138,141,-217,-876,0,15467,14657,810,-21437
2014:Q1,21533,15317,1712,2765,133,134,674,798,0,43652,42174,1478,-22119
2014:Q2,-4580,-13698,1712,7332,-284,-291,29,620,0,-29783,-31611,1828,25203
2014:Q3,28468,20051,1712,7004,-383,-393,206,271,0,-5390,-7213,1823,33858
2014:Q4,-5480,-9452,1711,3456,42,43,83,-1363,0,-5290,-7097,1807,-190
2015:Q1,20330,15065,1291,347,1071,1103,629,824,0,57165,55858,1307,-36835
2015:Q2,-20702,-9001,1290,-12750,83,87,215,-626,0,-37023,-38424,1401,16321
2015:Q3,-909,-7587,1290,8048,-1275,-1313,97,-169,0,-12144,-13506,1362,11235
2015:Q4,-22433,-19680,1291,-4843,893,919,-158,-855,0,-639,-1960,1321,-21794
2016:Q1,13760,4957,2502,2314,1072,1105,960,850,0,46496,44048,2448,-32736
2016:Q2,-13504,-17323,2503,3335,-313,-325,-815,-566,0,-21700,-24315,2615,8196
2016:Q3,9185,2277,2503,6169,-1243,-1277,222,534,0,-1030,-3840,2810,10215
2016:Q4,-4194,1996,2503,-10929,1531,1578,-117,-756,0,11615,8822,2793,-15809
2017:Q1,17403,23893,1151,-7233,-434,-448,-158,632,0,46801,45404,1397,-29398
2017:Q2,-12009,-15561,1151,4869,-1321,-1357,48,162,0,-68456,-69965,1509,56447
2017:Q3,8149,-4855,1151,10955,566,583,-953,702,0,-13456,-14626,1170,21605
2017:Q4,252784,216964,1151,24054,2992,1408,4524,-2432,4123,229188,228126,1062,23596
2018:Q1,-1439,7582,4612,-13988,933,-211,-663,296,0,49977,45502,4475,-51416
2018:Q2,-24094,-27730,4613,2688,-2075,-761,-1027,528,-330,-26488,-31184,4696,2394
2018:Q3,18402,8815,4613,5563,-18,-273,-875,577,0,17076,11909,5167,1326
2018:Q4,15078,36,4612,11124,719,-1600,152,35,0,9712,4691,5021,5366
2019:Q1,26640,26565,1697,-4211,1037,688,203,661,0,42610,40308,2302,-15970
2019:Q2,-37899,-41546,1696,3445,-1124,-815,52,723,-330,-45354,-48112,2758,7455
2019:Q3,20103,9998,1696,10196,-890,-208,-417,-272,0,-12149,-14126,1977,32252
2019:Q4,4893,-2536,1696,5116,986,926,348,-1643,0,-3222,-4726,1504,8115
2020:Q1,15952,24078,1895,-16660,2651,2587,70,1331,0,35993,34271,1722,-20041
2020:Q2,34943,26881,1894,2380,274,1249,141,2124,0,49320,46969,2351,-14377
2020:Q3,-50872,-47541,1895,2408,-3336,-3500,-162,-306,-330,-71183,-73772,2589,20311
2020:Q4,8582,4235,1895,659,1145,770,3,-125,0,2882,113,2769,5700
2021:Q1,-2806,1751,8076,-16729,1638,1253,416,789,0,43511,35170,8341,-46317
2021:Q2,-22921,-23887,8076,-1884,-2597,-2427,-543,671,-330,-89997,-94880,4883,67076
2021:Q3,12959,-1072,8077,6718,-801,-64,-994,1095,0,-32154,-40231,8077,45113
2021:Q4,9070,-2337,8076,3028,1513,739,111,-2060,0,-23268,-31344,8076,32338
2022:Q1,4255,58711,2943,-57451,1004,-918,338,-372,0,61593,58650,2943,-57338
2022:Q2,-39612,-26396,3521,-14418,-2563,-1022,1051,545,-330,-98128,-101649,3521,58516
2022:Q3,-7598,5466,2303,-14487,-507,64,-208,-229,0,-25971,-28274,2303,18373
2022:Q4,-5942,-22030,2689,12512,2301,732,693,-2839,0,-1581,-4270,2689,-4361
2023:Q1,37051,33179,1697,1323,159,480,-292,505,0,68921,67224,1697,-31870
2023:Q2,-53985,-52125,2778,-2396,-1544,-815,96,640,-619,-67361,-70139,2778,13376
2023:Q3,7897,3286,1117,1579,209,892,558,256,0,5447,4330,1117,2450
2023:Q4,14595,-14271,380,25923,1708,569,1581,-1295,0,-39272,-39652,380,53867
2024:Q1,16525,26298,1711,-16899,3999,575,-176,1017,0,91123,89412,1711,-74598
