1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,1222,1198,5,3,3,6,7,0,46,1,0,1,1,0,3,0,0,52,1271,65
1957:Q3,453,427,5,3,3,7,8,0,8,1,1,0,1,0,3,0,0,14,471,18
1957:Q4,62,33,5,2,4,9,9,0,5,1,5,6,5,-1,-7,0,0,14,65,18
1958:Q1,329,309,3,3,2,6,6,0,68,1,0,1,1,0,0,0,0,71,342,90
1958:Q2,624,601,3,2,4,6,8,0,75,2,1,0,0,0,0,0,0,78,649,98
1958:Q3,377,353,3,3,3,7,8,0,71,1,1,0,0,0,0,0,0,73,392,92
1958:Q4,-194,-218,3,2,4,8,7,0,-137,3,-1,-5,-5,-1,2,0,0,-144,-202,-182
1959:Q1,540,515,3,3,4,6,9,0,100,2,1,0,0,0,-1,0,0,102,562,129
1959:Q2,767,740,4,3,3,8,9,0,122,2,2,1,1,1,1,0,0,130,798,164
1959:Q3,506,480,3,3,4,8,8,0,92,2,2,1,0,1,2,0,0,100,526,126
1959:Q4,-494,-521,4,3,3,8,9,0,-163,4,6,1,1,0,7,0,0,-144,-514,-181
1960:Q1,566,538,4,2,4,8,10,0,74,0,3,0,1,1,3,0,0,82,589,103
1960:Q2,343,316,3,2,4,9,9,0,45,1,4,2,1,1,6,0,0,60,357,75
1960:Q3,351,323,3,3,4,8,10,0,62,1,4,2,2,2,7,0,0,80,365,101
1960:Q4,1566,1534,4,4,4,10,10,0,11,1,4,-2,-1,3,13,0,0,29,1629,36
1961:Q1,726,694,4,3,4,10,11,0,60,2,4,2,1,1,5,0,0,75,755,95
1961:Q2,692,660,5,3,3,9,12,0,81,2,3,0,1,1,2,0,0,90,720,114
1961:Q3,770,737,4,3,4,11,11,0,42,3,2,1,1,1,1,0,0,51,801,64
1961:Q4,363,329,4,3,5,10,12,0,57,2,-2,-11,-10,1,-7,0,0,30,378,38
1962:Q1,484,450,4,3,4,11,12,0,36,1,2,0,1,0,4,0,0,44,504,56
1962:Q2,680,644,4,3,5,11,13,0,68,1,3,1,1,1,3,0,0,78,708,98
1962:Q3,623,584,5,4,5,12,13,0,45,0,2,1,1,1,2,0,0,52,648,66
1962:Q4,952,915,5,3,3,12,14,0,67,1,8,6,5,2,11,0,0,100,991,126
1963:Q1,898,857,5,4,5,13,14,0,48,1,2,0,1,1,3,0,0,56,934,71
1963:Q2,897,859,4,3,5,12,14,0,106,1,0,1,0,0,-1,0,0,107,933,135
1963:Q3,625,581,5,4,5,14,16,0,99,1,0,-1,0,0,-2,0,0,97,650,122
1963:Q4,928,886,5,3,5,14,15,0,-55,2,-6,-5,-5,1,-9,0,0,-77,966,-97
1964:Q1,756,711,6,4,4,15,16,0,69,1,0,0,0,0,-2,0,0,68,787,86
1964:Q2,960,915,5,4,5,14,17,0,84,2,2,1,1,0,2,0,0,92,999,116
1964:Q3,923,876,5,4,6,15,17,0,42,1,1,1,1,1,2,0,0,49,960,62
1964:Q4,973,924,5,4,5,17,18,0,56,2,-2,-7,-6,1,2,0,0,46,1012,58
1965:Q1,1522,1471,6,4,6,16,19,0,137,1,2,1,1,1,1,0,0,144,1584,182
1965:Q2,1410,1360,6,4,4,17,19,0,2,2,-2,-1,-1,-1,-7,0,0,-8,1467,-10
1965:Q3,966,913,6,3,6,18,20,0,130,2,-3,-1,-1,-1,-8,0,0,118,1005,149
1965:Q4,918,854,7,6,8,20,23,0,102,3,-8,-1,-1,0,-21,0,0,74,955,93
1966:Q1,984,927,7,4,6,19,21,0,111,0,-3,-1,-1,-1,-6,0,0,99,1024,125
1966:Q2,1485,1428,6,5,5,19,22,0,78,1,4,1,1,1,6,0,0,92,1545,116
1966:Q3,1150,1089,6,4,6,21,24,0,-30,1,3,2,2,1,6,0,0,-15,1197,-19
1966:Q4,1588,1527,7,5,6,21,22,0,98,1,15,9,8,2,29,0,0,162,1652,204
1967:Q1,1329,1271,18,18,8,7,7,0,155,3,4,1,1,0,3,0,0,167,1383,210
1967:Q2,857,796,19,19,8,6,9,0,170,4,1,1,1,1,-3,0,0,175,892,220
1967:Q3,1191,1126,20,20,9,8,8,0,108,4,2,1,1,1,-4,0,0,113,1239,143
1967:Q4,1242,1174,22,22,8,7,9,0,115,4,0,-5,-4,0,-11,0,0,99,1292,125
1968:Q1,1139,1068,22,24,9,7,9,0,278,3,2,1,1,1,-3,0,0,283,1185,357
1968:Q2,1308,1235,24,25,9,7,8,0,105,3,3,1,2,1,2,0,0,117,1361,147
1968:Q3,1616,1537,26,27,10,8,8,0,94,4,3,1,1,0,8,0,0,111,1681,140
1968:Q4,1026,941,28,30,9,8,10,0,137,4,2,-7,-4,0,-2,0,0,130,1067,164
1969:Q1,1564,1476,29,31,10,8,10,0,245,4,3,1,2,0,1,0,0,256,1627,322
1969:Q2,1853,1764,31,32,10,8,8,0,172,4,5,2,2,2,3,0,0,190,1928,239
1969:Q3,1661,1566,32,36,10,8,9,0,193,4,5,1,3,1,3,0,0,210,1728,264
1969:Q4,650,546,35,39,12,8,10,0,286,5,13,9,11,4,20,0,0,348,676,438
1970:Q1,2143,2039,37,40,10,8,9,0,466,7,5,2,2,2,0,0,0,484,2230,610
1970:Q2,2515,2404,39,43,11,8,10,0,176,6,4,2,2,1,-2,0,0,189,2617,238
1970:Q3,1687,1573,41,46,10,8,9,0,290,6,4,1,1,2,-2,0,0,302,1755,380
1970:Q4,950,824,44,50,13,9,10,0,167,7,6,0,1,3,3,0,0,187,988,236
1971:Q1,-1270,-1401,48,53,11,9,10,0,165,2,4,2,1,1,4,0,0,179,-1321,225
1971:Q2,2317,2181,49,57,12,8,10,0,119,3,5,1,3,2,6,0,0,139,2411,175
1971:Q3,2293,2153,51,59,12,8,10,0,-249,3,4,2,2,1,5,0,0,-232,2386,-292
1971:Q4,438,278,58,67,14,10,11,0,226,4,-1,-15,-11,0,3,0,0,206,456,260
1972:Q1,-2744,-2903,59,69,12,8,11,0,-185,4,5,2,2,2,4,0,0,-166,-2855,-209
1972:Q2,1675,1507,62,74,13,9,10,0,189,4,4,1,2,2,2,0,0,204,1743,257
1972:Q3,2107,1929,67,79,13,9,10,0,294,4,4,2,2,1,3,0,0,310,2192,391
1972:Q4,1005,782,79,93,18,15,18,0,440,5,-3,-17,-14,1,-8,0,0,404,1046,509
1973:Q1,-15072,-15271,75,91,14,9,10,0,751,21,4,1,1,2,-20,0,0,760,-15682,957
1973:Q2,2805,2594,80,96,15,9,11,0,904,31,14,6,7,4,-13,0,0,953,2918,1201
1973:Q3,1994,1775,83,103,14,9,10,0,373,25,14,6,6,5,-6,0,0,423,2075,533
1973:Q4,2460,2207,95,115,16,13,14,0,39,34,24,-19,-12,11,10,0,0,87,2560,109
1974:Q1,-817,-1067,95,118,16,9,12,0,1435,30,14,-61,6,5,-13,0,0,1416,-850,1784
1974:Q2,2045,1783,101,126,15,10,10,0,405,30,57,-62,-52,-1,51,0,0,428,2128,539
1974:Q3,4287,4008,106,135,17,9,12,0,1256,31,56,-61,-53,-1,50,0,0,1278,4460,1610
1974:Q4,3185,2890,114,144,16,10,11,0,506,32,102,-57,-31,-5,110,0,0,657,3314,828
1975:Q1,3949,3636,120,155,16,10,12,0,90,-4,56,36,31,0,12,0,0,221,4109,278
1975:Q2,4108,3776,128,165,18,10,11,0,610,-4,5,36,31,0,12,0,0,690,4274,870
1975:Q3,1437,1086,136,176,17,10,12,0,-13,-4,5,36,31,1,12,0,0,68,1495,86
1975:Q4,4196,3826,143,188,17,10,12,0,1058,-5,-47,37,30,0,14,0,0,1087,4366,1369
1976:Q1,3876,3480,153,202,18,11,12,0,1079,3,5,35,43,1,2,0,0,1168,4033,1472
1976:Q2,2237,1816,163,216,20,10,12,0,702,3,25,52,44,2,34,0,0,862,2327,1086
1976:Q3,3173,2754,146,231,19,10,13,0,632,4,26,52,44,1,34,0,0,793,3301,999
1976:Q4,2199,1583,227,302,32,26,29,0,315,16,69,73,66,3,85,0,0,627,2288,790
1977:Q1,1977,1476,194,263,20,11,13,0,614,-3,25,52,44,2,44,0,0,778,2057,980
1977:Q2,3849,3317,206,283,20,11,12,0,655,-4,27,22,18,1,47,0,0,766,4005,965
1977:Q3,2573,2007,219,302,22,10,13,0,698,-3,27,22,19,1,48,0,0,812,2677,1023
1977:Q4,3029,2404,240,333,23,14,15,0,401,-6,39,52,42,2,73,0,0,603,3102,760
1978:Q1,4699,4252,228,170,32,42,-25,0,973,27,27,22,18,1,7,0,0,1075,4874,1355
1978:Q2,3793,3324,240,176,34,44,-25,0,1650,31,34,58,49,4,10,0,0,1836,3947,2313
1978:Q3,2372,1879,254,182,35,46,-24,0,1894,38,35,58,50,4,0,0,0,2079,2147,2620
1978:Q4,4568,4003,285,209,40,51,-20,0,975,48,61,83,73,9,27,0,0,1276,4731,1608
1979:Q1,5688,5146,284,194,37,50,-23,0,889,85,119,151,49,4,-64,0,0,1233,6150,1553
1979:Q2,7129,6562,299,202,38,51,-23,0,2103,85,118,151,128,9,67,0,0,2661,7672,3353
1979:Q3,6415,5818,317,208,40,54,-22,0,2125,85,118,150,129,10,67,0,0,2684,7181,3382
1979:Q4,5010,4330,355,238,45,60,-18,0,2054,56,152,198,145,17,226,0,0,2848,5818,3588
1980:Q1,5622,4966,353,223,42,59,-21,0,1848,227,329,151,129,-84,36,0,0,2636,6609,3321
1980:Q2,2681,1994,374,230,44,60,-21,0,3800,211,163,77,201,83,33,0,0,4568,3686,5756
1980:Q3,3400,2677,395,239,46,64,-21,0,2633,253,217,69,107,206,255,0,0,3740,4533,4713
1980:Q4,6771,5945,446,274,52,71,-17,0,1999,172,-50,107,103,130,22,0,0,2483,8109,3128
1981:Q1,2328,1533,442,254,49,69,-19,0,2336,256,180,62,31,-317,-51,0,0,2497,3337,3146
1981:Q2,5395,4561,466,265,50,72,-19,0,3259,258,444,73,105,21,42,0,0,4202,6334,5294
1981:Q3,562,-308,492,272,51,74,-19,0,3390,282,311,126,88,125,47,0,0,4369,2406,5505
1981:Q4,965,27,530,290,56,79,-17,0,6928,567,706,263,409,-140,196,0,0,8929,3379,11251
1982:Q1,5519,4011,720,433,53,212,90,0,-557,366,451,34,109,-80,180,0,0,503,6786,2136
1982:Q2,5884,4854,358,308,34,195,135,0,845,162,253,-24,166,170,107,0,0,1679,4895,3276
1982:Q3,4652,3776,434,326,11,269,-164,0,1782,253,242,-28,-22,-184,154,0,0,2197,2453,2913
1982:Q4,1938,2389,118,-136,22,-254,-201,0,603,257,216,237,25,298,172,0,0,1808,4046,4310
1983:Q1,6283,4837,576,193,7,601,69,0,822,490,197,-14,30,-87,111,0,0,1549,2800,1209
1983:Q2,5531,4681,316,455,64,-31,46,0,1188,169,-2,-4,-12,141,34,0,0,1514,4279,3578
1983:Q3,6231,5449,324,327,45,20,66,0,842,205,257,211,-13,174,42,0,0,1718,6062,4104
1983:Q4,5886,5101,608,60,61,-8,64,0,2400,239,187,47,63,-507,3,0,0,2432,4830,1480
1984:Q1,6910,6036,414,104,-7,550,-187,0,2490,361,170,41,-122,963,183,0,0,4086,4871,4801
1984:Q2,7711,6710,941,311,27,-447,169,0,4091,131,160,-51,-61,56,80,0,0,4406,5532,8922
1984:Q3,5780,5111,103,274,46,352,-106,0,2210,61,567,-129,-78,675,31,0,0,3337,4398,4493
1984:Q4,2966,2277,346,16,197,138,-8,0,3615,328,373,75,984,-142,-11,0,0,5222,5471,6253
1985:Q1,4111,4143,465,-456,-57,14,2,0,3520,264,165,-54,-111,-77,-195,0,0,3512,3175,4870
1985:Q2,8009,7113,455,336,111,-8,2,0,2622,-91,84,-72,60,220,-29,0,0,2794,4700,4674
1985:Q3,2461,2522,-549,297,-1,158,34,0,2703,27,590,213,330,-244,6,0,0,3625,3316,4919
1985:Q4,3452,3925,-151,-361,-9,-64,112,0,4434,254,356,109,-67,-348,-108,0,0,4630,3626,5284
1986:Q1,5192,3595,173,228,-80,1263,13,0,1659,132,200,-91,-344,-84,70,0,-45,1497,9005,3351
1986:Q2,6917,5928,254,314,-363,801,-17,0,5145,131,185,8,113,-56,34,44,-1568,4036,6458,5837
1986:Q3,4075,4779,-402,450,72,-865,41,0,6303,107,556,34,1172,444,56,0,-1588,7084,4276,8870
1986:Q4,-1018,1608,-2151,-472,62,-8,-57,0,9363,595,251,167,703,1293,382,-2,-1247,11505,-639,17361
1987:Q1,5901,4981,353,782,7,-249,27,0,7996,-16,143,-135,279,-483,871,-1,-2595,6059,7172,12773
1987:Q2,7239,7520,-983,373,4,337,-12,0,8196,114,-456,398,289,1228,459,0,-3681,6547,7458,9084
1987:Q3,7900,7305,264,211,29,92,-1,0,9502,-103,428,50,-127,-986,139,1,42,8946,8208,20998
1987:Q4,7161,7406,-1090,235,-8,-1027,1645,0,3826,1377,543,-587,465,-78,530,34,6125,12235,8397,15615
1988:Q1,2733,891,349,869,71,936,-383,0,15774,205,1109,277,296,638,540,0,-7757,11082,4786,8172
1988:Q2,4330,4246,-404,421,-44,314,-203,0,17738,140,227,127,-228,59,-1301,1,-5273,11490,3755,14141
1988:Q3,8765,7738,-80,569,92,534,-88,0,12214,100,-145,101,326,-342,1350,25,-4306,9323,8631,14061
1988:Q4,-4489,-4741,-374,469,-152,365,-56,0,13958,-306,1122,532,919,-691,-88,-20,-1147,14279,-1045,21362
1989:Q1,9894,8026,542,384,-112,1027,27,0,4012,226,302,-94,488,2320,-441,0,-3696,3117,14662,18252
1989:Q2,8452,3934,97,372,-103,4404,-252,0,9183,369,11,241,-55,2672,307,-1,-2008,10719,8619,15743
1989:Q3,9058,5412,85,481,-179,3267,-8,0,14250,125,580,649,381,-2977,-15,0,-415,12578,9780,11819
1989:Q4,-2471,-2481,-1278,-373,202,1278,181,0,15186,-32,653,595,167,3511,1107,-35,-3916,17236,5756,22459
1990:Q1,10157,12041,779,604,72,-3439,100,0,12256,177,555,257,330,-661,37,21,-59,12913,11070,15638
1990:Q2,7089,7799,87,-155,-10,-655,23,0,10331,243,635,175,-158,696,113,1,-578,11458,5814,14644
1990:Q3,13980,11257,-581,308,360,2554,82,0,18252,97,188,286,40,-1989,69,3,-8087,8859,19262,9156
1990:Q4,5147,7946,-118,582,159,-3533,111,0,9715,1396,-310,1095,1428,-371,394,89,-4509,8927,-3381,9058
1991:Q1,13209,7089,649,156,138,5126,51,0,10816,-88,590,2069,345,-2162,1088,1,-3168,9491,17863,3846
1991:Q2,8143,11937,-509,248,13,-3664,118,0,-5166,-37,-350,-73,-37,7168,255,1,3114,4875,2598,13975
1991:Q3,11343,10391,223,-269,-155,976,177,0,326,64,393,680,1133,-4477,289,6,6454,4868,10236,-797
1991:Q4,8512,10377,-1173,-232,539,-1097,98,0,-702,90,979,-455,6,595,-4,-42,7798,8265,8422,6147
1992:Q1,13239,7939,320,197,124,4509,150,0,3875,32,610,184,299,584,185,-6,-2142,3621,20703,1782
1992:Q2,10315,10723,430,232,173,-1490,247,0,4613,46,332,72,368,326,111,0,-2263,3605,10848,6379
1992:Q3,7128,10366,532,-3619,-31,-176,56,0,814,44,254,52,-108,628,46,-2,3455,5183,5719,3548
1992:Q4,5877,4892,80,36,-21,351,539,0,-3277,-86,2328,66,462,483,-189,9,7819,7615,7183,8114
1993:Q1,12405,13760,292,645,65,-2551,194,0,1982,-12,-30,72,-942,-1657,3405,2,712,3532,15977,7813
1993:Q2,16150,7805,55,246,-270,7715,599,0,379,-99,794,-223,452,2289,3325,0,-2746,4171,24373,11799
1993:Q3,17279,17455,920,719,-22,-1834,41,0,-6955,12,-146,-62,205,896,3302,2,8625,5879,14171,12148
1993:Q4,15449,911,-396,124,-95,14779,126,0,6062,-200,238,-119,-607,3992,1984,-26,-2292,9032,29430,19603
1994:Q1,15981,15520,122,-1168,5,1529,-27,0,8438,64,424,507,450,-157,258,1,-3648,6337,31072,5473
1994:Q2,15609,15009,877,93,246,-721,105,0,2290,-8,170,291,28,405,193,0,1798,5167,16123,6026
1994:Q3,16893,16100,738,287,-116,-165,49,0,18291,-34,718,401,236,91,178,6,-7962,11925,19259,14623
1994:Q4,16180,16819,213,1802,392,913,-3959,0,9993,115,1693,401,737,965,2321,93,2347,18665,13713,19999
1995:Q1,20509,18656,223,541,24,1215,-150,0,16447,5,1523,328,272,-869,503,3,-5573,12639,21684,9439
1995:Q2,15329,14150,626,-18,247,265,59,0,13188,-29,179,1133,141,-369,387,7,-4820,9817,16032,12199
1995:Q3,21879,20148,637,951,-110,119,134,0,15708,-1,2416,330,323,828,418,6,-4267,15761,23024,17859
1995:Q4,36675,33105,115,2068,205,1146,36,0,10657,452,1691,-1118,731,1057,207,-29,4450,18098,38010,18279
1996:Q1,28775,26365,1068,655,229,1435,-977,0,15872,155,-181,638,67,565,643,7,1533,19299,26731,28133
1996:Q2,16505,14021,356,624,178,1127,199,0,21806,-51,-1747,616,69,908,692,31,-9054,13270,16828,16699
1996:Q3,20560,17374,960,663,222,718,623,0,9837,24,626,478,407,-1468,739,89,5200,15932,24802,16597
1996:Q4,16383,10809,645,1802,130,3654,-657,0,11771,-85,1595,3610,-319,1230,701,-27,5263,23739,23522,25074
1997:Q1,31499,27286,1020,1691,709,411,382,0,19559,54,886,-231,550,1602,1125,-78,-6353,17114,32670,28668
1997:Q2,26148,21376,1241,1567,118,1604,242,0,13150,-11,2671,502,3080,-768,1111,18,-4292,15461,27387,23787
1997:Q3,22969,20760,653,1655,-140,461,-420,0,22075,214,1571,2717,921,-3203,1285,48,-7147,18481,23371,19094
1997:Q4,18192,9728,-83,530,994,5972,1051,0,21635,214,142,557,452,4155,119,-52,-3811,23411,21380,34053
1998:Q1,38813,41233,1259,-545,578,-4237,525,0,20665,-5,-121,394,164,-746,-370,193,-4436,15738,45258,20060
1998:Q2,31960,25858,309,1543,747,3309,194,0,9327,-15,9,138,553,1727,-229,-26,3552,15036,46886,21046
1998:Q3,25785,23521,-831,1320,-638,2026,387,0,3093,-88,3907,105,139,-1027,-244,-12,12822,18695,22959,25124
1998:Q4,20055,16149,1702,3611,-282,-3019,1894,0,86964,334,-353,2,1151,2909,-88,-152,9697,100464,27544,112814
1999:Q1,43544,38115,504,1457,117,1546,1805,0,-3603,200,-1030,89,195,-4284,976,-343,17298,9498,72236,27659
1999:Q2,36107,31288,445,450,342,1631,1951,0,76854,94,13220,3635,8907,3821,-1291,2843,24532,132615,52102,143930
1999:Q3,53130,47493,421,2235,530,747,1704,0,10923,119,-231,5006,-94,2049,138,753,15721,34384,66487,51830
1999:Q4,29603,26891,91,1448,332,7053,-6212,0,45904,130,2921,801,1099,4768,662,-915,-6516,48854,33315,65685
2000:Q1,47776,40363,1956,1082,852,621,2902,0,29396,-255,802,985,1726,-2725,543,122,13976,44570,38129,51222
2000:Q2,55913,49379,1211,2432,433,-380,2838,0,77897,247,147,1493,2845,372,795,-160,225,83861,54971,94677
2000:Q3,34899,26873,4314,954,378,458,1922,0,30232,-86,-606,510,9086,-903,-517,111,229,38056,42273,81868
2000:Q4,31426,30935,3196,784,-507,-577,-2405,0,54748,192,5769,2397,14444,14465,-377,-302,620,91956,22209,92570
2001:Q1,34967,32841,535,626,566,277,122,0,20420,-148,-1216,2715,1527,4591,374,68,924,29255,39587,58751
2001:Q2,33461,32385,948,-120,23,357,-132,0,44559,-21,3388,-2072,2128,1190,1507,-452,140,50367,30182,61262
2001:Q3,41315,28649,455,-104,172,-294,12437,0,10601,108,-61,788,891,-6466,1405,-548,100,6818,47230,16920
