1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q1,-66079,3642,9453,4960,4469,557,-612,80,-810,5001,79870,58869,36628,22290,1656,-1704,11657,0,0,11545,0,112,-0,-9344,0,-9344,-0,-149592,1397862
1975:Q2,67245,3471,6611,4268,3804,504,-2003,39,7244,10383,63706,42562,23998,16298,2034,232,9014,0,0,8917,0,96,1,-12130,0,-12131,0,68,1465107
1975:Q3,7565,1027,10883,4208,3713,548,2464,-50,9250,19106,6594,23643,12853,8291,1074,1424,-8338,0,0,-8232,0,-106,0,8711,-1,8712,0,-56,1472672
1975:Q4,40200,5737,11261,4409,3950,642,2347,-86,4712,10235,34691,25425,16750,8525,960,-810,4477,0,0,4431,0,46,-0,-4789,1,-4790,-0,-228,1512872
1976:Q1,59009,15146,16098,4817,4271,842,6065,104,25997,26949,44474,26222,14023,10543,654,1003,8576,0,0,8487,0,89,0,-9676,0,-9674,-0,-611,1571881
1976:Q2,62814,21477,20243,4969,4543,977,9109,646,29295,28061,42220,42117,31217,7514,1762,1625,1020,0,0,1001,0,20,-1,917,0,916,0,-883,1634695
1976:Q3,43140,4427,20355,5162,5065,1122,8022,985,19868,35796,39528,39677,27674,9427,1512,1064,614,0,1,625,-1,-12,1,762,0,760,-0,-815,1677836
1976:Q4,102941,-87,19215,5162,5678,1258,6871,247,466,19768,102766,40574,28154,11166,1586,-330,62191,0,2218,1417,58547,9,0,-1,603,-604,-0,262,1780777
1977:Q1,47297,10583,22571,5262,7176,1319,8942,-127,23127,35115,36585,48153,34066,11069,999,2021,-5720,0,0,-5654,0,-66,0,5849,1,5849,0,129,1828074
1977:Q2,56137,17462,22154,5730,7772,1430,7078,145,18868,23561,39019,35922,24556,10388,1462,-482,1402,0,-1,1356,1,47,-1,-1695,0,-1695,0,-344,1884210
1977:Q3,51591,15192,24941,6065,8287,1458,8354,777,30708,40457,37175,43225,29401,11501,1680,644,-2749,0,1,-2731,-1,-18,1,3301,0,3301,-1,-776,1935801
1977:Q4,67195,13363,24871,6342,9339,1418,7509,265,35545,47053,54098,43322,27414,12328,1752,1826,10860,0,438,-1036,11466,-8,-0,84,772,-689,0,-266,2002996
1978:Q1,52108,11276,28063,6480,9322,1373,11011,-123,32598,49385,40710,47943,29633,12537,2248,3525,-4489,0,0,-4461,0,-27,-1,2744,0,2744,0,122,2055104
1978:Q2,89123,14450,32654,8098,11242,1481,11142,691,19933,38137,75365,61585,42598,12931,1837,4220,4818,0,0,4780,0,37,1,-8962,0,-8962,0,-692,2144227
1978:Q3,94445,20123,31873,9230,11505,1592,9920,-374,32014,43765,73948,57196,39542,13489,2191,1975,5324,0,0,5294,0,30,-0,-11427,0,-11429,0,375,2238673
1978:Q4,99004,22198,37439,9950,12129,1797,13552,12,49236,64478,76817,64021,44545,13434,2366,3676,18053,0,907,-4848,22030,-36,0,5256,1060,4196,0,-11,2337676
1979:Q1,93551,13618,39004,9868,13334,2020,13258,524,40103,65489,80456,72611,44910,18013,2265,7422,4145,0,0,4125,0,20,-0,-3700,1,-3700,-0,-523,2431228
1979:Q2,106372,25905,40463,10171,12676,2153,15516,-52,31610,46168,80638,78411,51020,18215,3016,6160,1018,0,1,1001,-1,17,-0,-1210,-1,-1210,1,-171,2537600
1979:Q3,119297,25888,39815,11344,13256,2267,12385,565,58565,72493,94281,82447,57183,17096,2941,5227,4931,0,-1,4886,1,44,1,-6904,0,-6903,-1,-872,2656897
1979:Q4,106853,17985,40535,12354,12335,2287,12212,1347,39468,62018,90214,70645,42954,18472,3163,6056,25001,0,937,-1059,25113,11,-1,5432,1431,4000,0,-1346,2763750
1980:Q1,65999,-2889,44256,12975,12636,2367,15740,539,29247,76392,75026,82691,39001,28856,3330,11503,-4613,0,0,-4514,0,-99,-0,3051,0,3052,-0,-6138,2829749
1980:Q2,111045,8742,35732,12828,9598,2251,11366,-310,5044,32034,103913,80445,46110,29459,3302,1575,9676,0,0,9581,0,94,1,-13792,0,-13792,1,-1610,2940794
1980:Q3,130162,20546,30756,13021,9668,2222,5496,350,73555,83766,108122,86709,50934,26792,3674,5308,9153,0,0,9036,0,118,-1,-12261,0,-12260,-1,1494,3070956
1980:Q4,143595,4638,37786,13681,9808,2400,8900,2998,36369,69516,136418,91142,63995,20551,3518,3079,41078,0,1196,8468,31353,61,-0,-4198,3916,-8114,0,2539,3214551
1981:Q1,106509,12750,44208,14039,10664,2899,16778,-172,120801,152259,90542,90056,57400,22368,3470,6818,171,0,1,201,-1,-31,1,-315,0,-315,-0,3217,3321060
1981:Q2,96607,23150,36985,15181,10813,3103,6678,1209,30089,43924,73651,83326,55701,22178,3252,2195,-4086,0,0,-4078,0,-7,-0,5590,0,5589,1,-194,3417667
1981:Q3,38687,8535,45570,15744,11355,3228,12100,3143,34924,71959,34309,63852,45609,14615,3086,542,-13125,0,0,-12987,0,-140,1,16417,0,16415,0,-4157,3456354
1981:Q4,126042,28606,41310,17638,10372,3490,8947,863,19131,31835,101344,78348,63119,15162,4238,-4170,15856,0,496,5585,9737,39,-1,-7140,2214,-9352,-1,-3908,3582396
1982:Q1,72852,-13422,26383,16325,8763,3505,-3006,796,27222,67026,87727,92506,75476,10937,2509,3584,-9518,0,0,-9419,0,-98,-1,-4739,0,-4740,0,-1453,3655248
1982:Q2,37178,6543,24476,14845,6678,3544,-761,170,8070,26003,31023,30557,10711,16204,2952,691,-2089,0,0,-2105,0,16,0,-2555,0,-2556,0,-388,3692426
1982:Q3,71110,14281,23016,13077,5385,3518,997,39,42808,51543,56649,21252,9982,9490,2793,-1012,9933,0,0,9752,0,181,-0,-25464,0,-25464,-0,180,3763536
1982:Q4,59510,23265,13308,12596,4033,3357,-9017,2340,15757,5800,38173,7063,-3525,7158,2999,431,22481,0,2079,18371,1797,234,-1,-8629,-8110,-519,-0,-1928,3823046
