1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,17535,5076,1591,9465,6542,1341,1002,580,1403,17535,17468,8602,5073,3293,239,261,-255,101,0,0,0,0,-77,0,-279,0,322,17535,2508,385,627,109,1318,69,15027,0,9875,183,28,56,14,3389,18,710,30,0,362,11,0,422,0,-71,0,0,0
1952:Q1,518,-338,-231,1840,1274,178,225,163,-753,518,954,614,-241,527,99,-45,-629,-322,0,0,0,0,118,0,-425,0,193,518,-431,-116,-1625,842,440,28,949,0,437,79,3,23,2,612,6,99,8,0,-269,2,0,-54,0,1,0,0,0
1952:Q2,6434,975,808,2370,1732,217,214,207,2281,6434,5226,4143,-444,1139,315,73,1046,64,0,0,0,0,146,0,836,0,162,6434,1215,137,556,186,311,25,5219,0,3217,71,1,88,1,494,7,386,9,0,117,2,0,794,0,32,0,0,0
1952:Q3,4389,-99,974,2427,1842,238,234,113,1087,4389,4711,2985,587,562,441,136,-471,62,0,0,0,0,131,0,-664,0,149,4389,835,211,104,65,429,26,3554,0,2043,-55,1,72,1,499,8,425,9,0,59,3,0,478,0,11,0,0,0
1952:Q4,8116,2292,947,2320,1776,206,236,102,2557,8116,6593,4406,1558,276,195,158,1502,149,0,0,0,0,725,0,628,0,21,8116,1892,347,805,321,395,24,6224,0,4515,33,0,54,1,455,8,48,10,0,149,3,0,911,0,37,0,0,0
1953:Q1,2485,-682,669,2119,1590,106,263,160,379,2485,3227,2274,608,163,408,-225,-856,-253,0,0,0,0,-187,0,-416,0,114,2485,181,701,-670,-221,350,21,2304,0,1279,-20,1,66,2,535,10,60,11,0,-317,2,0,512,0,163,0,0,0
1953:Q2,5552,180,733,2868,2219,179,279,191,1771,5552,4907,4450,-392,853,70,-74,294,107,0,0,0,0,90,0,97,0,351,5552,901,-94,366,111,497,21,4651,0,2588,27,2,104,4,560,11,333,11,0,168,1,0,653,0,189,0,0,0
1953:Q3,4465,486,796,2501,1980,168,273,80,682,4465,3531,2487,404,534,103,3,448,83,0,0,0,0,95,0,270,0,486,4465,761,163,-80,-8,666,20,3704,0,2401,26,1,89,5,527,11,98,12,0,80,2,0,517,0,-65,0,0,0
1953:Q4,3150,-886,434,2342,1733,187,352,70,1260,3150,2447,3352,-354,-630,147,-68,420,151,0,0,0,0,-169,0,438,0,283,3150,1472,418,644,246,143,21,1678,0,717,40,0,52,5,650,11,39,13,0,36,2,0,36,0,77,0,0,0
1954:Q1,-830,-940,19,1961,1413,53,316,179,-1870,-830,256,-170,15,445,70,-104,-1056,-322,0,0,0,0,-307,0,-427,0,-30,-830,-923,335,-888,-309,-83,22,93,0,-146,12,0,27,4,553,11,20,14,0,-254,1,0,-171,0,22,0,0,0
1954:Q2,5079,346,426,3045,2263,138,444,200,1262,5079,4214,3775,-908,1104,436,-193,949,45,0,0,0,0,138,0,766,0,-84,5079,624,496,409,73,-378,24,4455,0,2817,37,0,88,2,675,10,312,15,0,147,1,0,194,0,157,0,0,0
1954:Q3,4365,371,367,3391,2722,140,458,71,236,4365,4167,3408,-359,976,166,-24,193,14,0,0,0,0,-46,0,225,0,5,4365,498,534,-72,-50,63,23,3867,0,2521,37,0,74,0,703,11,8,16,0,58,8,0,186,0,245,0,0,0
1954:Q4,7774,831,1399,3823,3020,213,531,59,1721,7774,6821,5282,1182,30,341,-14,695,178,0,0,0,0,76,0,441,0,258,7774,2056,680,897,287,171,21,5718,0,3579,102,2,41,-2,936,14,78,16,0,105,8,0,457,0,382,0,0,0
1955:Q1,4169,380,374,3676,2881,117,452,226,-261,4169,4455,3173,401,686,187,8,-270,-165,0,0,0,0,200,0,-305,0,-16,4169,-320,575,-853,-298,239,17,4489,0,3036,-45,7,51,1,853,17,-12,17,0,-32,8,0,289,0,299,0,0,0
1955:Q2,11108,2626,1029,4400,3460,207,498,235,3053,11108,10190,7059,1062,1704,374,-9,806,315,0,0,0,0,269,0,222,0,112,11108,1140,202,564,118,242,14,9968,0,6667,14,11,124,2,787,19,355,17,0,463,9,0,1438,0,62,0,0,0
1955:Q3,8302,1592,682,4240,3335,190,556,159,1788,8302,7784,5304,1022,1188,267,3,473,258,0,0,0,16,345,0,-146,0,45,8302,465,292,79,-6,87,13,7837,0,5152,-22,11,117,3,801,22,273,18,0,343,10,0,1009,0,100,0,0,0
1955:Q4,10059,3055,671,3927,2904,311,556,156,2406,10059,9193,5574,3143,342,124,10,830,142,0,0,0,50,113,0,525,0,36,10059,1685,375,908,292,95,15,8374,0,5829,-14,9,70,3,1191,25,73,17,0,115,11,0,1070,0,-25,0,0,0
1956:Q1,3758,623,398,3435,2420,167,579,269,-698,3758,4453,1683,1967,615,181,7,-769,-279,0,0,0,-40,15,0,-465,0,74,3758,-467,715,-880,-274,-44,16,4225,0,2734,19,6,56,4,1007,28,13,18,0,-84,11,0,422,0,-9,0,0,0
1956:Q2,8652,2103,452,4067,2971,170,628,298,2030,8652,8361,5174,1490,1456,239,2,130,35,0,0,0,68,93,0,-66,0,161,8652,1025,261,405,101,244,14,7627,0,5596,64,4,125,3,964,32,316,16,0,312,11,0,181,0,3,0,0,0
1956:Q3,5258,466,316,3779,2847,145,617,170,697,5258,5387,3297,596,1000,459,35,-141,-31,0,0,0,4,176,0,-290,0,12,5258,366,252,26,40,29,19,4892,0,3058,88,3,117,2,856,34,541,19,0,171,5,0,3,0,-5,0,0,0
1956:Q4,7581,1797,839,3343,2571,92,604,76,1602,7581,6818,4683,2200,21,-110,24,594,86,0,0,0,263,12,0,233,0,169,7581,1889,263,883,289,423,31,5692,0,3892,32,5,94,0,946,34,-7,24,0,359,6,0,262,0,45,0,0,0
1957:Q1,883,-430,-192,2843,2106,21,518,198,-1338,883,2075,1083,1138,317,-520,57,-1298,-267,0,0,0,-150,-211,0,-670,0,106,883,-1400,-56,-1092,-313,20,41,2283,0,899,-10,5,66,0,766,33,13,30,0,242,8,0,358,0,-127,0,0,0
1957:Q2,7450,2357,156,2956,2188,97,473,198,1981,7450,7281,4990,1360,1092,-162,2,130,118,0,0,0,-208,-88,0,308,0,39,7450,510,-1,543,121,-205,52,6940,0,4737,37,5,152,0,585,32,300,35,0,515,9,0,338,0,195,0,0,0
1957:Q3,3753,-307,-44,3356,2358,197,684,117,748,3753,3419,3068,-71,750,-394,66,229,40,0,0,0,115,2,0,72,0,105,3753,210,41,-88,-26,226,57,3543,0,2147,28,5,148,0,602,33,46,39,0,304,4,0,291,0,-104,0,0,0
1957:Q4,5363,563,515,3039,1977,232,781,49,1246,5363,4266,3033,1165,294,-252,26,500,146,0,0,0,-37,-28,0,419,0,597,5363,1665,125,678,259,551,52,3698,0,2457,5,5,84,0,644,36,76,41,0,321,3,0,327,0,-301,0,0,0
1958:Q1,-894,-1982,835,2695,1601,414,553,127,-2442,-894,-494,-935,-432,461,361,51,-567,-569,0,0,0,-74,114,0,-38,0,167,-894,-709,594,-1230,-400,275,52,-185,0,-942,72,10,-12,0,558,36,165,44,0,-371,2,0,4,0,249,0,0,0
1958:Q2,6746,1372,872,3573,2167,492,684,230,929,6746,5015,3507,-242,1396,317,37,1624,233,0,0,0,-7,114,0,1284,0,107,6746,1440,727,446,72,144,51,5306,0,4056,32,13,105,0,424,36,348,47,0,112,2,0,-301,0,432,0,0,0
1958:Q3,3153,-1646,256,4307,2893,503,708,203,236,3153,4440,3510,-443,1075,239,59,-1627,81,0,0,0,19,-286,0,-1441,0,340,3153,1118,536,93,34,402,53,2035,0,1459,14,13,88,0,476,40,311,50,0,141,6,0,-631,0,68,0,0,0
1958:Q4,11171,3372,1392,4857,3142,545,1018,152,1550,11171,9233,5712,2575,868,45,33,1600,288,0,0,0,41,515,0,756,0,338,11171,2431,601,856,295,623,56,8740,0,6597,-48,7,86,-1,687,47,110,55,0,346,7,0,631,0,216,0,0,0
1959:Q1,3530,-1002,875,4156,2788,567,553,248,-499,3530,3916,2226,254,1465,-54,25,-331,-211,0,0,0,25,514,0,-659,0,-55,3530,85,367,-789,-267,713,61,3445,0,1721,-1,2,66,0,484,54,133,56,0,123,5,0,768,0,34,0,0,0
1959:Q2,13075,3554,1457,5177,3439,547,804,387,2887,13075,11790,6966,2376,2381,4,63,998,450,0,0,0,-43,543,0,48,0,287,13075,1606,63,549,133,794,67,11469,0,8262,11,-2,208,-2,482,60,385,55,0,889,6,0,1018,0,97,0,0,0
1959:Q3,9020,1909,-153,5224,3716,533,771,204,2040,9020,7987,6161,313,1589,-119,43,852,258,0,0,0,-7,506,0,95,0,181,9020,223,-165,-114,-25,461,66,8797,0,6386,41,-3,227,-3,671,65,323,64,0,574,1,0,605,0,-154,0,0,0
1959:Q4,11098,3950,-825,4678,3092,488,945,153,3295,11098,9866,6704,2903,633,-428,54,1282,339,0,0,0,104,284,0,555,0,-50,11098,735,-1481,1586,481,88,61,10363,0,7439,39,-3,163,-9,928,68,43,81,0,528,1,0,1059,0,26,0,0,0
1960:Q1,1930,-854,419,3821,2481,499,671,170,-1456,1930,3623,832,1562,1175,16,38,-1792,-614,0,0,0,93,-67,0,-1204,0,99,1930,-2099,7,-1799,-561,202,52,4029,0,1804,27,1,115,-1,876,74,87,99,0,-127,1,0,1386,0,-313,0,0,0
1960:Q2,11548,2469,1868,4346,2786,503,769,288,2865,11548,10843,6759,1648,1782,556,98,411,250,0,0,0,-232,58,0,335,0,294,11548,1560,361,704,161,291,43,9988,0,6023,70,2,259,0,793,82,685,118,0,687,2,0,1220,0,47,0,0,0
1960:Q3,5897,-534,655,4808,3216,591,863,138,968,5897,5468,4554,-498,1171,162,79,164,-34,0,0,0,56,-580,0,722,0,265,5897,941,1026,-267,-98,236,44,4956,0,3098,145,3,181,2,704,82,102,124,0,243,-2,0,196,0,78,0,0,0
1960:Q4,10018,1985,2069,4306,2796,493,876,141,1658,10018,8614,5400,2359,648,217,-10,903,245,0,0,0,-19,35,0,642,0,501,10018,2871,1406,870,275,267,53,7147,0,4861,107,2,120,2,814,74,52,117,0,249,-3,0,688,0,64,0,0,0
1961:Q1,545,-1901,511,3844,2267,638,714,225,-1909,545,2858,723,-281,1881,485,50,-2824,-504,0,0,0,-24,-1446,0,-850,0,511,545,-1006,575,-1655,-608,621,61,1551,0,694,431,5,-8,4,692,68,51,114,0,-414,0,0,-459,0,373,0,0,0
1961:Q2,9796,1142,2493,4903,2958,519,1052,374,1258,9796,8956,6070,108,1802,863,113,1068,392,0,0,0,-13,-98,0,787,0,-228,9796,2210,1541,582,169,-151,69,7586,0,4474,160,5,182,3,770,61,786,116,0,361,-1,0,209,0,460,0,0,0
1961:Q3,7427,867,440,5635,3576,847,912,300,485,7427,6244,4215,-324,1905,410,38,578,255,0,0,0,9,300,0,14,0,605,7427,1243,356,45,35,736,71,6184,0,5002,-112,7,122,1,551,61,69,113,0,451,44,0,-84,0,-41,0,0,0
1961:Q4,14642,4098,2013,6178,3848,832,1318,180,2353,14642,11517,7032,3171,1106,183,25,2457,538,0,0,0,95,901,0,923,0,668,14642,2687,802,1031,332,456,66,11955,0,8321,-23,10,114,-2,921,69,10,103,0,713,46,0,1391,0,282,0,0,0
1962:Q1,1543,-1365,-28,4333,2461,596,971,305,-1397,1543,3397,1240,-87,1798,361,85,-2405,-511,0,0,0,-60,-1118,0,-716,0,551,1543,-256,416,-1081,-353,697,65,1799,0,1499,-160,15,-2,-1,518,74,48,94,0,-144,22,0,180,0,-344,0,0,0
1962:Q2,13837,1742,2568,6130,3749,719,1210,452,3397,13837,12525,7031,1950,2438,945,161,1162,616,0,0,0,-44,755,0,-165,0,150,13837,3030,1258,881,243,583,65,10807,0,7917,-198,19,276,-4,660,79,854,84,0,731,24,0,743,0,-378,0,0,0
1962:Q3,9606,1456,600,6359,4108,832,1149,270,1191,9606,8821,6156,655,1745,213,52,931,279,0,0,0,34,142,0,476,0,-146,9606,931,693,34,-1,142,63,8675,0,6669,95,19,194,-6,680,81,15,81,0,305,37,0,201,0,304,0,0,0
1962:Q4,16196,5143,1688,6647,3962,963,1473,249,2718,16196,13317,7424,3826,1603,258,206,2573,433,0,0,0,55,870,0,1215,0,306,16196,2080,205,960,296,561,58,14116,0,10532,87,15,152,-10,1342,82,76,87,0,352,40,0,1102,0,259,0,0,0
1963:Q1,2930,-2169,503,5005,3045,650,942,368,-409,2930,5541,2816,311,1901,452,61,-2948,-965,0,0,0,-26,-760,0,-1197,0,337,2930,-554,96,-1038,-349,683,54,3484,0,2323,144,12,24,-3,739,81,49,89,0,-1019,40,0,924,0,81,0,0,0
1963:Q2,18692,3315,4892,7203,4449,820,1344,590,3282,18692,15686,9390,1919,2820,1536,21,2233,756,0,0,0,-63,591,0,949,0,773,18692,2981,1882,729,212,110,48,15711,0,10599,167,9,319,-3,910,78,952,89,0,667,42,0,1104,0,778,0,0,0
1963:Q3,12231,1427,1241,7418,4861,792,1343,422,2145,12231,10040,7379,499,1959,102,102,1983,754,0,0,0,0,587,0,642,0,208,12231,607,165,177,46,172,47,11624,0,8080,204,8,200,-2,988,84,73,92,0,810,14,0,603,0,470,0,0,0
1963:Q4,18771,5173,2898,7192,4444,1030,1469,249,3508,18771,15976,8874,4475,1990,588,49,2050,760,0,0,0,0,1011,0,279,0,745,18771,2582,552,1093,329,560,48,16189,0,11598,-20,13,155,-5,1426,101,87,100,0,673,16,0,1843,0,202,0,0,0
1964:Q1,4499,-3574,2281,5621,3670,912,527,512,171,4499,6543,3790,848,1837,72,-4,-2735,-616,0,0,0,0,-1220,0,-899,0,691,4499,946,1312,-841,-287,706,56,3553,0,1449,70,15,54,-1,1033,137,108,104,0,-416,26,0,1143,0,-169,0,0,0
1964:Q2,19868,6520,2251,7326,4592,1159,841,734,3771,19868,16371,9504,2788,2868,1136,75,2828,601,0,0,0,4,1208,0,1015,0,669,19868,666,-715,541,138,642,60,19202,0,13911,63,18,347,0,1168,149,911,106,0,899,30,0,1599,0,1,0,0,0
1964:Q3,10620,-1110,1830,7570,4708,1218,1176,468,2330,10620,10579,6717,1311,2073,380,98,-562,68,0,0,0,130,-592,0,-168,0,603,10620,2489,1452,155,33,791,58,8131,0,5633,70,19,271,0,1153,134,169,115,0,195,21,0,514,0,-163,0,0,0
1964:Q4,17842,6324,1047,7261,4259,1265,1331,406,3210,17842,15629,8908,4809,1518,302,92,1239,488,0,0,0,-3,564,0,190,0,974,17842,2101,-45,1105,342,646,53,15741,0,12226,-91,18,187,0,1739,138,61,133,0,483,22,0,979,0,-154,0,0,0
1965:Q1,8747,1080,1677,5697,3556,806,803,532,293,8747,9678,3367,3691,2109,452,59,-2024,-578,0,0,0,-104,-507,0,-835,0,1093,8747,148,501,-872,-284,753,50,8599,0,5848,56,18,107,4,1294,141,71,151,0,-193,52,0,1088,0,-38,0,0,0
1965:Q2,22355,6605,3873,7279,4438,916,1215,710,4598,22355,17937,9432,4101,3152,1120,132,4088,839,0,0,0,-27,1845,0,1431,0,330,22355,1930,407,632,167,676,48,20425,0,14325,-71,19,459,6,1180,256,1070,168,0,1269,54,0,1670,0,20,0,0,0
1965:Q3,9586,-591,644,7385,4713,943,1216,513,2148,9586,10774,6738,1392,2179,401,64,-1180,216,0,0,0,129,507,0,-2032,0,-8,9586,822,279,6,8,484,45,8764,0,5810,127,19,252,7,1208,123,178,178,0,481,67,0,486,0,-172,0,0,0
1965:Q4,22129,8529,3387,7115,4407,970,1248,490,3098,22129,17912,9196,6508,1886,264,58,3671,195,0,0,0,207,1473,0,1796,0,546,22129,3335,742,1183,370,994,46,18794,0,14151,-280,17,199,5,1717,87,-4,179,0,567,72,0,1518,0,566,0,0,0
1966:Q1,6552,-1399,1945,6399,3569,974,1346,510,-393,6552,8686,2646,2421,3396,177,46,-2477,-310,0,0,0,-98,-811,0,-1258,0,343,6552,-680,-526,-1049,-339,1189,45,7232,0,3421,62,16,75,-2,1402,123,23,190,0,937,80,0,754,0,151,0,0,0
1966:Q2,24550,9403,4873,7165,3874,888,1779,624,3109,24550,20679,9516,6096,3199,1781,87,3434,1096,0,0,0,-238,1200,0,1376,0,437,24550,3323,1874,626,129,647,47,21227,0,14757,-18,14,406,0,1589,83,1088,207,0,2081,84,0,770,0,166,0,0,0
1966:Q3,4237,-2847,652,5648,3040,633,1521,454,784,4237,6706,3728,1243,1526,-88,297,-2325,392,0,0,0,401,-1510,0,-1608,0,-144,4237,1715,642,-331,-105,1466,43,2522,0,215,140,14,294,0,1540,119,100,201,0,982,134,0,-819,0,-398,0,0,0
1966:Q4,15374,6119,2357,4465,2470,567,1151,277,2433,15374,12583,6300,4011,1564,511,197,2280,-240,0,0,0,-298,489,0,2329,0,511,15374,2961,1101,951,263,606,40,12413,0,8115,264,15,209,3,1504,201,42,172,0,133,147,0,1563,0,45,0,0,0
1967:Q1,220,-2841,1699,3436,1605,693,750,388,-2074,220,2644,-261,1516,1833,-454,10,-3505,-1760,0,0,0,-47,-1789,0,91,0,1081,220,1181,914,-1002,-334,1569,34,-961,0,-1871,103,15,-22,5,1139,80,-52,165,0,-1064,166,0,-154,0,529,0,0,0
1967:Q2,15618,4807,2443,5585,2855,833,1344,553,2783,15618,14794,7094,3182,3422,1047,50,135,-873,0,0,0,-56,1026,0,38,0,689,15618,2289,866,497,76,824,26,13329,0,10367,62,16,385,5,931,-15,1118,166,0,-398,180,0,8,0,504,0,0,0
1967:Q3,9592,-1227,2088,7318,4471,947,1347,553,1413,9592,7490,5813,-1007,2310,268,106,1591,-180,0,0,0,497,-78,0,1352,0,511,9592,2230,1064,-200,-103,1442,27,7362,0,4885,82,16,238,5,711,83,31,78,0,437,161,0,-304,0,939,0,0,0
1967:Q4,29864,15831,3720,7290,4427,1067,1325,471,3023,29864,27216,21404,2552,2767,484,9,1970,264,0,0,0,-461,479,0,1688,0,678,29864,3590,1597,987,245,733,28,26274,0,21332,20,14,182,4,1068,24,218,78,0,957,167,0,968,0,1242,0,0,0
1968:Q1,-4860,-11209,1678,5966,3404,662,1294,606,-1295,-4860,-2178,-8621,4334,1902,150,57,-3315,-117,0,0,0,26,-2005,7,-1226,0,633,-4860,590,241,-968,-280,1556,41,-5450,0,-7857,156,5,43,3,734,8,42,145,0,1005,181,0,600,56,-571,0,0,0
1968:Q2,26838,6725,8441,7540,4405,765,1606,764,4132,26838,22959,12336,5170,3875,1483,95,3635,620,0,0,0,-6,1571,7,1443,0,244,26838,4689,2832,546,85,1180,46,22149,0,13797,91,6,517,2,809,-41,1269,121,0,1440,190,0,1927,100,1921,0,0,0
1968:Q3,13289,286,2578,7669,4508,899,1813,449,2756,13289,10506,7317,822,2300,24,43,2436,137,0,0,0,238,-389,9,2441,0,347,13289,3231,2313,-372,-145,1384,51,10058,0,7726,132,6,407,2,831,21,-9,6,0,375,85,0,160,71,245,0,0,0
1968:Q4,27607,10851,3298,8294,4751,1110,2092,341,5164,27607,24275,13114,7892,2894,260,115,2965,233,0,0,0,-11,1930,17,796,0,367,27607,3065,314,1379,320,998,54,24542,0,18269,-10,6,369,1,1332,-4,34,87,0,529,82,0,2480,121,1246,0,0,0
1969:Q1,2265,-1585,-2345,6635,3872,945,1348,470,-440,2265,7008,497,3226,3071,77,137,-5189,72,0,0,0,-283,-1016,4,-3966,0,446,2265,-3276,-3238,-898,-322,1134,48,5541,0,3124,254,31,218,2,826,12,127,64,0,1138,90,0,950,89,-1734,350,0,0
1969:Q2,30093,8221,8924,8157,4881,1156,1425,695,4791,30093,24773,11154,7355,5126,1063,75,4582,1082,0,0,0,0,2218,6,1276,0,738,30093,3376,1608,540,137,1032,59,26717,0,16246,275,45,733,1,1112,-10,1116,49,0,2173,85,0,3866,144,-430,1312,0,0
1969:Q3,9188,-2845,2072,7823,4774,1160,1479,410,2138,9188,12345,5599,2610,3825,245,66,-3333,1527,0,0,0,0,-1918,4,-2946,0,176,9188,-1457,-2715,14,18,1096,130,10645,0,3096,434,49,490,1,1331,65,305,75,0,2762,248,0,1084,134,-1625,2196,0,0
1969:Q4,28324,8865,8024,8017,4177,1664,1933,243,3418,28324,22032,10750,7282,3296,236,468,5686,1349,0,0,0,0,1714,13,2610,0,606,28324,7109,4158,1230,327,1174,220,21215,0,12464,356,43,311,3,1302,82,-29,25,0,3104,255,0,2660,291,260,88,0,0
1970:Q1,-1738,-6887,3214,4503,1815,2192,-101,597,-2568,-1738,869,-3838,11895,-6813,-334,-41,-2940,456,0,0,0,0,-1143,-12,-2241,0,333,-1738,-2098,-2218,-1011,-198,903,426,360,0,-7320,821,30,-53,8,1365,14,38,75,0,2601,295,0,478,295,-1178,2891,0,0
1970:Q2,22109,5968,5768,7615,3395,1587,2303,330,2758,22109,19760,6332,6861,4946,1747,-126,1743,491,0,0,0,0,2520,8,-1276,0,606,22109,2226,778,472,164,703,109,19883,0,10916,94,23,542,12,1201,-17,1725,158,0,2174,214,0,2146,215,-766,1246,0,0
1970:Q3,12753,2719,-1189,9220,3983,2114,2804,319,2003,12753,10969,6630,-688,4670,163,194,1829,289,0,0,0,0,-16,0,1556,0,-45,12753,3550,1822,574,202,786,166,9203,0,7685,1000,21,424,13,867,-20,136,-19,0,1875,419,0,-830,224,263,-2855,0,0
1970:Q4,20237,6755,2497,8749,3891,2161,2446,251,2236,20237,15294,8732,1755,3864,893,50,3839,90,0,0,0,0,799,9,2941,0,1104,20237,4481,2091,1325,349,500,216,15756,0,12508,641,24,114,12,1154,-22,482,131,0,1055,623,0,499,416,393,-2274,0,0
1971:Q1,6922,-3976,2666,7820,4109,2183,1197,331,412,6922,8553,2475,713,4137,1135,93,-2553,-925,0,0,0,0,-221,18,-1425,0,922,6922,1652,-883,1198,-98,1129,306,5270,0,1915,-166,26,27,0,390,-91,198,99,0,-355,1202,0,1776,231,114,-96,0,0
1971:Q2,27843,7084,2969,12950,6857,2740,2390,963,4840,27843,28489,13425,5655,7630,1847,-68,-1442,-2449,0,0,0,0,1550,9,-552,0,796,27843,1713,-485,783,385,874,156,26130,0,20217,-15,54,700,-5,211,-166,1857,151,0,-1692,1615,0,1784,362,857,200,0,0
1971:Q3,20517,457,1421,14086,8173,2347,3237,329,4553,20517,21361,12351,2598,5347,816,249,-1476,396,0,0,0,0,-1967,14,81,0,632,20517,325,-1326,543,266,515,327,20192,0,14513,449,27,632,-7,523,-146,231,8,0,2038,797,0,348,251,626,-98,0,0
1971:Q4,31641,6927,4907,14029,7656,2451,3656,266,5778,31641,25816,15986,3047,5455,1237,91,4929,299,0,0,0,0,1587,1,3042,0,896,31641,4295,1966,1246,505,288,290,27346,0,18725,363,25,472,-10,998,-110,557,110,0,1634,1147,0,2214,362,979,-120,0,0
