1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019:Q3,705899,321666,132166,65087,6986,2505,61136,-3547,382409,192909,326038,194255,213905,-766,76,-18961,131783,56870,-54272,82926,0,6671,1954,36396,1238,58195,113520802,16210924
2019:Q4,3404951,788896,133227,66131,6348,2852,61459,-3563,841207,185538,2465306,248039,272710,-1011,-1308,-22352,2217267,-31258,1236744,34815,0,484156,16131,475691,988,150749,116925753,16367592
2020:Q1,-6141622,915081,124467,76338,6677,2605,42399,-3552,851257,60643,-7053400,626513,632786,3466,252,-9991,-7679914,104510,-4949915,212807,0,-1592765,-47657,-1407000,106,-3303,110784131,16518917
2020:Q2,7859192,1261333,99001,59133,3552,2433,37464,-3581,1169767,7436,6632190,583618,615858,2496,2646,-37382,6048572,45623,3490122,93698,0,1224657,40369,1153084,1020,-34330,118643323,18071076
2020:Q3,4504267,310388,193907,83976,5149,2230,106170,-3617,375596,259115,4081809,843943,772782,998,1105,69058,3237866,-430,1796023,385611,0,533321,16506,508222,-1386,112070,123147591,17580205
2020:Q4,8290489,1026832,207890,97724,5874,2802,105151,-3659,1088161,269219,7184577,1031008,984141,409,2982,43475,6153570,8582,3846531,335730,0,980477,32853,953701,-4304,79080,131438080,17319968
2021:Q1,5049582,758831,227746,102637,7516,3542,117710,-3658,705102,174017,4007459,1258245,1248182,3479,-2279,8862,2749214,-108954,1782344,417946,0,333060,7710,317928,-820,283292,136487662,19584581
2021:Q2,6638532,484718,248471,103139,4740,2052,142244,-3704,589981,353734,6590748,2438438,2237818,-2632,1139,202114,4152310,38411,2065742,766020,0,591584,28123,663058,-628,-436934,143126194,18342156
2021:Q3,3384101,539264,212381,107180,2937,1348,104666,-3748,681510,354628,2837651,2062495,1908156,9370,2733,142236,775156,-33866,180034,783533,0,-83874,-2533,-66643,-1494,7186,146510295,18348470
2021:Q4,3790196,744869,226931,108982,4736,2630,114372,-3790,914020,396082,3335520,938714,788687,8853,1539,139636,2396806,-6110,871022,545897,0,450328,14408,521874,-613,-290193,150300491,18382401
2022:Q1,2042477,657057,231963,109611,7808,4234,114139,-3829,710402,285307,1464107,3663576,3499321,4955,466,158834,-2199470,-201257,-973434,520252,0,-812894,-25900,-705614,-623,-78687,152342968,18247754
2022:Q2,-5554326,-78294,209087,105310,4980,2243,100421,-3867,69636,357016,-5257872,2263197,2213425,7969,2588,39216,-7521069,-127665,-5071256,653294,0,-1510271,-45653,-1418764,-754,-218161,146788642,18501924
2022:Q3,-3216508,345329,185577,84383,5034,2161,97903,-3904,487853,328101,-3566737,-1235107,-1309570,4541,2189,67734,-2331630,-144609,-1118729,-8345,0,-562558,-16999,-480511,122,4900,143572134,18881726
2022:Q4,1109731,463785,159648,70963,4490,2019,86116,-3940,501059,196922,996463,-1035564,-1026099,5616,1727,-16809,2032027,61970,1301211,-380124,0,539319,16443,493376,-169,-350517,144681865,19178408
2023:Q1,3216057,723934,173116,69865,4768,2444,99991,-3951,589692,38875,2511553,-167411,-173690,13054,3528,-10304,2678964,96417,1866420,-261522,0,473180,17148,487338,-16,-19429,147897922,19880214
2023:Q2,5286361,217353,167533,69129,5007,2431,94951,-3986,223883,174063,4964042,2251326,2241196,-789,2194,8726,2712716,-64634,1701535,209737,0,410595,12025,443444,14,104966,153184283,20164181
2023:Q3,-1411311,237178,163375,68492,4531,2404,91970,-4021,260415,186613,-1640493,268962,342538,4717,2557,-80850,-1909455,-183870,-918145,-80865,0,-369603,-12047,-346988,2063,-7995,151772973,20320375
2023:Q4,3954181,514908,166256,71748,4792,2925,90849,-4057,522131,173479,3657402,-765000,-707645,2992,2434,-62782,4422402,287537,2825016,-498437,0,887092,27205,894014,-25,-218129,155727154,20455046
2024:Q1,5116579,390640,168472,80778,5027,3245,83489,-4067,288449,66281,4601089,831639,826022,7319,713,-2415,3769450,-60629,2493655,-27628,0,665595,18529,679928,-0,124850,160843732,20721770
