1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q2,41160,18597,8748,4529,116,59,4307,-263,17183,7334,21507,6105,4916,11,0,1178,15402,0,9604,6286,0,834,0,-1323,0,1056,3049841,586696
1967:Q3,86559,29881,8805,4836,104,59,4072,-266,27137,6061,55821,9831,6883,24,4,2921,45990,0,39457,5125,0,2404,0,-996,0,856,3136400,597752
1967:Q4,67260,15178,9066,5233,112,59,3931,-270,27766,21654,51344,17292,14505,30,8,2749,34052,0,25060,9584,0,1122,0,-1714,0,738,3203659,607280
1968:Q1,22968,39444,9457,4750,106,56,4831,-286,21589,-8398,-19607,20757,18782,13,10,1953,-40364,0,-45389,10688,0,-3281,0,-2382,0,3130,3226627,623954
1968:Q2,138337,19198,9655,4787,89,56,5004,-281,22029,12486,116642,15529,13582,49,15,1884,101113,0,88353,8387,0,4958,0,-586,0,2497,3364963,640688
1968:Q3,61711,27370,10377,4796,97,58,5695,-269,24590,7598,31699,11185,8561,44,17,2563,20514,0,13842,6557,0,1778,0,-1662,0,2642,3426674,649389
1968:Q4,168627,18514,10298,5042,107,60,5338,-250,21578,13362,147952,38027,35084,55,19,2869,109925,0,94403,16453,0,896,0,-1827,0,2161,3595301,661666
1969:Q1,18251,29181,10792,5503,136,48,5316,-209,19113,724,-14150,21426,19475,24,23,1904,-35576,0,-41437,10350,0,-1864,0,-2624,0,3220,3613552,669756
1969:Q2,7596,15692,10423,5376,139,51,5048,-190,16680,11411,-11154,15440,12924,33,22,2461,-26594,0,-31333,10195,0,-2977,0,-2479,0,3058,3621149,684950
1969:Q3,21479,28571,10076,5357,139,52,4707,-178,24343,5848,-9168,8518,6779,62,22,1655,-17686,0,-18194,4169,0,-973,0,-2688,0,2076,3642628,707480
1969:Q4,17291,27885,9226,4782,135,54,4431,-175,29728,11069,-11961,21092,18876,61,24,2131,-33053,0,-40341,10279,0,-803,0,-2187,0,1367,3659919,721137
1970:Q1,28119,36177,8889,5005,143,53,3872,-184,23712,-3575,-14623,551,-135,57,23,606,-15173,0,-24505,6113,0,324,0,2895,0,6565,3688038,737168
1970:Q2,-63526,25075,8770,4814,139,51,3964,-198,22863,6558,-92404,29509,28082,51,23,1352,-121913,0,-129203,19290,0,-9094,0,-2907,0,3803,3624511,754520
1970:Q3,127690,42366,8876,4979,141,51,3924,-218,40427,6938,81373,-3034,-5626,33,22,2536,84407,0,80865,-2978,0,4202,0,2318,0,3952,3752202,774022
1970:Q4,123003,31119,8163,5747,112,45,2504,-244,31958,9001,88299,19552,13665,73,26,5789,68747,0,55361,9399,0,2431,0,1556,0,3584,3875205,782186
1971:Q1,163572,43695,10252,5828,127,44,4539,-286,36195,2752,114466,25833,20950,98,30,4756,88632,0,62280,18816,0,5479,0,2057,0,5411,4038776,805328
1971:Q2,74198,33887,11376,6754,142,47,4742,-309,36161,13650,34339,22211,19814,52,24,2321,12128,0,-3855,15692,0,266,0,25,0,5972,4112974,826350
1971:Q3,60144,37195,12077,7257,149,50,4945,-324,37862,12744,17895,17402,18483,-1,20,-1100,494,0,-13917,14200,0,-405,0,616,0,5054,4173119,838808
1971:Q4,120893,31440,13198,7654,180,58,5637,-331,34527,16285,85012,13616,15848,-38,8,-2201,71396,0,51506,16041,0,2835,0,1014,0,4441,4294012,853832
1972:Q1,159046,48453,14488,8515,355,57,5879,-319,41211,7246,103832,38207,35000,36,15,3155,65625,0,41151,20780,0,2152,0,1542,0,6761,4453057,866754
1972:Q2,64996,30202,15041,8733,382,62,6181,-318,34842,19681,29686,15043,13155,-3,15,1876,14642,0,-2330,17351,0,-320,0,-58,0,5109,4518053,880815
1972:Q3,125002,46843,15827,9118,394,62,6570,-317,46467,15451,72370,32795,30907,-31,17,1902,39575,0,19241,20343,0,-250,0,241,0,5789,4643055,905843
1972:Q4,246319,42694,17618,9982,427,61,7467,-318,44196,19121,199148,46703,48159,-65,26,-1418,152445,0,119378,28273,0,3205,0,1589,0,4477,4889374,949861
1973:Q1,25561,51437,20059,10597,478,70,9237,-323,42403,11025,-18399,24075,21443,-35,25,2643,-42473,0,-68115,32934,0,-5403,0,-1889,0,-7478,4914935,968678
1973:Q2,39784,42106,18911,10196,474,62,8506,-327,42103,18908,7309,41345,36944,63,53,4286,-34036,0,-65850,38436,0,-4312,0,-2310,0,-9631,4954719,995679
1973:Q3,182519,50647,17621,9732,435,53,7734,-333,52119,19093,141334,54147,50853,85,86,3124,87187,0,40565,41264,0,3820,0,1538,0,-9462,5137237,1018430
1973:Q4,-36604,46744,15727,9036,410,48,6574,-340,47431,16413,-74899,35897,33312,51,114,2422,-110796,0,-131925,29342,0,-4572,0,-3641,0,-8450,5100633,1050700
1974:Q1,30786,49173,14034,8123,558,71,5632,-349,39388,4249,-20856,-13169,-18369,119,101,4981,-7687,0,-31418,25258,0,-1842,0,315,0,2469,5131419,1064035
1974:Q2,-17243,23617,14015,7717,538,66,6051,-357,30393,20791,-44368,3549,-8504,316,101,11637,-47918,0,-69361,27893,0,-3534,0,-2916,0,3508,5114175,1083985
1974:Q3,-40121,32748,14685,7908,555,65,6521,-364,36483,18419,-74702,24804,6014,566,95,18129,-99505,0,-135525,49756,0,-7465,0,-6272,0,1833,5074055,1114191
1974:Q4,138605,41958,10661,7291,519,58,3163,-370,44670,13373,93380,51366,34999,749,91,15527,42015,0,172,37454,0,2360,0,2028,0,3267,5212660,1140869
1975:Q1,253382,64673,11659,7895,421,80,3640,-377,52218,-796,200399,65951,57267,543,73,8068,134448,0,90317,32236,0,5131,0,6764,0,-11690,5466041,1160434
1975:Q2,233385,55741,13530,9215,406,76,4211,-377,58941,16730,171885,59823,49954,350,59,9460,112062,0,66866,34834,0,4796,0,5566,0,5759,5699427,1228887
1975:Q3,-4287,56317,16175,10178,410,76,5886,-374,60513,20372,-63705,-3914,-9869,88,46,5821,-59790,0,-74367,21144,0,-4457,0,-2111,0,3101,5695140,1233647
1975:Q4,166920,61575,17440,10455,423,79,6851,-366,67896,23761,103549,39944,31416,107,32,8390,63605,0,35941,22995,0,2137,0,2532,0,1797,5862060,1264165
1976:Q1,200322,59481,18978,10888,447,90,7907,-354,49281,8778,146056,29191,22840,215,24,6113,116865,0,82275,25628,0,4641,0,4320,0,-5215,6062382,1293610
1976:Q2,177067,53921,19069,11050,465,93,7804,-341,61604,26752,128589,65926,60913,112,77,4824,62663,0,14745,47231,0,720,0,-32,0,-5443,6239449,1311899
1976:Q3,115572,50815,19003,10660,497,95,8080,-329,56972,25160,70641,31806,26064,167,58,5517,38835,0,8317,31112,0,-558,0,-36,0,-5884,6355021,1342259
1976:Q4,168222,67375,22211,13200,538,98,8692,-317,73299,28134,110547,49137,40264,218,65,8590,61409,0,20595,39698,0,788,0,328,0,-9700,6523244,1372140
1977:Q1,109553,61347,23979,14290,477,123,9391,-301,54417,17049,47660,62613,55044,136,25,7409,-14953,0,-51782,42014,0,-2679,0,-2506,0,547,6632797,1400016
1977:Q2,179815,36457,27245,17163,492,124,9762,-296,47946,38733,142902,85503,81123,117,48,4214,57400,0,17872,37248,0,2214,0,66,0,456,6812612,1437330
1977:Q3,139966,57439,28063,17585,500,119,10156,-297,67560,38184,82316,68005,59953,171,67,7814,14311,0,-27442,45041,0,-1022,0,-2266,0,212,6952579,1479197
1977:Q4,157309,57981,28591,17455,532,114,10795,-304,67324,37934,99048,79096,68742,220,82,10054,19952,0,-27962,48350,0,-10,0,-426,0,280,7109888,1528880
1978:Q1,173491,70621,27316,17922,512,186,9013,-317,66863,23557,100326,67497,57166,257,37,10037,32830,0,-29547,65078,0,-1218,0,-1483,0,2544,7283379,1566088
1978:Q2,247347,41715,32070,19431,545,178,12249,-332,60003,50359,203971,97740,86430,321,60,10930,106231,0,36349,63838,0,2833,0,3211,0,1661,7530726,1615146
1978:Q3,246384,58121,30581,19064,487,162,11214,-345,75108,47569,187109,85121,72671,403,108,11940,101988,0,38740,57232,0,1967,0,4049,0,1154,7777110,1656310
1978:Q4,182511,61378,31073,19487,449,152,11342,-356,74473,44168,118534,87903,74038,459,148,13259,30631,0,-25671,60675,0,-2619,0,-1754,0,2599,7959621,1698742
1979:Q1,315147,65487,29438,18358,519,203,10727,-369,63163,27113,248448,124159,108367,422,113,15257,124289,0,39032,76823,0,2244,0,6190,0,1212,8274768,1751557
1979:Q2,276100,48351,27532,18098,437,193,9182,-378,68447,47628,224593,127756,110348,468,144,16796,96837,0,17380,77843,0,903,0,712,0,3156,8550868,1783199
1979:Q3,281948,53715,28334,18138,422,192,9969,-388,75788,50407,226421,99211,86501,455,174,12081,127210,0,45822,75715,0,2305,0,3368,0,1812,8832816,1836048
1979:Q4,272937,71140,25825,17201,361,197,8464,-398,89803,44488,197026,90463,71761,529,171,18003,106563,0,39254,68018,0,489,0,-1199,0,4771,9105753,1884378
1980:Q1,197786,64346,23176,15214,497,192,7685,-411,60602,19432,132504,127670,101353,827,210,25280,4834,0,-48936,63912,0,-3483,0,-6659,0,936,9303538,1948375
1980:Q2,345991,63208,11773,10238,354,191,1410,-420,69684,18249,280729,98431,76576,871,179,20806,182298,0,96563,73737,0,4237,0,7761,0,2054,9649530,1978594
1980:Q3,391792,84338,14787,11177,345,193,3499,-427,105550,35999,313901,130684,113574,796,175,16140,183218,0,94476,77633,0,4571,0,6538,0,-6447,10041322,2047035
1980:Q4,324115,94950,19177,13976,313,197,5122,-431,118222,42450,237032,61898,45718,623,204,15353,175135,0,94723,74019,0,2527,0,3865,1,-7867,10365437,2125789
1981:Q1,191766,88033,19919,13201,377,203,6579,-441,77358,9245,105172,43192,31983,716,158,10336,61980,0,12352,51993,0,-603,0,-1762,0,-1438,10557203,2177067
1981:Q2,286972,68740,17365,12660,364,204,4579,-441,88775,37400,213762,183271,165646,738,231,16657,30492,0,-7890,42061,0,-305,0,-3374,0,4470,10844175,2215467
1981:Q3,106233,112545,17284,10984,412,228,6101,-440,126249,30988,-12575,108524,95093,468,155,12808,-121099,0,-128954,23073,0,-5341,0,-9877,0,6263,10950408,2300120
1981:Q4,314743,133868,10961,9034,424,260,1683,-440,149639,26731,173809,63362,51529,437,226,11170,110448,0,68327,33331,0,2337,0,6453,0,7065,11265151,2337014
1982:Q1,145568,117114,12614,8710,338,142,3893,-470,107591,3090,28174,100639,91330,407,184,8717,-72464,-0,-113956,41759,0,-3259,0,2992,-0,279,11410719,2372184
1982:Q2,140395,94395,12498,8527,345,188,3906,-468,106108,24212,41749,31739,22953,494,146,8146,10010,-0,-23664,31382,0,51,0,2241,0,4252,11551114,2409803
1982:Q3,219073,126665,12784,8653,391,237,3969,-466,137003,23122,81560,8539,4622,170,83,3664,73022,-0,45250,11696,0,4396,0,11679,-0,10848,11770187,2460346
1982:Q4,320224,89083,16953,10321,420,274,6402,-463,109122,36992,222358,34050,30982,21,99,2948,188308,0,165861,14921,0,7795,0,-269,0,8783,12090411,2496537
1983:Q1,340410,108304,22678,14619,327,138,8078,-485,98813,13187,194314,50599,43397,253,139,6811,143715,-0,90793,34674,0,4546,0,13702,-0,37792,12430821,2542271
1983:Q2,297727,113053,30012,17749,479,186,12085,-487,134142,51100,185238,37884,34689,49,66,3081,147354,0,111943,10463,0,7502,0,17447,0,-564,12728547,2583834
1983:Q3,159300,129065,35189,20624,583,212,14265,-495,151689,57813,34714,39823,34557,7,154,5106,-5110,-0,-26429,25702,0,-1156,0,-3226,-0,-4479,12887847,2656772
1983:Q4,102912,96508,39699,22044,739,234,17193,-510,119409,62600,22688,38866,32549,156,112,6051,-16178,-0,-57277,40667,0,-695,0,-3062,-5,-16284,12990759,2732466
1984:Q1,235356,106677,42405,22801,631,206,19276,-509,99667,35394,134105,161360,160421,-21,139,820,-27255,0,-41387,14080,0,-3278,0,3330,0,-5426,13226115,2815063
1984:Q2,229706,123808,44101,23256,638,197,20542,-532,145658,65951,96011,133192,125169,102,16,7905,-37181,0,-36494,9547,0,-4232,0,-6002,0,9887,13455821,2888212
1984:Q3,333128,107784,42317,22747,614,191,19321,-556,121204,55737,212722,124292,121182,90,106,2914,88430,-0,53112,14721,0,6639,0,13959,0,12621,13788949,2948522
1984:Q4,285613,131251,43945,22789,612,192,20933,-581,154386,67080,153430,112106,109146,172,7,2781,41324,0,11850,21329,0,2434,0,5685,59,932,14074561,2991250
1985:Q1,402800,144822,45437,22768,499,210,22553,-593,148873,49488,256204,128476,121127,-44,60,7333,127728,-0,76191,14529,0,6289,0,30719,0,1774,14477362,3019219
1985:Q2,338450,80988,45162,22777,521,219,22266,-621,114420,78593,242302,150802,146828,41,34,3899,91501,-0,87158,1767,0,9475,0,-6900,-0,15160,14815812,3104431
1985:Q3,205607,72356,49778,23384,470,229,26346,-651,114588,92010,122329,160852,162074,108,38,-1367,-38523,0,-45077,21024,0,-1129,0,-13340,-0,10922,15021418,3120151
1985:Q4,500076,117626,46895,24691,522,249,22116,-682,185204,114473,453440,158123,153548,203,-30,4402,295317,-0,179604,45956,0,23139,0,46551,-6,-70990,15521495,3176512
1986:Q1,495508,149842,49372,26817,419,256,22559,-679,125062,24592,315964,89775,86756,321,95,2603,226189,0,160882,17448,0,22825,0,25034,-0,29702,16017002,3242404
1986:Q2,379580,119297,54606,29483,568,305,24959,-709,131359,66668,237364,132198,122784,570,58,8785,105166,-0,71429,21131,0,4604,0,8002,0,22919,16396582,3279727
1986:Q3,185207,125647,62998,30431,664,353,32289,-738,149638,86989,48594,136490,121706,442,-28,14370,-87897,0,-86921,33863,0,-4673,0,-30166,0,10966,16581789,3315453
1986:Q4,570163,190627,60163,30840,810,409,28870,-766,217750,87286,369781,118506,107695,77,-85,10820,251275,0,213425,32199,0,3451,0,1943,70,9756,17151952,3335966
1987:Q1,626513,124827,53665,31050,796,392,22215,-787,89364,18202,490916,121997,112102,281,64,9551,368919,-0,259197,37105,0,27915,0,44702,0,10770,17778464,3392286
1987:Q2,289757,91545,57689,31717,900,420,25459,-807,129941,96085,197384,130380,121553,-51,58,8819,67004,-0,24316,28658,0,-6499,0,20529,0,828,18068222,3389595
1987:Q3,417059,152708,61157,31914,881,406,28777,-821,172828,81277,260584,123755,115750,-5,90,7922,136829,-0,82688,26856,0,-1008,0,28292,-0,3767,18485280,3483129
1987:Q4,-65891,137523,57344,32701,661,362,24451,-830,142952,62773,-241369,76750,72520,851,295,3085,-318120,0,-254573,48885,0,-44534,0,-68475,-559,37955,18419389,3563869
1988:Q1,507629,171961,59834,31630,1020,592,27425,-834,146393,34265,325646,123254,122952,91,200,12,202393,-0,124405,50419,0,14526,219,12824,0,10021,18927018,3651096
1988:Q2,433837,105585,55796,28612,820,509,26698,-844,135602,85813,326624,180810,168134,210,228,12239,145814,0,89765,39973,0,5679,184,10213,-0,1628,19360855,3733634
1988:Q3,321001,144113,56997,32584,689,475,24107,-858,170624,83508,166389,120118,104437,275,173,15234,46270,-0,20780,37896,0,-251,153,-12307,-0,10499,19681855,3818096
1988:Q4,494602,165487,59161,33012,708,497,25824,-879,180908,74582,286351,104885,87683,893,182,16129,181466,0,143513,45204,0,-1359,-217,-5712,0,42764,20176457,3893495
1989:Q1,433889,110968,57372,32160,899,526,24684,-896,87858,34262,269030,104212,92559,379,213,11061,164818,-0,96514,41781,0,9788,-52,16788,-0,53891,20610346,3980878
1989:Q2,422741,72025,55468,30328,983,574,24513,-929,105004,88447,322305,118707,114932,162,176,3437,203598,0,115280,46157,0,21920,138,20102,0,28411,21033087,4021334
1989:Q3,541254,103299,56705,29974,1095,632,25973,-968,130965,84372,407689,186802,180125,392,98,6187,220887,-0,159706,27704,0,11527,156,21794,-0,30266,21574341,4071738
1989:Q4,397778,156657,50572,28847,926,639,21173,-1012,207467,101382,227256,92887,84089,417,151,8231,134369,0,80820,36612,0,-1462,22,17907,70,13865,21972119,4139149
1990:Q1,45392,187033,53048,26371,984,512,26213,-1032,173063,39078,-128192,-2162,-18068,490,228,15187,-126030,-0,-112184,14618,0,-14543,-318,-13603,-0,-13448,22017511,4232899
1990:Q2,294302,111241,48121,27516,892,566,20213,-1067,136228,73108,172653,50003,44381,219,212,5191,122650,0,75019,25897,0,11419,391,9924,0,10408,22311813,4302906
1990:Q3,-128348,155341,42119,23756,1015,613,17826,-1091,176805,63582,-304499,62389,55792,489,167,5941,-366888,-0,-310801,24113,0,-39007,-882,-40311,-0,20810,22183465,4358183
1990:Q4,449890,182970,36406,22100,1038,677,13697,-1106,213250,66687,261012,-28128,-37891,634,-62,9191,289140,-0,236102,10620,0,14599,274,27559,-157,5908,22633355,4380538
1991:Q1,507438,168562,29880,19246,929,511,10259,-1065,164603,25921,329447,-3077,-22664,733,371,18483,332524,0,274189,-16636,0,30289,640,44042,-0,9428,23140793,4416999
1991:Q2,87780,71288,31666,21516,930,609,9677,-1066,104986,65364,4951,37193,30791,-86,252,6237,-32242,-0,-28385,-1701,0,-140,148,-2164,0,11541,23228572,4474407
1991:Q3,331797,135731,34983,23324,1051,665,11009,-1065,142959,42211,185381,34325,25558,-182,179,8769,151056,0,128202,-20598,0,21692,283,21477,0,10686,23560370,4522073
1991:Q4,567830,154896,33373,24135,1118,766,8419,-1064,201773,80250,409800,23462,18167,-45,-213,5553,386338,0,359712,-34345,0,28310,595,32051,-95,3134,24128200,4590565
1992:Q1,18776,210789,40515,27385,732,776,12691,-1069,190605,20331,-97294,26398,23936,573,-178,2066,-123691,0,-76290,-23117,0,-8090,-170,-16024,0,-94720,24146976,4708396
1992:Q2,120230,90802,42523,28884,901,777,13029,-1067,92382,44103,-11529,21376,13263,-20,145,7989,-32904,-0,-29198,-14003,0,11946,-32,-1618,-0,40957,24267206,4784123
1992:Q3,384235,186688,44238,29184,860,718,14541,-1065,210308,67858,171186,88720,84367,230,161,3962,82466,-0,56833,1316,0,12126,226,11966,0,26361,24651441,4835461
1992:Q4,601000,150964,47979,31516,747,636,16144,-1063,176252,73267,406261,50171,44060,51,462,5600,356090,0,327586,-13518,0,11682,496,30049,-67,43774,25252440,4890790
1993:Q1,339380,146290,45979,31504,473,481,14585,-1064,108392,8081,181555,-15821,-14281,101,-203,-1439,197376,-3,128483,21113,0,27810,382,19591,-0,11535,25591820,4938702
1993:Q2,286648,110757,49575,31154,503,442,18543,-1068,129563,68380,173627,89058,77630,12,128,11289,84568,2,24836,27197,0,27823,119,4591,-0,2264,25878468,4987377
1993:Q3,435875,138346,53585,34640,518,431,19071,-1075,171779,87019,296536,95896,85521,-47,-128,10550,200640,-6,107622,37055,0,33310,438,22221,0,993,26314342,5013209
1993:Q4,454236,122401,58646,37295,532,338,21567,-1086,155607,91851,312674,91958,76521,183,640,14614,220716,3,175282,26368,0,5836,286,11648,56,19162,26768579,5077153
1994:Q1,168800,261060,60310,38990,563,414,21448,-1105,233632,32881,-84478,55533,52731,377,-37,2462,-140011,9,-120250,54993,0,-48553,-566,-25643,-0,-7782,26937379,5128478
1994:Q2,212116,116254,64597,42327,516,397,22481,-1123,137807,86150,91626,89407,78023,265,144,10975,2219,7,-25555,51350,0,-20455,-76,-3052,0,4236,27149495,5208541
1994:Q3,400565,117520,61925,39042,458,361,23209,-1145,145373,89778,279271,87883,73777,18,397,13691,191388,3,91908,38842,0,26846,581,33208,-0,3774,27550060,5276837
1994:Q4,219391,104895,64708,38547,501,308,26523,-1171,161268,121081,100922,41985,40498,-245,633,1099,58937,4,60704,40709,0,-35533,-290,-6764,111,13575,27769451,5377530
1995:Q1,562954,172539,58835,36459,676,275,22623,-1198,144474,30769,380652,36820,22063,-113,933,13938,343831,-11,218723,25104,0,41109,1203,57703,-0,9763,28332405,5449491
1995:Q2,593321,112670,54919,33212,592,288,22038,-1211,150613,92861,471304,65934,63881,418,37,1599,405370,-16,230156,36325,0,63592,2117,73196,-0,9347,28925727,5496388
1995:Q3,462734,106408,59417,35439,500,307,24379,-1207,161411,114420,347429,-123592,-120357,57,394,-3687,471022,-1,284805,56075,0,54283,1580,74280,0,8896,29388460,5568821
1995:Q4,716401,175096,62602,37476,510,306,25496,-1187,208249,95754,476275,48357,50087,-88,-427,-1214,427918,-10,315215,45162,0,8192,803,58474,138,65029,30104861,5625106
1996:Q1,570914,240635,64594,39085,481,303,25940,-1214,234488,58447,340566,76860,69644,-383,401,7198,263706,20,155439,33019,0,17031,1061,57136,-0,-10287,30675775,5708977
1996:Q2,490856,98568,72092,44445,521,341,27963,-1177,127562,101086,363421,58713,70663,-487,126,-11590,304709,7,183021,38684,0,45853,888,36256,0,28867,31166631,5799069
1996:Q3,313678,93804,71551,43857,703,430,27704,-1143,121368,99115,217456,61585,62996,-64,-3,-1345,155871,0,49328,33576,0,25733,811,46423,-0,2418,31480310,5869286
1996:Q4,739910,174069,71809,43013,760,528,28619,-1111,202858,100598,556338,73593,79866,-205,-204,-5865,482745,31583,262866,84319,0,52824,1611,49712,82,9504,32220220,5939133
1997:Q1,300516,109977,76291,44511,948,460,31530,-1158,76163,42476,210306,85707,87895,-313,539,-2415,124600,-48296,78703,102184,0,-9776,138,1647,0,-19768,32520736,6020067
1997:Q2,1386136,96679,74182,45762,1166,599,27820,-1165,119443,96945,1289674,80350,98125,-388,512,-17899,1209324,36101,742490,77929,0,133601,4788,214414,-0,-217,33906872,6087066
1997:Q3,1037958,118919,79145,45070,1442,712,33134,-1211,161339,121565,933976,95334,105622,-376,193,-10105,838642,31826,437166,89843,0,104739,3441,171627,0,-14938,34944829,6175301
1997:Q4,618838,165594,83587,47480,1481,826,35098,-1297,179107,97100,461241,136801,145214,-793,-490,-7131,324440,30901,228970,128406,0,-34790,-272,-27897,-222,-7997,35563667,6286188
1998:Q1,1628771,201785,85924,49364,2728,639,34530,-1336,172682,56821,1400598,129663,142989,-729,-168,-12430,1270934,-6593,833332,55420,0,168593,5445,214737,0,26388,37192438,6420339
1998:Q2,707581,159265,105488,62987,2776,691,40472,-1438,194271,140493,522379,205932,219048,-567,275,-12825,316448,16684,157567,107618,0,44574,975,-10970,-0,25937,37900019,6522052
1998:Q3,-654765,169001,100030,55560,2728,762,42504,-1524,185811,116840,-849232,172612,186331,-389,152,-13483,-1021844,47208,-665528,61031,0,-185691,-6609,-272254,0,25467,37245254,6607201
1998:Q4,2037986,125872,110820,58514,2939,858,50104,-1595,162521,147468,1907130,174214,187162,-483,604,-13070,1732917,-28062,1146397,35797,0,212116,9246,357895,-473,4984,39283240,6674156
1999:Q1,308793,68454,105956,55774,3033,608,48163,-1622,50882,88385,216500,96238,117144,-225,-25,-20656,120263,-42989,85535,-33123,0,23460,1872,85508,-0,23839,39592034,6758699
1999:Q2,1133232,-102968,115042,58251,3117,719,54608,-1654,-61520,156490,1217739,217049,228244,-614,452,-11033,1000690,-62045,686303,109411,0,109530,4631,152861,0,18461,40725266,6801647
1999:Q3,12792,-13557,119992,61756,3133,778,55988,-1662,28286,161835,10720,275508,286265,-607,-20,-10131,-264788,-35975,-176432,185713,0,-102029,-4147,-131918,-0,15630,40738058,6887387
1999:Q4,2551974,93944,116293,59588,2895,811,54646,-1647,150512,172861,2397180,195868,209202,-58,978,-14255,2201312,-42244,1494934,77196,0,325501,14538,331387,-0,60850,43290032,7019003
2000:Q1,1104165,164950,130862,60544,3283,623,68083,-1672,162847,128759,995010,282253,293011,93,407,-11257,712757,-5545,474910,-26870,0,135615,5666,128981,0,-55794,44394197,7199618
2000:Q2,68297,22334,124056,61108,3471,640,60505,-1669,44929,146650,30663,460346,463644,-44,461,-3716,-429682,-426,-391966,176730,0,-127903,-4451,-81666,-0,15300,44462494,7319561
2000:Q3,661080,28957,122311,60003,3526,725,59758,-1702,82107,175461,623118,402945,418985,-108,359,-16291,220174,22764,-7060,180645,0,413,303,23109,0,9004,45123574,7464027
2000:Q4,-544191,350968,123233,62375,3478,813,58339,-1772,365700,137964,-889022,358111,363424,-643,87,-4758,-1247133,57738,-893960,94575,0,-276631,-9232,-219623,0,-6137,44579383,7556664
2001:Q1,-176874,274573,121945,61672,3903,657,57544,-1830,207732,55103,-556011,630196,643332,-532,-54,-12552,-1186206,22202,-656022,38207,0,-260557,-11954,-318082,0,104563,44402509,7673477
2001:Q2,1282333,92147,119583,64316,3349,556,53284,-1922,175257,202693,1158092,322661,343849,168,-119,-21237,835431,-19356,485796,115624,0,128194,4475,120698,-0,32094,45684841,7703502
2001:Q3,-1051565,166683,118617,64756,2999,447,52415,-2000,302653,254587,-1251102,311698,331954,-57,-349,-19850,-1562800,42703,-994707,82811,0,-306999,-15164,-371444,0,32854,44633276,7883495
2001:Q4,1528951,261070,133086,63641,3465,611,67433,-2065,257825,129840,1242296,221018,236230,-437,-282,-14493,1021279,-30465,707044,-41149,0,203759,9301,172788,-0,25584,46162227,7755899
2002:Q1,677431,145044,131331,67964,3719,662,61024,-2038,148697,134984,529580,327406,353849,327,260,-27030,202174,-27049,105017,97665,0,-45450,2225,69765,0,2807,46839657,7957569
2002:Q2,-602505,77209,131752,69630,4071,847,59280,-2075,135366,189909,-741890,269316,284249,-95,-254,-14585,-1011206,36767,-652774,76724,0,-201498,-12277,-258148,-0,62176,46237152,8080919
2002:Q3,-1095366,-47439,136571,71042,4239,934,62457,-2101,39004,223014,-1049460,310247,326313,-1439,36,-14662,-1359707,74272,-960198,106059,0,-270874,-14093,-294872,0,1533,45141786,8132548
2002:Q4,931780,254488,131390,72495,4034,858,56116,-2114,371449,248351,878024,333900,355337,-230,-492,-20716,544124,1107,215153,116634,0,74212,5460,131435,123,-200732,46073566,8220458
2003:Q1,235962,-18223,130994,75651,3812,855,52782,-2107,39741,188959,162187,325712,356568,-1314,-158,-29383,-163525,1184,-186974,141958,0,-34136,-2423,-83134,-0,91998,46309528,8285363
2003:Q2,1932839,270977,139330,77601,3981,815,59044,-2111,519686,388039,1693929,304207,327050,-843,570,-22569,1389722,39552,691621,116218,0,234197,12811,295322,0,-32067,48242367,8387901
2003:Q3,905531,137297,153091,85343,4161,870,64836,-2118,241212,257007,776393,290885,311703,-1298,530,-20051,485508,-27732,269576,90829,0,85789,4368,62678,0,-8159,49147897,8586985
2003:Q4,1922552,301585,158435,92052,4186,820,63505,-2129,384090,240940,1521218,350467,366892,53,270,-16747,1170751,-4012,614244,74041,0,207716,12603,266956,-797,99749,51070450,8652611
2004:Q1,2497620,305756,160590,93146,4112,1028,64539,-2234,329559,184394,1356837,680558,685620,-647,-41,-4374,676279,23348,310317,205196,0,94901,4075,38442,0,835027,53568069,8758765
2004:Q2,882410,-18922,164619,99995,4260,887,61700,-2222,133018,316559,864871,593252,597143,512,-51,-4352,271619,-113813,73298,314378,0,-2884,687,-47,0,36461,54450479,8907978
2004:Q3,1307453,215424,168396,102669,4082,766,63055,-2176,312718,265689,1044984,715647,746651,-792,97,-30309,329337,73477,-37296,335973,0,19997,-790,-62024,0,47045,55757932,9009501
2004:Q4,2181972,197028,173889,105052,4016,624,66292,-2096,379736,356598,1920762,609152,603709,716,660,4067,1311610,6537,702168,125353,0,200909,13379,264205,-940,64182,57939905,9192274
2005:Q1,898249,123398,175421,109200,4131,823,63607,-2340,157774,209797,739383,618578,624520,634,111,-6687,120806,-37072,83008,216782,0,-78866,-3843,-59203,0,35468,58838154,9120285
2005:Q2,1551220,203455,183434,113951,3994,720,67029,-2260,355684,335663,1289868,632624,636106,-214,540,-3808,657244,32238,219754,295831,0,13030,4202,92189,0,57897,60389374,9261799
2005:Q3,1731944,106926,190364,121144,3972,617,66864,-2232,278343,361781,1758863,770503,799192,-1642,263,-27309,988360,-20747,377315,376034,0,97212,6287,152259,0,-133845,62121318,9396375
2005:Q4,1405717,276680,178476,120702,3673,400,55955,-2254,399410,301206,1083815,625613,633039,-648,822,-7600,458202,-10807,147328,206227,0,-2136,3140,112864,1587,45222,63527035,9556135
