1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q1,490348,72105,237898,11265,4488,20433,148598,-4438,569917,374974,126514,0,68024,405,-79568,52748,-17300,-9520,-16328,70881,3060,-90269,30395,-3831,6032,-304,1355,50557,23599,13405,10892,506,2155,431,6081,-5650,-850,300,3290,-387,-26198,120664,26281,-31,26312,1197,9623,83563,6808
2010:Q2,494032,69505,241437,10858,4432,20206,152133,-4538,586135,388049,130589,0,66967,530,-92102,53179,-19633,-19290,1870,88786,3018,-89934,-86366,536,-16827,400,-5518,-63700,-7566,-22786,-25409,-269,-7670,-9139,-4649,-4490,-850,300,3530,-387,5289,3568,-3401,-16415,13014,-89,9614,-2556,-21161
2010:Q3,495451,74457,242534,11362,4415,20056,147105,-4477,557034,359146,131280,0,66214,394,-61583,53543,-19990,11950,-14003,101159,2981,-118143,39255,-657,3521,1290,3817,32651,626,13916,15583,312,2214,-646,10144,-10790,-850,300,2401,-161,-2411,157398,7656,4740,2916,367,9550,139825,25953
2010:Q4,511818,77983,244425,12609,4433,20063,156536,-4230,587519,385971,135544,0,65766,238,-75700,53943,-19973,-1784,32980,86429,2947,-56395,98717,10146,6807,1435,2496,71322,-704,32969,26056,1394,11607,7862,8142,-280,-850,300,3732,-160,-4373,155112,57152,10940,46212,785,9533,87642,-34764
2011:Q1,507804,78795,246700,12103,4475,19945,149613,-3828,577827,375549,136443,0,65621,214,-70023,54467,-18863,3307,-22731,70285,2916,-95932,-32149,-607,3424,-252,-3605,-9844,-5865,1940,-5044,101,-976,-12791,-1781,-11010,-850,300,3021,169,-11114,63783,-19757,-2859,-16898,1127,9541,72872,26038
2011:Q2,518190,79850,249105,12438,4488,19912,155856,-3460,589174,389855,133314,0,65895,110,-70984,55184,-18553,2752,-15051,86720,2883,-104654,-78084,5107,-4483,2,-5199,-48906,-7045,-14916,-20457,-704,-5784,-19969,-4469,-15500,-850,300,2481,168,-6735,26570,-33611,-22466,-11145,3575,9580,47026,17803
2011:Q3,496192,81800,248629,11603,4471,19854,132934,-3099,559437,362734,130021,0,66571,111,-63245,55947,-17763,10465,93,98408,2847,-101161,-54238,-544,5541,-136,-2001,-56178,-1593,-29806,-19946,-683,-4150,-17331,-2741,-14590,-850,300,71,56,16834,46923,-6124,10432,-16556,4128,9560,39359,10371
2011:Q4,504984,82484,250667,12241,4420,19830,138060,-2718,577773,379077,130906,0,67678,112,-72789,56619,-18922,2753,4879,85540,2808,-83469,89215,13028,13566,781,5712,46480,1894,24004,13849,439,6294,9556,9326,230,-850,300,-44,56,630,172684,20069,4258,15811,-2049,9580,145084,-2126
2012:Q1,506526,82518,254236,12294,4349,19702,135730,-2303,580578,380232,131019,0,69213,113,-74052,57225,-18061,1234,-13465,69634,2766,-85865,-29664,-8193,5462,-1386,-1348,-9990,-3649,10319,-12184,-320,-4156,-1712,-2432,720,-850,300,2214,1813,-15974,56201,2640,-433,3073,3733,9589,40239,14699
2012:Q2,514866,84258,254876,12381,4293,19712,141337,-1991,592699,385683,136651,0,70250,114,-77833,57841,-18202,-1790,1281,86236,2736,-87690,-33672,-1657,-6523,-1036,-1030,-35355,-3340,-8107,-19607,-330,-3971,7193,-2047,9240,-850,300,-646,1813,4119,54018,15692,-8531,24223,132,9545,28649,-3071
2012:Q3,508325,86558,254148,13015,4273,19681,132409,-1758,567633,361513,135205,0,70799,115,-59307,58311,-17761,16765,32133,96078,2718,-66663,49244,-5343,12861,-253,4250,27142,504,20841,4778,146,873,3366,6876,-3510,-850,300,4064,1926,1781,115907,-4426,12550,-16976,-35,9522,110846,-15368
2012:Q4,523542,89795,257690,12976,4286,19731,140648,-1583,597143,388290,137876,0,70860,116,-73600,58604,-20334,5338,47956,81795,2712,-36551,-18821,6172,7165,465,-2746,-26385,-4514,90,-18149,-325,-3487,-848,-4928,4080,-850,300,-72,1926,-3948,17730,-1913,447,-2360,-16019,9557,26105,-42619
2013:Q1,530152,94328,263271,13153,4322,19697,136869,-1488,597117,391121,136606,0,69273,117,-66965,58988,-18222,10245,3862,67311,2642,-66091,61478,-2500,5421,-878,5141,51883,954,27210,14577,536,8606,3209,7989,-4780,-850,300,951,527,-1726,127569,7953,-1862,9815,399,9642,109575,6383
2013:Q2,542128,96864,263732,13582,4374,19683,145423,-1530,610757,401474,141223,0,67942,118,-68629,59449,-17335,8155,64102,84511,2594,-23003,12424,-2745,-1256,-241,-862,22102,-3172,16488,1466,467,6853,-4844,-1914,-2930,-850,300,2436,886,-2502,35427,-18301,-15104,-3197,34,9675,44019,-55947
2013:Q3,532613,92010,265958,13320,4442,19803,138551,-1472,588501,378839,142653,0,66890,119,-55888,59938,-18335,22384,5942,96303,2569,-92930,-13343,3357,7867,391,775,4797,-2072,11228,-5457,250,848,-30133,667,-30800,-850,300,5172,887,-5906,79587,-25047,7216,-32263,153,9751,94730,16442
2013:Q4,538487,91483,267385,13606,4521,19949,142894,-1351,613016,402884,143901,0,66110,121,-74529,60555,-17741,3766,20520,82750,2567,-64797,73143,8754,8417,-83,4754,49764,387,30130,12689,528,6030,3591,7071,-3480,-850,300,881,810,-3195,137940,-13039,-1396,-11643,44103,9782,97094,-16754
2014:Q1,546736,94171,269820,13798,4610,20124,145381,-1168,612647,400633,146216,0,65676,122,-65911,61090,-17580,12759,-35645,67678,2565,-105888,-6307,-3025,8196,-1042,1568,-7217,-1686,5608,-9047,-338,-1754,-10237,1823,-12060,-850,300,3087,1478,1435,99581,-5707,-2254,-3453,11074,9782,84432,48404
2014:Q2,565746,92624,274844,13827,4678,20328,160449,-1004,628392,410883,151941,0,65445,123,-62646,61552,-18031,16937,4150,86771,2595,-85216,-52312,40,-6307,-883,-1961,-37599,-3781,-7276,-19908,-538,-6096,-539,-3859,3320,-850,300,3470,1828,-9811,32904,-2299,-9403,7104,-10489,9920,35772,12787
2014:Q3,567454,96622,277054,14273,4720,20368,155319,-902,612013,387849,158588,0,65452,124,-44559,62054,-18451,35946,92325,99114,2656,-9445,-53818,2473,6372,-198,-4538,-43968,-5140,-11004,-22611,-902,-4311,-14171,-7981,-6190,-850,300,4775,1823,-5836,-44373,-28677,3795,-32472,-43697,10029,17972,-56379
2014:Q4,574798,98537,279307,14451,4739,20451,158091,-778,639236,412625,160796,0,65690,125,-64438,62360,-16616,14537,61829,85982,2748,-26900,65958,17296,3337,422,4291,19629,-133,12583,2375,312,4492,16979,6159,10820,-850,300,-304,1807,3051,92858,10040,1470,8570,126,10072,72620,-47292
2015:Q1,579167,99106,279472,14333,4750,20196,161903,-593,633761,404478,163007,0,66149,127,-54593,62549,-17195,25150,28378,71061,2860,-45544,39105,-10548,11114,-608,4439,22480,-191,15705,3738,359,2869,7981,6541,1440,-850,300,-3197,1307,6687,84649,23904,-817,24721,123,9978,50644,-3227
2015:Q2,590316,104054,281445,14407,4775,20107,166036,-508,654504,420839,166801,0,66736,128,-64188,63024,-17068,15904,62587,92731,2948,-33092,-8678,3840,-7547,-260,-826,12251,-3015,15194,-5665,129,5608,-20198,-2038,-18160,-850,300,2947,1401,264,24414,7849,-7045,14894,117,10315,6133,-46683
2015:Q3,586823,101854,284511,13888,4822,20113,162073,-438,633508,398308,167593,0,67478,129,-46684,63426,-18044,34786,55157,105913,3011,-53767,-41514,-3142,2181,119,-2010,-30559,452,-10115,-18568,-389,-1939,-25599,-3949,-21650,-850,300,2277,1362,14407,12253,-8197,687,-8884,-62,10480,10032,-20371
2015:Q4,613906,103295,286162,13434,4887,20242,186260,-374,665000,428616,167879,0,68375,130,-51094,63640,-17466,30012,70827,88696,3049,-20918,87592,1211,8407,558,6204,63890,-560,37343,16467,448,10192,6033,9003,-2970,-850,300,-1446,1321,1964,108510,-7719,1235,-8954,-41,10430,105840,-40815
2016:Q1,595721,99631,288256,13319,4955,20388,169535,-362,652783,413336,169961,0,69354,132,-57062,63786,-17906,24630,-8458,77124,3116,-88698,-3036,896,3534,1475,854,-22184,-2595,-9621,-4707,-46,-5215,9119,1469,7650,-850,300,-243,2448,1615,85662,16918,-607,17525,-143,10534,58353,33088
2016:Q2,600177,101818,290222,13100,4994,20443,170143,-542,674765,432232,172116,0,70284,133,-74588,64563,-18110,8086,23556,96082,3185,-75711,12388,-1583,-3197,979,959,-12559,455,-7785,-1794,-296,-3139,20579,1595,18984,-850,300,6398,2615,-1253,88099,22049,-5282,27331,-308,10700,55658,-15470
2016:Q3,610228,104683,295890,13218,5012,20627,171594,-796,659476,413824,174366,0,71152,134,-49248,64938,-18442,34133,101149,107596,3257,-9704,70884,1820,-4928,1274,4038,44348,1915,21366,15708,542,4817,13842,6415,7427,-850,300,7033,2810,1197,80588,-6250,2885,-9135,-4,10796,76046,-67016
2016:Q4,619134,104674,297489,13545,4999,20862,178709,-1144,680396,431666,176616,0,71979,135,-61262,65546,-18031,22315,121655,93817,3330,24507,90747,4797,12775,1673,1503,61437,713,33693,16591,829,9611,2989,2421,568,-850,300,4311,2793,-981,66240,-100,283,-383,707,10922,54711,-99339
2017:Q1,620499,106065,302342,13785,4958,21192,173809,-1652,683100,433939,176243,0,72781,137,-62600,66283,-18082,21765,24062,80306,3403,-59647,13134,140,-5625,-663,2757,22684,1308,10512,7793,202,2869,873,4423,-3550,-850,300,-3688,1397,-4191,72781,-12400,-216,-12184,47,11024,74110,-2297
2017:Q2,614910,103045,305441,13460,4938,21565,168369,-1907,688910,440125,175569,0,73078,138,-73999,66977,-18649,11626,22731,100795,3503,-81567,-33249,-2458,-4278,-377,62,-9772,29,-3671,-3392,-223,-2515,-14544,222,-14766,-850,300,1862,1509,-4703,48318,-3378,-5541,2163,135,11036,40525,-11105
2017:Q3,629110,107963,310045,13551,4949,21999,172563,-1960,670607,418095,179492,0,72881,139,-41497,67847,-17922,44272,84538,113302,3633,-32397,4268,-6319,5464,749,1284,11959,609,6208,3869,37,1236,-9003,2101,-11104,-850,300,4673,1170,-5159,36665,-15028,8341,-23369,40,11172,40481,-40266
