1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6852,509,170,101,2115,3957,6852,5504,0,3356,33,2115,1071,78,19,227,11,0,736,0,0,0,0,277,6852,1543,-93,922,0,5,709,5234,2879,-336,131,-44,10,572,257,755,0,699,0,64,40,0,55,0,0,0,-219,0,371,75
1952:Q1,23556,980,10780,-756,8508,4044,23556,23384,0,4404,10472,8508,16,-104,-12,-456,8,0,580,0,0,0,0,156,23556,7796,9792,-3232,0,36,1200,16148,-992,11500,220,4,8,968,2180,972,0,964,0,156,52,0,548,0,0,0,-1240,0,808,-388
1952:Q2,22460,744,2188,2624,10500,6404,22460,20952,0,6036,4416,10500,1312,-136,-16,388,8,0,1068,0,0,0,0,196,22460,17112,19192,-4748,0,-40,2708,4908,-388,-1028,244,28,4,536,1152,972,0,708,0,36,64,0,-276,0,0,0,3300,0,-444,440
1952:Q3,13756,636,1864,2972,4220,4064,13756,13220,0,4536,4464,4220,868,124,-28,360,12,0,400,0,0,0,0,-332,13756,4128,1728,1804,0,-8,604,8036,2900,1456,-328,32,4,1180,3348,1108,0,1360,0,24,64,0,-52,0,0,0,-3460,0,400,1592
1952:Q4,9756,-688,4736,-3088,4320,4476,9756,10152,0,4092,1740,4320,-484,124,56,-104,12,0,-572,0,0,0,0,88,9756,-216,-3840,2448,0,0,1176,10648,200,1424,200,20,12,1008,2628,1344,0,792,0,92,60,0,48,0,0,0,2608,0,212,-676
1953:Q1,13264,636,2204,-168,5776,4816,13264,11280,0,3052,2452,5776,1780,-120,-24,-424,8,0,2340,0,0,0,0,204,13264,3372,44,2204,0,208,916,9408,1464,2032,-160,8,4,1184,2868,1392,0,1096,0,12,60,0,800,0,0,0,-2288,0,936,484
1953:Q2,16976,-496,5392,1048,5284,5748,16976,15676,0,4012,6380,5284,1800,-88,-4,56,4,0,1832,0,0,0,0,-500,16976,20104,26028,-6384,0,-136,596,-4052,2116,-11136,108,0,4,884,2256,1368,0,1484,0,-88,60,0,-484,0,0,0,-372,0,-252,924
1953:Q3,27828,1096,16412,2216,5016,3088,27828,25328,0,2160,18152,5016,2680,280,16,468,8,0,1908,0,0,0,0,-180,27828,4436,-3776,7556,0,-76,732,22196,2096,12388,-36,-4,4,1208,1964,1248,0,1436,0,16,60,0,72,0,0,0,1276,0,468,1196
1953:Q4,11280,276,-3228,3428,5344,5460,11280,10768,0,5120,304,5344,484,188,80,-112,8,0,320,0,0,0,0,28,11280,-3088,-8248,3800,0,-4,1364,14276,-544,6824,232,-4,12,1220,2624,1088,0,892,0,92,60,0,-12,0,0,0,1872,0,-80,92
1954:Q1,9264,1300,-2992,1496,5528,3932,9264,8420,0,3480,-588,5528,160,24,4,-912,4,0,1040,0,0,0,0,684,9264,-3408,1020,-5228,0,72,728,11692,320,4880,-116,12,8,764,2780,1108,0,1536,0,192,60,0,1248,0,0,0,-1556,0,456,980
1954:Q2,11696,-276,2904,-620,6072,3616,11696,11796,0,3828,1896,6072,152,28,40,384,4,0,-304,0,0,0,0,-252,11696,-2564,8928,-12020,0,-40,568,14800,696,6976,-4,28,8,896,1664,1168,0,1628,0,52,56,0,-116,0,0,0,2076,0,-328,-540
1954:Q3,8324,80,3124,-4184,5372,3932,8324,9108,0,5328,-1592,5372,-392,64,-36,500,32,0,-952,0,0,0,0,-392,8324,-2940,-10028,6172,0,-8,924,9872,-2996,8136,-48,28,8,1064,1544,1332,0,1204,0,160,56,0,96,0,0,0,-448,0,-264,1392
1954:Q4,14332,16,3836,3580,5632,1268,14332,15148,0,2020,7496,5632,-576,856,232,-112,32,0,-1584,0,0,0,0,-240,14332,-1068,-6308,4424,0,-20,836,14752,264,9480,328,0,8,1080,1580,1544,0,1224,0,92,68,0,-188,0,0,0,36,0,-764,648
1955:Q1,4796,764,-4156,688,5472,2028,4796,3888,0,1840,-3424,5472,1284,-216,-52,-76,32,0,1596,0,0,0,0,-376,4796,7688,5772,888,0,24,1004,-2888,-736,-7252,-68,-4,12,316,2268,1500,0,1104,0,24,72,0,532,0,0,0,-1940,0,1284,-4
1955:Q2,8184,-4,1132,-444,5144,2356,8184,7160,0,2628,-612,5144,1256,-488,-80,1264,36,0,524,0,0,0,0,-232,8184,16692,18036,-2552,0,4,1204,-8436,-1564,-12164,380,-20,16,580,1224,1448,0,1084,0,204,84,0,-452,0,0,0,128,0,616,-72
1955:Q3,6236,-348,-164,-572,4908,2412,6236,4840,0,1672,-1740,4908,1556,48,-36,964,40,0,540,0,0,0,0,-160,6236,10904,1936,7812,0,-16,1172,-5468,188,-10256,108,-20,16,1172,1956,1208,0,1316,0,268,84,0,-928,0,0,0,-460,0,-120,800
1955:Q4,12820,-1032,1816,1336,4612,6088,12820,11360,0,5252,1496,4612,1464,-96,-16,1612,44,0,-80,0,0,0,0,-4,12820,11556,-608,10776,0,64,1324,1004,220,-4828,240,-12,16,700,340,864,0,1404,0,100,80,0,1196,0,0,0,1280,0,-596,260
1956:Q1,6224,2268,-5000,192,4444,4320,6224,816,0,1648,-5276,4444,5048,64,12,424,44,0,4504,0,0,0,0,360,6224,-572,7384,-8804,0,-20,868,5040,572,-2332,-276,12,16,168,1268,976,0,1820,0,384,80,0,1280,0,0,0,-1184,0,2256,1756
1956:Q2,-4608,-188,-15060,1136,4420,5084,-4608,-6644,0,3724,-14788,4420,1712,76,76,820,44,0,696,0,0,0,0,324,-4608,6708,18104,-12808,0,-4,1416,-11656,-576,-13516,-24,28,16,168,1088,1200,0,984,0,-360,76,0,44,0,0,0,-304,0,-480,340
1956:Q3,6132,472,-4648,836,3956,5516,6132,3660,0,4508,-4804,3956,2176,388,60,972,20,0,736,0,0,0,0,296,6132,1132,12,-52,0,-32,1204,3536,-728,-264,-88,32,16,604,2088,1572,0,932,0,796,76,0,-40,0,0,0,-792,0,-668,1464
1956:Q4,9856,-640,2500,-1280,3840,5436,9856,9568,0,4088,1640,3840,28,528,112,-444,24,0,-192,0,0,0,0,260,9856,2988,-2732,4656,0,12,1052,8088,1648,2040,-44,28,12,680,1020,1968,0,852,0,104,88,0,-124,0,0,0,592,0,-776,-1220
1957:Q1,22784,2232,6872,1456,3740,8484,22784,16192,0,5744,6708,3740,5724,164,48,1588,32,0,3892,0,0,0,0,868,22784,7116,8412,-1624,0,44,284,15320,-2796,11196,-96,20,16,212,2272,1964,0,1380,0,172,92,0,464,0,0,0,-1580,0,2004,348
1957:Q2,-1656,-924,-14772,2400,4420,7220,-1656,-4536,0,5856,-14812,4420,2376,-128,28,2404,36,0,36,0,0,0,0,504,-1656,9568,16968,-7440,0,-8,48,-10880,-1464,-14868,64,12,16,368,1992,1744,0,1372,0,388,100,0,-292,0,0,0,356,0,-668,-344
1957:Q3,24212,1036,10408,360,4532,7876,24212,20504,0,5976,9996,4532,3584,704,144,756,16,0,1964,0,0,0,0,124,24212,5152,2448,3260,0,4,-560,19540,200,12780,-144,12,16,932,2684,1516,0,1624,0,-100,100,0,-528,0,0,0,640,0,-192,-480
1957:Q4,10672,1012,-5684,2772,5336,7236,10672,8288,0,6728,-3776,5336,2140,356,56,852,12,0,864,0,0,0,0,244,10672,2028,-1184,3956,0,-24,-720,7312,532,-1396,-104,4,12,1112,2048,1328,0,1352,0,56,108,0,24,0,0,0,2140,0,96,1332
1958:Q1,24640,4236,3812,1664,5264,9664,24640,19732,0,8520,5948,5264,3824,716,188,-480,8,0,3392,0,0,0,0,1084,24640,-6792,-424,-5328,0,168,-1208,33412,2516,20880,-128,32,16,-24,2972,1376,0,1916,0,472,112,0,2396,0,0,0,-536,0,1412,-1980
1958:Q2,26748,-900,20144,-3196,5428,5272,26748,27552,0,4772,17352,5428,-2164,-568,-80,-412,8,0,-1112,0,0,0,0,1360,26748,-2576,5600,-8392,0,-116,332,31860,6444,15744,140,48,16,492,2668,1440,0,968,0,720,116,0,-444,0,0,0,2880,0,628,-2536
1958:Q3,4068,-1500,-5860,1496,5124,4808,4068,5388,0,5512,-5248,5124,-1672,-232,-68,860,24,0,-2256,0,0,0,0,352,4068,-9284,-13496,4028,0,-76,260,10172,-2308,10424,-152,44,16,1212,3412,1540,0,1516,0,-4,120,0,-536,0,0,0,-4660,0,-452,3180
1958:Q4,29032,-1888,18916,88,5984,5932,29032,29332,0,4712,18636,5984,-1176,-280,-132,340,28,0,-1132,0,0,0,0,876,29032,14416,2008,11920,0,-16,504,13088,3480,2308,188,16,12,1456,2656,1636,0,1636,0,-96,116,0,-980,0,0,0,1868,0,-1208,1528
1959:Q1,20076,1396,10268,-956,5676,3692,20076,16660,0,2156,8828,5676,2740,-452,-92,464,20,0,2800,0,0,0,0,676,20076,14848,8236,5840,0,-4,776,3536,1216,-4556,-16,-4,12,544,2976,1040,0,1628,0,300,316,0,820,0,0,0,-1668,0,928,1692
1959:Q2,24908,440,10448,3568,5940,4512,24908,19308,0,2852,10516,5940,5340,-232,4,3476,24,0,2068,0,0,0,0,260,24908,22080,16052,4692,0,16,1320,-4856,296,-12032,20,-28,8,980,3324,1572,0,1276,0,136,108,0,-516,0,0,0,-424,0,424,7684
1959:Q3,23764,-712,10480,3240,6680,4076,23764,19332,0,2184,10468,6680,3912,-92,-44,3248,4,0,796,0,0,0,0,520,23764,15456,4864,9732,0,36,824,3504,2076,-7032,-32,-28,8,1604,1904,1428,0,2024,0,548,116,0,-44,0,0,0,652,0,280,4804
1959:Q4,16480,124,5012,384,5072,5888,16480,12624,0,3752,3800,5072,3420,636,100,1592,4,0,1088,0,0,0,0,436,16480,19456,12140,5724,0,-52,1644,-5528,-2168,-10084,132,-44,12,1824,1408,1908,0,1544,0,400,136,0,140,0,0,0,1400,0,-2136,2552
1960:Q1,13388,5780,-5116,-904,5752,7876,13388,2236,0,1852,-5368,5752,10036,696,196,-656,4,0,9796,0,0,0,0,1116,13388,14044,17016,-4440,0,180,1288,-2200,-1620,-10756,-136,12,8,1216,1668,1328,0,1972,0,196,400,0,816,0,0,0,-2380,0,5076,1544
1960:Q2,13644,928,-2740,3624,5272,6560,13644,7864,0,4332,-1740,5272,5280,52,60,2616,8,0,2544,0,0,0,0,500,13644,7804,14004,-7608,0,-124,1532,6248,2428,-2920,4,28,8,924,1360,1116,0,1516,0,284,228,0,-476,0,0,0,1036,0,712,-408
1960:Q3,11912,1096,940,-1272,5252,5896,11912,8084,0,3620,-788,5252,3524,924,216,464,-8,0,1928,0,0,0,0,304,11912,-14192,-9504,-6436,0,-48,1796,24720,1172,15836,-72,32,8,756,2156,1412,0,1124,0,348,204,0,52,0,0,0,2036,0,-344,1384
1960:Q4,14668,912,-276,460,4964,8608,14668,10324,0,5700,-340,4964,3956,1160,232,536,-12,0,2040,0,0,0,0,388,14668,-3872,-2332,-2792,0,132,1120,17444,-428,10120,124,4,16,672,2292,2084,0,1756,0,148,108,0,176,0,0,0,1944,0,-1572,1096
1961:Q1,8236,2880,-2248,-1360,5380,3584,8236,4260,0,560,-1680,5380,3636,656,200,-1928,0,0,4708,0,0,0,0,340,8236,-12948,-10836,-2660,0,-4,552,21008,1532,11352,564,16,16,792,2428,520,0,2220,0,192,272,0,1052,0,0,0,-2736,0,2788,176
1961:Q2,21460,-12,6812,1276,3952,9432,21460,19276,0,8580,6744,3952,1492,132,68,1348,-4,0,-52,0,0,0,0,692,21460,9552,9964,-1168,0,-92,848,13360,56,6420,164,8,20,908,2228,1592,0,1772,0,-220,-76,0,-196,0,0,0,704,0,-20,-1452
1961:Q3,25344,-204,14580,2000,6192,2776,25344,24040,0,3436,14412,6192,1036,488,108,1992,176,0,-1728,0,0,0,0,268,25344,-7768,-3956,-4648,0,96,740,30328,688,22904,372,4,20,1076,2680,1088,0,1672,0,496,-112,0,-292,0,0,0,568,0,-836,2784
1961:Q4,19560,744,4280,2124,5988,6424,19560,17468,0,6304,5176,5988,1644,844,156,1044,184,0,-584,0,0,0,0,448,19560,10244,5760,3636,0,-8,856,9008,4652,-216,-744,-16,24,1260,2172,1660,0,1332,0,1156,-88,0,-864,0,0,0,2072,0,-3392,308
1962:Q1,24108,3096,7252,2328,6644,4788,24108,17776,0,3148,7984,6644,5528,-600,-116,1508,88,0,4648,0,0,0,0,804,24108,-4860,-6512,1892,0,12,-252,28116,3204,9240,856,8,20,1372,3672,1096,0,2576,0,-116,140,0,2132,0,0,0,-764,0,4680,852
1962:Q2,19624,420,4796,2676,4932,6800,19624,17412,0,6452,6028,4932,952,-504,-108,1348,96,0,120,0,0,0,0,1260,19624,3928,7832,-4960,0,-120,1176,13928,888,4960,1132,8,16,1636,2900,1808,0,1672,0,-248,-168,0,-1432,0,0,0,464,0,292,1768
1962:Q3,7888,1984,-1520,896,4640,1888,7888,4432,0,2772,-2980,4640,3080,-196,-48,2208,148,0,968,0,0,0,0,376,7888,-3532,-1192,-3988,0,-12,1660,8780,-892,1896,-496,12,20,1604,2848,800,0,1692,0,968,-116,0,112,0,0,0,184,0,148,2640
1962:Q4,27644,-380,11664,2820,5588,7952,27644,23092,0,4172,13332,5588,3016,1192,244,992,160,0,428,0,0,0,0,1536,27644,3972,-748,2076,0,-20,2664,22000,3840,9460,-844,16,24,1292,1740,2012,0,1192,0,172,56,0,680,0,0,0,3800,0,-1440,1672
1963:Q1,18224,3976,4932,-2960,4908,7368,18224,13764,0,3584,5272,4908,2484,-196,-8,-3460,160,0,5988,0,0,0,0,1976,18224,-4428,-23032,16272,0,40,2292,22076,3220,9248,68,56,40,1000,2936,1520,0,1668,0,12,488,0,1760,0,0,0,-4164,0,4224,576
1963:Q2,23800,1452,5216,3804,6908,6420,23800,16092,0,3952,5232,6908,5680,348,100,3620,168,0,1444,0,0,0,0,2028,23800,6112,6480,-1712,0,196,1148,14684,3232,1608,-136,92,48,752,2236,1728,0,2524,0,-636,460,0,504,0,0,0,196,0,2076,3004
1963:Q3,4008,-924,-3768,1544,4052,3104,4008,988,0,1904,-4968,4052,2736,180,16,2688,56,0,-204,0,0,0,0,284,4008,-3456,-4168,-596,0,-72,1380,6112,2720,-3332,-932,84,48,668,2300,1788,0,1900,0,928,492,0,-1952,0,0,0,920,0,480,1352
1963:Q4,20056,-372,3448,3520,5092,8368,20056,13424,0,4724,3608,5092,6948,1376,88,3296,64,0,2124,0,0,0,0,-316,20056,13028,10412,1672,0,-48,992,7576,3316,-428,-276,36,44,732,1972,1300,0,1808,0,416,344,0,1336,0,0,0,-1124,0,-1900,-548
1964:Q1,18236,4620,5028,-3144,5104,6628,18236,11532,0,2364,4064,5104,7148,1432,200,-2284,104,0,7696,0,0,0,0,-444,18236,2012,-2244,4220,0,-32,68,17740,2256,7080,40,-4,32,768,2344,1788,0,2864,0,284,536,0,-792,0,0,0,-1768,0,2312,-1516
1964:Q2,23724,1808,2788,4564,6612,7952,23724,16140,0,5224,4304,6612,6976,604,56,2928,120,0,3268,0,0,0,0,608,23724,10020,11652,-2396,0,-28,792,13284,2176,-3360,-12,-36,24,748,2016,1484,0,2908,0,792,184,0,184,0,0,0,3112,0,3064,420
1964:Q3,19524,1076,6104,800,6596,4948,19524,15748,0,2772,6380,6596,3952,664,40,440,84,0,2724,0,0,0,0,-176,19524,-2972,-1972,-3028,0,24,2004,19804,4312,11060,564,-40,24,772,2068,1164,0,1976,0,332,124,0,-820,0,0,0,1228,0,-2960,2692
1964:Q4,25704,1104,4304,3248,6168,10880,25704,19308,0,6244,6896,6168,4516,1060,104,568,88,0,2696,0,0,0,0,1880,25704,6956,5444,-1344,0,-32,2888,16284,2908,5872,-288,-44,20,860,1092,2720,0,1496,0,88,68,0,-340,0,0,0,440,0,1392,2464
1965:Q1,16448,2312,664,648,6768,6056,16448,9616,0,2220,628,6768,6472,284,-28,476,208,0,5532,0,0,0,0,360,16448,-2744,-4524,444,0,24,1312,20856,6612,-256,172,4,20,872,2712,2160,0,3196,0,1392,320,0,1004,0,0,0,-2280,0,4928,-1664
1965:Q2,20624,1756,-648,4552,8024,6940,20624,13212,0,6212,-1024,8024,7132,2488,60,4712,216,0,-344,0,0,0,0,280,20624,7412,11388,-5828,0,28,1824,14392,2592,488,-124,16,8,824,2044,1036,0,2540,0,-384,-76,0,-324,0,0,0,4112,0,1640,-1180
1965:Q3,6828,528,-12084,4284,7544,6556,6828,4308,0,6796,-10032,7544,1952,-24,-12,1964,268,0,-244,0,0,0,0,568,6828,1388,-756,-808,0,88,2864,3956,4928,-564,332,24,20,984,2924,548,0,1628,0,1492,-112,0,-400,0,0,0,-5644,0,-2204,1484
1965:Q4,26016,-1136,13100,924,6612,6516,26016,22732,0,2868,13252,6612,2652,544,-16,484,288,0,1352,0,0,0,0,632,26016,5144,144,1796,0,-8,3212,17604,1820,6840,96,28,60,1348,1076,1448,0,1676,0,156,-92,0,256,0,0,0,2912,0,-20,3268
1966:Q1,36064,6228,2760,5572,6652,14852,36064,22044,0,11236,4156,6652,12584,160,12,3856,320,0,8236,0,0,0,0,1436,36064,21236,16904,3112,0,88,1132,17080,2936,-284,-180,60,100,1088,4876,3952,0,3368,0,1788,208,0,-80,0,0,0,-3376,0,2624,-2252
1966:Q2,26220,764,-12464,17668,8176,12076,26220,13544,0,10780,-5412,8176,12136,344,88,10280,336,0,1088,0,0,0,0,540,26220,14052,18024,-5144,0,156,1016,11228,2680,-2440,-284,84,144,1584,720,1320,0,2336,0,1080,-124,0,1244,0,0,0,2792,0,92,940
1966:Q3,22204,3164,948,1324,4912,11856,22204,15084,0,11360,-1188,4912,6692,-160,-12,2924,536,0,3404,0,0,0,0,428,22204,12268,15276,-3328,0,1764,-1444,9440,1480,-1812,564,88,152,1636,1320,1588,0,3584,0,1488,-104,0,-448,0,0,0,-2832,0,2736,496
1966:Q4,40768,8076,13208,2868,5204,11412,40768,28300,0,10780,12316,5204,11932,752,84,3172,588,0,7336,0,0,0,0,536,40768,10460,8140,624,0,3232,-1536,29988,5588,1836,88,60,120,1544,1248,2280,0,2380,0,676,-48,0,3024,0,0,0,6560,0,4632,320
1967:Q1,43348,10808,8292,3576,5744,14928,43348,35316,0,15784,13788,5744,6876,1140,96,-2584,664,0,7560,0,0,0,0,1156,43348,-17952,-16072,-2492,0,1656,-1044,58828,5452,35576,160,88,92,1476,3736,984,0,1952,0,-1136,292,0,3948,0,0,0,576,0,5632,2472
1967:Q2,7700,2652,-22656,5564,8184,13956,7700,10092,0,17140,-15232,8184,-3340,1472,412,-2580,720,0,-3364,0,0,0,0,948,7700,-12648,-1656,-10636,0,-128,-228,18824,4784,11944,132,88,68,1300,3208,-128,0,2700,0,-1888,24,0,628,0,0,0,-4156,0,120,1524
1967:Q3,51640,-156,23656,-252,7968,20424,51640,48836,0,17296,23572,7968,1248,188,36,-812,644,0,1192,0,0,0,0,1556,51640,7696,9424,-1164,200,-1568,804,41020,3332,33080,808,88,72,1348,5056,1432,0,2932,0,-872,80,0,-3288,0,0,0,1168,0,-4216,2924
1967:Q4,62072,3340,25752,8212,6708,18060,62072,50304,0,14060,29536,6708,10564,584,32,3760,668,0,5520,0,0,0,0,1204,62072,21376,13392,7488,200,-312,608,36512,7756,13320,548,84,96,1540,2148,504,0,3796,0,656,184,0,-1192,0,0,0,1024,0,6048,4184
1968:Q1,55732,6968,23556,6240,6748,12220,55732,42280,0,10908,24624,6748,12240,60,32,4448,724,0,6976,0,0,0,0,1212,55732,12404,904,8848,200,-64,2516,43968,6352,19924,124,52,132,1784,5756,2496,0,2164,0,2436,328,0,656,0,0,0,-1516,0,3280,-640
1968:Q2,31472,1932,-3196,11000,7388,14348,31472,23164,0,14308,1468,7388,8068,544,32,5576,760,0,1156,0,0,0,0,240,31472,23492,22376,-3424,200,1628,2712,10104,6204,-2196,-32,32,140,2016,2624,56,0,3124,0,-2368,512,0,644,0,0,0,-816,0,164,-2124
1968:Q3,48764,5144,16488,5676,7564,13892,48764,47180,0,18412,21204,7564,648,464,56,620,340,0,-832,0,0,0,0,936,48764,-3124,-4768,-3024,200,-68,4536,46380,3332,24888,-16,28,168,2040,3656,752,0,3036,0,1312,492,0,-1652,0,0,0,7624,0,720,5508
1968:Q4,35728,2756,-1728,4792,12072,17836,35728,25340,0,12804,464,12072,8440,324,-32,2272,328,0,5548,0,0,0,0,1948,35728,5808,-5424,7212,200,-960,4780,22388,-128,13240,-188,136,212,1848,2492,1004,0,3680,0,-2104,264,0,-128,0,0,0,-2708,0,4768,7532
1969:Q1,47492,11712,2388,5444,15492,12456,47492,33188,0,14820,2876,15492,13036,-380,44,4596,360,0,7616,0,0,800,0,1268,47492,45508,34072,6116,200,-1196,6316,4504,508,-6756,160,60,264,1668,5380,-108,0,3184,0,4132,456,0,-1072,0,0,0,-6844,0,3472,-2520
1969:Q2,13576,11840,-31884,8608,12880,12132,13576,-6172,0,13888,-32940,12880,18928,992,420,9324,340,0,3656,16,0,4180,0,820,13576,4432,7788,-4968,200,-2520,3932,8036,3152,-9812,92,56,320,1164,604,-632,0,3792,0,-1604,-12,0,240,0,0,0,4112,0,6564,1108
1969:Q3,61844,15260,14400,5764,10496,15924,61844,32544,0,13664,8384,10496,27640,1160,304,10788,992,0,8940,56,0,5400,0,1660,61844,46616,51812,-8112,200,-472,3188,4508,2648,-15668,232,60,340,1812,2628,2356,0,4400,0,2296,-156,0,-2476,0,0,0,-3056,0,9092,10720
