1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,227,216,0,216,0,0,2,2,9,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q4,2699,2686,0,2686,0,0,3,3,10,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q1,-440,-473,0,-473,0,0,5,5,28,0,1,-8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q2,-1086,-1085,0,-1085,0,0,2,2,-3,0,1,-21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q3,-728,-741,0,-741,0,0,4,4,9,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q4,1252,1134,0,1134,0,0,12,12,106,0,2,93,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q1,-128,-169,0,-169,0,0,6,6,35,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q2,-1475,-1503,0,-1503,0,0,1,1,27,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q3,-633,-648,0,-648,0,0,3,3,12,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q4,1190,1167,0,1167,0,0,5,5,18,2,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q1,207,142,0,142,0,0,7,7,58,2,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q2,-961,-991,0,-991,0,0,6,6,24,2,4,-3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q3,-292,-344,0,-344,35,35,4,4,13,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q4,1141,1118,0,1118,0,0,6,6,17,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q1,363,230,0,230,0,0,5,5,128,5,4,75,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q2,-401,-425,0,-425,0,0,2,2,22,5,7,-7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q3,57,40,0,40,0,0,5,5,12,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q4,477,451,0,451,0,0,7,7,19,5,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q1,743,683,0,683,0,0,5,5,55,4,2,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q2,49,36,0,36,0,0,3,3,10,0,0,-4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q3,871,854,0,854,0,0,4,4,13,1,10,-6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q4,1237,1213,0,1213,0,0,6,6,18,1,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q1,-714,-792,0,-792,0,0,11,11,67,1,5,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q2,-2339,-2370,0,-2370,0,0,6,6,25,3,2,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,-1610,-1630,0,-1630,0,0,3,3,17,4,12,-7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q4,264,234,0,234,0,0,4,4,26,5,5,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q1,-29,-136,0,-136,0,0,8,8,99,6,6,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q2,-800,-906,0,-906,80,80,5,5,21,7,-1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q3,-107,-139,0,-139,0,0,3,3,29,5,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q4,309,202,0,202,74,74,6,6,27,3,4,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q1,-1294,-1406,0,-1406,0,0,14,14,98,3,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q2,-213,-234,0,-234,0,0,2,2,19,1,1,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
