1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q2,252,226,4589,47,15,0,3945,1731,801,1413,1,9,0,572,4495,4491,971,725,246,2459,2459,0,2,-61,1120,114,1006,4,-68,0
1973:Q3,270,233,901,46,16,0,1074,-288,-47,1409,0,9,0,-244,874,869,813,-195,1008,-353,-353,0,1,25,383,60,323,5,10,0
1973:Q4,276,237,6246,45,15,0,5046,1741,1374,1931,-3,13,0,1130,6174,6163,3015,1680,1335,1858,1858,0,-1,2,1289,25,1264,11,-33,0
1974:Q1,351,308,2175,44,14,0,1549,1644,776,-871,1,9,0,558,2070,2065,1840,2180,-340,-1452,-1452,0,1,27,1649,-70,1719,5,-62,0
1974:Q2,271,317,1559,43,15,0,1750,692,-47,1105,0,10,0,-259,1343,1344,1352,347,1005,809,809,0,0,-53,-764,-222,-542,-1,-262,0
1974:Q3,169,328,68,43,14,0,1034,932,-831,933,1,9,0,-1033,-59,-58,2343,611,1732,-1618,-1618,0,0,21,-804,-159,-645,-1,-286,0
1974:Q4,225,332,-375,42,14,0,1047,1571,-1295,771,0,10,0,-1488,-415,-410,3669,435,3234,99,99,0,-3,5,-4180,118,-4298,-5,-146,0
1975:Q1,178,325,-2085,41,14,0,-1535,635,-441,-1729,0,10,0,-615,-2089,-2089,615,-542,1157,-4284,-4284,0,-1,31,1550,839,711,0,-150,0
1975:Q2,269,325,-2055,41,13,0,765,908,-32,-111,1,10,0,-2885,-2081,-2081,810,223,587,567,567,0,1,-53,-3406,752,-4158,0,-82,0
1975:Q3,355,333,1136,40,14,0,1221,717,275,229,0,10,0,-149,1174,1173,1009,-601,1610,-4532,-4532,0,0,23,4673,3661,1012,1,60,0
1975:Q4,285,341,2081,39,13,0,2486,1457,-31,1060,1,10,0,-468,2128,2128,3133,1544,1589,-699,-699,0,1,-1,-306,3410,-3716,0,-9,0
1976:Q1,272,356,1817,38,12,0,1737,2654,477,-1394,0,11,0,19,1537,1536,287,600,-313,-188,-188,0,0,33,1404,774,630,1,-364,0
1976:Q2,305,365,3045,37,13,0,3108,2071,355,682,0,10,0,-123,2885,2883,1536,62,1474,-95,-95,0,0,-61,1503,1139,364,2,-219,0
1976:Q3,334,378,941,37,12,0,1368,725,12,631,1,10,0,-487,839,838,1207,572,635,-1624,-1624,0,1,25,1229,1126,103,1,-146,0
1976:Q4,348,391,5307,36,12,0,5337,3130,484,1723,-15,26,0,-89,5433,5430,3754,2026,1728,1924,1924,0,-1,3,-250,1280,-1530,3,83,0
1977:Q1,384,411,3196,35,12,0,3458,3605,254,-401,1,11,0,-321,2922,2920,2066,1209,857,-1117,-1117,0,0,18,1953,72,1881,2,-301,0
1977:Q2,395,429,6253,35,11,0,6090,3700,724,1666,0,11,0,106,5974,5973,6217,3146,3071,409,409,0,0,28,-681,726,-1407,1,-313,0
1977:Q3,418,446,4778,34,12,0,3861,924,1433,1504,1,10,0,860,4757,4756,529,-150,679,1777,1777,0,0,31,2419,1024,1395,1,-49,0
1977:Q4,424,468,8598,33,11,0,8563,5268,653,2642,-2,14,0,-21,8376,8374,7686,4193,3493,2398,2398,0,0,29,-1739,-401,-1338,2,-266,0
1978:Q1,431,526,2990,32,10,0,3215,3348,243,-376,2,42,0,-311,2615,2614,2947,1305,1642,-1625,-1625,0,0,30,1262,447,815,1,-469,0
1978:Q2,466,576,6770,31,11,0,6266,2675,1039,2552,1,44,0,417,6460,6456,4078,2725,1353,2244,2244,0,1,37,96,2401,-2305,4,-421,0
1978:Q3,429,602,5593,31,10,0,4130,-383,1971,2542,2,46,0,1374,5218,5214,203,102,101,-50,-50,0,1,30,5030,651,4379,4,-548,0
1978:Q4,408,631,13036,30,10,0,12069,5814,1665,4590,-2,51,0,878,12754,12745,5692,3694,1998,2770,2770,0,0,9,4274,1097,3177,9,-505,0
1979:Q1,459,653,5349,29,10,0,5560,4105,390,1065,2,50,0,-302,5064,5060,5673,4969,704,-857,-857,0,1,-10,253,-291,544,4,-478,0
1979:Q2,516,660,11951,29,9,0,10247,4186,2415,3646,2,51,0,1613,11780,11771,4341,4326,15,2915,2915,0,3,-30,4542,319,4223,9,-315,0
1979:Q3,529,690,8153,28,10,0,5587,-1214,3320,3481,2,54,0,2472,8141,8131,-1734,-633,-1101,2226,2226,0,2,-38,7675,2083,5592,10,-174,0
1979:Q4,541,698,6685,27,9,0,7737,3041,-276,4972,-2,60,0,-1146,5396,5379,7423,4620,2803,82,82,0,2,-39,-2089,1358,-3447,17,-1446,0
1980:Q1,583,797,533,26,8,0,2885,1131,-464,2218,2,59,0,-2447,1235,1319,-436,-1935,1499,-256,-256,0,-22,-22,2055,-419,2474,-84,488,0
