1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,18569,948,316,0,15902,3158,1359,11385,5,125,0,1273,14496,14472,4915,1971,2944,4859,4859,0,6,238,4454,0,4454,24,0
1955:Q4,19716,995,332,0,16972,3762,1372,11838,5,131,0,1281,15501,15477,4895,1739,3156,4972,4972,0,6,274,5330,0,5330,24,0
1956:Q1,20060,999,333,0,17394,4113,1287,11994,5,136,0,1193,16050,16025,6021,2297,3724,4987,4987,0,6,250,4761,0,4761,25,0
1956:Q2,20237,998,333,0,17575,3969,1280,12326,6,141,0,1184,16251,16226,6195,2241,3954,5080,5080,0,7,192,4752,0,4752,25,0
1956:Q3,20321,997,332,0,17578,3608,1356,12614,6,147,0,1261,16372,16346,6379,2187,4192,5256,5256,0,7,248,4456,0,4456,26,0
1956:Q4,20620,998,333,0,17958,3846,1268,12844,6,154,0,1171,16280,16255,6331,1872,4459,5268,5268,0,6,276,4374,0,4374,25,0
1957:Q1,20787,1009,336,0,18316,4474,1057,12785,6,160,0,960,17059,17034,7304,2411,4893,5057,5057,0,7,248,4418,0,4418,25,0
1957:Q2,21050,1015,338,0,18654,4569,969,13116,7,166,0,870,17123,17098,7313,2206,5107,4969,4969,0,7,211,4598,0,4598,25,0
1957:Q3,21358,1022,341,0,18945,4513,971,13461,7,173,0,870,17401,17376,7804,2272,5532,4971,4971,0,7,256,4338,0,4338,25,0
1957:Q4,21670,1026,342,0,19272,4810,943,13519,7,182,0,841,17558,17534,8020,2324,5696,4943,4943,0,6,286,4279,0,4279,24,0
1958:Q1,21809,1036,345,0,19276,5062,1057,13157,8,188,0,956,17842,17818,8868,2892,5976,5057,5057,0,6,318,3569,0,3569,24,0
1958:Q2,21635,1040,347,0,18975,4817,1171,12987,8,194,0,1071,17265,17241,8590,2716,5874,5171,5171,0,6,221,3253,0,3253,24,0
1958:Q3,21135,1046,349,0,18344,4290,1285,12769,8,201,0,1187,16784,16760,8026,2484,5542,4885,4885,0,6,219,3624,0,3624,24,0
1958:Q4,21888,1047,349,0,18975,4859,1400,12716,8,209,0,1300,17574,17548,7743,2189,5554,5400,5400,0,7,217,4181,0,4181,26,0
1959:Q1,22820,1082,361,0,19743,5499,1514,12730,9,215,0,1410,18580,18554,8443,2727,5716,5914,5914,0,7,209,3981,0,3981,26,0
1959:Q2,23832,1118,373,0,20761,5975,1457,13329,9,223,0,1348,19494,19467,8960,3043,5917,6457,6457,0,7,191,3852,0,3852,27,0
1959:Q3,24604,1160,387,0,21366,5727,1563,14076,9,231,0,1451,20541,20513,9159,2921,6238,6963,6963,0,7,251,4133,0,4133,28,0
1959:Q4,25810,1205,402,0,22425,6281,1647,14497,10,239,0,1529,21652,21624,9431,2887,6544,7247,7247,0,7,283,4656,0,4656,28,0
1960:Q1,27247,1217,406,0,23811,7320,1680,14811,10,247,0,1556,22994,22965,11880,4068,7812,7180,7180,0,7,261,3637,0,3637,29,0
1960:Q2,28396,1230,410,0,25031,8026,1589,15416,10,256,0,1459,23699,23669,12516,4080,8436,7238,7238,0,8,235,3672,0,3672,30,0
1960:Q3,28709,1249,416,0,25227,7617,1673,15937,11,264,0,1542,23754,23722,12998,3946,9052,6658,6658,0,8,265,3793,0,3793,32,0
1960:Q4,29371,1271,424,0,25915,8189,1611,16115,11,274,0,1476,24302,24273,13508,3728,9780,6693,6693,0,7,285,3780,0,3780,29,0
1961:Q1,28972,1309,436,0,25456,8032,1608,15816,11,284,0,1476,24051,24021,14685,4455,10230,5247,5247,0,8,297,3784,0,3784,30,0
1961:Q2,29313,1344,448,0,25665,8092,1685,15888,12,293,0,1551,24025,23994,14672,4210,10462,5149,5149,0,8,237,3928,0,3928,31,0
1961:Q3,29558,1381,460,0,25581,7721,1953,15907,12,304,0,1820,24207,24175,14240,3858,10382,5449,5449,0,8,252,4226,0,4226,32,0
1961:Q4,31295,1418,473,0,26972,8392,2246,16334,13,314,0,2105,25216,25183,14094,3592,10502,6350,6350,0,8,255,4476,0,4476,33,0
1962:Q1,31440,1441,480,0,27152,8576,2170,16406,13,325,0,2029,25249,25216,15256,4584,10672,5232,5232,0,9,304,4415,0,4415,33,0
1962:Q2,32475,1464,488,0,27895,8616,2424,16855,14,336,0,2278,26569,26535,15286,4773,10513,5987,5987,0,9,283,4970,0,4970,34,0
1962:Q3,32980,1488,496,0,28096,8138,2686,17272,14,348,0,2538,27424,27389,15528,5214,10314,6129,6129,0,9,310,5413,0,5413,35,0
1962:Q4,34134,1513,504,0,29198,8562,2697,17939,15,360,0,2544,28463,28432,15635,4802,10833,6999,6999,0,8,287,5503,0,5503,31,0
1963:Q1,35013,1478,493,0,30122,9146,2689,18287,15,373,0,2532,29170,29138,17132,5887,11245,6239,6239,0,8,277,5482,0,5482,32,0
1963:Q2,36364,1442,481,0,31226,9526,2977,18723,16,385,0,2814,30908,30876,17493,6266,11227,6830,6830,0,8,235,6310,0,6310,32,0
1963:Q3,37294,1405,468,0,31829,9131,3343,19355,16,399,0,3177,32031,31999,17442,6075,11367,7417,7417,0,8,258,6874,0,6874,32,0
1963:Q4,39278,1365,455,0,33672,9977,3530,20165,17,413,0,3356,33858,33825,17973,5822,12151,8428,8428,0,8,255,7161,0,7161,33,0
1964:Q1,40326,1361,454,0,34815,10833,3431,20551,17,428,0,3251,34388,34355,19897,6842,13055,7208,7208,0,8,321,6921,0,6921,33,0
1964:Q2,42227,1353,451,0,36414,11476,3736,21202,18,442,0,3549,36890,36857,20714,7207,13507,8416,8416,0,9,236,7482,0,7482,33,0
1964:Q3,42906,1349,450,0,36928,11233,3893,21802,19,457,0,3703,37230,37196,21395,7447,13948,7824,7824,0,9,186,7782,0,7782,34,0
1964:Q4,43918,1345,448,0,37907,11567,3920,22420,19,474,0,3725,38552,38517,22069,7317,14752,8388,8388,0,9,175,7876,0,7876,35,0
1965:Q1,45123,1379,460,0,38995,12327,3980,22688,20,490,0,3779,39565,39529,23452,8330,15122,7881,7881,0,9,189,7998,0,7998,36,0
1965:Q2,47032,1411,470,0,40665,12970,4167,23528,21,507,0,3958,41283,41248,23366,8775,14591,9726,9726,0,9,188,7959,0,7959,35,0
1965:Q3,47942,1448,483,0,41151,12422,4525,24204,21,525,0,4314,41995,41961,23305,8937,14368,10233,10233,0,9,225,8189,0,8189,34,0
1965:Q4,49462,1489,496,0,42669,13532,4462,24675,22,543,0,4243,43322,43288,23643,8503,15140,11706,11706,0,9,262,7668,0,7668,34,0
1966:Q1,50214,1528,509,0,43423,14351,4391,24681,23,562,0,4169,43875,43842,25702,10214,15488,10895,10895,0,9,230,7006,0,7006,33,0
1966:Q2,50968,1559,520,0,44193,14723,4316,25154,24,581,0,4091,44432,44398,25974,10230,15744,12095,12095,0,9,187,6133,0,6133,34,0
1966:Q3,50148,1585,528,0,43374,13490,4256,25628,24,602,0,4035,43407,43372,26825,10657,16168,10585,10585,0,9,211,5742,0,5742,35,0
1966:Q4,51393,1603,534,0,44937,14606,3898,26433,25,623,0,3671,44453,44420,28659,12023,16636,11074,11074,0,8,228,4451,0,4451,33,0
1967:Q1,51225,1619,540,0,44783,15045,3855,25883,25,630,0,3628,44096,44063,30549,13816,16733,9285,9285,0,9,186,4034,0,4034,33,0
1967:Q2,51654,1634,545,0,44791,14520,4248,26023,26,636,0,4022,44337,44303,29708,13365,16343,10311,10311,0,9,136,4139,0,4139,34,0
1967:Q3,51510,1655,552,0,44487,13889,4371,26227,26,644,0,4146,44003,43968,30006,13490,16516,10233,10233,0,9,167,3553,0,3553,35,0
1967:Q4,52435,1677,559,0,45455,14257,4294,26904,26,651,0,4067,44743,44708,31386,14051,17335,10712,10712,0,9,172,2429,0,2429,35,0
1968:Q1,52894,1697,566,0,46055,15299,4121,26635,27,658,0,3891,45017,44981,33130,15645,17485,8707,8707,0,9,215,2920,0,2920,36,0
1968:Q2,55137,1709,570,0,47982,16223,4423,27336,27,665,0,4184,47082,47045,33419,16111,17308,10278,10278,0,9,151,3188,0,3188,37,0
1968:Q3,55489,1718,573,0,48142,15620,4595,27927,27,673,0,4356,47245,47208,33211,16048,17163,9889,9889,0,10,156,3942,0,3942,37,0
1968:Q4,58329,1735,578,0,50622,16490,4935,29197,28,680,0,4686,49905,49868,34598,16924,17674,11819,11819,0,9,171,3271,0,3271,37,0
1969:Q1,59821,1749,583,0,51572,17060,5455,29057,28,688,0,5201,51213,51176,36502,19344,17158,10803,10803,0,10,217,3644,0,3644,37,0
1969:Q2,64635,1767,589,0,55438,18970,6389,30079,28,696,0,6117,55858,55819,37416,20643,16773,13021,13021,0,10,167,5205,0,5205,39,0
1969:Q3,65360,1794,598,0,56522,19709,5991,30822,28,704,0,5714,56400,56360,39651,22106,17545,11103,11103,0,11,190,5405,0,5405,40,0
1969:Q4,67806,1822,607,0,59182,21459,5742,31981,29,711,0,5455,58662,58627,41745,22950,18795,12817,12817,0,9,219,3837,0,3837,35,0
1970:Q1,69084,1853,618,0,59660,22077,6222,31361,29,719,0,6205,59758,59721,41990,24763,17227,11674,11674,0,9,244,5804,0,5804,37,0
1970:Q2,71426,1892,631,0,61806,23028,7036,31742,29,727,0,6341,61921,61883,41796,24454,17342,14194,14194,0,10,204,5679,0,5679,38,0
1970:Q3,70659,1941,647,0,60976,22411,7138,31427,30,735,0,6330,60962,60922,41182,23262,17920,14178,14178,0,10,239,5313,0,5313,40,0
1970:Q4,71532,1997,666,0,61475,21813,7548,32114,30,743,0,6621,61642,61606,43222,23589,19633,14977,14977,0,9,251,3147,0,3147,36,0
1971:Q1,74149,2054,685,0,63251,23229,8481,31541,30,752,0,7377,64130,64093,42339,22670,19669,14756,14756,0,10,285,6703,69,6634,37,0
1971:Q2,76462,2108,703,0,65035,23883,9109,32043,31,760,0,7825,66316,66277,42102,22313,19789,16306,16306,0,10,252,7607,134,7473,39,0
1971:Q3,76938,2159,720,0,65383,23180,9332,32871,31,768,0,7877,66657,66617,42754,22036,20718,14339,14339,0,11,277,9236,273,8963,40,0
1971:Q4,79711,2210,737,0,67597,23157,9996,34444,31,777,0,8359,69304,69264,45087,23126,21961,15926,15926,0,11,277,7963,565,7398,40,0
1972:Q1,81846,2260,753,0,69400,24720,10441,34239,32,785,0,8616,71322,71280,45215,22583,22632,15902,15902,0,11,300,9852,1035,8817,42,0
1972:Q2,84769,2309,770,0,71896,25488,10990,35418,32,794,0,8968,74135,74091,45924,22332,23592,16816,16816,0,11,249,11091,1707,9384,44,0
1972:Q3,85915,2358,786,0,72756,24999,11382,36375,33,803,0,9179,75155,75110,45596,21283,24313,17517,17517,0,12,269,11716,2404,9312,45,0
1972:Q4,91323,2406,802,0,77536,27362,12158,38016,33,812,0,9734,80477,80431,47829,21876,25953,20881,20881,0,12,298,11411,2950,8461,46,0
1973:Q1,93229,2453,818,0,79365,29140,12366,37859,33,821,0,9739,82361,82313,48897,21625,27272,20406,20406,0,12,332,12666,3385,9281,48,0
1973:Q2,97818,2500,833,0,83310,30871,13167,39272,34,830,0,10311,86856,86804,49868,22350,27518,22865,22865,0,14,271,13786,3499,10287,52,0
1973:Q3,98719,2546,849,0,84384,30583,13120,40681,34,839,0,10067,87730,87673,50681,22155,28526,22512,22512,0,15,296,14169,3559,10610,57,0
1973:Q4,104965,2591,864,0,89430,32324,14494,42612,34,849,0,11197,93890,93836,53696,23835,29861,24370,24370,0,14,298,15458,3584,11874,54,0
1974:Q1,107140,2635,878,0,90979,33968,15270,41741,35,858,0,11755,95960,95901,55536,26015,29521,22918,22918,0,15,325,17107,3514,13593,59,0
1974:Q2,108699,2678,893,0,92729,34660,15223,42846,35,868,0,11496,97303,97245,56888,26362,30526,23727,23727,0,15,272,16343,3292,13051,58,0
1974:Q3,108767,2721,907,0,93763,35592,14392,43779,36,877,0,10463,97244,97187,59231,26973,32258,22109,22109,0,15,293,15539,3133,12406,57,0
1974:Q4,108392,2763,921,0,94810,37163,13097,44550,36,887,0,8975,96821,96777,62900,27408,35492,22208,22208,0,12,298,11359,3251,8108,44,0
1975:Q1,106307,2804,935,0,93275,37798,12656,42821,36,897,0,8360,94732,94688,63515,26866,36649,17924,17924,0,11,329,12909,4090,8819,44,0
1975:Q2,104252,2845,948,0,91340,38706,12624,40010,37,907,0,8175,92651,92607,64325,27089,37236,18491,18491,0,12,276,9503,4842,4661,44,0
1975:Q3,105388,2885,962,0,92561,39423,12899,40239,37,917,0,8026,93825,93780,65334,26488,38846,13959,13959,0,12,299,14176,8503,5673,45,0
1975:Q4,107469,2924,975,0,95047,40880,12868,41299,38,927,0,7558,95956,95908,68467,28032,40435,13260,13260,0,13,298,13870,11913,1957,48,0
1976:Q1,109286,2962,987,0,96784,43534,13345,39905,38,938,0,7577,97493,97444,68754,28632,40122,13072,13072,0,13,331,15274,12687,2587,49,0
1976:Q2,112331,2999,1000,0,99892,45605,13700,40587,38,948,0,7454,100378,100327,70290,28694,41596,12977,12977,0,13,270,16777,13826,2951,51,0
1976:Q3,113272,3036,1012,0,101260,46330,13712,41218,39,958,0,6967,101217,101165,71497,29266,42231,11353,11353,0,14,295,18006,14952,3054,52,0
1976:Q4,118579,3072,1024,0,106597,49460,14196,42941,39,969,0,6878,106651,106595,75251,31292,43959,13277,13277,0,15,298,17754,16232,1522,56,0
1977:Q1,121775,3107,1036,0,110055,53065,14450,42540,40,980,0,6557,109573,109515,77317,32501,44816,12160,12160,0,15,316,19707,16304,3403,58,0
1977:Q2,128028,3142,1047,0,116145,56765,15174,44206,40,991,0,6663,115547,115488,83414,35527,47887,12569,12569,0,15,344,19146,17030,2116,59,0
1977:Q3,132806,3176,1059,0,120006,57689,16607,45710,41,1001,0,7523,120304,120244,83943,35377,48566,14346,14346,0,15,375,21565,18054,3511,60,0
1977:Q4,141404,3209,1070,0,128569,62957,17260,48352,41,1013,0,7502,128679,128618,91629,39570,52059,16744,16744,0,16,404,19825,17653,2172,61,0
1978:Q1,144394,3241,1080,0,131784,66305,17503,47976,43,1055,0,7191,131294,131232,94576,40875,53701,15119,15119,0,16,434,21087,18100,2987,62,0
1978:Q2,151164,3272,1091,0,138050,68980,18542,50528,44,1099,0,7608,137754,137688,98654,43600,55054,17363,17363,0,17,471,21183,20501,682,66,0
1978:Q3,156757,3303,1101,0,142180,68597,20513,53070,46,1145,0,8982,142972,142902,98857,43702,55155,17313,17313,0,18,501,26213,21152,5061,70,0
1978:Q4,169793,3333,1111,0,154249,74411,22178,57660,48,1192,0,9860,155724,155647,104549,47396,57153,20083,20083,0,20,510,30485,22249,8236,77,0
1979:Q1,175142,3362,1121,0,159809,78516,22568,58725,50,1242,0,9558,160788,160707,110222,52365,57857,19226,19226,0,21,500,30738,21958,8780,81,0
1979:Q2,187093,3391,1130,0,170056,82702,24983,62371,52,1293,0,11171,172568,172478,114563,56691,57872,22141,22141,0,24,470,35280,22277,13003,90,0
1979:Q3,195246,3419,1140,0,175643,81488,28303,65852,54,1347,0,13643,180709,180609,112829,56058,56771,24367,24367,0,26,432,42955,24360,18595,100,0
1979:Q4,201931,3446,1149,0,183380,84529,28027,70824,57,1402,0,12497,186106,185988,120252,60678,59574,24449,24449,0,31,393,40863,25718,15145,118,0
1980:Q1,202464,3472,1157,0,186265,85660,27563,73042,59,1461,0,10050,187341,187307,119816,58743,61073,24193,24193,0,9,371,42918,25299,17619,34,0
1980:Q2,208425,3497,1166,0,188098,84510,27683,75905,62,1521,0,14081,192127,192010,109042,45487,63555,24057,24057,0,31,353,58527,26386,32141,117,1549
1980:Q3,210065,3522,1174,0,188717,82391,29767,76559,64,1585,0,15003,192756,192433,109705,44768,64937,24779,24779,0,84,335,57530,27393,30137,323,1615
1980:Q4,214772,3546,1182,0,195824,86946,29946,78932,67,1650,0,12503,198353,198009,113088,47617,65471,25386,25386,0,89,310,59136,28950,30186,344,1720
1981:Q1,220382,3569,1190,0,197379,87543,31086,78750,70,1719,0,16455,203533,203506,114340,49395,64945,24558,24558,0,7,285,64316,23371,40945,27,1741
1981:Q2,229662,3592,1197,0,207682,94310,32891,80481,72,1791,0,15328,213219,213171,120275,54839,65436,26538,26538,0,13,258,66087,22186,43901,48,1756
1981:Q3,234333,3614,1205,0,211588,93060,33523,85005,75,1865,0,15986,217536,217363,122730,57120,65610,26932,26932,0,45,229,67427,19600,47827,173,1732
1981:Q4,239774,3635,1212,0,218578,97580,33182,87816,79,1942,0,14328,222654,222625,126144,57238,68906,27295,27295,0,8,195,68983,21103,47880,29,1863
1982:Q1,242233,3654,1218,0,219011,98108,33810,87093,82,1254,0,17014,225868,225949,124422,52226,72196,28593,28593,0,-36,159,72811,20557,52254,-81,2025
1982:Q2,249731,3672,1224,0,224761,99445,35215,90101,55,1449,0,18570,233265,233176,130169,56609,73560,28602,28602,0,40,114,74251,18404,55847,89,1894
1982:Q3,250303,3690,1230,0,224882,99097,35714,90071,27,1718,0,18756,233335,233430,127072,52465,74607,28513,28513,0,-42,75,77812,25302,52510,-95,1898
1982:Q4,252011,3711,1237,0,228850,98324,37308,93218,-5,1524,0,16694,235103,234910,128408,51425,76983,29886,29886,0,61,53,76502,28409,48093,193,2048
1983:Q1,259359,3732,1244,0,231654,99629,38468,93557,-49,2125,0,20653,240990,240884,129844,51931,77913,31095,31095,0,33,56,79856,29588,50268,106,2190
1983:Q2,266167,3754,1251,0,238458,101694,39987,96777,-71,2094,0,20681,247991,247744,134018,56059,77959,31471,31471,0,79,81,82095,30575,51520,247,2365
1983:Q3,269285,3776,1259,0,241887,102607,40086,99194,-79,2114,0,20328,250903,250482,136651,56936,79715,31576,31576,0,143,111,82001,31632,50369,421,2609
1983:Q4,278621,3801,1267,0,254008,110351,39996,103661,-97,2415,0,17227,261050,261033,141455,60479,80976,32314,32314,0,5,127,87132,33584,53548,17,3071
1984:Q1,287491,3526,1175,13742,259218,116703,41024,101491,-159,2965,0,7024,270457,269477,148629,65453,83176,30805,30805,0,280,132,89631,34445,55186,980,3752
1984:Q2,296273,3528,1176,13750,268947,120239,44078,104630,-170,2518,0,6524,280875,279839,152159,69424,82735,34169,34169,0,322,130,93059,36386,56673,1036,4528
1984:Q3,300887,3630,1210,14147,272901,121193,44383,107325,-213,2870,0,6342,286182,284471,154780,68049,86731,34530,34530,0,533,126,94502,41079,53423,1711,5084
1984:Q4,311627,3485,1162,13580,288968,131920,45351,111697,-181,2844,0,1769,297356,296232,163663,73122,90541,35506,35506,0,360,124,96579,42978,53601,1124,5868
1985:Q1,317705,3550,1183,13834,292621,137050,44043,111528,-184,2858,0,3843,304490,303443,170550,79489,91061,31950,31950,0,337,127,100479,45213,55266,1047,6738
1985:Q2,332218,3829,1276,14923,305573,139818,48108,117647,-205,2850,0,3972,319986,318719,182977,84671,98306,29795,29795,0,417,131,105399,51522,53877,1267,7512
1985:Q3,350745,4466,1489,17404,318776,136292,54843,127641,-189,3008,0,5791,339299,338276,194675,96218,98457,35495,35495,0,337,136,107633,57395,50238,1023,8027
1985:Q4,366567,4442,1481,17309,335899,150170,53321,132408,-156,3601,0,3991,355409,354445,207972,102684,105288,33052,33052,0,262,141,113018,60554,52464,964,8553
1986:Q1,379176,4818,1606,18777,344514,157683,53796,133035,-145,4864,0,4742,367466,366586,222402,108615,113787,31560,31560,0,246,143,112235,63318,48917,880,9146
1986:Q2,400071,4830,1610,18823,365358,159839,65633,139886,-139,5665,0,3924,387083,386259,233494,113773,119721,41545,41545,0,233,139,110848,66907,43941,824,9462
1986:Q3,420748,5935,1978,23130,376789,152849,73194,150746,-97,4800,0,8213,409796,408528,243523,118742,124781,46767,46767,0,358,141,117739,70444,47295,1268,9974
1986:Q4,431023,5363,2298,22392,387551,165781,70781,150989,-115,7300,0,6234,421508,418776,255842,124274,131568,45700,45700,0,742,164,116328,70903,45425,2732,11380
1987:Q1,433734,5576,2390,23284,388153,174092,69185,144876,-95,7051,0,7375,422370,420121,263330,125805,137525,40011,40011,0,663,211,115906,71250,44656,2249,11745
1987:Q2,446030,5471,2345,22848,401325,180880,72755,147690,-71,7388,0,6724,435660,432183,270760,127554,143206,40238,40238,0,1034,281,119870,72472,47398,3477,12290
1987:Q3,451107,6075,2604,25370,399930,180723,65567,153640,-51,7480,0,9699,439114,436623,284144,131831,152313,35257,35257,0,840,358,116024,64264,51760,2491,13234
1987:Q4,476573,6728,2883,28095,420232,200051,66065,154116,-17,6296,0,12356,465252,462764,280555,139369,141186,32997,32997,0,782,424,148006,59393,88613,2488,13703
1988:Q1,490479,7057,3024,29466,430686,211575,66925,152186,23,7232,0,12991,479137,476011,276922,137819,139103,27940,27940,0,904,482,169763,58415,111348,3126,15093
1988:Q2,515613,7727,3312,32269,449132,215802,79232,154098,40,7546,0,15587,502276,499091,290265,144304,145961,33100,33100,0,913,533,174280,61834,112446,3185,15761
1988:Q3,510983,7585,3251,31672,445765,215898,74940,154927,44,8080,0,14586,493469,490626,288777,141410,147367,31072,31072,0,836,587,169354,55723,113631,2843,15649
